step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.713428,-7855.55,0,0.641061,-0.0674037,500,-8357.34,501.787,83.7021,239.758,-9150.81,470.015,415.751,86.0365
1,0.700653,-7856.35,-0.79732,0.62824,-0.00768406,500,-8358.68,502.334,83.8705,240.156,-9152.05,469.347,417.846,84.4884
2,0.68778,-7856.31,-0.756692,0.615419,2.06288,500,-8359.16,502.858,83.8462,240.118,-9152.42,469.291,418.413,84.4442
3,0.674961,-7856.06,-0.511665,0.602597,4.01594,500,-8359.5,503.441,83.3342,240.526,-9152.62,469.253,419.052,84.3887
4,0.662114,-7856.21,-0.664195,0.589776,1.2933,500,-8358.9,502.688,83.742,240.517,-9152.3,469.135,418.362,84.3259
5,0.64929,-7856.03,-0.483541,0.576955,3.33902,500,-8359.83,503.802,82.797,240.635,-9152.43,469.16,419.438,84.3638
6,0.636509,-7856.07,-0.523836,0.564134,2.36549,500,-8359.37,503.301,83.493,240.162,-9152.12,469.089,418.944,84.3572
7,0.623687,-7855.92,-0.367092,0.551312,1.88227,500,-8359.35,503.432,83.6312,240.252,-9152.41,469.182,419.068,84.3643
8,0.610863,-7856.19,-0.636118,0.538491,0.437018,500,-8359.01,502.825,83.951,240.214,-9152.26,469.081,418.469,84.3558
9,0.598061,-7856.17,-0.618998,0.52567,-0.370727,500,-8359.21,503.039,83.9107,240.106,-9152.39,469.169,418.7,84.3393
10,0.585229,-7856.09,-0.537713,0.512849,-1.4646,500,-8359.48,503.392,83.5575,240.279,-9152.52,469.203,419.065,84.3273
11,0.572402,-7856.01,-0.465175,0.500028,-2.25895,500,-8359.46,503.444,83.5729,240.254,-9152.49,469.208,419.113,84.3314
12,0.559583,-7856.23,-0.684702,0.487206,-2.59707,500,-8359.09,502.857,83.9466,240.1,-9152.34,469.204,418.516,84.3409
13,0.546768,-7855.85,-0.302991,0.474385,-3.84881,500,-8359.3,503.449,83.5084,240.472,-9152.57,469.288,419.153,84.2958
14,0.533913,-7855.7,-0.145906,0.461564,-3.45351,500,-8359.15,503.458,83.6956,240.202,-9152.42,469.365,419.163,84.2942
15,0.521075,-7856.75,-1.19617,0.448743,-1.77268,500,-8359.71,502.96,82.987,240.609,-9152.49,469.188,418.634,84.326
16,0.508268,-7856.37,-0.817483,0.435921,-1.08013,500,-8359.4,503.032,83.4884,240.378,-9152.46,469.197,418.707,84.3245
17,0.495499,-7856.52,-0.974535,0.4231,-0.278045,500,-8358.94,502.415,84.085,239.869,-9152.07,469.181,418.041,84.374
18,0.48269,-7856.09,-0.545021,0.410279,1.7355,500,-8359.4,503.303,83.3643,240.582,-9152.67,469.323,419.061,84.2428
19,0.469776,-7856.31,-0.756989,0.397458,2.21025,500,-8359.41,503.102,83.4743,240.422,-9152.6,469.299,418.832,84.2703
20,0.457008,-7856.43,-0.88441,0.384637,1.69152,500,-8359.3,502.862,83.7412,240.18,-9152.45,469.228,418.536,84.3256
21,0.44421,-7856.62,-1.06995,0.371815,0.63506,500,-8358.81,502.186,84.1886,240.108,-9152.27,469.165,417.861,84.3256
22,0.431357,-7856.58,-1.02984,0.358994,0.614152,500,-8359.11,502.533,83.8915,240.052,-9152.27,469.219,418.213,84.3199
23,0.418538,-7856.39,-0.839017,0.346173,0.0796807,500,-8359.31,502.919,83.5855,240.269,-9152.48,469.316,418.634,84.2852
24,0.405727,-7856.36,-0.806313,0.333352,-1.22375,500,-8359.4,503.042,83.4399,240.448,-9152.6,469.315,418.762,84.2797
25,0.392905,-7856.42,-0.868567,0.320531,-2.77922,500,-8359.38,502.965,83.5802,240.25,-9152.53,469.313,418.661,84.3043
26,0.380107,-7856.49,-0.945204,0.307709,-4.06968,500,-8359.51,503.016,83.4553,240.331,-9152.58,469.288,418.739,84.2772
27,0.367257,-7856.75,-1.19636,0.294888,-4.93341,500,-8358.86,502.119,84.0879,240.134,-9152.24,469.154,417.812,84.3066
28,0.35442,-7856.58,-1.03119,0.282067,-6.06488,500,-8359.44,502.855,83.4711,240.336,-9152.5,469.261,418.553,84.3024
