step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568694,-7855.55,0,-0.641061,0.0674024,500,-8357.34,501.787,83.7021,239.758,-9150.81,470.015,415.751,86.0365
1,-0.555827,-7855.41,0.134991,-0.62824,0.31284,500,-8359.42,504.006,83.8443,240.109,-9153,469.623,419.563,84.4434
2,-0.543023,-7856.86,-1.31146,-0.615419,0.36597,500,-8358.36,501.503,83.9557,240.161,-9151.51,469.031,417.018,84.4852
3,-0.530259,-7855.87,-0.319554,-0.602597,3.46614,500,-8359.6,503.729,83.5827,240.199,-9152.54,469.164,419.249,84.4794
4,-0.517398,-7856.3,-0.752221,-0.589776,2.09933,500,-8359.06,502.758,83.7861,240.214,-9152.17,469.114,418.379,84.3795
5,-0.504623,-7855.86,-0.311778,-0.576955,3.47799,500,-8358.61,502.748,84.2355,240.067,-9152.06,469.15,418.368,84.3805
6,-0.491754,-7855.93,-0.38074,-0.564134,1.93007,500,-8359.19,503.259,83.7808,240.29,-9152.42,469.161,418.864,84.395
7,-0.478954,-7856.71,-1.16526,-0.551312,0.174769,500,-8359.03,502.319,83.7601,240.241,-9152.16,469.128,417.936,84.383
8,-0.466122,-7856.18,-0.626644,-0.538491,-0.211121,500,-8359.21,503.031,83.7289,240.183,-9152.34,469.222,418.67,84.3607
9,-0.453333,-7856.2,-0.652758,-0.52567,-1.30441,500,-8359.29,503.085,83.6741,240.189,-9152.35,469.198,418.75,84.3352
10,-0.440506,-7856.6,-1.04668,-0.512849,-1.94868,500,-8358.59,501.991,84.1875,240.112,-9152.04,469.151,417.655,84.3369
11,-0.42764,-7856.39,-0.841779,-0.500028,-3.16311,500,-8359.13,502.741,83.8724,240.121,-9152.34,469.21,418.399,84.3411
