step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.71221,-7875.63,0,0.640577,0.733642,500,-8377.3,501.673,76.0205,208.578,-9135.48,473.58,418.631,83.0417
1,0.709089,-7875.62,0.0125694,0.637374,0.683364,500,-8377.3,501.686,76.0205,208.578,-9135.48,473.58,418.644,83.0417
2,0.705886,-7875.63,-0.00621305,0.634171,0.574984,500,-8377.3,501.667,76.0205,208.578,-9135.48,473.58,418.625,83.0417
3,0.702683,-7875.63,-0.00435364,0.630968,0.586252,500,-8377.3,501.669,76.0205,208.578,-9135.48,473.58,418.627,83.0417
4,0.69948,-7875.61,0.0179419,0.627765,0.476773,500,-8377.3,501.691,76.0205,208.578,-9135.48,473.58,418.649,83.0417
5,0.696278,-7875.61,0.0194931,0.624563,0.49198,500,-8377.3,501.692,76.0205,208.578,-9135.48,473.58,418.651,83.0417
6,0.693075,-7875.59,0.0414907,0.62136,0.352428,500,-8377.3,501.714,76.0205,208.578,-9135.48,473.58,418.673,83.0417
7,0.689872,-7875.59,0.0423188,0.618157,0.223485,500,-8377.3,501.715,76.0205,208.578,-9135.48,473.58,418.674,83.0417
8,0.686669,-7875.57,0.0560408,0.614954,0.123948,500,-8377.3,501.729,76.0205,208.578,-9135.48,473.58,418.687,83.0417
9,0.683466,-7875.56,0.069425,0.611751,0.0289459,500,-8377.3,501.742,76.0205,208.578,-9135.48,473.58,418.701,83.0417
10,0.680263,-7875.53,0.100306,0.608548,-0.130873,500,-8377.3,501.773,76.0205,208.578,-9135.48,473.58,418.732,83.0417
11,0.67706,-7875.52,0.11028,0.605345,-0.195516,500,-8377.3,501.783,76.0205,208.578,-9135.48,473.58,418.742,83.0417
12,0.673857,-7875.5,0.130139,0.602142,-0.285015,500,-8377.3,501.803,76.0205,208.578,-9135.48,473.58,418.761,83.0417
13,0.670655,-7875.49,0.13956,0.598939,-0.307454,500,-8377.3,501.813,76.0205,208.578,-9135.48,473.58,418.771,83.0417
14,0.667452,-7875.49,0.138648,0.595737,-0.262082,500,-8377.3,501.812,76.0205,208.578,-9135.48,473.58,418.77,83.0417
15,0.664249,-7875.49,0.137882,0.592534,-0.21665,500,-8377.3,501.811,76.0205,208.578,-9135.48,473.58,418.769,83.0417
16,0.661046,-7875.48,0.147454,0.589331,-0.237658,500,-8377.3,501.82,76.0205,208.578,-9135.48,473.58,418.779,83.0417
17,0.657843,-7875.48,0.146768,0.586128,-0.190784,500,-8377.3,501.82,76.0205,208.578,-9135.48,473.58,418.778,83.0417
18,0.65464,-7875.47,0.15655,0.582925,-0.201148,500,-8377.3,501.83,76.0205,208.578,-9135.48,473.58,418.788,83.0417
19,0.651437,-7875.47,0.155983,0.579722,-0.153325,500,-8377.3,501.829,76.0205,208.578,-9135.48,473.58,418.787,83.0417
20,0.648234,-7875.47,0.155568,0.576519,-0.105419,500,-8377.3,501.829,76.0205,208.578,-9135.48,473.58,418.787,83.0417
21,0.645031,-7875.47,0.155307,0.573316,-0.0574215,500,-8377.3,501.828,76.0205,208.578,-9135.48,473.58,418.787,83.0417
22,0.641829,-7875.47,0.1552,0.570114,-0.00932574,500,-8377.3,501.828,76.0205,208.578,-9135.48,473.58,418.786,83.0417
23,0.638626,-7875.47,0.155248,0.566911,0.038878,500,-8377.3,501.828,76.0205,208.578,-9135.48,473.58,418.787,83.0417
