step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568944,-7875.63,0,-0.640577,-0.733642,500,-8377.3,501.673,76.0205,208.578,-9135.48,473.58,418.631,83.0417
1,-0.565659,-7875.63,-0.0023965,-0.637374,-0.724418,500,-8377.3,501.671,76.0205,208.578,-9135.48,473.58,418.629,83.0417
2,-0.562456,-7875.64,-0.0151458,-0.634171,-0.775953,500,-8377.3,501.658,76.0205,208.578,-9135.48,473.58,418.616,83.0417
3,-0.559253,-7875.64,-0.00732973,-0.630968,-0.832034,500,-8377.3,501.666,76.0205,208.578,-9135.48,473.58,418.624,83.0417
4,-0.55605,-7875.63,0.000317605,-0.627765,-0.888189,500,-8377.3,501.673,76.0205,208.578,-9135.48,473.58,418.632,83.0417
5,-0.552848,-7875.62,0.00773764,-0.624563,-0.945455,500,-8377.3,501.681,76.0205,208.578,-9135.48,473.58,418.639,83.0417
6,-0.549645,-7875.62,0.00471817,-0.62136,-0.940258,500,-8377.3,501.678,76.0205,208.578,-9135.48,473.58,418.636,83.0417
7,-0.546442,-7875.63,0.00171311,-0.618157,-0.936421,500,-8377.3,501.675,76.0205,208.578,-9135.48,473.58,418.633,83.0417
8,-0.543239,-7875.63,-0.00128184,-0.614954,-0.933992,500,-8377.3,501.672,76.0205,208.578,-9135.48,473.58,418.63,83.0417
9,-0.540036,-7875.63,-0.00427139,-0.611751,-0.933023,500,-8377.3,501.669,76.0205,208.578,-9135.48,473.58,418.627,83.0417
10,-0.536833,-7875.64,-0.010418,-0.608548,-1.10736,500,-8377.3,501.663,76.0205,208.578,-9135.48,473.58,418.621,83.0417
11,-0.53363,-7875.62,0.0066816,-0.605345,-1.24433,500,-8377.3,501.68,76.0205,208.578,-9135.48,473.58,418.638,83.0417
12,-0.530427,-7875.63,-0.000450373,-0.602142,-1.42117,500,-8377.3,501.673,76.0205,208.578,-9135.48,473.58,418.631,83.0417
13,-0.527224,-7875.63,-0.00501233,-0.598939,-1.42778,500,-8377.3,501.668,76.0205,208.578,-9135.48,473.58,418.626,83.0417
14,-0.524022,-7875.62,0.0109156,-0.595737,-1.57146,500,-8377.3,501.684,76.0205,208.578,-9135.48,473.58,418.642,83.0417
15,-0.520819,-7875.62,0.00587007,-0.592534,-1.57947,500,-8377.3,501.679,76.0205,208.578,-9135.48,473.58,418.637,83.0417
16,-0.517616,-7875.63,0.000795504,-0.589331,-1.58967,500,-8377.3,501.674,76.0205,208.578,-9135.48,473.58,418.632,83.0417
17,-0.514413,-7875.64,-0.0147127,-0.586128,-1.67579,500,-8377.3,501.658,76.0205,208.578,-9135.48,473.58,418.617,83.0417
18,-0.51121,-7875.64,-0.00978359,-0.582925,-1.74978,500,-8377.3,501.663,76.0205,208.578,-9135.48,473.58,418.621,83.0417
19,-0.508007,-7875.64,-0.0154164,-0.579722,-1.76794,500,-8377.3,501.658,76.0205,208.578,-9135.48,473.58,418.616,83.0417
20,-0.504804,-7875.65,-0.0211113,-0.576519,-1.78866,500,-8377.3,501.652,76.0205,208.578,-9135.48,473.58,418.61,83.0417
21,-0.501601,-7875.67,-0.0373186,-0.573316,-1.88405,500,-8377.3,501.636,76.0205,208.578,-9135.48,473.58,418.594,83.0417
22,-0.498399,-7875.66,-0.0331285,-0.570114,-1.97091,500,-8377.3,501.64,76.0205,208.578,-9135.48,473.58,418.598,83.0417
