step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
0,0.00458051,-3541.44,-3541.43,1,0,-0.0889759,-0.716763,783.164,0,0.000391582
5e-015,63.0055,-3963.88,-3853.87,0,0,-0.0889768,0.713534,783.156,0.00391581,0.00430739
1e-014,99.3214,-4120.08,-3946.66,1,0,-0.0889772,-0.713246,783.129,0.00783153,0.0082231
1.5e-014,128.166,-4362.3,-4138.52,0,0,-0.0889717,0.70673,783.085,0.0117471,0.0121386
2e-014,151.07,-4583.04,-4319.27,0,0,-0.0889545,0.706783,783.024,0.0156624,0.0160539
2.5e-014,167.548,-4782.88,-4490.33,1,0,-0.0889219,-0.702023,782.945,0.0195773,0.0199688
3e-014,177.395,-4982.06,-4672.32,0,0,-0.0888734,0.701725,782.849,0.0234918,0.0238833
3.5e-014,186.439,-5184.37,-4858.84,1,0,-0.0888109,-0.696737,782.735,0.0274057,0.0277972
4e-014,191.639,-5374.43,-5039.82,1,0,-0.0887337,-0.696643,782.604,0.0313191,0.0317105
4.5e-014,192.524,-5555.81,-5219.65,0,0,-0.0886347,0.692797,782.455,0.0352318,0.0356232
5e-014,191.259,-5732.19,-5398.24,1,0,-0.0885003,-0.691935,782.288,0.0391436,0.039535
5.5e-014,192.138,-5901.56,-5566.08,0,0,-0.088315,0.688658,782.105,0.0430546,0.0434459
6e-014,190.578,-6063.68,-5730.92,1,0,-0.0880747,-0.687486,781.903,0.0469646,0.0473559
6.5e-014,185.783,-6218.09,-5893.71,0,0,-0.0878059,0.684704,781.684,0.0508736,0.0512648
7e-014,176.456,-6359.89,-6051.79,1,0,-0.0875707,-0.683045,781.448,0.0547814,0.0551726
7.5e-014,164.559,-6487.89,-6200.56,0,0,-0.0874434,0.68089,781.194,0.0586881,0.0590791
8e-014,154.041,-6608.12,-6339.15,1,0,-0.0874693,-0.678837,780.923,0.0625934,0.0629844
8.5e-014,143.881,-6719.53,-6468.31,0,0,-0.087641,0.677339,780.634,0.0664973,0.0668882
9e-014,132.95,-6819.85,-6587.72,1,0,-0.0879138,-0.674849,780.328,0.0703997,0.0707905
9.5e-014,122.484,-6912.06,-6698.19,0,0,-0.0882418,0.674024,780.004,0.0743005,0.0746913
1e-013,112.047,-6995.76,-6800.12,1,0,-0.0886013,-0.671061,779.663,0.0781997,0.0785904
1.05e-013,105.236,-7071.45,-6887.7,0,0,-0.0889924,0.67088,779.304,0.0820971,0.0824877
1.1e-013,97.9702,-7141.26,-6970.2,1,0,-0.0894269,-0.667391,778.928,0.0859927,0.0863832
1.15e-013,90.3341,-7204.6,-7046.88,1,0,-0.0899146,-0.66724,778.535,0.0898864,0.0902768
1.2e-013,82.9186,-7262.43,-7117.65,0,0,-0.0904602,0.664696,778.124,0.093778,0.0941683
1.25e-013,75.9026,-7315.5,-7182.97,1,0,-0.0910573,-0.663692,777.696,0.0976676,0.0980578
1.3e-013,69.6745,-7363.63,-7241.98,0,0,-0.0916919,0.661879,777.25,0.101555,0.101945
1.35e-013,64.3858,-7407.07,-7294.65,1,0,-0.0923492,-0.660377,776.787,0.10544,0.10583
1.4e-013,60.1177,-7445.85,-7340.88,0,0,-0.0930198,0.659433,776.306,0.109323,0.109713
1.45e-013,56.3522,-7479.89,-7381.5,1,0,-0.0936983,-0.6575,775.809,0.113203,0.113593
1.5e-013,52.6886,-7509.7,-7417.7,1,0,-0.0943794,-0.657325,775.294,0.117081,0.11747
1.55e-013,52.1581,-7536.27,-7445.2,0,0,-0.0950665,0.655306,774.761,0.120956,0.121345
1.6e-013,50.5615,-7560.86,-7472.58,1,0,-0.0957599,-0.654608,774.211,0.124828,0.125218
1.65e-013,48.3921,-7584.03,-7499.54,0,0,-0.0964449,0.653286,773.644,0.128698,0.129087
1.7e-013,46.1483,-7605.23,-7524.65,1,0,-0.0971092,-0.651804,773.06,0.132565,0.132954
1.75e-013,43.9709,-7624,-7547.23,0,0,-0.0977426,0.651404,772.458,0.136429,0.136818
1.8e-013,41.8129,-7640.34,-7567.33,1,0,-0.0983357,-0.649155,771.839,0.140289,0.140678
1.85e-013,39.5867,-7654.15,-7585.03,1,0,-0.0988793,-0.648916,771.202,0.144147,0.144536
1.9e-013,37.3666,-7666.48,-7601.24,0,0,-0.0993638,0.647888,770.549,0.148001,0.14839
1.95e-013,35.3114,-7678.18,-7616.52,1,0,-0.0997796,-0.64632,769.878,0.151852,0.152241
2e-013,33.561,-7689.18,-7630.58,1,0,-0.100117,-0.64604,769.19,0.1557,0.156088
2.05e-013,35.016,-7696.82,-7635.68,0,0,-0.100372,0.644825,768.485,0.159544,0.159932
2.1e-013,35.3467,-7702.85,-7641.13,1,0,-0.100534,-0.643522,767.762,0.163385,0.163773
2.15e-013,34.3852,-7705.35,-7645.31,1,0,-0.100578,-0.643155,767.023,0.167222,0.167609
2.2e-013,32.4684,-7704.83,-7648.14,0,0,-0.100473,0.64238,766.266,0.171055,0.171443
2.25e-013,30.2291,-7700.29,-7647.51,1,0,-0.100181,-0.640799,765.492,0.174885,0.175272
