step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.56945,-8936.24,0,-0.639916,-0.0951566,101,-9582.38,646.148,90.5203,201.571,-10315.2,440.731,463.971,182.177
1,-0.556634,-8936.2,0.0396409,-0.627118,-0.16256,101,-9582.38,646.187,90.5203,201.571,-10315.2,440.731,464.011,182.177
2,-0.543836,-8936.23,0.00662207,-0.614319,-0.195656,101,-9582.38,646.154,90.5203,201.571,-10315.2,440.731,463.978,182.177
3,-0.531038,-8936.26,-0.0279205,-0.601521,-0.228874,101,-9582.38,646.12,90.5203,201.571,-10315.2,440.731,463.943,182.177
4,-0.518239,-8936.27,-0.0303,-0.588723,-0.150708,101,-9582.38,646.117,90.5203,201.571,-10315.2,440.731,463.941,182.177
5,-0.505441,-8936.27,-0.0351832,-0.575924,-0.251419,101,-9582.38,646.113,90.5203,201.571,-10315.2,440.731,463.936,182.177
6,-0.492643,-8936.29,-0.0544377,-0.563126,-0.789336,101,-9582.38,646.093,90.5203,201.571,-10315.2,440.731,463.917,182.177
7,-0.479844,-8936.31,-0.0765983,-0.550328,-0.982309,101,-9582.38,646.071,90.5203,201.571,-10315.2,440.731,463.894,182.177
8,-0.467046,-8936.31,-0.0697191,-0.537529,-1.26037,101,-9582.38,646.078,90.5203,201.571,-10315.2,440.731,463.901,182.177
9,-0.454248,-8936.32,-0.0871453,-0.524731,-1.55226,101,-9582.38,646.061,90.5203,201.571,-10315.2,440.731,463.884,182.177
10,-0.441449,-8936.35,-0.110956,-0.511933,-2.17957,101,-9582.38,646.037,90.5203,201.571,-10315.2,440.731,463.86,182.177
11,-0.428651,-8936.38,-0.140217,-0.499134,-2.39511,101,-9582.38,646.008,90.5203,201.571,-10315.2,440.731,463.831,182.177
12,-0.415853,-8936.4,-0.162799,-0.486336,-2.69843,101,-9582.38,645.985,90.5203,201.571,-10315.2,440.731,463.808,182.177
13,-0.403054,-8936.45,-0.209149,-0.473538,-2.98135,101,-9582.38,645.939,90.5203,201.571,-10315.2,440.731,463.762,182.177
14,-0.390256,-8936.48,-0.240399,-0.46074,-3.42592,101,-9582.38,645.907,90.5203,201.571,-10315.2,440.731,463.731,182.177
15,-0.377458,-8936.53,-0.296823,-0.447941,-3.82528,101,-9582.38,645.851,90.5203,201.571,-10315.2,440.731,463.674,182.177
16,-0.364659,-8936.6,-0.35814,-0.435143,-4.12729,101,-9582.38,645.79,90.5203,201.571,-10315.2,440.731,463.613,182.177
17,-0.351861,-8936.64,-0.404166,-0.422345,-4.70685,101,-9582.38,645.744,90.5203,201.571,-10315.2,440.731,463.567,182.177
18,-0.339063,-8936.71,-0.477634,-0.409546,-5.08123,101,-9582.38,645.67,90.5203,201.571,-10315.2,440.731,463.493,182.177
19,-0.326264,-8936.76,-0.523961,-0.396748,-5.45718,101,-9582.38,645.624,90.5203,201.571,-10315.2,440.731,463.447,182.177
20,-0.313466,-8936.84,-0.605098,-0.38395,-5.63765,101,-9582.38,645.543,90.5203,201.571,-10315.2,440.731,463.366,182.177
