step,T,Epot,Efull,NThroughZNThroughKlap
0,0.00269033,-8122.73,-8122.72,
10,3.25559,-8140.14,-8133.36,
20,5.34538,-8155.25,-8144.12,
30,6.5096,-8172.35,-8158.79,
40,7.55058,-8187.91,-8172.18,
50,8.36276,-8201.13,-8183.71,
60,8.71623,-8214.33,-8196.18,
70,8.57141,-8226.14,-8208.28,
80,7.61727,-8235.16,-8219.3,
90,6.73896,-8243.43,-8229.39,
100,6.18805,-8252.23,-8239.34,
110,7.29714,-8260.24,-8245.04,
120,7.71945,-8267.16,-8251.08,
130,7.78737,-8274.49,-8258.27,
140,7.89592,-8281.12,-8264.67,
150,7.93714,-8286.21,-8269.68,
160,7.87927,-8290.35,-8273.94,
170,7.75189,-8294.07,-8277.93,
180,7.53435,-8297.66,-8281.96,
190,7.21339,-8301.98,-8286.96,
200,7.00937,-8306.86,-8292.26,
210,8.81295,-8311.33,-8292.98,
220,10.427,-8316.33,-8294.61,
230,11.6183,-8321.48,-8297.28,
240,12.5736,-8327.82,-8301.63,
250,13.6435,-8335.49,-8307.08,
260,14.8875,-8343.8,-8312.79,
270,16.2723,-8351.26,-8317.37,
280,17.7327,-8359.67,-8322.74,
290,19.5817,-8369.32,-8328.54,
300,20.8208,-8378.45,-8335.08,
310,25.3001,-8395.26,-8342.57,
320,28.8264,-8409.05,-8349.02,
330,31.5028,-8424.57,-8358.96,
340,33.4359,-8439.98,-8370.34,
350,34.4984,-8455.49,-8383.64,
360,34.9289,-8470.97,-8398.23,
370,34.2755,-8484.25,-8412.86,
380,34.1673,-8499.7,-8428.53,
390,33.6854,-8513.34,-8443.18,
400,33.2987,-8527.94,-8458.58,
410,34.9217,-8541.66,-8468.93,
420,35.9622,-8554.47,-8479.57,
430,36.8258,-8568.3,-8491.6,
440,37.4872,-8581.56,-8503.48,
450,37.9686,-8594.27,-8515.19,
460,38.187,-8606.82,-8527.29,
470,38.2618,-8619.53,-8539.83,
480,38.2286,-8632.18,-8552.56,
490,38.1445,-8644.35,-8564.9,
500,38.0251,-8656.42,-8577.23,
510,39.8512,-8668.28,-8585.28,
520,41.0589,-8680.21,-8594.69,
530,41.8239,-8691.66,-8604.55,
540,42.269,-8702.57,-8614.54,
550,42.4594,-8713.28,-8624.85,
560,42.4504,-8723.98,-8635.56,
570,42.3132,-8734.03,-8645.91,
