step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,
0,0.00313161,-8153.4,-8153.39,-1,0,-0.106673,
5e-015,2.41696,-8168.85,-8164.09,-1,0,-0.106678,
1e-014,9.52007,-8207.48,-8188.72,-1,0,-0.106684,
1.5e-014,6.16817,-8222.96,-8210.81,-1,0,-0.106681,
2e-014,10.3575,-8242.2,-8221.79,-1,0,-0.106674,
2.5e-014,11.0367,-8257.63,-8235.89,-1,0,-0.106678,
3e-014,12.9211,-8271.36,-8245.89,-1,0,-0.106718,
3.5e-014,13.2258,-8282.02,-8255.96,-1,0,-0.106839,
4e-014,12.5336,-8291.14,-8266.45,-1,0,-0.107095,
4.5e-014,12.962,-8304.37,-8278.83,-1,0,-0.107479,
5e-014,11.1453,-8309.78,-8287.81,-1,0,-0.107821,
5.5e-014,12.6245,-8316.36,-8291.48,-1,0,-0.107886,
6e-014,12.0166,-8320.23,-8296.56,-1,0,-0.107657,
6.5e-014,13.3524,-8329.73,-8303.42,-1,0,-0.107477,
7e-014,13.196,-8335.53,-8309.53,-1,0,-0.107644,
7.5e-014,13.7611,-8343.99,-8316.88,-1,0,-0.107943,
8e-014,13.5669,-8350.31,-8323.58,-1,0,-0.107969,
8.5e-014,13.0393,-8356.04,-8330.35,-1,0,-0.107773,
9e-014,12.7368,-8361.91,-8336.81,-1,0,-0.107698,
9.5e-014,12.5193,-8367.55,-8342.88,-1,0,-0.107726,
1e-013,11.8516,-8371.97,-8348.62,-1,0,-0.107594,
1.05e-013,13.1925,-8376.25,-8350.25,-1,0,-0.107433,
1.1e-013,14.6587,-8381.95,-8353.06,-1,0,-0.107646,
1.15e-013,15.2856,-8386.95,-8356.83,-1,0,-0.108166,
1.2e-013,15.7404,-8391.46,-8360.45,-1,0,-0.108524,
1.25e-013,15.8763,-8395.72,-8364.43,-1,0,-0.108662,
1.3e-013,16.1667,-8400.6,-8368.74,-1,0,-0.108913,
1.35e-013,15.4439,-8402.91,-8372.48,-1,0,-0.109265,
1.4e-013,15.3144,-8406.2,-8376.02,-1,0,-0.109445,
1.45e-013,14.478,-8407.53,-8379,-1,0,-0.109567,
1.5e-013,14.18,-8409.5,-8381.56,-1,0,-0.10993,
1.55e-013,15.0036,-8409.74,-8380.18,-1,0,-0.110374,
1.6e-013,15.9005,-8410.72,-8379.39,-1,0,-0.110507,
1.65e-013,15.8805,-8410.16,-8378.87,-1,0,-0.110394,
1.7e-013,16.2755,-8410.55,-8378.48,-1,0,-0.110371,
1.75e-013,15.7715,-8408.84,-8377.76,-1,0,-0.110387,
1.8e-013,15.7085,-8407.97,-8377.01,-1,0,-0.110218,
1.85e-013,15.3853,-8406.28,-8375.96,-1,0,-0.110021,
1.9e-013,15.2208,-8405.05,-8375.06,-1,0,-0.110025,
1.95e-013,14.8363,-8403.36,-8374.12,-1,0,-0.110017,
2e-013,15.1899,-8403.22,-8373.29,-1,0,-0.109679,
2.05e-013,16.9474,-8401.18,-8367.78,-1,0,-0.109113,
2.1e-013,18.0559,-8398.51,-8362.93,-1,0,-0.108624,
2.15e-013,18.5099,-8395.66,-8359.18,-1,0,-0.108219,
2.2e-013,19.1849,-8393.18,-8355.37,-1,0,-0.107682,
2.25e-013,19.026,-8389.81,-8352.31,-1,0,-0.106984,
2.3e-013,19.2759,-8386.94,-8348.96,-1,0,-0.106271,
2.35e-013,19.2815,-8383.3,-8345.31,-1,0,-0.105549,
2.4e-013,19.4963,-8380.48,-8342.07,-1,0,-0.104638,
2.45e-013,19.6433,-8377.48,-8338.77,-1,0,-0.103475,
2.5e-013,19.8394,-8375.16,-8336.07,-1,0,-0.102294,
2.55e-013,22.136,-8372.72,-8329.1,-1,0,-0.101312,
2.6e-013,23.7944,-8370.71,-8323.82,-1,0,-0.100375,
2.65e-013,25.2903,-8369.32,-8319.48,-1,0,-0.0991964,
2.7e-013,25.8804,-8367.55,-8316.55,-1,0,-0.0978488,
2.75e-013,26.7822,-8365.98,-8313.2,-1,0,-0.0966088,
2.8e-013,26.854,-8363.67,-8310.75,-1,0,-0.0953904,
2.85e-013,27.1714,-8361.71,-8308.16,-1,0,-0.0939324,
2.9e-013,26.9378,-8359.15,-8306.07,-1,0,-0.0923897,
