step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v_theor,v_pract
0,0.00386389,-8100.42,-8100.41,0,0,-0.183082,0,-0.641295,0
5e-015,2.67483,-8115.57,-8110.43,0,0,-0.183143,2.11629,-0.64129,5.81981e-006
1e-014,9.09857,-8146.01,-8128.53,0,0,-0.183248,4.23255,-0.641274,2.2221e-005
1.5e-014,6.53965,-8169,-8156.44,0,0,-0.18329,6.34873,-0.641248,4.92033e-005
2e-014,8.95238,-8188.9,-8171.71,0,0,-0.183314,8.46481,-0.641211,8.67662e-005
2.5e-014,12.6371,-8205.15,-8180.88,0,0,-0.183406,10.5808,-0.641163,0.000134909
3e-014,15.7871,-8221.8,-8191.48,0,0,-0.183552,12.6965,-0.641105,0.000193631
3.5e-014,18.0839,-8241.15,-8206.42,0,0,-0.183703,14.8121,-0.641036,0.000262932
4e-014,18.8166,-8257.21,-8221.07,0,0,-0.183898,16.9274,-0.640957,0.000342809
4.5e-014,18.9173,-8272.29,-8235.95,0,0,-0.18419,19.0424,-0.640867,0.000433263
5e-014,17.8856,-8285.05,-8250.7,0,0,-0.184487,21.1571,-0.640766,0.000534291
5.5e-014,18.676,-8296.8,-8260.93,0,0,-0.184619,23.2715,-0.640655,0.000645891
6e-014,18.1636,-8305.74,-8270.85,0,0,-0.184575,25.3855,-0.640534,0.000768062
6.5e-014,17.1559,-8313.87,-8280.92,0,0,-0.184583,27.4991,-0.640401,0.000900802
7e-014,16.0165,-8320.68,-8289.92,0,0,-0.184826,29.6122,-0.640259,0.00104411
7.5e-014,14.8686,-8326.35,-8297.79,0,0,-0.185176,31.7248,-0.640105,0.00119798
8e-014,13.933,-8332.07,-8305.31,0,0,-0.1854,33.8369,-0.639941,0.00136241
8.5e-014,12.9523,-8336.09,-8311.21,0,0,-0.185506,35.9485,-0.639767,0.0015374
9e-014,12.5135,-8341.12,-8317.09,0,0,-0.185678,38.0594,-0.639582,0.00172295
9.5e-014,12.5183,-8347.17,-8323.12,0,0,-0.185945,40.1697,-0.639386,0.00191905
1e-013,12.3564,-8352.69,-8328.96,0,0,-0.186177,42.2794,-0.63918,0.0021257
1.05e-013,14.3678,-8358.69,-8331.09,0,0,-0.186352,44.3883,-0.638964,0.0023429
1.1e-013,15.9391,-8365.14,-8334.53,0,0,-0.186583,46.4966,-0.638736,0.00257064
1.15e-013,16.742,-8371.11,-8338.96,0,0,-0.186892,48.604,-0.638499,0.00280892
1.2e-013,17.4691,-8377.45,-8343.9,0,0,-0.187194,50.7107,-0.63825,0.00305773
1.25e-013,17.6578,-8383.26,-8349.34,0,0,-0.187466,52.8165,-0.637992,0.00331708
1.3e-013,17.6641,-8388.36,-8354.43,0,0,-0.187737,54.9215,-0.637722,0.00358695
1.35e-013,17.424,-8393.35,-8359.89,0,0,-0.187967,57.0255,-0.637442,0.00386734
1.4e-013,17.1576,-8398,-8365.04,0,0,-0.188124,59.1286,-0.637152,0.00415825
1.45e-013,16.8274,-8402.41,-8370.09,0,0,-0.188305,61.2308,-0.636851,0.00445968
1.5e-013,16.5924,-8406.52,-8374.65,0,0,-0.188593,63.3319,-0.63654,0.00477161
1.55e-013,18.2117,-8410.42,-8375.44,0,0,-0.188891,65.4319,-0.636218,0.00509405
1.6e-013,19.3894,-8414.63,-8377.39,0,0,-0.189056,67.5309,-0.635885,0.00542698
1.65e-013,20.2587,-8418.76,-8379.85,0,0,-0.189129,69.6288,-0.635542,0.0057704
1.7e-013,20.9119,-8422.76,-8382.6,0,0,-0.189269,71.7256,-0.635189,0.00612431
1.75e-013,21.3187,-8426.41,-8385.47,0,0,-0.189496,73.8211,-0.634825,0.0064887
1.8e-013,21.5166,-8429.93,-8388.6,0,0,-0.189699,75.9154,-0.634451,0.00686357
1.85e-013,21.5387,-8433.26,-8391.89,0,0,-0.189838,78.0085,-0.634066,0.0072489
1.9e-013,21.3473,-8436.08,-8395.08,0,0,-0.18998,80.1003,-0.633671,0.0076447
1.95e-013,21.1016,-8438.69,-8398.16,0,0,-0.190156,82.1908,-0.633265,0.00805095
2e-013,20.9666,-8440.76,-8400.49,0,0,-0.190318,84.2799,-0.632849,0.00846765
2.05e-013,22.672,-8443.07,-8399.53,0,0,-0.190436,86.3676,-0.632422,0.00889479
2.1e-013,23.7833,-8445.13,-8399.45,0,0,-0.190552,88.4539,-0.631985,0.00933237
2.15e-013,24.4598,-8446.9,-8399.92,0,0,-0.190703,90.5387,-0.631538,0.00978037
2.2e-013,24.9473,-8448.97,-8401.05,0,0,-0.190864,92.6221,-0.63108,0.0102388
2.25e-013,25.3597,-8451.27,-8402.56,0,0,-0.191007,94.7039,-0.630611,0.0107076
2.3e-013,25.6794,-8453.53,-8404.21,0,0,-0.191155,96.7841,-0.630133,0.0111869
2.35e-013,25.8797,-8455.42,-8405.72,0,0,-0.191326,98.8628,-0.629644,0.0116765
2.4e-013,25.972,-8457.53,-8407.65,0,0,-0.191472,100.94,-0.629144,0.0121765
2.45e-013,26.0175,-8459.77,-8409.8,0,0,-0.191568,103.015,-0.628634,0.0126869
2.5e-013,25.9742,-8461.74,-8411.85,0,0,-0.191687,105.089,-0.628114,0.0132077
2.55e-013,27.7583,-8463.04,-8409.72,0,0,-0.191891,107.161,-0.627583,0.0137389
2.6e-013,28.8598,-8464.49,-8409.06,0,0,-0.192109,109.231,-0.627042,0.0142804
2.65e-013,29.5214,-8465.67,-8408.97,0,0,-0.192239,111.299,-0.626491,0.0148322
2.7e-013,29.9265,-8466.59,-8409.11,0,0,-0.192311,113.366,-0.625929,0.0153944
2.75e-013,30.1463,-8467.78,-8409.88,0,0,-0.192397,115.43,-0.625357,0.0159669
2.8e-013,30.304,-8468.87,-8410.67,0,0,-0.192478,117.493,-0.624775,0.0165497
2.85e-013,30.449,-8470.18,-8411.7,0,0,-0.192506,119.554,-0.624182,0.0171428
2.9e-013,30.6547,-8471.49,-8412.61,0,0,-0.192502,121.613,-0.62358,0.0177463
2.95e-013,30.8119,-8473.33,-8414.15,0,0,-0.192492,123.67,-0.622966,0.01836
3e-013,30.9363,-8474.87,-8415.45,0,0,-0.192448,125.724,-0.622343,0.018984
3.05e-013,32.9619,-8476.93,-8413.62,0,0,-0.192352,127.777,-0.621709,0.0196183
3.1e-013,34.3862,-8478.85,-8412.8,0,0,-0.192218,129.828,-0.621065,0.0202628
3.15e-013,35.3166,-8480.88,-8413.05,0,0,-0.192027,131.876,-0.620411,0.0209176
3.2e-013,35.6998,-8482.34,-8413.78,0,0,-0.191752,133.922,-0.619746,0.0215826
3.25e-013,36.0057,-8484.42,-8415.27,0,0,-0.191448,135.967,-0.619072,0.0222578
