step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
0,0.00386377,-8100.42,-8100.41,0,0,-0.183082,0,-0.523616
5e-015,2.67323,-8115.57,-8110.43,0,0,-0.183143,1.15196,-0.523613
1e-014,9.073,-8145.96,-8128.54,0,0,-0.183248,2.30391,-0.523604
1.5e-014,6.33546,-8168.4,-8156.23,0,0,-0.18329,3.45584,-0.52359
2e-014,8.21649,-8186.54,-8170.76,0,0,-0.183314,4.60773,-0.523569
2.5e-014,10.9659,-8200.11,-8179.05,0,0,-0.183406,5.75957,-0.523544
3e-014,13.0341,-8213.17,-8188.13,0,0,-0.18355,6.91134,-0.523512
3.5e-014,14.2359,-8227.91,-8200.57,0,0,-0.183699,8.06304,-0.523474
4e-014,14.0812,-8239.23,-8212.18,0,0,-0.183891,9.21465,-0.523431
4.5e-014,13.6333,-8249.25,-8223.06,0,0,-0.184177,10.3662,-0.523382
5e-014,12.4254,-8257.41,-8233.55,0,0,-0.184466,11.5175,-0.523328
5.5e-014,12.6777,-8265.55,-8241.21,0,0,-0.184585,12.6688,-0.523267
6e-014,12.072,-8271.61,-8248.43,0,0,-0.184525,13.8199,-0.523201
6.5e-014,11.2913,-8276.65,-8254.97,0,0,-0.184514,14.9709,-0.523129
7e-014,10.5405,-8281.65,-8261.4,0,0,-0.184733,16.1217,-0.523051
7.5e-014,9.81317,-8285.57,-8266.73,0,0,-0.185055,17.2724,-0.522968
8e-014,9.2413,-8289.43,-8271.68,0,0,-0.185247,18.4228,-0.522878
8.5e-014,8.50435,-8292.35,-8276.01,0,0,-0.185316,19.573,-0.522783
9e-014,8.16131,-8296.03,-8280.36,0,0,-0.185449,20.7231,-0.522683
9.5e-014,8.11579,-8299.83,-8284.24,0,0,-0.185679,21.8729,-0.522576
1e-013,7.77434,-8302.48,-8287.55,0,0,-0.185875,23.0224,-0.522464
1.05e-013,8.84927,-8305.42,-8288.43,0,0,-0.186016,24.1717,-0.522346
1.1e-013,9.63244,-8308.94,-8290.44,0,0,-0.186214,25.3208,-0.522222
1.15e-013,9.75371,-8311.69,-8292.95,0,0,-0.186495,26.4695,-0.522093
1.2e-013,9.9524,-8314.58,-8295.47,0,0,-0.186776,27.618,-0.521958
1.25e-013,9.70632,-8316.34,-8297.7,0,0,-0.187028,28.7662,-0.521817
1.3e-013,9.39378,-8318,-8299.95,0,0,-0.18728,29.914,-0.52167
1.35e-013,8.92753,-8318.97,-8301.82,0,0,-0.187487,31.0615,-0.521517
1.4e-013,8.50552,-8319.45,-8303.11,0,0,-0.187617,32.2087,-0.521359
1.45e-013,8.07308,-8319.75,-8304.24,0,0,-0.187777,33.3555,-0.521195
1.5e-013,7.79145,-8319.79,-8304.83,0,0,-0.18806,34.502,-0.521026
1.55e-013,8.59372,-8319.61,-8303.11,0,0,-0.188353,35.6481,-0.52085
1.6e-013,9.11632,-8319.76,-8302.25,0,0,-0.188486,36.7937,-0.520669
