step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
0,0.00386389,-8100.42,-8100.41,0,0,-0.183082,0.456256,2.12549,0,1.06275e-006
5e-015,2.67483,-8115.57,-8110.43,0,0,-0.183143,0.456254,2.12549,0,1.16902e-005
1e-014,9.09857,-8146.01,-8128.53,0,0,-0.183248,0.456246,2.12549,0,2.23176e-005
1.5e-014,6.53965,-8169,-8156.44,0,0,-0.18329,0.456234,2.12549,0,3.29451e-005
2e-014,8.95238,-8188.9,-8171.71,0,0,-0.183314,0.456217,2.12549,0,4.35725e-005
2.5e-014,12.6371,-8205.15,-8180.88,0,0,-0.183406,0.456197,2.12549,0,5.42e-005
3e-014,15.7871,-8221.8,-8191.48,0,0,-0.183552,0.456175,2.12549,0,6.48275e-005
3.5e-014,18.0839,-8241.15,-8206.42,0,0,-0.183703,0.45615,2.12549,0,7.54549e-005
4e-014,18.8166,-8257.21,-8221.07,0,0,-0.183898,0.456124,2.12549,0,8.60824e-005
4.5e-014,18.9173,-8272.29,-8235.95,0,0,-0.18419,0.456096,2.12549,0,9.67098e-005
5e-014,17.8856,-8285.05,-8250.7,0,0,-0.184487,0.456069,2.12549,0,0.000107337
5.5e-014,17.6515,-8296.7,-8262.79,0,0,-0.184617,0.45604,2.12549,0,0.000117965
6e-014,16.4295,-8305.47,-8273.91,0,0,-0.18457,0.456011,2.12549,0,0.000128592
6.5e-014,14.9541,-8313.36,-8284.64,0,0,-0.184575,0.45598,2.12549,0,0.00013922
7e-014,13.5412,-8319.98,-8293.97,0,0,-0.1848,0.455949,2.12549,0,0.000149847
7.5e-014,12.253,-8325.7,-8302.17,0,0,-0.185123,0.455918,2.12549,0,0.000160475
8e-014,11.2412,-8331.18,-8309.59,0,0,-0.185325,0.455885,2.12549,0,0.000171102
8.5e-014,10.25,-8335.72,-8316.03,0,0,-0.185417,0.455853,2.12549,0,0.000181729
9e-014,9.7277,-8340.53,-8321.85,0,0,-0.185568,0.455819,2.12549,0,0.000192357
9.5e-014,9.57433,-8345.69,-8327.3,0,0,-0.185802,0.455785,2.12549,0,0.000202984
1e-013,9.31077,-8350.59,-8332.71,0,0,-0.186003,0.455751,2.12549,0,0.000213612
1.05e-013,10.2075,-8356.14,-8336.53,0,0,-0.186154,0.455717,2.12549,0,0.000224239
1.1e-013,10.9379,-8361.76,-8340.76,0,0,-0.186349,0.455681,2.12549,0,0.000234867
1.15e-013,11.2387,-8367.17,-8345.58,0,0,-0.186606,0.455643,2.12549,0,0.000245494
1.2e-013,11.5518,-8372.51,-8350.32,0,0,-0.186856,0.455604,2.12549,0,0.000256122
1.25e-013,11.5735,-8377.36,-8355.13,0,0,-0.187082,0.455563,2.12549,0,0.000266749
1.3e-013,11.5037,-8382.2,-8360.1,0,0,-0.187308,0.455521,2.12549,0,0.000277376
1.35e-013,11.3033,-8386.58,-8364.87,0,0,-0.187502,0.455477,2.12549,0,0.000288004
1.4e-013,11.0886,-8390.63,-8369.33,0,0,-0.187643,0.455432,2.12549,0,0.000298631
1.45e-013,10.8403,-8394.54,-8373.72,0,0,-0.187805,0.455384,2.12549,0,0.000309259
1.5e-013,10.6417,-8398.76,-8378.32,0,0,-0.188046,0.455336,2.12549,0,0.000319886
1.55e-013,11.3869,-8403.02,-8381.15,0,0,-0.188295,0.455284,2.12549,0,0.000330514
1.6e-013,11.9239,-8407.25,-8384.34,0,0,-0.18845,0.455228,2.12549,0,0.000341141
1.65e-013,12.3235,-8411.74,-8388.07,0,0,-0.188544,0.45517,2.12549,0,0.000351769
1.7e-013,12.6263,-8415.92,-8391.66,0,0,-0.188685,0.455109,2.12549,0,0.000362396
1.75e-013,12.8159,-8419.57,-8394.96,0,0,-0.188886,0.455045,2.12549,0,0.000373024
1.8e-013,12.8996,-8423.15,-8398.37,0,0,-0.189072,0.45498,2.12549,0,0.000383651
1.85e-013,12.8919,-8426.6,-8401.84,0,0,-0.189217,0.454913,2.12549,0,0.000394278
1.9e-013,12.7824,-8429.88,-8405.33,0,0,-0.189364,0.454844,2.12549,0,0.000404906
1.95e-013,12.6515,-8433.13,-8408.83,0,0,-0.189534,0.454773,2.12549,0,0.000415533
2e-013,12.5752,-8436.18,-8412.03,0,0,-0.189695,0.454701,2.12549,0,0.000426161
2.05e-013,13.4444,-8438.92,-8413.09,0,0,-0.189829,0.454626,2.12549,0,0.000436788
2.1e-013,14.0067,-8441.94,-8415.04,0,0,-0.189964,0.454548,2.12549,0,0.000447416
2.15e-013,14.343,-8444.42,-8416.87,0,0,-0.190119,0.454466,2.12549,0,0.000458043
2.2e-013,14.5764,-8447.7,-8419.7,0,0,-0.19028,0.454382,2.12549,0,0.000468671
2.25e-013,14.7671,-8450.7,-8422.34,0,0,-0.19043,0.454294,2.12549,0,0.000479298
2.3e-013,14.908,-8453.19,-8424.56,0,0,-0.190584,0.454204,2.12549,0,0.000489925
2.35e-013,14.9865,-8455.79,-8427.01,0,0,-0.190752,0.454112,2.12549,0,0.000500553
2.4e-013,15.0174,-8458.45,-8429.61,0,0,-0.190904,0.454016,2.12549,0,0.00051118
2.45e-013,15.039,-8461.08,-8432.2,0,0,-0.191029,0.453918,2.12549,0,0.000521808
2.5e-013,15.0392,-8463.92,-8435.04,0,0,-0.191167,0.453818,2.12549,0,0.000532435
2.55e-013,15.9765,-8466.62,-8435.94,0,0,-0.191353,0.453714,2.12549,0,0.000543063
2.6e-013,16.5876,-8469.33,-8437.47,0,0,-0.191548,0.453605,2.12549,0,0.00055369
2.65e-013,16.9894,-8472.12,-8439.48,0,0,-0.191697,0.45349,2.12549,0,0.000564318
2.7e-013,17.2578,-8474.48,-8441.34,0,0,-0.191817,0.45337,2.12549,0,0.000574945
2.75e-013,17.424,-8476.98,-8443.51,0,0,-0.191946,0.453246,2.12549,0,0.000585573
2.8e-013,17.5002,-8479.73,-8446.12,0,0,-0.192073,0.453116,2.12549,0,0.0005962
2.85e-013,17.6183,-8482.73,-8448.89,0,0,-0.192173,0.452982,2.12549,0,0.000606827
2.9e-013,17.6479,-8485.23,-8451.33,0,0,-0.192255,0.452842,2.12549,0,0.000617455
2.95e-013,17.7604,-8488.01,-8453.9,0,0,-0.192335,0.452696,2.12549,0,0.000628082
3e-013,17.831,-8491.05,-8456.8,0,0,-0.192398,0.452545,2.12549,0,0.00063871
3.05e-013,18.8653,-8494.02,-8457.79,0,0,-0.192435,0.452386,2.12549,0,0.000649337
3.1e-013,19.628,-8497.15,-8459.45,0,0,-0.192453,0.452218,2.12549,0,0.000659965
3.15e-013,19.7239,-8499.51,-8461.63,0,0,-0.192442,0.452042,2.12549,0,0.000670592
3.2e-013,20.2909,-8503.66,-8464.68,0,0,-0.192388,0.45186,2.12549,0,0.00068122
3.25e-013,20.6038,-8506.53,-8466.96,0,0,-0.192316,0.451671,2.12549,0,0.000691847
3.3e-013,20.8133,-8509.66,-8469.69,0,0,-0.192257,0.451475,2.12549,0,0.000702475
3.35e-013,20.9769,-8512.96,-8472.67,0,0,-0.192196,0.451274,2.12549,0,0.000713102
3.4e-013,21.0828,-8516.26,-8475.76,0,0,-0.192104,0.451067,2.12549,0,0.000723729
3.45e-013,21.1587,-8519.35,-8478.71,0,0,-0.191994,0.450855,2.12549,0,0.000734357
3.5e-013,21.2546,-8522.67,-8481.85,0,0,-0.191888,0.450638,2.12549,0,0.000744984
3.55e-013,22.2883,-8525.52,-8482.71,0,0,-0.191775,0.450413,2.12549,0,0.000755612
3.6e-013,22.903,-8528.6,-8484.61,0,0,-0.191661,0.450178,2.12549,0,0.000766239
3.65e-013,23.3911,-8532.18,-8487.25,0,0,-0.191579,0.449936,2.12549,0,0.000776867
3.7e-013,23.8855,-8535.02,-8489.14,0,0,-0.191524,0.449685,2.12549,0,0.000787494
3.75e-013,24.219,-8538.92,-8492.4,0,0,-0.19144,0.449428,2.12549,0,0.000798122
3.8e-013,24.4584,-8542.29,-8495.32,0,0,-0.191305,0.449164,2.12549,0,0.000808749
3.85e-013,24.7081,-8545.59,-8498.13,0,0,-0.191168,0.448894,2.12549,0,0.000819376
3.9e-013,24.8877,-8549.25,-8501.45,0,0,-0.191049,0.448618,2.12549,0,0.000830004
3.95e-013,24.9992,-8552.8,-8504.79,0,0,-0.190913,0.448337,2.12549,0,0.000840631
4e-013,25.0785,-8556.77,-8508.61,0,0,-0.19074,0.448051,2.12549,0,0.000851259
4.05e-013,26.1394,-8560.59,-8510.39,0,0,-0.190565,0.447757,2.12549,0,0.000861886
4.1e-013,26.8922,-8564.29,-8512.64,0,0,-0.190405,0.447454,2.12549,0,0.000872514
4.15e-013,27.475,-8567.93,-8515.16,0,0,-0.190236,0.447142,2.12549,0,0.000883141
4.2e-013,27.8596,-8571.75,-8518.24,0,0,-0.190032,0.446825,2.12549,0,0.000893769
4.25e-013,28.1859,-8575.5,-8521.36,0,0,-0.189794,0.446502,2.12549,0,0.000904396
4.3e-013,28.4146,-8579.21,-8524.64,0,0,-0.189528,0.446174,2.12549,0,0.000915024
4.35e-013,28.5826,-8582.69,-8527.79,0,0,-0.189244,0.445842,2.12549,0,0.000925651
