step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
0,0.00386377,-8100.42,-8100.41,0,0,-0.183082,0,-0.370252
5e-015,2.67323,-8115.57,-8110.43,0,0,-0.183143,0.407281,-0.370251
1e-014,9.073,-8145.96,-8128.54,0,0,-0.183248,0.81456,-0.370248
1.5e-014,6.33546,-8168.4,-8156.23,0,0,-0.18329,1.22183,-0.370243
2e-014,8.21649,-8186.54,-8170.76,0,0,-0.183314,1.6291,-0.370236
2.5e-014,10.9659,-8200.11,-8179.05,0,0,-0.183406,2.03636,-0.370227
3e-014,13.0341,-8213.17,-8188.13,0,0,-0.18355,2.44361,-0.370215
3.5e-014,14.2359,-8227.91,-8200.57,0,0,-0.183699,2.85084,-0.370202
4e-014,14.0812,-8239.23,-8212.18,0,0,-0.183891,3.25806,-0.370187
4.5e-014,13.6333,-8249.25,-8223.06,0,0,-0.184177,3.66526,-0.37017
5e-014,12.4254,-8257.41,-8233.55,0,0,-0.184466,4.07244,-0.37015
5.5e-014,12.0059,-8265.39,-8242.33,0,0,-0.184583,4.4796,-0.370129
6e-014,10.9495,-8271.57,-8250.54,0,0,-0.184522,4.88673,-0.370105
6.5e-014,9.86972,-8276.47,-8257.51,0,0,-0.184507,5.29384,-0.37008
7e-014,8.93927,-8281.25,-8264.08,0,0,-0.184711,5.70092,-0.370053
7.5e-014,8.11311,-8285.26,-8269.68,0,0,-0.185008,6.10796,-0.370023
8e-014,7.48014,-8289.04,-8274.68,0,0,-0.185181,6.51497,-0.369991
8.5e-014,6.74759,-8292.12,-8279.16,0,0,-0.18524,6.92195,-0.369958
9e-014,6.35185,-8295.52,-8283.32,0,0,-0.185355,7.32889,-0.369922
9.5e-014,6.2066,-8299.01,-8287.09,0,0,-0.185556,7.73579,-0.369885
1e-013,5.85163,-8301.91,-8290.68,0,0,-0.185726,8.14264,-0.369845
1.05e-013,6.25547,-8304.74,-8292.73,0,0,-0.185848,8.54945,-0.369803
1.1e-013,6.55896,-8307.66,-8295.06,0,0,-0.186014,8.95622,-0.369759
1.15e-013,6.4816,-8310.24,-8297.79,0,0,-0.186245,9.36293,-0.369714
1.2e-013,6.49572,-8312.8,-8300.33,0,0,-0.186474,9.76959,-0.369666
1.25e-013,6.26644,-8314.7,-8302.67,0,0,-0.186681,10.1762,-0.369616
1.3e-013,6.01122,-8316.35,-8304.8,0,0,-0.186886,10.5828,-0.369564
1.35e-013,5.67923,-8317.61,-8306.7,0,0,-0.187057,10.9893,-0.36951
1.4e-013,5.37425,-8318.74,-8308.42,0,0,-0.187171,11.3957,-0.369454
1.45e-013,5.06907,-8319.69,-8309.95,0,0,-0.187308,11.8021,-0.369396
1.5e-013,4.8429,-8320.67,-8311.37,0,0,-0.187533,12.2084,-0.369336
1.55e-013,5.17601,-8321.41,-8311.47,0,0,-0.187765,12.6146,-0.369274
1.6e-013,5.37467,-8322.28,-8311.96,0,0,-0.187888,13.0208,-0.36921
1.65e-013,5.4997,-8322.93,-8312.36,0,0,-0.187942,13.4269,-0.369144
1.7e-013,5.57535,-8323.41,-8312.7,0,0,-0.188068,13.8329,-0.369076
1.75e-013,5.56169,-8323.63,-8312.95,0,0,-0.18828,14.2388,-0.369005
1.8e-013,5.48747,-8323.76,-8313.22,0,0,-0.188473,14.6447,-0.368933
1.85e-013,5.38553,-8323.9,-8313.55,0,0,-0.188617,15.0505,-0.368859
