step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	3394.61	77312.2	84382.4	-3369.07	0	0	0	0	0	
10	9032.29	-6004.35	12808	-6085.73	0	0	0	0	0	
20	5144.44	-3592.74	7122.02	-3592.56	0	0	0	0	0	
30	3051	-2496.41	3858.16	-2519.72	0	0	0	0	0	
40	2278.63	-3014.01	1731.9	-3048.23	0	0	0	0	0	
50	1770.7	-3615.02	72.975	-3614.43	0	0	0	0	0	
60	1396.12	-4121.18	-1213.37	-4123.29	0	0	0	0	0	
70	888.726	-3979.12	-2128.09	-3978.81	0	0	0	0	0	
80	680.039	-4173.04	-2756.66	-4174.37	0	0	0	0	0	
90	457.707	-4167.5	-3214.19	-4177.32	0	0	0	0	0	
100	347.835	-4269.33	-3544.86	-4269.35	0	0	0	0	0	
110	354.045	-4545.86	-3808.46	-4546.67	0	0	0	0	0	
120	433.329	-5023.22	-4120.69	-5026.45	0	0	0	0	0	
130	439.622	-5383.93	-4468.29	-5383.86	0	0	0	0	0	
140	437.711	-5727.99	-4816.33	-5727.9	0	0	0	0	0	
150	395.913	-5969.18	-5144.58	-5969.11	0	0	0	0	0	
160	372.346	-6222.56	-5447.04	-6222.5	0	0	0	0	0	
170	335.7	-6424.46	-5725.27	-6424.42	0	0	0	0	0	
180	323.62	-6657.59	-5983.56	-6658.73	0	0	0	0	0	
190	308.949	-6876.43	-6232.95	-6876.87	0	0	0	0	0	
200	287.342	-7066.78	-6468.31	-7066.42	0	0	0	0	0	
210	247.34	-7188.56	-6673.4	-7189.77	0	0	0	0	0	
220	208.1	-7282.88	-6849.45	-7293.89	0	0	0	0	0	
230	180.083	-7384.79	-7009.71	-7409.05	0	0	0	0	0	
240	169.547	-7522.14	-7169.01	-7548.56	0	0	0	0	0	
250	168.76	-7677.32	-7325.83	-7702.7	0	0	0	0	0	
260	165.301	-7825.92	-7481.63	-7863.52	0	0	0	0	0	
270	160.456	-7981.01	-7646.82	-8060.33	0	0	0	0	0	
280	150.891	-8157.36	-7843.09	-8158.15	0	0	0	0	0	
290	144.399	-8253.69	-7952.94	-8254.18	0	0	0	0	0	
300	132	-8329.97	-8055.05	-8332.38	0	0	0	0	0	
310	122.256	-8400.22	-8145.59	-8400.77	0	0	0	0	0	
320	108.243	-8449.36	-8223.92	-8451.13	0	0	0	0	0	
330	91.3874	-8481.49	-8291.15	-8486.35	0	0	0	0	0	
340	72.1387	-8498.02	-8347.77	-8505.4	0	0	0	0	0	
350	53.8318	-8503.61	-8391.49	-8513.5	0	0	0	0	0	
360	40.0446	-8508.37	-8424.96	-8522.94	0	0	0	0	0	
370	32.8134	-8523.17	-8454.83	-8541.3	0	0	0	0	0	
380	28.7929	-8544.05	-8484.08	-8562.78	0	0	0	0	0	
390	29.9826	-8575.53	-8513.08	-8575.97	0	0	0	0	0	
400	22.8488	-8567.26	-8519.67	-8568.02	0	0	0	0	0	
410	28.8209	-8582.01	-8521.99	-8600.3	0	0	0	0	0	
420	36.1428	-8618.93	-8543.65	-8620.01	0	0	0	0	0	
430	32.2982	-8621.14	-8553.87	-8621.57	0	0	0	0	0	
440	36.3229	-8637.07	-8561.42	-8648.76	0	0	0	0	0	
450	31.0567	-8642.71	-8578.03	-8642.63	0	0	0	0	0	
460	28.5152	-8643.36	-8583.97	-8643.64	0	0	0	0	0	
470	23.7347	-8634.21	-8584.78	-8646.1	0	0	0	0	0	
480	21.9478	-8639.78	-8594.07	-8639.67	0	0	0	0	0	
490	26.2686	-8649.61	-8594.89	-8651.73	0	0	0	0	0	
500	22.7344	-8643.52	-8596.17	-8643.73	0	0	0	0	0	
510	28.137	-8652.04	-8593.43	-8656.46	0	0	0	0	0	
520	25.8509	-8646.91	-8593.06	-8649	0	0	0	0	0	
530	25.2701	-8643.98	-8591.35	-8659.27	0	0	0	0	0	
540	25.7473	-8656.8	-8603.17	-8670.23	0	0	0	0	0	
550	23.7193	-8662.27	-8612.87	-8671.66	0	0	0	0	0	
560	27.0028	-8674	-8617.76	-8683.48	0	0	0	0	0	
570	28.0687	-8683.98	-8625.52	-8690.08	0	0	0	0	0	
580	30.5431	-8693.15	-8629.53	-8696.78	0	0	0	0	0	
590	32.1861	-8700.09	-8633.05	-8707.13	0	0	0	0	0	
600	29.5988	-8701.87	-8640.22	-8713.95	0	0	0	0	0	
610	31.1853	-8712.16	-8647.21	-8714.1	0	0	0	0	0	
620	32.438	-8712.25	-8644.69	-8719.2	0	0	0	0	0	
630	31.2701	-8710.72	-8645.59	-8713.53	0	0	0	0	0	
640	29.9921	-8705.24	-8642.77	-8719.24	0	0	0	0	0	
650	27.184	-8707.19	-8650.57	-8718.02	0	0	0	0	0	
660	27.9353	-8710.85	-8652.67	-8710.93	0	0	0	0	0	
670	27.5303	-8704.25	-8646.91	-8712.31	0	0	0	0	0	
680	28.9833	-8706.63	-8646.26	-8710.75	0	0	0	0	0	
690	26.6001	-8697.85	-8642.45	-8706.89	0	0	0	0	0	
700	31.01	-8708.36	-8643.77	-8708.42	0	0	0	0	0	
710	25.7799	-8687.26	-8633.57	-8698.37	0	0	0	0	0	
720	34.5038	-8705.58	-8633.71	-8709.84	0	0	0	0	0	
730	29.7968	-8690.88	-8628.81	-8694.2	0	0	0	0	0	
740	36.235	-8699.03	-8623.56	-8702.34	0	0	0	0	0	
750	34.4952	-8691.17	-8619.32	-8691.16	0	0	0	0	0	
760	36.1883	-8690.68	-8615.31	-8697.62	0	0	0	0	0	
770	39.7426	-8700.35	-8617.57	-8700.38	0	0	0	0	0	
780	35.1584	-8688.99	-8615.76	-8699.49	0	0	0	0	0	
790	40.9905	-8707.28	-8621.9	-8709.56	0	0	0	0	0	
800	39.4828	-8704.56	-8622.33	-8706.45	0	0	0	0	0	
810	43.4501	-8708.49	-8617.99	-8708.47	0	0	0	0	0	
820	41.3503	-8700.48	-8614.36	-8706.05	0	0	0	0	0	
830	46.0526	-8712.63	-8616.71	-8712.62	0	0	0	0	0	
840	44.0185	-8705.45	-8613.77	-8716.5	0	0	0	0	0	
850	48.2041	-8723.72	-8623.32	-8724.62	0	0	0	0	0	
860	46.6844	-8720.53	-8623.3	-8724.65	0	0	0	0	0	
870	50.0519	-8733.02	-8628.77	-8734.98	0	0	0	0	0	
880	47.9009	-8730.59	-8630.83	-8732.37	0	0	0	0	0	
890	44.0232	-8723.27	-8631.58	-8726.99	0	0	0	0	0	
900	40.6095	-8715.49	-8630.91	-8718.3	0	0	0	0	0	
910	40.8032	-8707.95	-8622.97	-8708.43	0	0	0	0	0	
920	47.0444	-8713.55	-8615.57	-8715.77	0	0	0	0	0	
930	48.211	-8713.6	-8613.18	-8723.95	0	0	0	0	0	
940	52.0341	-8729.89	-8621.52	-8736.09	0	0	0	0	0	
950	57.5821	-8747.71	-8627.78	-8748.37	0	0	0	0	0	
960	56.5256	-8749.18	-8631.45	-8749.77	0	0	0	0	0	
970	57.3111	-8753.64	-8634.27	-8756.87	0	0	0	0	0	
980	48.9564	-8739.31	-8637.35	-8741.76	0	0	0	0	0	
990	54.1719	-8750.49	-8637.66	-8751.2	0	0	0	0	0	
1000	48.7786	-8737.8	-8636.2	-8739.23	0	0	0	0	0	
1010	55.5529	-8747.62	-8631.91	-8749.28	0	0	0	0	0	
1020	53.4043	-8739.29	-8628.06	-8739.58	0	0	0	0	0	
1030	56.1229	-8741.75	-8624.86	-8741.97	0	0	0	0	0	
1040	57.0715	-8739.94	-8621.07	-8743.37	0	0	0	0	0	
1050	57.1574	-8743.53	-8624.48	-8747.38	0	0	0	0	0	
1060	58.3364	-8747.43	-8625.93	-8747.93	0	0	0	0	0	
1070	55.7312	-8741.7	-8625.62	-8741.93	0	0	0	0	0	
1080	56.679	-8740.5	-8622.45	-8742.87	0	0	0	0	0	
1090	53.805	-8733.54	-8621.47	-8734.4	0	0	0	0	0	
1100	59.7761	-8743.44	-8618.94	-8743.39	0	0	0	0	0	
1110	61.2268	-8742.22	-8614.7	-8742.18	0	0	0	0	0	
1120	67.8936	-8755.59	-8614.18	-8756.06	0	0	0	0	0	
1130	68.7531	-8759.23	-8616.04	-8759.16	0	0	0	0	0	
1140	70.4191	-8766.63	-8619.96	-8766.57	0	0	0	0	0	
1150	67.4547	-8762.75	-8622.26	-8762.73	0	0	0	0	0	
1160	58.6418	-8742.46	-8620.33	-8742.68	0	0	0	0	0	
1170	60.1621	-8740.7	-8615.4	-8740.67	0	0	0	0	0	
1180	55.1665	-8724.61	-8609.71	-8724.55	0	0	0	0	0	
1190	59.0895	-8725.72	-8602.65	-8725.67	0	0	0	0	0	
1200	58.461	-8718.78	-8597.02	-8719.28	0	0	0	0	0	
1210	64.2732	-8723.64	-8589.77	-8723.62	0	0	0	0	0	
1220	70.9388	-8733.32	-8585.57	-8733.3	0	0	0	0	0	
1230	69.4123	-8730.49	-8585.92	-8730.77	0	0	0	0	0	
1240	68.6757	-8726.37	-8583.33	-8726.47	0	0	0	0	0	
1250	65.3332	-8716.81	-8580.74	-8716.8	0	0	0	0	0	
1260	67.4715	-8716.03	-8575.5	-8715.49	0	0	0	0	0	
1270	67.2582	-8712.01	-8571.93	-8719.01	0	0	0	0	0	
1280	70.2442	-8724.82	-8578.52	-8732.18	0	0	0	0	0	
1290	69.3326	-8745.25	-8600.85	-8749.53	0	0	0	0	0	
1300	76.6668	-8767.33	-8607.65	-8768.52	0	0	0	0	0	
1310	75.9537	-8766.06	-8607.86	-8766.07	0	0	0	0	0	
1320	75.2839	-8762.95	-8606.15	-8763.96	0	0	0	0	0	
1330	72.1566	-8754.16	-8603.88	-8755.52	0	0	0	0	0	
1340	65.6744	-8735.95	-8599.16	-8735.94	0	0	0	0	0	
1350	69.7324	-8735.46	-8590.22	-8735.46	0	0	0	0	0	
1360	67.4069	-8723.43	-8583.04	-8723.14	0	0	0	0	0	
1370	76.4671	-8737.41	-8578.15	-8737.4	0	0	0	0	0	
1380	79.033	-8742.69	-8578.08	-8743.36	0	0	0	0	0	
1390	83.5725	-8756.19	-8582.13	-8756.5	0	0	0	0	0	
1400	82.7849	-8759.22	-8586.8	-8759.21	0	0	0	0	0	
1410	79.9474	-8751.78	-8585.27	-8752	0	0	0	0	0	
1420	81.6787	-8753.21	-8583.09	-8753.48	0	0	0	0	0	
1430	77.0554	-8741.72	-8581.23	-8741.24	0	0	0	0	0	
1440	80.3648	-8743.7	-8576.31	-8743.38	0	0	0	0	0	
1450	80.2427	-8740.57	-8573.44	-8740.32	0	0	0	0	0	
1460	88.1084	-8757.04	-8573.52	-8757.08	0	0	0	0	0	
1470	87.6911	-8759.21	-8576.57	-8759.24	0	0	0	0	0	
1480	92.5947	-8775	-8582.15	-8775.03	0	0	0	0	0	
1490	91.6802	-8779.41	-8588.46	-8779.42	0	0	0	0	0	
1500	88.4871	-8778.77	-8594.47	-8778.76	0	0	0	0	0	
1510	87.9012	-8775.65	-8592.58	-8775.6	0	0	0	0	0	
1520	80.8692	-8757.31	-8588.88	-8757.27	0	0	0	0	0	
1530	81.5021	-8750.81	-8581.06	-8751.67	0	0	0	0	0	
1540	80.5691	-8743.31	-8575.5	-8744.35	0	0	0	0	0	
1550	85.3618	-8748.83	-8571.04	-8748.99	0	0	0	0	0	
1560	86.18	-8746.98	-8567.48	-8748.11	0	0	0	0	0	
1570	89.9533	-8755.41	-8568.06	-8756.65	0	0	0	0	0	
1580	87.9632	-8750.79	-8567.58	-8751.48	0	0	0	0	0	
1590	88.5614	-8751.87	-8567.42	-8752	0	0	0	0	0	
1600	83.4227	-8737.86	-8564.11	-8738.7	0	0	0	0	0	
1610	79.4006	-8718.83	-8553.46	-8720.86	0	0	0	0	0	
1620	80.8049	-8711.34	-8543.04	-8711.57	0	0	0	0	0	
1630	82.1424	-8702.25	-8531.16	-8702.35	0	0	0	0	0	
1640	94.8421	-8722.62	-8525.08	-8722.85	0	0	0	0	0	
1650	90.4737	-8711.38	-8522.95	-8711.37	0	0	0	0	0	
1660	94.2469	-8716.21	-8519.91	-8716.14	0	0	0	0	0	
1670	93.5166	-8712.91	-8518.13	-8712.79	0	0	0	0	0	
1680	89.2519	-8701	-8515.11	-8700.89	0	0	0	0	0	
1690	88.6974	-8693.87	-8509.14	-8693.78	0	0	0	0	0	
1700	82.6065	-8673.52	-8501.47	-8673.44	0	0	0	0	0	
1710	94.9861	-8687.84	-8490	-8687.87	0	0	0	0	0	
