"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	781.347255	756.535487	24.811768	17.112939	739.422548	0.000000	0.000000	21.893659	2.918109	0.000000	0.000000
-59.800000	779.283913	754.402000	24.881914	17.112940	737.289060	0.000000	0.000000	21.953689	2.928225	0.000000	0.000000
-59.600000	777.221605	752.266202	24.955402	17.112939	735.153264	0.000000	0.000000	22.017051	2.938351	0.000000	0.000000
-59.400000	775.160381	750.128161	25.032220	17.112938	733.015223	0.000000	0.000000	22.083734	2.948486	0.000000	0.000000
-59.200000	773.100420	747.988059	25.112361	17.112939	730.875121	0.000000	0.000000	22.153732	2.958629	0.000000	0.000000
-59.000000	771.041797	745.845980	25.195817	17.112940	728.733040	0.000000	0.000000	22.227037	2.968779	0.000000	0.000000
-58.800000	768.984505	743.701923	25.282583	17.112937	726.588986	0.000000	0.000000	22.303645	2.978938	0.000000	0.000000
-58.600000	766.928784	741.556137	25.372647	17.112939	724.443198	0.000000	0.000000	22.383544	2.989103	0.000000	0.000000
-58.400000	764.874746	739.408740	25.466006	17.112937	722.295803	0.000000	0.000000	22.466732	2.999274	0.000000	0.000000
-58.200000	762.822387	737.259744	25.562643	17.112944	720.146800	0.000000	0.000000	22.553191	3.009451	0.000000	0.000000
-58.000000	760.771809	735.109238	25.662571	17.112941	717.996296	0.000000	0.000000	22.642936	3.019635	0.000000	0.000000
-57.800000	758.723297	732.957533	25.765764	17.112941	715.844592	0.000000	0.000000	22.735942	3.029822	0.000000	0.000000
-57.600000	756.676755	730.804530	25.872224	17.112940	713.691590	0.000000	0.000000	22.832211	3.040014	0.000000	0.000000
-57.400000	754.632355	728.650412	25.981943	17.112939	711.537473	0.000000	0.000000	22.931734	3.050210	0.000000	0.000000
-57.200000	752.590150	726.495241	26.094908	17.112938	709.382303	0.000000	0.000000	23.034499	3.060409	0.000000	0.000000
-57.000000	750.550240	724.339119	26.211120	17.112937	707.226182	0.000000	0.000000	23.140509	3.070611	0.000000	0.000000
-56.800000	748.512869	722.182309	26.330560	17.112937	705.069371	0.000000	0.000000	23.249745	3.080815	0.000000	0.000000
-56.600000	746.477993	720.024773	26.453221	17.112942	702.911830	0.000000	0.000000	23.362201	3.091020	0.000000	0.000000
-56.400000	744.445774	717.866666	26.579109	17.112940	700.753726	0.000000	0.000000	23.477882	3.101227	0.000000	0.000000
-56.200000	742.416220	715.708013	26.708207	17.112939	698.595075	0.000000	0.000000	23.596773	3.111434	0.000000	0.000000
-56.000000	740.389594	713.549097	26.840497	17.112938	696.436159	0.000000	0.000000	23.718856	3.121641	0.000000	0.000000
-55.800000	738.365776	711.389795	26.975981	17.112939	694.276857	0.000000	0.000000	23.844133	3.131848	0.000000	0.000000
-55.600000	736.345126	709.230490	27.114637	17.112941	692.117548	0.000000	0.000000	23.972585	3.142052	0.000000	0.000000
-55.400000	734.327471	707.070996	27.256475	17.112938	689.958058	0.000000	0.000000	24.104219	3.152255	0.000000	0.000000
-55.200000	732.313074	704.911619	27.401455	17.112942	687.798677	0.000000	0.000000	24.238999	3.162456	0.000000	0.000000
-55.000000	730.302000	702.752414	27.549586	17.112939	685.639474	0.000000	0.000000	24.376933	3.172653	0.000000	0.000000
-54.800000	728.294295	700.593439	27.700855	17.112935	683.480504	0.000000	0.000000	24.518009	3.182847	0.000000	0.000000
-54.600000	726.290121	698.434896	27.855226	17.112941	681.321954	0.000000	0.000000	24.662191	3.193035	0.000000	0.000000
-54.400000	724.289493	696.276778	28.012715	17.112938	679.163840	0.000000	0.000000	24.809495	3.203219	0.000000	0.000000
-54.200000	722.292510	694.119224	28.173286	17.112941	677.006284	0.000000	0.000000	24.959888	3.213398	0.000000	0.000000
-54.000000	720.299305	691.962373	28.336932	17.112939	674.849434	0.000000	0.000000	25.113363	3.223570	0.000000	0.000000
-53.800000	718.309892	689.806258	28.503633	17.112938	672.693320	0.000000	0.000000	25.269898	3.233735	0.000000	0.000000
-53.600000	716.324423	687.651057	28.673365	17.112940	670.538117	0.000000	0.000000	25.429473	3.243892	0.000000	0.000000
-53.400000	714.342969	685.496847	28.846122	17.112936	668.383911	0.000000	0.000000	25.592081	3.254041	0.000000	0.000000
-53.200000	712.365561	683.343697	29.021865	17.112942	666.230754	0.000000	0.000000	25.757684	3.264181	0.000000	0.000000
-53.000000	710.392302	681.191709	29.200593	17.112938	664.078771	0.000000	0.000000	25.926282	3.274311	0.000000	0.000000
-52.800000	708.423371	679.041111	29.382260	17.112941	661.928171	0.000000	0.000000	26.097830	3.284430	0.000000	0.000000
-52.600000	706.458706	676.891840	29.566867	17.112939	659.778901	0.000000	0.000000	26.272328	3.294539	0.000000	0.000000
-52.400000	704.498432	674.744067	29.754365	17.112940	657.631128	0.000000	0.000000	26.449729	3.304636	0.000000	0.000000
-52.200000	702.542588	672.597846	29.944742	17.112939	655.484907	0.000000	0.000000	26.630022	3.314720	0.000000	0.000000
-52.000000	700.591286	670.453327	30.137959	17.112941	653.340386	0.000000	0.000000	26.813168	3.324791	0.000000	0.000000
-51.800000	698.644536	668.310543	30.333993	17.112943	651.197599	0.000000	0.000000	26.999145	3.334848	0.000000	0.000000
-51.600000	696.702497	666.169684	30.532814	17.112944	649.056740	0.000000	0.000000	27.187924	3.344890	0.000000	0.000000
-51.400000	694.765115	664.030723	30.734392	17.112940	646.917783	0.000000	0.000000	27.379475	3.354917	0.000000	0.000000
-51.200000	692.832559	661.893885	30.938674	17.112941	644.780944	0.000000	0.000000	27.573746	3.364928	0.000000	0.000000
-51.000000	690.904916	659.759282	31.145634	17.112941	642.646341	0.000000	0.000000	27.770713	3.374921	0.000000	0.000000
-50.800000	688.982100	657.626862	31.355237	17.112940	640.513922	0.000000	0.000000	27.970340	3.384898	0.000000	0.000000
-50.600000	687.064197	655.496755	31.567442	17.112938	638.383817	0.000000	0.000000	28.172587	3.394855	0.000000	0.000000
-50.400000	685.151335	653.369142	31.782193	17.112941	636.256201	0.000000	0.000000	28.377399	3.404794	0.000000	0.000000
-50.200000	683.243465	651.243998	31.999468	17.112939	634.131059	0.000000	0.000000	28.584755	3.414713	0.000000	0.000000
-50.000000	681.340741	649.121541	32.219200	17.112941	632.008601	0.000000	0.000000	28.794589	3.424610	0.000000	0.000000
-49.800000	679.443174	647.001823	32.441350	17.112940	629.888883	0.000000	0.000000	29.006864	3.434487	0.000000	0.000000
-49.600000	677.550724	644.884849	32.665875	17.112939	627.771909	0.000000	0.000000	29.221534	3.444341	0.000000	0.000000
-49.400000	675.663528	642.770817	32.892712	17.112941	625.657876	0.000000	0.000000	29.438540	3.454172	0.000000	0.000000
-49.200000	673.781562	640.659757	33.121805	17.112941	623.546816	0.000000	0.000000	29.657826	3.463979	0.000000	0.000000
-49.000000	671.904898	638.551791	33.353108	17.112940	621.438850	0.000000	0.000000	29.879346	3.473762	0.000000	0.000000
-48.800000	670.033513	636.446959	33.586554	17.112941	619.334018	0.000000	0.000000	30.103035	3.483519	0.000000	0.000000
-48.600000	668.167496	634.345407	33.822089	17.112939	617.232468	0.000000	0.000000	30.328839	3.493250	0.000000	0.000000
-48.400000	666.306821	632.247173	34.059648	17.112938	615.134235	0.000000	0.000000	30.556694	3.502954	0.000000	0.000000
-48.200000	664.451542	630.152395	34.299148	17.112941	613.039454	0.000000	0.000000	30.786518	3.512630	0.000000	0.000000
-48.000000	662.601713	628.061176	34.540537	17.112942	610.948234	0.000000	0.000000	31.018260	3.522277	0.000000	0.000000
-47.800000	660.757240	625.973482	34.783758	17.112940	608.860542	0.000000	0.000000	31.251862	3.531895	0.000000	0.000000
-47.600000	658.918199	623.889479	35.028720	17.112942	606.776537	0.000000	0.000000	31.487236	3.541483	0.000000	0.000000
-47.400000	657.084632	621.809276	35.275357	17.112940	604.696336	0.000000	0.000000	31.724316	3.551040	0.000000	0.000000
-47.200000	655.256464	619.732885	35.523579	17.112941	602.619944	0.000000	0.000000	31.963014	3.560565	0.000000	0.000000
-47.000000	653.433767	617.660432	35.773335	17.112936	600.547497	0.000000	0.000000	32.203277	3.570057	0.000000	0.000000
-46.800000	651.616484	615.591975	36.024509	17.112938	598.479037	0.000000	0.000000	32.444993	3.579516	0.000000	0.000000
-46.600000	649.804674	613.527656	36.277018	17.112942	596.414713	0.000000	0.000000	32.688078	3.588940	0.000000	0.000000
-46.400000	647.998290	611.467467	36.530822	17.112938	594.354530	0.000000	0.000000	32.932493	3.598329	0.000000	0.000000
-46.200000	646.197341	609.411577	36.785763	17.112942	592.298635	0.000000	0.000000	33.178081	3.607682	0.000000	0.000000
-46.000000	644.401807	607.359998	37.041809	17.112942	590.247056	0.000000	0.000000	33.424810	3.616998	0.000000	0.000000
-45.800000	642.611673	605.312835	37.298838	17.112943	588.199892	0.000000	0.000000	33.672561	3.626277	0.000000	0.000000
-45.600000	640.826936	603.270152	37.556783	17.112939	586.157214	0.000000	0.000000	33.921266	3.635517	0.000000	0.000000
-45.400000	639.047567	601.232061	37.815506	17.112940	584.119122	0.000000	0.000000	34.170787	3.644718	0.000000	0.000000
-45.200000	637.273525	599.198603	38.074923	17.112941	582.085661	0.000000	0.000000	34.421044	3.653879	0.000000	0.000000
