"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	4799.528910	1680.965786	3118.563125	1481.135333	756.460324	-556.629872	0.000000	3206.019772	-87.456648	0.000000	0.000000
-59.800000	4795.523119	1679.019324	3116.503796	1481.135321	754.496180	-556.612177	0.000000	3203.941340	-87.437544	0.000000	0.000000
-59.600000	4791.546923	1677.076214	3114.470709	1481.135328	752.536348	-556.595463	0.000000	3201.889233	-87.418524	0.000000	0.000000
-59.400000	4787.599912	1675.136354	3112.463558	1481.135332	750.580752	-556.579730	0.000000	3199.863147	-87.399589	0.000000	0.000000
-59.200000	4783.681997	1673.199750	3110.482247	1481.135330	748.629401	-556.564981	0.000000	3197.862987	-87.380740	0.000000	0.000000
-59.000000	4779.793262	1671.266496	3108.526766	1481.135318	746.682397	-556.551219	0.000000	3195.888745	-87.361979	0.000000	0.000000
-58.800000	4775.933664	1669.336565	3106.597099	1481.135327	744.739682	-556.538445	0.000000	3193.940404	-87.343305	0.000000	0.000000
-58.600000	4772.102657	1667.409824	3104.692833	1481.135316	742.801168	-556.526660	0.000000	3192.017552	-87.324719	0.000000	0.000000
-58.400000	4768.300578	1665.486424	3102.814154	1481.135326	740.866964	-556.515866	0.000000	3190.120375	-87.306221	0.000000	0.000000
-58.200000	4764.527083	1663.566317	3100.960767	1481.135326	738.937054	-556.506064	0.000000	3188.248580	-87.287813	0.000000	0.000000
-58.000000	4760.782157	1661.649553	3099.132603	1481.135322	737.011487	-556.497255	0.000000	3186.402099	-87.269496	0.000000	0.000000
-57.800000	4757.065412	1659.736000	3097.329411	1481.135321	735.090120	-556.489440	0.000000	3184.580680	-87.251268	0.000000	0.000000
-57.600000	4753.376963	1657.825794	3095.551170	1481.135319	733.173095	-556.482620	0.000000	3182.784302	-87.233132	0.000000	0.000000
-57.400000	4749.716687	1655.918934	3093.797753	1481.135330	731.260398	-556.476795	0.000000	3181.012840	-87.215087	0.000000	0.000000
-57.200000	4746.084223	1654.015358	3092.068865	1481.135333	729.351990	-556.471965	0.000000	3179.266000	-87.197135	0.000000	0.000000
-57.000000	4742.479467	1652.115102	3090.364365	1481.135322	727.447910	-556.468130	0.000000	3177.543642	-87.179277	0.000000	0.000000
-56.800000	4738.902312	1650.218152	3088.684160	1481.135329	725.548113	-556.465290	0.000000	3175.845671	-87.161511	0.000000	0.000000
-56.600000	4735.352556	1648.324546	3087.028009	1481.135323	723.652668	-556.463445	0.000000	3174.171849	-87.143840	0.000000	0.000000
-56.400000	4731.829970	1646.434238	3085.395732	1481.135317	721.761515	-556.462594	0.000000	3172.521994	-87.126263	0.000000	0.000000
