step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.779236,-6186.19,0,0.641199,-0.165244,-0.138037,-6606.79,420.683,118.74,274.63,-7516.02,515.86,420.683,0,0,0
1,0.766412,-6185.65,0.539207,0.628375,-0.878996,-0.138037,-6607.14,421.493,119.045,275.46,-7517.25,515.599,421.493,0,0,0
2,0.753588,-6186.55,-0.363087,0.615551,0.714851,-0.138037,-6607.05,420.493,119.143,275.731,-7517.41,515.488,420.493,0,0,0
3,0.740764,-6185.77,0.421125,0.602727,-0.690997,-0.138037,-6607.19,421.416,119.018,275.41,-7517.27,515.654,421.416,0,0,0
4,0.72794,-6185.7,0.494761,0.589903,-0.407917,-0.138037,-6607.15,421.45,118.98,275.579,-7517.28,515.575,421.45,0,0,0
5,0.715116,-6185.65,0.539366,0.577079,-0.407326,-0.138037,-6607.18,421.524,118.928,275.366,-7517.19,515.725,421.524,0,0,0
6,0.702292,-6186.22,-0.0324529,0.564255,0.317016,-0.138037,-6607.21,421.072,119.109,275.922,-7517.51,515.272,421.072,0,0,0
7,0.689468,-6185.47,0.717097,0.551431,-1.23428,-0.138037,-6607.19,421.712,119.073,275.505,-7517.34,515.576,421.712,0,0,0
8,0.676644,-6186.11,0.080374,0.538607,-1.00614,-0.138037,-6606.94,420.812,118.612,274.969,-7516.58,516.055,420.812,0,0,0
9,0.66382,-6185.41,0.785435,0.525783,-1.01177,-0.138037,-6607.19,421.79,119.053,275.479,-7517.32,515.591,421.79,0,0,0
10,0.650996,-6185.82,0.370933,0.512959,-1.58521,-0.138037,-6606.84,420.939,119.139,276.009,-7517.35,515.354,420.939,0,0,0
11,0.638172,-6186.14,0.0523881,0.500135,-1.20311,-0.138037,-6607.33,421.188,118.815,275.549,-7517.33,515.639,421.188,0,0,0
12,0.625348,-6185.92,0.268113,0.487311,-1.04698,-0.138037,-6607.04,421.114,119.002,275.427,-7517.13,515.662,421.114,0,0,0
13,0.612524,-6186.46,-0.268827,0.474487,-1.37882,-0.138037,-6607.01,420.718,118.818,275.697,-7517.07,515.543,420.718,0,0,0
14,0.5997,-6185.78,0.409824,0.461663,-0.681847,-0.138037,-6607.22,421.44,119.068,275.512,-7517.39,515.593,421.44,0,0,0
15,0.586876,-6186.19,-0.00378035,0.448839,-0.0949268,-0.138037,-6606.97,420.772,119.092,275.445,-7517.07,515.562,420.772,0,0,0
16,0.574052,-6185.81,0.376798,0.436015,-1.00447,-0.138037,-6607.3,421.484,118.95,275.484,-7517.36,515.631,421.484,0,0,0
17,0.561228,-6186.35,-0.156043,0.423191,1.59748,-0.138037,-6607.24,420.896,119.043,275.711,-7517.28,515.283,420.896,0,0,0
18,0.548404,-6185.7,0.495221,0.410367,-1.97574,-0.138037,-6607.19,421.496,119.039,275.455,-7517.33,515.647,421.496,0,0,0
19,0.53558,-6185.75,0.437661,0.397543,1.55475,-0.138037,-6607,421.242,119.101,275.503,-7517.12,515.521,421.242,0,0,0
20,0.522756,-6186.15,0.0382319,0.384719,0.307484,-0.138037,-6607.02,420.869,119.187,275.095,-7517.27,515.968,420.869,0,0,0
21,0.509932,-6186.31,-0.118381,0.371895,0.902744,-0.138037,-6606.99,420.679,119.002,275.281,-7516.87,515.597,420.679,0,0,0
22,0.497108,-6185.99,0.203681,0.359071,-1.37634,-0.138037,-6607.18,421.197,119.043,275.446,-7517.32,515.646,421.197,0,0,0
23,0.484284,-6185.87,0.317867,0.346247,-0.0705058,-0.138037,-6607.08,421.202,118.987,275.409,-7517.16,515.686,421.202,0,0,0
24,0.47146,-6186.82,-0.63202,0.333423,-0.366209,-0.138037,-6607.22,420.393,119.034,275.47,-7517.29,515.568,420.393,0,0,0
25,0.458636,-6186.46,-0.26918,0.320599,-0.0876983,-0.138037,-6607.12,420.663,119.15,275.294,-7517.25,515.681,420.663,0,0,0
26,0.445812,-6186.58,-0.394177,0.307776,-1.76124,-0.138037,-6607.25,420.67,119.213,275.388,-7517.37,515.513,420.67,0,0,0
27,0.432989,-6185.87,0.322067,0.294952,-0.134661,-0.138037,-6607.12,421.25,119.14,275.416,-7517.29,515.61,421.25,0,0,0
28,0.420165,-6185.81,0.381172,0.282128,0.392689,-0.138037,-6607,421.188,119.055,275.416,-7517.07,515.606,421.188,0,0,0
29,0.407341,-6186.05,0.138467,0.269304,-0.699175,-0.138037,-6607.22,421.164,118.979,275.443,-7517.26,515.62,421.164,0,0,0
30,0.394517,-6185.86,0.329308,0.25648,0.267154,-0.138037,-6607.21,421.347,119.019,275.459,-7517.29,515.602,421.347,0,0,0
31,0.381693,-6186.08,0.111307,0.243656,-0.876561,-0.138037,-6607.18,421.101,118.966,275.489,-7517.25,515.616,421.101,0,0,0
32,0.368869,-6186.08,0.114736,0.230832,0.80889,-0.138037,-6607.05,420.973,118.989,275.371,-7517.06,515.646,420.973,0,0,0
33,0.356045,-6185.97,0.223678,0.218008,-0.748309,-0.138037,-6607.25,421.287,118.992,275.481,-7517.33,515.6,421.287,0,0,0
34,0.343221,-6186.01,0.177745,0.205184,1.10314,-0.138037,-6607.14,421.131,118.941,275.486,-7517.21,515.636,421.131,0,0,0
35,0.330397,-6185.9,0.293925,0.19236,0.215171,-0.138037,-6607.18,421.284,118.963,275.488,-7517.27,515.636,421.284,0,0,0
36,0.317573,-6185.88,0.312674,0.179536,0.442226,-0.138037,-6607.1,421.219,118.993,275.572,-7517.29,515.631,421.219,0,0,0
37,0.304749,-6186.03,0.161987,0.166712,-0.0226407,-0.138037,-6607.06,421.034,119.053,275.316,-7517.09,515.661,421.034,0,0,0
38,0.291925,-6186,0.192434,0.153888,0.537057,-0.138037,-6607.14,421.122,118.905,275.471,-7517.23,515.718,421.122,0,0,0
39,0.279101,-6185.97,0.219653,0.141064,2.22154,-0.138037,-6607.36,421.388,118.815,275.44,-7517.3,515.681,421.388,0,0,0
40,0.266277,-6185.85,0.339522,0.12824,3.5145,-0.138037,-6607.12,421.273,119.193,275.245,-7517.34,515.774,421.273,0,0,0
41,0.253453,-6186.01,0.180087,0.115416,2.49649,-0.138037,-6607.44,421.433,118.905,275.553,-7517.42,515.517,421.433,0,0,0
42,0.240629,-6185.92,0.267962,0.102592,3.97634,-0.138037,-6607.24,421.314,119.244,275.262,-7517.6,515.862,421.314,0,0,0
43,0.227805,-6185.87,0.322121,0.0897679,4.8839,-0.138037,-6606.94,421.073,119.544,275.42,-7517.44,515.54,421.073,0,0,0
44,0.214981,-6186.1,0.0896107,0.0769439,3.80265,-0.138037,-6607.01,420.998,119.151,275.184,-7517.08,515.727,420.998,0,0,0
45,0.202157,-6185.84,0.349488,0.0641199,3.1682,-0.138037,-6607.06,421.299,119.789,275.649,-7517.83,515.341,421.299,0,0,0
46,0.189333,-6185.92,0.26635,0.0512959,3.14013,-0.138037,-6607.38,421.368,118.817,275.041,-7517.45,516.216,421.368,0,0,0
47,0.176509,-6185.67,0.518026,0.0384719,3.04419,-0.138037,-6606.65,421.065,119.924,275.499,-7517.79,515.713,421.065,0,0,0
48,0.163685,-6185.88,0.310549,0.025648,2.984,-0.138037,-6607.23,421.262,118.836,274.685,-7517.03,516.278,421.262,0,0,0
49,0.150861,-6185.47,0.724102,0.012824,4.318,-0.138037,-6607.3,421.831,119.447,275.624,-7517.99,515.618,421.831,0,0,0
50,0.138037,-6185.79,0.400192,0,6.013,-0.138037,-6607.19,421.4,118.971,275.062,-7517.43,516.206,421.4,0,0,0
51,0.125213,-6185.27,0.918828,-0.012824,7.21461,-0.138037,-6607.24,421.966,119.443,275.733,-7518.05,515.638,421.966,0,0,0
52,0.112389,-6185.51,0.683503,-0.025648,7.05752,-0.138037,-6607.04,421.618,118.96,275.257,-7517.46,516.203,421.618,0,0,0
53,0.099565,-6185.25,0.936814,-0.0384719,6.97746,-0.138037,-6607.32,421.979,119.323,274.966,-7517.67,516.066,421.979,0,0,0
54,0.086741,-6185.09,1.09848,-0.0512959,6.28204,-0.138037,-6607.31,422.22,119.612,275.367,-7518.08,515.785,422.22,0,0,0
55,0.0739171,-6185.21,0.983424,-0.0641199,3.81257,-0.138037,-6607.61,422.404,119.479,275.158,-7518.12,515.874,422.404,0,0,0
56,0.0610931,-6185.1,1.09192,-0.0769439,1.7481,-0.138037,-6607.34,422.238,119.532,275.36,-7518.05,515.821,422.238,0,0,0
57,0.0482691,-6184.98,1.20567,-0.0897679,-2.26333,-0.138037,-6607.54,422.559,119.635,275.072,-7518.28,516.025,422.559,0,0,0
58,0.0354451,-6185.27,0.917322,-0.102592,-3.91541,-0.138037,-6607.64,422.368,119.493,275.082,-7518.09,515.878,422.368,0,0,0
59,0.0226211,-6185.14,1.05072,-0.115416,-6.16611,-0.138037,-6607.8,422.58,119.629,275.479,-7518.51,515.592,422.58,0,0,0
60,0.00979717,-6185.31,0.876791,-0.12824,-8.29698,-0.138037,-6607.76,422.446,119.483,275.201,-7518.16,515.713,422.446,0,0,0
61,-0.00302681,-6185.32,0.868257,-0.141064,-9.2202,-0.138037,-6607.82,422.499,119.484,275.439,-7518.26,515.513,422.499,0,0,0
62,-0.0158508,-6185.12,1.06637,-0.153888,-11.4441,-0.138037,-6607.57,422.358,119.608,275.073,-7517.88,515.634,422.358,0,0,0
63,-0.0286748,-6185.65,0.5433,-0.166712,-9.0512,-0.138037,-6607.61,421.962,119.384,275.276,-7517.89,515.618,421.962,0,0,0
64,-0.0414988,-6185.67,0.516153,-0.179536,-7.71595,-0.138037,-6607.51,421.835,119.34,275.381,-7517.79,515.558,421.835,0,0,0
65,-0.0543227,-6185.84,0.350305,-0.19236,-6.20891,-0.138037,-6607.42,421.584,119.252,275.352,-7517.64,515.614,421.584,0,0,0
66,-0.0671467,-6185.84,0.346618,-0.205184,-4.61116,-0.138037,-6607.34,421.494,119.235,275.373,-7517.53,515.585,421.494,0,0,0
67,-0.0799707,-6185.97,0.219556,-0.218008,-3.15393,-0.138037,-6607.25,421.283,119.193,275.368,-7517.41,515.593,421.283,0,0,0
68,-0.0927947,-6185.91,0.278504,-0.230832,-1.81417,-0.138037,-6607.2,421.288,119.163,275.394,-7517.35,515.591,421.288,0,0,0
69,-0.105619,-6185.96,0.22908,-0.243656,-0.483191,-0.138037,-6607.2,421.254,119.116,275.403,-7517.32,515.604,421.254,0,0,0
70,-0.118443,-6185.96,0.233168,-0.25648,0.347533,-0.138037,-6607.19,421.232,119.108,275.48,-7517.35,515.573,421.232,0,0,0
71,-0.131267,-6185.95,0.23617,-0.269304,1.30996,-0.138037,-6607.12,421.167,119.028,275.325,-7517.16,515.68,421.167,0,0,0
72,-0.144091,-6185.95,0.238851,-0.282128,1.35228,-0.138037,-6607.19,421.234,118.962,275.361,-7517.2,515.694,421.234,0,0,0
73,-0.156915,-6185.96,0.229591,-0.294952,1.85308,-0.138037,-6607.03,421.07,118.891,275.175,-7516.97,515.873,421.07,0,0,0
74,-0.169739,-6185.85,0.33753,-0.307776,1.4314,-0.138037,-6607.14,421.291,118.764,274.926,-7516.93,516.098,421.291,0,0,0
75,-0.182563,-6185.87,0.31924,-0.320599,1.41457,-0.138037,-6606.98,421.104,119.314,275.767,-7517.43,515.373,421.104,0,0,0
76,-0.195387,-6185.96,0.228815,-0.333423,1.16939,-0.138037,-6607.17,421.295,118.709,275.123,-7516.98,515.98,421.295,0,0,0
77,-0.20821,-6185.69,0.498522,-0.346247,0.865334,-0.138037,-6607,421.221,119.134,275.367,-7517.17,515.667,421.221,0,0,0
78,-0.221034,-6185.78,0.413223,-0.359071,-4.95025,-0.138037,-6606.58,420.787,119.777,275.439,-7517.14,515.337,420.787,0,0,0
79,-0.233858,-6186.3,-0.104718,-0.371895,-1.9611,-0.138037,-6606.95,420.658,118.953,275.209,-7516.96,515.846,420.658,0,0,0
80,-0.246682,-6185.99,0.205244,-0.384719,0.154473,-0.138037,-6606.54,420.552,119.581,276.447,-7517.41,514.845,420.552,0,0,0
81,-0.259506,-6186.06,0.130475,-0.397543,1.01382,-0.138037,-6607.08,421.021,119.042,275.37,-7517.15,515.653,421.021,0,0,0
82,-0.27233,-6185.8,0.390934,-0.410367,1.44564,-0.138037,-6606.2,420.402,119.831,276.398,-7517.28,514.854,420.402,0,0,0
83,-0.285154,-6186.05,0.137378,-0.423191,2.17074,-0.138037,-6607.07,421.017,118.815,275.239,-7516.96,515.836,421.017,0,0,0
84,-0.297978,-6185.77,0.423082,-0.436015,2.66475,-0.138037,-6606.35,420.582,119.817,276.38,-7517.4,514.855,420.582,0,0,0
