step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.503162,-6186.19,0,-0.641199,0.165332,-0.138037,-6606.79,420.683,118.741,274.623,-7516.01,515.861,420.683,0,0,0
1,-0.490338,-6185.61,0.585296,-0.628375,0.378137,-0.138037,-6607.17,421.566,119.028,275.461,-7517.26,515.6,421.566,0,0,0
2,-0.477514,-6186.57,-0.37976,-0.615551,0.385499,-0.138037,-6607.24,420.668,118.745,275.555,-7517.32,515.778,420.668,0,0,0
3,-0.46469,-6185.84,0.347397,-0.602727,-0.511485,-0.138037,-6607.18,421.339,119.068,275.527,-7517.3,515.521,421.339,0,0,0
4,-0.451866,-6186.36,-0.173822,-0.589903,0.860544,-0.138037,-6607.16,420.798,118.989,275.666,-7517.34,515.519,420.798,0,0,0
5,-0.439042,-6186.78,-0.586561,-0.577079,0.146333,-0.138037,-6607.12,420.348,119.101,275.587,-7517.31,515.497,420.348,0,0,0
6,-0.426218,-6185.94,0.253529,-0.564255,0.209415,-0.138037,-6607.11,421.091,119.116,275.5,-7517.29,515.56,421.091,0,0,0
7,-0.413394,-6186.62,-0.431357,-0.551431,0.000871973,-0.138037,-6607.02,420.394,119.232,275.608,-7517.28,515.429,420.394,0,0,0
8,-0.40057,-6185.94,0.245931,-0.538607,0.129692,-0.138037,-6607.04,421.1,119.148,275.335,-7517.17,515.64,421.1,0,0,0
9,-0.387746,-6186.82,-0.627208,-0.525783,-0.258012,-0.138037,-6607.21,420.397,118.988,275.453,-7517.3,515.647,420.397,0,0,0
10,-0.374922,-6185.3,0.890602,-0.512959,-0.834349,-0.138037,-6607.2,421.901,119.025,275.431,-7517.28,515.621,421.901,0,0,0
11,-0.362098,-6187.12,-0.926619,-0.500135,-0.840938,-0.138037,-6607.2,420.081,119.003,275.66,-7517.35,515.49,420.081,0,0,0
12,-0.349274,-6185.49,0.698796,-0.487311,-0.955821,-0.138037,-6607.14,421.651,119.051,275.536,-7517.3,515.57,421.651,0,0,0
13,-0.33645,-6185.5,0.695142,-0.474487,-0.793861,-0.138037,-6607.16,421.663,119.028,275.465,-7517.26,515.606,421.663,0,0,0
14,-0.323626,-6186.53,-0.338898,-0.461663,-2.20269,-0.138037,-6607.08,420.55,119.612,275.874,-7517.79,515.221,420.55,0,0,0
15,-0.310802,-6186.6,-0.407223,-0.448839,-2.98622,-0.138037,-6607.19,420.591,118.689,275.047,-7517,516.077,420.591,0,0,0
16,-0.297978,-6185.8,0.387471,-0.436015,-1.16095,-0.138037,-6607.2,421.562,118.938,275.582,-7517.26,515.546,421.562,0,0,0
17,-0.285154,-6186.1,0.0897024,-0.423191,-2.16511,-0.138037,-6607.25,421.147,118.937,275.577,-7517.33,515.57,421.147,0,0,0
18,-0.27233,-6185.73,0.456913,-0.410367,-2.25933,-0.138037,-6607.09,421.357,119.02,275.441,-7517.18,515.627,421.357,0,0,0
19,-0.259506,-6186.5,-0.311571,-0.397543,-0.807176,-0.138037,-6607.34,420.837,119.279,275.692,-7517.6,515.289,420.837,0,0,0
20,-0.246682,-6186.05,0.140521,-0.384719,-2.62874,-0.138037,-6607.14,421.172,119.005,275.445,-7517.19,515.603,421.172,0,0,0
21,-0.233858,-6186.43,-0.237776,-0.371895,1.47975,-0.138037,-6607.3,420.872,119.167,275.461,-7517.45,515.519,420.872,0,0,0
22,-0.221034,-6185.85,0.34488,-0.359071,-1.6572,-0.138037,-6607.03,421.187,119.055,275.411,-7517.15,515.652,421.187,0,0,0
23,-0.20821,-6186.22,-0.0256468,-0.346247,7.73723,-0.138037,-6606.99,420.706,119.433,275.271,-7517.31,515.623,420.706,0,0,0
24,-0.195387,-6185.54,0.652179,-0.333423,-0.747761,-0.138037,-6607.17,421.63,119.068,275.494,-7517.29,515.556,421.63,0,0,0
25,-0.182563,-6185.91,0.283914,-0.320599,-1.45812,-0.138037,-6607.28,421.37,119.056,275.399,-7517.32,515.585,421.37,0,0,0
26,-0.169739,-6186.78,-0.593869,-0.307776,-1.27154,-0.138037,-6607.05,420.269,119.039,275.502,-7517.24,515.641,420.269,0,0,0
27,-0.156915,-6185.82,0.370906,-0.294952,-1.62339,-0.138037,-6607.08,421.256,119.186,275.356,-7517.22,515.606,421.256,0,0,0
28,-0.144091,-6186.04,0.151134,-0.282128,-1.57648,-0.138037,-6607.03,420.987,118.883,275.662,-7517.14,515.566,420.987,0,0,0
29,-0.131267,-6186.1,0.0883686,-0.269304,-1.5373,-0.138037,-6607.06,421.038,119.22,275.181,-7517.16,515.706,421.038,0,0,0
30,-0.118443,-6185.94,0.254347,-0.25648,-0.733058,-0.138037,-6607.17,421.231,119.056,275.487,-7517.18,515.47,421.231,0,0,0
31,-0.105619,-6185.82,0.36679,-0.243656,4.70325,-0.138037,-6607.67,421.936,119.21,275.1,-7517.81,515.827,421.936,0,0,0
32,-0.0927947,-6185.87,0.320898,-0.230832,1.93722,-0.138037,-6607.55,421.764,119.621,275.759,-7518.36,515.428,421.764,0,0,0
33,-0.0799707,-6185.67,0.522943,-0.218008,3.67531,-0.138037,-6607.61,421.938,118.938,274.975,-7517.88,516.361,421.938,0,0,0
34,-0.0671467,-6185.47,0.723817,-0.205184,5.07935,-0.138037,-6607.11,421.644,119.705,276.236,-7518.24,515.192,421.644,0,0,0
35,-0.0543227,-6185.44,0.75254,-0.19236,3.09199,-0.138037,-6605.66,420.305,118.943,274.379,-7516.11,517.131,420.305,0,0,0
36,-0.0414988,-6185.47,0.717728,-0.179536,8.30693,-0.138037,-6606.5,421.023,119.446,276.629,-7517.48,514.913,421.023,0,0,0
37,-0.0286748,-6185.44,0.754604,-0.166712,6.98422,-0.138037,-6606.03,420.765,118.088,274.772,-7515.86,516.965,420.765,0,0,0
38,-0.0158508,-6185.21,0.977161,-0.153888,7.5594,-0.138037,-6606.65,421.456,121.7,275.408,-7518.57,514.81,421.456,0,0,0
39,-0.00302681,-6184.42,1.76852,-0.141064,6.23661,-0.138037,-6606.37,421.952,118.44,273.896,-7515.94,517.228,421.952,0,0,0
40,0.00979717,-6184.95,1.24134,-0.12824,6.97714,-0.138037,-6606.58,421.652,120.802,275.488,-7517.9,515.031,421.652,0,0,0
41,0.0226211,-6184.02,2.1726,-0.115416,2.66518,-0.138037,-6606.65,422.459,121.104,274.093,-7518.25,516.41,422.459,0,0,0
42,0.0354451,-6185.13,1.05582,-0.102592,4.16861,-0.138037,-6607.82,422.69,119.426,275.069,-7518.24,515.916,422.69,0,0,0
43,0.0482691,-6185.02,1.16636,-0.0897679,1.80487,-0.138037,-6607.69,422.665,119.711,275.5,-7518.43,515.528,422.665,0,0,0
44,0.0610931,-6185.12,1.07232,-0.0769439,-1.51943,-0.138037,-6607.55,422.431,119.148,274.748,-7517.59,516.142,422.431,0,0,0
45,0.0739171,-6184.98,1.20854,-0.0641199,-4.35449,-0.138037,-6607.68,422.782,119.587,275.934,-7518.37,515.174,422.782,0,0,0
46,0.086741,-6184.87,1.31977,-0.0512959,-6.6342,-0.138037,-6607.57,422.724,118.05,275.141,-7517.32,516.551,422.724,0,0,0
47,0.099565,-6185.47,0.723933,-0.0384719,-6.87829,-0.138037,-6607.54,422.155,119.004,275.011,-7517.73,516.176,422.155,0,0,0
48,0.112389,-6185.15,1.04479,-0.025648,-7.51664,-0.138037,-6607.59,422.445,119.27,275.955,-7518.35,515.532,422.445,0,0,0
49,0.125213,-6185.65,0.536518,-0.012824,-6.76369,-0.138037,-6607.15,421.492,118.978,274.734,-7517.17,516.308,421.492,0,0,0
50,0.138037,-6185.38,0.812546,0,-6.58536,-0.138037,-6607.25,421.869,119.532,275.684,-7518.01,515.549,421.869,0,0,0
51,0.150861,-6185.83,0.362528,0.012824,-3.85746,-0.138037,-6606.9,421.158,118.776,275.114,-7517.13,516.343,421.158,0,0,0
52,0.163685,-6185.67,0.515651,0.025648,-6.00368,-0.138037,-6607.23,421.556,119.176,275.252,-7517.54,515.877,421.556,0,0,0
53,0.176509,-6185.77,0.418728,0.0384719,-5.6422,-0.138037,-6607.16,421.389,119.187,275.276,-7517.48,515.856,421.389,0,0,0
54,0.189333,-6185.83,0.358357,0.0512959,-5.32583,-0.138037,-6607.15,421.323,119.155,275.333,-7517.47,515.827,421.323,0,0,0
55,0.202157,-6185.91,0.284887,0.0641199,-4.75824,-0.138037,-6607.18,421.272,119.071,275.351,-7517.41,515.814,421.272,0,0,0
56,0.214981,-6185.93,0.257857,0.0769439,-4.84312,-0.138037,-6607.2,421.272,119.125,275.347,-7517.45,515.776,421.272,0,0,0
57,0.227805,-6186,0.186989,0.0897679,-4.3324,-0.138037,-6607.2,421.197,118.946,275.441,-7517.38,515.789,421.197,0,0,0
58,0.240629,-6186.03,0.160477,0.102592,-3.10115,-0.138037,-6607.12,421.093,119.097,275.375,-7517.3,515.71,421.093,0,0,0
59,0.253453,-6186.11,0.0848217,0.115416,-2.97396,-0.138037,-6607.2,421.099,119.026,275.407,-7517.33,515.697,421.099,0,0,0
60,0.266277,-6186.18,0.0150681,0.12824,-1.34483,-0.138037,-6607.26,421.085,118.783,275.361,-7517.21,515.81,421.085,0,0,0
61,0.279101,-6186.26,-0.0738666,0.141064,-0.264093,-0.138037,-6607.08,420.982,118.935,275.234,-7517.05,515.805,420.982,0,0,0
62,0.291925,-6185.95,0.237138,0.153888,-0.227319,-0.138037,-6606.77,420.796,119.123,275.148,-7516.88,515.842,420.796,0,0,0
63,0.304749,-6186.02,0.173967,0.166712,-0.0492375,-0.138037,-6607.14,421.125,119.032,275.495,-7517.26,515.59,421.125,0,0,0
64,0.317573,-6186.09,0.0958893,0.179536,-0.423631,-0.138037,-6606.92,420.826,118.885,275.034,-7516.74,515.895,420.826,0,0,0
65,0.330397,-6185.9,0.289753,0.19236,0.668722,-0.138037,-6607.21,421.307,118.943,275.481,-7517.28,515.645,421.307,0,0,0
66,0.343221,-6185.86,0.329482,0.205184,-3.28987,-0.138037,-6607.08,421.221,119.101,275.545,-7517.28,515.55,421.221,0,0,0
67,0.356045,-6186.11,0.084715,0.218008,-1.92756,-0.138037,-6607.15,421.048,118.973,275.427,-7517.22,515.671,421.048,0,0,0
68,0.368869,-6186.05,0.135658,0.230832,-1.26,-0.138037,-6607.23,421.178,118.975,275.256,-7517.22,515.761,421.178,0,0,0
69,0.381693,-6185.94,0.245991,0.243656,-0.976007,-0.138037,-6607.16,421.218,118.947,275.371,-7517.2,515.717,421.218,0,0,0
70,0.394517,-6185.96,0.234525,0.25648,-0.995746,-0.138037,-6607.11,421.065,119.017,275.097,-7517.09,515.87,421.065,0,0,0
71,0.407341,-6185.89,0.304746,0.269304,-0.917366,-0.138037,-6607.22,421.414,119.247,275.631,-7517.49,515.393,421.414,0,0,0
72,0.420165,-6185.82,0.366421,0.282128,-0.832129,-0.138037,-6607.22,421.397,119.279,275.701,-7517.52,515.314,421.397,0,0,0
73,0.432989,-6185.83,0.360518,0.294952,-0.638942,-0.138037,-6607.24,421.325,118.955,275.205,-7517.17,515.774,421.325,0,0,0
74,0.445812,-6185.98,0.214044,0.307776,-0.518514,-0.138037,-6607.01,421.036,118.858,274.943,-7516.84,516.031,421.036,0,0,0
75,0.458636,-6185.85,0.335809,0.320599,-0.909296,-0.138037,-6607.23,421.464,119.224,275.519,-7517.42,515.439,421.464,0,0,0
76,0.47146,-6185.81,0.380313,0.333423,-0.794446,-0.138037,-6607.24,421.427,119.248,276.094,-7517.71,515.127,421.427,0,0,0
77,0.484284,-6185.93,0.260869,0.346247,-0.332432,-0.138037,-6607.07,421.14,118.797,275.043,-7516.83,515.919,421.14,0,0,0
78,0.497108,-6185.89,0.299947,0.359071,-1.03541,-0.138037,-6607.04,421.129,119.382,275.911,-7517.54,515.205,421.129,0,0,0
79,0.509932,-6185.84,0.347994,0.371895,-1.16526,-0.138037,-6607.08,421.242,119.175,275.429,-7517.21,515.517,421.242,0,0,0
80,0.522756,-6185.75,0.436344,0.384719,-3.85107,-0.138037,-6607,421.242,119.401,275.586,-7517.36,515.375,421.242,0,0,0
81,0.53558,-6185.92,0.273044,0.397543,-2.62568,-0.138037,-6606.88,420.965,119.486,276.052,-7517.3,514.878,420.965,0,0,0
82,0.548404,-6185.77,0.418809,0.410367,-3.37915,-0.138037,-6607.14,421.368,119.003,275.189,-7517.22,515.887,421.368,0,0,0
83,0.561228,-6185.69,0.504417,0.423191,-1.93522,-0.138037,-6607.1,421.409,119.231,275.593,-7517.47,515.55,421.409,0,0,0
84,0.574052,-6185.83,0.365134,0.436015,-1.29702,-0.138037,-6606.68,420.852,119.029,274.725,-7516.6,516.169,420.852,0,0,0
85,0.586876,-6185.76,0.427521,0.448839,-0.550343,-0.138037,-6606.67,420.903,119.323,275.625,-7517.3,515.684,420.903,0,0,0
86,0.5997,-6185.73,0.464741,0.461663,0.805395,-0.138037,-6607.13,421.405,118.882,274.921,-7516.87,515.937,421.405,0,0,0
87,0.612524,-6186.58,-0.386556,0.474487,1.42565,-0.138037,-6606.44,419.86,119.724,274.97,-7516.5,515.366,419.86,0,0,0
88,0.625348,-6186.12,0.0729312,0.487311,1.8594,-0.138037,-6607.13,421.181,119.033,275.21,-7517.15,515.773,421.181,0,0,0
89,0.638172,-6186.43,-0.239744,0.500135,1.82163,-0.138037,-6606.86,420.428,119.713,275.241,-7517.86,516.05,420.428,0,0,0
90,0.650996,-6185.67,0.520295,0.512959,1.83283,-0.138037,-6607,421.411,119.16,275.574,-7517.22,515.485,421.411,0,0,0
91,0.66382,-6187.28,-1.08812,0.525783,1.33462,-0.138037,-6606.87,419.593,119.482,276.09,-7517.55,515.101,419.593,0,0,0
92,0.676644,-6186.09,0.0994122,0.538607,0.95716,-0.138037,-6607.04,420.949,119.08,275.296,-7517.06,515.639,420.949,0,0,0
93,0.689468,-6185.38,0.806303,0.551431,1.20423,-0.138037,-6607.19,421.805,119.024,275.477,-7517.29,515.603,421.805,0,0,0
94,0.702292,-6186.44,-0.24695,0.564255,0.639228,-0.138037,-6607.32,420.883,118.907,275.436,-7517.35,515.687,420.883,0,0,0
95,0.715116,-6185.7,0.492928,0.577079,0.0421561,-0.138037,-6607.23,421.533,119.043,275.521,-7517.33,515.538,421.533,0,0,0
96,0.72794,-6185.53,0.656692,0.589903,0.314583,-0.138037,-6607.3,421.682,119.004,275.464,-7517.4,515.633,421.682,0,0,0
97,0.740764,-6185.52,0.667649,0.602727,0.681217,-0.138037,-6607.21,421.69,119.035,275.498,-7517.32,515.577,421.69,0,0,0
98,0.753588,-6186.21,-0.0225613,0.615551,-0.663161,-0.138037,-6607.22,421.005,119.147,275.688,-7517.49,515.434,421.005,0,0,0
99,0.766412,-6185.85,0.344639,0.628375,0.677436,-0.138037,-6607.13,421.289,119.1,275.508,-7517.4,515.654,421.289,0,0,0
