step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.777043,-6188.69,0,0.639431,-0.728945,-0.137612,-6615.26,426.573,106.576,263.288,-7504.37,519.244,426.573,0,0,0
1,0.764398,-6189.78,-1.08846,0.626642,-0.646544,-0.137756,-6615.34,425.567,106.761,263.394,-7504.23,518.735,425.567,0,0,0
2,0.751603,-6188.66,0.0247157,0.613854,0.848195,-0.137749,-6615.26,426.597,106.692,263.289,-7504.08,518.843,426.597,0,0,0
3,0.738814,-6188.56,0.124167,0.601065,-1.46791,-0.137749,-6615.34,426.777,106.76,263.392,-7504.23,518.741,426.777,0,0,0
4,0.726028,-6188.85,-0.159086,0.588277,-0.140195,-0.137752,-6615.34,426.552,106.94,263.526,-7504.42,518.612,426.552,0,0,0
5,0.713254,-6188.45,0.239479,0.575488,-0.286483,-0.137766,-6615.35,426.899,106.815,263.447,-7504.3,518.689,426.899,0,0,0
6,0.700445,-6189.07,-0.385021,0.562699,0.686781,-0.137746,-6614.89,425.9,106.885,262.997,-7503.78,519.008,425.9,0,0,0
7,0.687644,-6189.31,-0.625618,0.549911,-1.81058,-0.137733,-6615.5,426.222,106.68,263.299,-7504.37,518.895,426.222,0,0,0
8,0.674892,-6188.69,-0.00335763,0.537122,-1.84621,-0.13777,-6615.49,426.882,106.669,263.427,-7504.3,518.721,426.882,0,0,0
9,0.66207,-6189.21,-0.527006,0.524333,-1.67644,-0.137736,-6615.36,426.148,106.756,263.238,-7504.2,518.845,426.148,0,0,0
10,0.649302,-6188.61,0.0742006,0.511545,-2.40994,-0.137757,-6615.7,427.001,106.611,263.75,-7504.58,518.52,427.001,0,0,0
11,0.636517,-6189.29,-0.600314,0.498756,-3.48115,-0.137761,-6615.36,426.159,107.04,263.242,-7504.37,518.729,426.159,0,0,0
12,0.623719,-6189.4,-0.716661,0.485968,-2.01784,-0.137751,-6615.43,426.03,106.641,263.483,-7504.33,518.771,426.03,0,0,0
13,0.610938,-6189.21,-0.523029,0.473179,-2.1827,-0.137759,-6615.07,425.858,106.861,263.426,-7504.16,518.801,425.858,0,0,0
14,0.598159,-6189.22,-0.529595,0.46039,-1.78483,-0.137769,-6615.77,426.556,106.747,263.207,-7504.64,518.913,426.556,0,0,0
15,0.58531,-6189.3,-0.612181,0.447602,-0.402087,-0.137708,-6614.95,425.512,106.787,263.524,-7504.16,518.903,425.512,0,0,0
16,0.572534,-6189.14,-0.455359,0.434813,-2.2822,-0.137721,-6615.48,426.332,106.762,263.082,-7504.43,519.107,426.332,0,0,0
17,0.559759,-6189.01,-0.325651,0.422024,1.05273,-0.137734,-6614.91,425.852,106.901,263.295,-7503.92,518.812,425.852,0,0,0
18,0.546979,-6189.3,-0.615123,0.409236,0.169268,-0.137743,-6615.11,425.808,106.816,262.953,-7504.01,519.128,425.808,0,0,0
19,0.534214,-6190.11,-1.41761,0.396447,-0.221854,-0.137767,-6615.54,425.525,106.781,263.427,-7504.49,518.74,425.525,0,0,0
20,0.521411,-6189.1,-0.408848,0.383659,-0.343076,-0.137752,-6615.33,426.237,106.715,263.331,-7504.14,518.755,426.237,0,0,0
21,0.508618,-6188.92,-0.232735,0.37087,-2.567,-0.137748,-6615.17,426.254,106.84,263.451,-7504.22,518.759,426.254,0,0,0
22,0.495821,-6189.06,-0.373178,0.358081,-0.83185,-0.13774,-6615.22,426.155,106.882,263.503,-7504.22,518.621,426.155,0,0,0
23,0.483044,-6189.21,-0.524399,0.345293,-1.26424,-0.137751,-6615.37,426.161,106.758,263.42,-7504.23,518.677,426.161,0,0,0
24,0.470247,-6189.06,-0.376321,0.332504,-1.12077,-0.137743,-6615.29,426.228,106.82,263.277,-7504.11,518.724,426.228,0,0,0
25,0.457449,-6189.18,-0.490093,0.319715,-2.05546,-0.137733,-6615.11,426.016,106.828,263.344,-7504.04,518.757,426.016,0,0,0
26,0.444668,-6189.15,-0.465659,0.306927,-2.13971,-0.137742,-6615.41,426.256,106.79,263.398,-7504.32,518.722,426.256,0,0,0
27,0.431868,-6189.47,-0.77949,0.294138,-1.71416,-0.13773,-6615.42,425.956,106.811,263.406,-7504.29,518.654,425.956,0,0,0
28,0.419088,-6189.13,-0.446974,0.28135,-1.40242,-0.137739,-6615.46,426.33,106.747,263.408,-7504.32,518.704,426.33,0,0,0
29,0.406295,-6189.52,-0.832749,0.268561,-2.01694,-0.137734,-6615.51,425.992,106.636,263.615,-7504.32,518.552,425.992,0,0,0
30,0.393529,-6189.63,-0.938863,0.255772,-1.4725,-0.137756,-6615.37,425.742,106.756,263.376,-7504.19,518.692,425.742,0,0,0
31,0.380733,-6189.37,-0.683525,0.242984,-0.349147,-0.137749,-6615.43,426.058,106.728,263.407,-7504.27,518.703,426.058,0,0,0
