step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.501819,-6188.69,0,-0.639431,0.728948,-0.137612,-6615.26,426.573,106.576,263.288,-7504.37,519.244,426.573,0,0,0
1,-0.488886,-6189.53,-0.845678,-0.626642,1.13314,-0.137756,-6615.17,425.634,106.629,263.293,-7503.9,518.814,425.634,0,0,0
2,-0.476099,-6188.6,0.09204,-0.613854,-0.344279,-0.137755,-6615.4,426.809,106.734,263.408,-7504.31,518.763,426.809,0,0,0
3,-0.463317,-6189.65,-0.958325,-0.601065,1.92696,-0.137748,-6615.03,425.381,107.376,263.703,-7504.51,518.403,425.381,0,0,0
4,-0.450508,-6188.59,0.0981944,-0.588277,-0.299214,-0.137769,-6615.36,426.773,106.751,263.37,-7504.23,518.748,426.773,0,0,0
5,-0.437741,-6188.44,0.250766,-0.575488,2.25092,-0.137747,-6616.04,427.686,106.884,264.227,-7505.31,518.161,427.686,0,0,0
6,-0.424937,-6188.61,0.0753403,-0.562699,0.82031,-0.137763,-6615.34,426.728,106.789,263.396,-7504.25,518.726,426.728,0,0,0
7,-0.412165,-6188.81,-0.126839,-0.549911,-0.92647,-0.137746,-6615.27,426.369,107.052,264.248,-7504.67,518.096,426.369,0,0,0
8,-0.399373,-6188.12,0.564827,-0.537122,-1.5205,-0.137749,-6615.33,427.207,106.768,263.378,-7504.22,518.743,427.207,0,0,0
9,-0.386587,-6188.89,-0.202154,-0.524333,-2.01269,-0.137747,-6615.28,426.386,107.263,263.849,-7504.73,518.337,426.386,0,0,0
10,-0.37373,-6189.71,-1.02326,-0.511545,-2.12988,-0.137815,-6615.21,425.502,106.861,263.188,-7504.06,518.795,425.502,0,0,0
11,-0.36097,-6189.14,-0.453481,-0.498756,-3.18693,-0.137786,-6615.14,426.086,106.709,263.288,-7504.05,518.914,426.086,0,0,0
12,-0.348225,-6188.68,0.00324749,-0.485968,-2.50214,-0.137742,-6615.33,426.735,106.761,263.407,-7504.19,518.688,426.735,0,0,0
13,-0.335438,-6188.88,-0.191108,-0.473179,-5.36538,-0.137741,-6615.12,426.237,106.822,263.465,-7504.21,518.807,426.237,0,0,0
14,-0.322631,-6188.73,-0.0392501,-0.46039,-1.37688,-0.137759,-6615.27,426.541,106.793,263.439,-7504.2,518.698,426.541,0,0,0
15,-0.309857,-6188.86,-0.17544,-0.447602,-4.78772,-0.137745,-6615.34,426.473,106.46,263.248,-7504.18,519.14,426.473,0,0,0
16,-0.297082,-6189.73,-1.04253,-0.434813,-4.36569,-0.137731,-6615.02,425.289,107.04,263.427,-7504.07,518.585,425.289,0,0,0
17,-0.284285,-6189.16,-0.475248,-0.422024,-3.91569,-0.13774,-6615.17,426.004,106.751,263.303,-7503.93,518.713,426.004,0,0,0
18,-0.27149,-6190.04,-1.34833,-0.409236,-3.39542,-0.137746,-6614.32,424.285,107.68,263.365,-7503.89,518.525,424.285,0,0,0
19,-0.258708,-6189.15,-0.463436,-0.396447,-3.27465,-0.137739,-6615.25,426.103,106.696,263.214,-7503.93,518.766,426.103,0,0,0
20,-0.245886,-6189.13,-0.437947,-0.383659,0.693509,-0.137773,-6615.18,426.053,106.776,263.203,-7503.98,518.827,426.053,0,0,0
21,-0.233115,-6189.09,-0.398502,-0.37087,3.07474,-0.137755,-6615.29,426.203,106.968,263.54,-7504.31,518.516,426.203,0,0,0
22,-0.220341,-6189.46,-0.767693,-0.358081,8.28333,-0.137741,-6615.72,426.268,106.863,263.455,-7504.61,518.571,426.268,0,0,0
23,-0.207506,-6189.44,-0.753568,-0.345293,-2.38091,-0.137786,-6615.05,425.696,106.921,263.43,-7504.13,518.723,425.696,0,0,0
