step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738936,-3684.36,0,0.664813,6.76086,100,-4389.62,705.187,641.158,996.292,-6510.92,483.844,704.671,0.515425
1,0.726154,-3685.72,-1.3522,0.651517,8.40064,100,-4390.9,705.184,639.027,995.888,-6509.78,483.967,704.92,0.26393
2,0.712778,-3687.51,-3.14099,0.63822,13.3438,100,-4389.51,702.008,640.034,996.642,-6509.94,483.752,702.696,-0.687337
3,0.699476,-3686.46,-2.09785,0.624924,11.9374,100,-4389.81,703.35,639.826,996.156,-6509.7,483.907,703.888,-0.537847
4,0.686186,-3685.76,-1.39768,0.611628,13.0239,100,-4389.64,703.946,639.889,996.241,-6509.68,483.91,704.498,-0.551639
5,0.672884,-3685.43,-1.06535,0.598332,16.5157,100,-4389.65,704.222,639.914,996.142,-6509.63,483.922,704.796,-0.573757
6,0.659586,-3685.2,-0.83142,0.585035,18.651,100,-4389.55,704.356,639.979,996.113,-6509.58,483.939,704.921,-0.565551
7,0.646285,-3684.89,-0.529244,0.571739,8.72824,100,-4389.46,704.568,640.05,996.053,-6509.53,483.968,705.19,-0.622422
8,0.632981,-3685.14,-0.773119,0.558443,-3.79194,100,-4389.44,704.305,640.053,996.045,-6509.53,483.988,704.956,-0.651077
9,0.619677,-3684.45,-0.0834673,0.545147,-12.664,100,-4389.39,704.947,640.02,996.138,-6509.54,483.986,705.609,-0.662675
10,0.606377,-3685.79,-1.42735,0.53185,-18.665,100,-4389.49,703.7,639.973,996.086,-6509.55,484.003,704.361,-0.66178
11,0.593079,-3685.96,-1.59107,0.518554,-16.2757,100,-4389.5,703.544,639.967,996.122,-6509.58,483.994,704.224,-0.680767
12,0.57978,-3686.15,-1.7828,0.505258,-12.3142,100,-4389.5,703.353,639.922,996.174,-6509.59,483.998,704.051,-0.697452
13,0.566481,-3686.85,-2.48702,0.491962,-10.446,100,-4389.5,702.645,639.942,996.171,-6509.61,483.998,703.338,-0.69381
14,0.553187,-3687.81,-3.44285,0.478665,-9.92785,100,-4389.55,701.743,639.904,996.23,-6509.68,483.99,702.432,-0.689494
15,0.539888,-3688.66,-4.29739,0.465369,-7.10355,100,-4389.62,700.955,639.882,996.193,-6509.66,483.97,701.629,-0.673087
16,0.526588,-3689.77,-5.40535,0.452073,-5.03606,100,-4389.69,699.917,639.814,996.247,-6509.73,483.986,700.612,-0.695961
17,0.51329,-3690.27,-5.90592,0.438777,1.88463,100,-4389.79,699.518,639.889,996.134,-6509.76,483.951,700.127,-0.608365
