step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738936,-3689.01,0,0.664813,6.27126,378,-4389.99,700.979,639.752,996.26,-6509.82,483.819,701.494,-0.514708
1,0.726227,-3688.06,0.952601,0.651648,8.15945,17,-4390.04,701.977,639.754,996.19,-6509.86,483.882,702.504,-0.526579
2,0.713049,-3687.66,1.35611,0.638484,13.3152,20,-4389.89,702.235,639.763,996.231,-6509.76,483.877,702.762,-0.527008
3,0.699884,-3686.46,2.54875,0.625319,11.7169,24,-4389.95,703.491,639.565,996.287,-6509.71,483.905,703.981,-0.490239
4,0.68671,-3685.75,3.25699,0.612155,12.9268,13,-4389.52,703.764,639.942,996.411,-6509.7,483.831,704.271,-0.506555
5,0.673537,-3685.55,3.45807,0.59899,16.4304,11,-4389.33,703.776,640.307,996.137,-6509.53,483.758,704.274,-0.497766
6,0.660376,-3685.32,3.69554,0.585825,18.564,12,-4389.29,703.976,640.126,996.145,-6509.36,483.802,704.473,-0.497694
7,0.647206,-3684.66,4.35375,0.572661,10.6181,13,-4389.2,704.545,640.639,995.62,-6509.35,483.883,705.043,-0.497972
8,0.634059,-3684.85,4.15662,0.559496,-1.94635,38,-4389.43,704.571,640.024,996.065,-6509.52,484.006,705.208,-0.637547
9,0.620867,-3684.2,4.80885,0.546331,-12.7629,25,-4389.42,705.218,639.942,996.379,-6509.66,483.917,705.879,-0.661685
10,0.607689,-3685.53,3.48542,0.533167,-18.6542,6,-4389.27,703.745,640.382,996.077,-6509.6,483.871,704.377,-0.632717
11,0.594531,-3685.75,3.26004,0.520002,-16.3538,9,-4389.21,703.455,640.344,996.119,-6509.57,483.9,704.079,-0.624071
12,0.581363,-3685.94,3.07629,0.506838,-12.5962,11,-4389.17,703.234,640.166,996.238,-6509.54,483.972,703.859,-0.624827
13,0.568196,-3686.83,2.18022,0.493673,-11.2345,48,-4389.53,702.703,639.877,996.217,-6509.62,483.994,703.399,-0.695543
14,0.55503,-3687.49,1.51799,0.480508,-9.08185,32,-4390.02,702.526,639.785,996.095,-6509.81,483.909,703.063,-0.537562
15,0.541854,-3688.61,0.401912,0.467344,-8.19675,9,-4389.93,701.321,639.848,996.053,-6509.69,483.86,701.765,-0.444228
16,0.528696,-3689.78,-0.768475,0.454179,-6.45514,12,-4389.89,700.105,639.894,995.928,-6509.61,483.9,700.457,-0.351324
17,0.515543,-3690.34,-1.32851,0.441015,0.00613362,30,-4389.87,699.527,639.725,996.158,-6509.73,483.978,700.137,-0.60912
18,0.502366,-3689.78,-0.771046,0.42785,6.79428,63,-4389.85,700.069,639.999,996.123,-6509.83,483.861,700.548,-0.478953
19,0.489218,-3688.64,0.367921,0.414685,16.0477,38,-4390.11,701.467,639.914,996.067,-6509.91,483.815,701.795,-0.327718
20,0.47605,-3687.36,1.64774,0.401521,32.0407,27,-4390.47,703.106,639.82,996.005,-6510,483.702,703.169,-0.0628223
21,0.462878,-3686.71,2.30461,0.388356,67.9748,27,-4390.56,703.856,640.266,995.09,-6509.89,483.969,703.487,0.369683
22,0.449752,-3685.31,3.70001,0.375191,110.393,57,-4391.48,706.172,639.835,995.752,-6510.42,483.349,705.018,1.15439
23,0.436621,-3683.48,5.53493,0.362027,170.887,102,-4392.17,708.698,639.762,995.766,-6510.71,483.005,706.602,2.09628
24,0.423511,-3679.18,9.82815,0.348862,311.553,6,-4392.17,712.991,639.762,995.766,-6510.71,483.004,710.895,2.09628
25,0.410347,-3672.6,16.415,0.335698,545.337,6,-4392.17,719.578,639.762,995.766,-6510.71,483.004,717.482,2.09628
26,0.397182,-3663.46,25.5514,0.322533,967.651,6,-4392.23,728.769,639.719,995.76,-6510.71,482.999,726.662,2.10682
27,0.384017,-3646.49,42.5258,0.309368,1724.54,6,-4392.36,745.877,639.612,995.748,-6510.71,482.985,743.743,2.13474
28,0.370849,-3616.92,72.0926,0.296204,3069.01,6,-4392.57,775.651,639.449,995.728,-6510.71,482.962,773.467,2.18411
29,0.35768,-3563.03,125.979,0.283039,5497.82,6,-4392.86,829.824,639.225,995.701,-6510.7,482.923,827.552,2.27221
30,0.344508,-3464.84,224.176,0.269875,9929.3,6,-4393.11,928.276,639.036,995.678,-6510.69,482.861,925.847,2.42869
31,0.331329,-3642.62,46.3893,0.25671,430.04,105,-4377.04,734.418,641.903,1011.03,-6512.67,482.697,717.296,17.1223
32,0.318581,-3633.01,55.9986,0.243545,915.223,6,-4376.94,743.93,641.997,1011.05,-6512.67,482.688,726.827,17.1027
33,0.305416,-3617.82,71.192,0.230381,1620.21,6,-4376.66,758.839,642.262,1011.1,-6512.69,482.664,741.784,17.0549
34,0.292252,-3589.34,99.6747,0.217216,2860.98,6,-4375.94,786.6,642.932,1011.22,-6512.71,482.62,769.638,16.9628
35,0.279088,-3538.73,150.278,0.204052,5021.66,6,-4374,835.269,644.75,1011.47,-6512.76,482.537,818.477,16.7919
36,0.265926,-3448.41,240.598,0.190887,8798.77,6,-4368.48,920.07,650.02,1011.96,-6512.85,482.386,903.588,16.4815
37,0.252764,-3293.09,395.918,0.177722,15235,6,-4352.28,1059.19,665.677,1012.91,-6512.99,482.122,1043.25,15.9369
38,0.239605,-3026.89,662.123,0.164558,25557,6,-4306.29,1279.4,710.479,1014.75,-6513.21,481.692,1264.36,15.0445
39,0.22645,-2589.01,1100,0.151393,40617.4,6,-4188.53,1599.53,825.701,1018.19,-6513.49,481.063,1585.79,13.736
40,0.213301,-1909.78,1779.23,0.138228,60112.6,6,-3930.81,2021.02,1078.42,1024.23,-6513.73,480.271,2008.94,12.0801
41,0.200158,-3484.96,204.056,0.125064,2876.04,136,-4231.44,746.488,652.999,1130.95,-6511.3,495.903,750.876,-4.38832
42,0.188722,-3435.02,253.987,0.111899,4415.1,6,-4231.4,796.372,653.123,1130.9,-6511.34,495.914,800.781,-4.4084
43,0.175555,-3363.15,325.862,0.0987346,6661.71,6,-4231.17,868.017,653.473,1130.83,-6511.4,495.935,872.47,-4.45326
44,0.162385,-3254.85,434.159,0.08557,10126.5,6,-4230.44,975.583,654.373,1130.73,-6511.51,495.968,980.116,-4.53331
45,0.149212,-3089.39,599.626,0.0724054,15606.8,6,-4228.42,1139.03,656.628,1130.61,-6511.68,496.022,1143.7,-4.66568
46,0.136034,-2831.1,857.907,0.0592408,24543.5,6,-4223.17,1392.07,662.207,1130.45,-6511.94,496.108,1396.95,-4.87795
47,0.122848,-2417.49,1271.52,0.0460761,39603.7,6,-4209.9,1792.41,675.909,1130.29,-6512.34,496.246,1797.62,-5.21366
48,0.109649,-1739.87,1949.14,0.0329115,65802.7,6,-4176.82,2436.95,709.468,1130.19,-6512.95,496.473,2442.69,-5.74204
49,0.0964325,-595.77,3093.24,0.0197469,112726,6,-4094.4,3498.63,792.168,1130.42,-6513.84,496.858,3505.21,-6.57788
50,0.0831855,1393.16,5082.18,0.00658231,198485,6,-3883.25,5276.42,1002.57,1131.78,-6515.15,497.55,5284.35,-7.93524
51,0.069888,4931.27,8620.28,-0.00658231,354414,6,-3290.93,8222.2,1590.12,1137.01,-6517.02,498.955,8232.51,-10.3048
52,0.0564939,11160.9,14849.9,-0.0197469,609324,6,-1336.91,12497.8,3522.19,1157.71,-6519.21,502.407,12512.7,-14.9502
53,0.0428869,21067.2,24756.2,-0.0329115,892042,6,4555.57,16511.6,9334.1,1229.52,-6518.73,510.692,16534.6,-23.0014
54,0.0289578,34187.4,37876.4,-0.0460761,1.09633e+006,6,15179.1,19008.3,19782.1,1385.27,-6512.03,523.782,19039.7,-31.4301
55,0.0149187,49548.6,53237.6,-0.0592408,1.23814e+006,6,28829.1,20719.5,33129.2,1661.25,-6500.85,539.555,20757.2,-37.7632
56,0.000936084,-2663.79,1025.23,-0.0724054,1910.19,500,-3807.24,1143.45,755.267,1430.8,-6476.42,483.118,1175.16,-31.7085
57,-0.00818258,-2644.29,1044.73,-0.08557,965.266,174,-3826.46,1182.17,767.07,1395.58,-6474.9,485.786,1212.11,-29.9394
58,-0.0218909,-2640.66,1048.35,-0.0987346,-243.556,125,-3860.59,1219.93,779.857,1344.11,-6475.39,490.83,1247.57,-27.6404
59,-0.0358511,-1125.09,2563.92,-0.111899,39381.8,6,-3859.3,2734.21,781.149,1343.05,-6474.6,491.101,2761.94,-27.7329
60,-0.0490153,-525.346,3163.67,-0.125064,51441.9,6,-3859.3,3333.95,781.149,1343.05,-6474.6,491.101,3361.69,-27.733
61,-0.0621799,234.057,3923.07,-0.138228,63952.9,6,-3859.3,4093.36,781.149,1343.05,-6474.6,491.101,4121.09,-27.733
62,-0.0753446,1150.32,4839.33,-0.151393,74828.6,6,-3859.3,5009.62,781.149,1343.05,-6474.6,491.101,5037.35,-27.733
63,-0.0885092,2182.95,5871.96,-0.164558,81033.4,6,-3859.3,6042.25,781.149,1343.05,-6474.6,491.101,6069.98,-27.733
64,-0.101674,3248.25,6937.26,-0.177722,79272.6,6,-3859.3,7107.55,781.149,1343.05,-6474.6,491.101,7135.28,-27.733
65,-0.114838,4223.1,7912.11,-0.190887,67115.8,6,-3859.3,8082.4,781.149,1343.05,-6474.6,491.101,8110.13,-27.733
66,-0.128003,4967.85,8656.86,-0.204052,44303.8,6,-3859.3,8827.15,781.149,1343.05,-6474.6,491.101,8854.89,-27.733
67,-0.141168,5354.54,9043.56,-0.217216,13482.1,6,-3859.3,9213.84,781.149,1343.05,-6474.6,491.101,9241.58,-27.733
