step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738936,-3646.08,0,0.664813,6.38434,50,-4356.08,709.778,660.276,1003.65,-6509.26,489.261,708.565,1.21322
1,0.725902,-3684.16,-38.0808,0.651517,12.1454,50,-4389.21,705.121,641.414,995.635,-6510.33,484.067,704.603,0.517857
2,0.712873,-3683.18,-37.1006,0.63822,13.7035,50,-4389.93,706.679,640.255,995.53,-6509.58,483.867,706.03,0.649328
3,0.699491,-3684.01,-37.9277,0.624924,12.05,50,-4390.62,706.61,638.861,996.207,-6509.64,483.952,706.331,0.279398
4,0.686191,-3684.8,-38.7267,0.611628,12.9521,50,-4391.77,706.844,638.435,996.776,-6510.63,483.645,707.403,-0.559017
5,0.672902,-3685.34,-39.2601,0.598332,16.4781,50,-4389.3,703.96,640.198,996.266,-6509.69,483.93,704.635,-0.675287
6,0.659584,-3685.12,-39.0432,0.585035,18.5873,50,-4388.85,703.726,640.951,995.247,-6509.22,484.166,704.173,-0.44725
7,0.646284,-3685.03,-38.9525,0.571739,8.7277,50,-4389.49,704.46,640.035,996.044,-6509.55,483.977,705.067,-0.606054
8,0.632981,-3685.19,-39.1145,0.558443,-3.78137,50,-4389.62,704.428,639.728,996.374,-6509.62,483.896,704.995,-0.5672
9,0.619679,-3684.51,-38.4328,0.545147,-12.6504,50,-4389.55,705.039,639.983,996.031,-6509.52,483.96,705.663,-0.623893
10,0.606377,-3685.79,-39.7084,0.53185,-18.6501,50,-4389.56,703.774,640.011,996.033,-6509.58,483.977,704.46,-0.6856
11,0.593076,-3685.95,-39.874,0.518554,-16.2725,50,-4389.6,703.649,639.896,996.137,-6509.59,483.961,704.299,-0.64999
12,0.579781,-3686.14,-40.0589,0.505258,-12.3635,50,-4390.07,703.931,639.942,995.752,-6509.69,483.926,704.633,-0.70195
13,0.566483,-3686.85,-40.7715,0.491962,-10.4248,50,-4389.64,702.789,639.829,996.211,-6509.65,483.971,703.45,-0.660222
14,0.553185,-3687.52,-41.4452,0.478665,-8.03464,50,-4389.74,702.219,639.56,996.6,-6509.75,483.847,703.001,-0.782573
15,0.539876,-3688.66,-42.5827,0.465369,-7.08954,50,-4389.69,701.03,639.824,996.202,-6509.69,483.977,701.696,-0.665922
16,0.526586,-3690.03,-43.9527,0.452073,-6.79526,50,-4390,699.969,639.642,996.156,-6509.81,484.007,700.637,-0.667706
17,0.513285,-3690.27,-44.1918,0.438777,1.86684,50,-4389.89,699.616,639.81,996.182,-6509.79,483.911,700.21,-0.593871
18,0.499996,-3689.84,-43.7615,0.42548,9.46767,50,-4389.95,700.109,639.879,996.259,-6509.94,483.851,700.604,-0.494434
19,0.486719,-3688.67,-42.5925,0.412184,19.9317,50,-4390.18,701.507,639.91,995.987,-6509.91,483.839,701.782,-0.274518
20,0.473414,-3687.06,-40.9798,0.398888,36.4449,50,-4390.29,703.235,639.988,996.273,-6510.21,483.653,703.121,0.114034
21,0.460137,-3686.26,-40.1851,0.385592,73.2592,50,-4390.91,704.644,639.908,995.862,-6510.21,483.534,704.088,0.555993
22,0.446864,-3684.88,-38.8009,0.372295,131.924,50,-4391.53,706.655,639.944,995.359,-6510.28,483.438,705.748,0.906887
23,0.433625,-3682.66,-36.5832,0.358999,184.448,50,-4392.23,709.564,639.747,995.836,-6510.75,482.939,707.187,2.37676
24,0.420378,-3678.12,-32.0375,0.345703,285.35,50,-4394.24,716.123,641.154,994.31,-6511.73,482.029,712.777,3.34617
25,0.406942,-3674.2,-28.1255,0.332406,327.691,50,-4393.43,719.227,639.772,996.236,-6511.46,482.023,713.769,5.45839
26,0.393925,-3667.04,-20.9595,0.31911,602.532,50,-4393.92,726.878,640.632,997.578,-6512.1,479.975,720.215,6.66305
27,0.380522,-3664.13,-18.0558,0.305814,473.492,50,-4392.5,728.299,640.135,998.649,-6512.14,480.854,718.626,9.673
28,0.367489,-3652.68,-6.60661,0.292518,660.255,50,-4397.5,744.812,640.595,994.601,-6513.46,480.764,731.894,12.9175
29,0.35372,-3651.77,-5.6942,0.279221,503.652,50,-4387.5,735.731,641.457,1002.99,-6512.62,480.666,721.037,14.6938
30,0.340976,-3639.1,6.98196,0.265925,784.617,50,-4377.21,738.117,642.721,1013.73,-6513.8,480.135,720.636,17.4808
31,0.327255,-3641.21,4.8682,0.252629,436.412,50,-4374.87,733.658,641.895,1012.88,-6512.62,482.973,716.578,17.0794
32,0.314375,-3631.79,14.2897,0.239333,498.782,50,-4367.38,735.592,642.567,1018.45,-6514.11,485.714,718.637,16.9543
33,0.300529,-3631.21,14.866,0.226036,491.851,50,-4354.77,723.562,641.481,1029.14,-6512.61,487.218,708.153,15.4093
34,0.287809,-3621.06,25.0146,0.21274,780.791,50,-4351.23,730.167,641.468,1032.64,-6512.89,487.549,716.696,13.4712
35,0.274432,-3613.93,32.1496,0.199444,785.517,50,-4332.22,718.296,642,1047.79,-6512.47,490.455,706.71,11.5856
36,0.261393,-3598.77,47.3079,0.186148,1074.41,50,-4318.13,719.356,645.931,1058.53,-6514.04,491.455,710.776,8.58014
37,0.248268,-3585.56,60.5136,0.172851,1353.19,50,-4304.79,719.224,644.037,1070.07,-6512.17,493.277,712.303,6.92123
38,0.235239,-3561.05,85.0312,0.159555,1678.87,50,-4282.54,721.49,641.94,1095.46,-6512.26,492.323,717.199,4.29171
39,0.222356,-3539.21,106.868,0.146259,2129.36,50,-4268.19,728.985,647.865,1100.88,-6511.98,495.041,727.861,1.12404
40,0.209209,-3502.15,143.925,0.132963,2757.8,50,-4252.89,750.734,650.06,1118.53,-6513.99,492.506,753.57,-2.83689
41,0.195427,-3468.28,177.798,0.119666,3061.48,50,-4219.49,751.21,655.138,1139.84,-6510.78,496.311,757.176,-5.96604
42,0.183366,-3415.27,230.805,0.10637,3786.72,50,-4201,785.731,651.106,1169.2,-6512.53,491.219,794.601,-8.87009
43,0.170205,-3373.24,272.84,0.0930738,3984.96,50,-4159.46,786.225,665.386,1188.72,-6509.21,495.647,799.388,-13.1632
44,0.157508,-3306.41,339.67,0.0797776,5023.63,50,-4146.15,839.744,667.348,1204.97,-6511.1,492.627,854.378,-14.6344
45,0.144174,-3259.02,387.06,0.0664813,4695.57,50,-4088.8,829.71,678.394,1245.09,-6505.88,493.6,850.412,-20.702
46,0.131502,-3175.26,470.814,0.053185,5819.12,50,-4060.07,884.852,681.646,1267.73,-6502.92,493.482,906.39,-21.5379
47,0.118549,-3128.44,517.635,0.0398888,5059.4,50,-4011.23,882.782,692.469,1307.78,-6501.5,490.025,909.924,-27.1416
48,0.105327,-3025.01,621.071,0.0265925,7524.34,50,-4002.87,977.936,700.141,1309.59,-6500.8,488.196,1004.5,-26.5677
49,0.0925049,-2994.18,651.897,0.0132963,5008.16,50,-3932.91,938.657,705.591,1371.3,-6495.6,485.793,970.642,-31.9845
50,0.0788654,-2876.57,769.505,0,7606.39,50,-3916.84,1039.7,708.177,1388.11,-6496.9,483.766,1071.54,-31.8401
51,0.0658564,-2866.27,779.803,-0.0132963,4519.39,50,-3865.71,999.434,720.842,1419.03,-6489.18,483.599,1033.77,-34.3327
52,0.0520401,-2795.51,850.566,-0.0265925,4570.61,50,-3850.95,1055.47,718.515,1438.05,-6490.21,482.692,1089.23,-33.7648
53,0.0386793,-2746.45,899.628,-0.0398888,3512.81,50,-3797.83,1051.45,749.375,1445.36,-6479.76,487.207,1087.05,-35.5998
54,0.0257184,-2703.71,942.367,-0.053185,3264.96,50,-3795.32,1091.6,746.644,1453.68,-6480.77,485.131,1127.06,-35.4582
55,0.0120014,-2428.7,1217.38,-0.0664813,1117.49,50,-3505.33,1076.63,929.741,1530.48,-6467.4,501.853,1122.28,-45.6577
56,-0.00134441,-2636.74,1009.34,-0.0797776,1879.18,50,-3751.71,1114.85,774.753,1455.84,-6472.56,490.253,1150.78,-35.9314
57,-0.0153801,-2111.37,1534.71,-0.0930738,-2408.19,50,-3558.78,1447.35,912.445,1478.77,-6460.71,510.719,1474.6,-27.2472
