step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59069,-3684.36,0,-0.664813,-6.76083,100,-4389.62,705.187,641.159,996.292,-6510.92,483.844,704.672,0.515142
1,-0.576879,-3686.66,-2.29201,-0.651517,1.29479,100,-4390.93,704.276,638.999,996.268,-6509.98,483.784,704.026,0.250198
2,-0.563673,-3688.93,-4.56018,-0.63822,8.70198,100,-4389.58,700.655,640.346,996.308,-6510,483.768,701.334,-0.678615
3,-0.550343,-3687.71,-3.3479,-0.624924,8.22912,100,-4390.09,702.376,639.766,996.36,-6509.97,483.752,702.882,-0.505814
4,-0.537042,-3686.2,-1.83582,-0.611628,4.86943,100,-4389.95,703.745,639.948,996.35,-6509.97,483.728,704.31,-0.564413
5,-0.523742,-3685.78,-1.41635,-0.598332,8.20611,100,-4389.88,704.1,639.94,996.43,-6509.98,483.73,704.65,-0.549453
6,-0.510436,-3685.58,-1.21023,-0.585035,12.0084,100,-4389.82,704.249,639.986,996.447,-6509.98,483.721,704.806,-0.556111
7,-0.497136,-3685.96,-1.5918,-0.571739,10.5023,100,-4389.86,703.899,640.013,996.441,-6509.99,483.682,704.449,-0.550003
8,-0.483836,-3686.11,-1.74646,-0.558443,2.2989,100,-4389.88,703.765,640.042,996.425,-6510,483.656,704.32,-0.554358
9,-0.470535,-3685.6,-1.23862,-0.545147,-7.92751,100,-4389.8,704.195,640.061,996.474,-6509.99,483.652,704.74,-0.545006
10,-0.457233,-3686.49,-2.12964,-0.53185,-27.6502,100,-4389.84,703.341,640.023,996.548,-6510.02,483.612,703.871,-0.530381
11,-0.443924,-3687.65,-3.28741,-0.518554,-32.6981,100,-4389.8,702.149,639.946,996.696,-6510.04,483.6,702.68,-0.531879
12,-0.430627,-3688.08,-3.7127,-0.505258,-31.0712,100,-4389.78,701.701,639.95,996.73,-6510.06,483.6,702.217,-0.516353
13,-0.41733,-3689.45,-5.08898,-0.491962,-36.1598,100,-4390,700.542,639.726,996.85,-6510.14,483.57,700.985,-0.442941
14,-0.404029,-3690.26,-5.89706,-0.478665,-34.6349,100,-4390.02,699.755,639.644,996.93,-6510.17,483.584,700.185,-0.429491
15,-0.390729,-3691.35,-6.9871,-0.465369,-34.2529,100,-4390.08,698.731,639.58,996.966,-6510.2,483.573,699.137,-0.40529
16,-0.377429,-3692.12,-7.75594,-0.452073,-30.8698,100,-4390.11,697.989,639.545,996.994,-6510.23,483.58,698.372,-0.382699
17,-0.36413,-3693.07,-8.70092,-0.438777,-28.6279,100,-4390.17,697.109,639.537,996.962,-6510.27,483.595,697.473,-0.363611
18,-0.350829,-3693.4,-9.03964,-0.42548,-22.1799,100,-4390.21,696.803,639.437,997.044,-6510.29,483.602,697.153,-0.350058
19,-0.337532,-3693.13,-8.76211,-0.412184,-18.3469,100,-4390.24,697.112,639.439,997.017,-6510.31,483.616,697.453,-0.340812
20,-0.324234,-3691.48,-7.11715,-0.398888,-21.8711,100,-4390.27,698.788,639.479,996.902,-6510.3,483.648,699.118,-0.330084
21,-0.310938,-3691.44,-7.07252,-0.385592,-10.3686,100,-4390.25,698.808,639.538,996.868,-6510.32,483.667,699.156,-0.347958
22,-0.297644,-3691.46,-7.09328,-0.372295,8.34741,100,-4390.34,698.88,639.527,996.774,-6510.35,483.709,699.28,-0.399655
23,-0.284356,-3691.1,-6.73765,-0.358999,35.8535,100,-4390.55,699.445,639.66,996.388,-6510.35,483.758,699.952,-0.506773
24,-0.271078,-3689.83,-5.46616,-0.345703,73.225,100,-4390.77,700.943,639.808,995.986,-6510.36,483.787,701.638,-0.695192
25,-0.257808,-3687.07,-2.70167,-0.332406,126.337,100,-4391.22,704.153,640.178,995.011,-6510.31,483.897,705.133,-0.979859
26,-0.244552,-3684.32,0.0496176,-0.31911,211.213,100,-4391.97,707.653,640.658,993.687,-6510.3,483.985,709.093,-1.43955
27,-0.231322,-3681.12,3.248,-0.305814,337.902,100,-4392.48,711.36,641.314,992.348,-6510.27,484.132,713.45,-2.09018
28,-0.21811,-3676.47,7.89644,-0.292518,512.64,100,-4393.33,716.859,642.526,990.169,-6510.26,484.241,719.919,-3.0594
29,-0.204954,-3668.54,15.8242,-0.279221,752.039,100,-4394.73,726.185,643.914,987.399,-6510.27,484.227,730.452,-4.26673
30,-0.191839,-3657.04,27.3272,-0.265925,1063.47,100,-4396.44,739.403,646.529,982.98,-6510.25,484.3,745.317,-5.91357
31,-0.178771,-3640.83,43.5308,-0.252629,1458.96,100,-4397.03,756.196,649.929,978.52,-6509.95,484.475,763.993,-7.7971
32,-0.16572,-3618.6,65.7664,-0.239333,1932.6,100,-4397.7,779.104,654.229,973.115,-6509.74,484.691,789.243,-10.1388
33,-0.152724,-3590.03,94.3321,-0.226036,2490.92,100,-4397.55,807.514,660.232,967.186,-6509.47,484.503,820.045,-12.5317
34,-0.139818,-3553.79,130.578,-0.21274,3093.78,100,-4395.02,841.161,668.123,961.224,-6508.97,484.609,856.619,-15.4581
35,-0.126902,-3508.35,176.019,-0.199444,3751.26,100,-4389.74,881.346,678.438,955.081,-6507.97,484.708,899.759,-18.4128
36,-0.114067,-3453.14,231.221,-0.186148,4381.6,100,-4380.82,927.747,690.567,951.076,-6507.23,484.766,949.782,-22.0349
