step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59069,-3689.01,0,-0.664813,-6.28883,355,-4390.13,701.118,639.654,996.271,-6509.88,483.83,701.649,-0.531237
1,-0.577073,-3689.04,-0.0301504,-0.651648,1.24736,27,-4389.9,700.863,639.921,996.266,-6509.83,483.741,701.322,-0.45814
2,-0.563897,-3688.97,0.0392011,-0.638484,8.70982,6,-4390.21,701.243,639.498,996.311,-6509.89,483.869,701.687,-0.444001
3,-0.550726,-3687.79,1.21932,-0.625319,8.02217,28,-4389.96,702.172,639.835,996.373,-6509.93,483.758,702.691,-0.519406
4,-0.537562,-3686.27,2.73941,-0.612155,4.6509,22,-4390.03,703.762,639.828,996.352,-6509.98,483.772,704.277,-0.515639
5,-0.524399,-3685.78,3.23107,-0.59899,7.95205,19,-4389.39,703.609,640.137,996.593,-6509.89,483.771,704.226,-0.616787
6,-0.511215,-3685.64,3.36845,-0.585825,11.7433,22,-4389.68,704.04,640.275,996.398,-6509.92,483.57,704.601,-0.561319
7,-0.498041,-3686.02,2.98439,-0.572661,10.3585,6,-4390.12,704.095,640.164,995.881,-6509.86,483.699,704.58,-0.484883
8,-0.484869,-3686.18,2.83048,-0.559496,2.22701,18,-4389.9,703.718,640.057,996.402,-6510.02,483.661,704.252,-0.534192
9,-0.471719,-3685.59,3.42175,-0.546331,-8.02421,11,-4390.01,704.424,640.002,996.297,-6510,483.686,704.879,-0.455694
10,-0.45855,-3686.45,2.56036,-0.533167,-27.7454,10,-4389.89,703.441,640.092,996.469,-6510.04,483.588,703.949,-0.508648
11,-0.445384,-3687.59,1.41511,-0.520002,-32.8239,6,-4389.81,702.221,639.846,996.845,-6510.09,483.58,702.768,-0.546743
12,-0.432221,-3688.02,0.9926,-0.506838,-31.3612,7,-4389.77,701.754,640.042,996.745,-6510.06,483.504,702.303,-0.548925
13,-0.419045,-3689.17,-0.166181,-0.493673,-34.6215,8,-4389.8,700.625,640.235,996.591,-6510.08,483.452,701.146,-0.5211
14,-0.405871,-3690.11,-1.10327,-0.480508,-35.2233,9,-4389.87,699.762,639.757,996.672,-6509.95,483.644,700.257,-0.495752
15,-0.3927,-3691.13,-2.11733,-0.467344,-34.9894,8,-4389.98,698.853,639.561,996.809,-6510.13,483.777,699.318,-0.464701
16,-0.379528,-3691.62,-2.615,-0.454179,-29.9937,9,-4389.97,698.342,639.646,996.534,-6510.05,483.904,698.758,-0.415757
17,-0.366352,-3692.57,-3.56026,-0.441015,-27.928,7,-4389.95,697.385,639.542,996.827,-6510.11,483.791,697.773,-0.388474
18,-0.353194,-3693.28,-4.26678,-0.42785,-23.4308,24,-4390.27,696.995,639.518,996.898,-6510.28,483.59,697.267,-0.272386
19,-0.340037,-3693.07,-4.06482,-0.414685,-19.9185,10,-4390.19,697.115,639.447,997.042,-6510.3,483.623,697.455,-0.340707
20,-0.32686,-3692.32,-3.31271,-0.401521,-18.2823,13,-4390.22,697.902,639.385,997.078,-6510.34,483.653,698.226,-0.323809
21,-0.313691,-3691.47,-2.45685,-0.388356,-13.4024,6,-4390.35,698.881,639.467,996.907,-6510.38,483.66,699.218,-0.337702
22,-0.300523,-3691.53,-2.52308,-0.375191,3.94047,8,-4390.43,698.896,639.653,996.706,-6510.37,483.585,699.226,-0.330084
23,-0.287366,-3691.46,-2.45329,-0.362027,28.7392,22,-4390.85,699.391,639.939,996.126,-6510.52,483.602,699.744,-0.353077
24,-0.274218,-3690.6,-1.58994,-0.348862,65.5766,48,-4390.83,700.236,639.67,996.09,-6510.38,483.781,700.873,-0.637581
25,-0.261096,-3688.09,0.919026,-0.335698,114.855,53,-4390.64,702.552,640.226,995.517,-6510.22,483.832,703.427,-0.875375
26,-0.247934,-3684.99,4.01772,-0.322533,183.263,52,-4391.54,706.547,640.476,994.313,-6510.29,483.963,707.864,-1.31794
27,-0.234853,-3682.32,6.69112,-0.309368,299.088,97,-4392.34,710.022,641.067,992.807,-6510.29,484.072,711.924,-1.90186
28,-0.221774,-3678.28,10.7315,-0.296204,458.229,108,-4393.26,714.983,642.034,990.818,-6510.27,484.162,717.77,-2.78735
29,-0.208719,-3670.03,18.9799,-0.283039,777.083,6,-4393.31,723.28,642.082,990.691,-6510.25,484.173,726.054,-2.77436
30,-0.195557,-3657.02,31.9914,-0.269875,1231.54,6,-4393.49,736.481,642.249,990.244,-6510.2,484.21,739.221,-2.7394
31,-0.1824,-3646.19,42.8192,-0.25671,1329.21,97,-4397.32,751.127,648.581,979.827,-6510.14,484.42,758.256,-7.12951
32,-0.16984,-3620.67,68.3387,-0.243545,2206.7,6,-4397.33,776.663,649.012,979.296,-6510.14,484.502,783.831,-7.16784
33,-0.156652,-3585.76,103.247,-0.230381,3371.88,6,-4397.34,811.577,649.366,978.872,-6510.14,484.567,818.777,-7.20055
34,-0.14347,-3531.82,157.189,-0.217216,5144.65,7,-4397.29,865.471,650.108,978.047,-6510.14,484.693,872.739,-7.26726
35,-0.130271,-3448,241.007,-0.204052,7861.09,6,-4396.96,948.959,651.596,976.636,-6510.12,484.925,956.347,-7.38797
36,-0.117046,-3316.56,372.45,-0.190887,12066.1,6,-4395.59,1079.03,654.725,974.351,-6510.02,485.356,1086.63,-7.5979
