step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59069,-3646.08,0,-0.664813,-6.38432,50,-4356.08,709.778,660.276,1003.65,-6509.26,489.261,708.565,1.21322
1,-0.577132,-3684.51,-38.4278,-0.651517,0.880201,50,-4390.24,705.802,640.54,996.18,-6510.68,483.723,705.075,0.726842
2,-0.563572,-3684.77,-38.6879,-0.63822,8.58842,50,-4390,705.237,639.786,996.28,-6509.82,483.755,704.693,0.544895
3,-0.550347,-3685.24,-39.1663,-0.624924,8.2922,50,-4390.7,705.458,639.076,996.114,-6509.79,483.899,705.127,0.33069
4,-0.537018,-3685.27,-39.1956,-0.611628,2.55855,50,-4389.97,704.83,639.692,997.414,-6510.59,483.516,706.021,-1.19162
5,-0.523747,-3685.85,-39.769,-0.598332,8.19646,50,-4389.53,703.685,640.399,996.356,-6510.02,483.729,704.311,-0.625706
6,-0.510432,-3685.88,-39.7975,-0.585035,12.0601,50,-4389.68,703.806,639.929,996.433,-6509.84,483.802,704.222,-0.415812
7,-0.49714,-3686.08,-40.0053,-0.571739,10.4992,50,-4389.96,703.88,640.016,996.324,-6509.99,483.687,704.369,-0.488735
8,-0.483835,-3686.17,-40.0928,-0.558443,2.28742,50,-4389.93,703.763,640.06,996.278,-6509.98,483.713,704.22,-0.457129
9,-0.470543,-3685.53,-39.4522,-0.545147,-7.933,50,-4389.84,704.306,640.102,996.356,-6509.97,483.675,704.834,-0.527824
10,-0.457232,-3686.49,-40.414,-0.53185,-27.6559,50,-4389.88,703.387,640.094,996.449,-6510.01,483.585,703.922,-0.534955
11,-0.443924,-3687.58,-41.5019,-0.518554,-32.6866,50,-4389.82,702.243,639.949,996.677,-6510.04,483.592,702.776,-0.533113
12,-0.430626,-3688,-41.9265,-0.505258,-31.0631,50,-4389.89,701.888,639.813,996.729,-6510.04,483.604,702.399,-0.510415
13,-0.417327,-3689.52,-43.4456,-0.491962,-36.1552,50,-4389.97,700.45,639.771,996.787,-6510.11,483.574,700.899,-0.448972
14,-0.404027,-3690.26,-44.1824,-0.478665,-34.6418,50,-4389.92,699.658,639.84,996.779,-6510.12,483.586,700.067,-0.408326
15,-0.390726,-3691.35,-45.2734,-0.465369,-34.2322,50,-4390.04,698.687,639.634,996.916,-6510.18,483.595,699.099,-0.412446
16,-0.37743,-3692.12,-46.041,-0.452073,-30.8458,50,-4390.21,698.094,639.645,996.859,-6510.24,483.527,698.466,-0.371299
17,-0.364123,-3693.07,-46.9875,-0.438777,-28.6405,50,-4390.21,697.145,639.463,997.012,-6510.28,483.592,697.507,-0.362258
18,-0.350829,-3693.4,-47.3239,-0.42548,-22.2063,50,-4390.29,696.89,639.232,997.234,-6510.34,483.578,697.247,-0.357094
19,-0.337537,-3693.13,-47.0489,-0.412184,-18.3546,50,-4390.22,697.094,639.47,997.002,-6510.31,483.617,697.426,-0.332248
20,-0.324235,-3691.48,-45.3992,-0.398888,-21.9415,50,-4390.42,698.947,639.246,997.025,-6510.36,483.661,699.277,-0.330558
21,-0.310941,-3691.44,-45.3588,-0.385592,-10.358,50,-4390.23,698.792,639.54,996.835,-6510.29,483.689,699.128,-0.336978
22,-0.297644,-3691.59,-45.5155,-0.372295,8.22169,50,-4390.42,698.83,639.641,996.737,-6510.49,483.685,699.278,-0.447971
23,-0.284362,-3691.11,-45.0281,-0.358999,35.651,50,-4390.56,699.453,639.692,996.362,-6510.38,483.766,699.969,-0.516339
24,-0.271082,-3689.58,-43.5043,-0.345703,72.7862,50,-4390.78,701.201,639.69,995.828,-6510.16,483.861,701.916,-0.714912
25,-0.25782,-3687.07,-40.9879,-0.332406,125.952,50,-4391.25,704.183,640.176,994.924,-6510.3,483.952,705.145,-0.962085
26,-0.24456,-3684.6,-38.5176,-0.31911,206.692,50,-4391.33,706.731,640.732,994.672,-6510.58,483.85,708.44,-1.70889
27,-0.231312,-3681.18,-35.1059,-0.305814,337.587,50,-4392.64,711.458,641.308,992.348,-6510.36,484.066,713.512,-2.05394
28,-0.218125,-3675.6,-29.5228,-0.292518,514.175,50,-4389.96,714.358,643.364,991.443,-6509.18,484.415,717.81,-3.4517
