step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738936,-3684.37,0,0.664813,6.84789,0,100,-4389.82,705.442,641.044,996.181,-6510.91,483.87,704.895,0.547051
1,0.738115,-3685.55,-1.18102,0.663483,7.13726,0.00929751,100,-4391,705.443,639.084,996.003,-6509.9,483.815,705.063,0.379504
2,0.736718,-3688.84,-4.46548,0.662154,7.68389,0.0191508,100,-4388.62,699.776,640.368,997.046,-6509.9,483.871,700.754,-0.97756
3,0.735401,-3688.92,-4.5478,0.660824,8.54662,0.0299411,100,-4389.87,700.945,639.765,996.348,-6509.83,483.846,701.537,-0.591341
4,0.734066,-3688.84,-4.4707,0.659494,9.27655,0.0417901,100,-4389.89,701.045,639.743,996.342,-6509.82,483.843,701.615,-0.5695
5,0.73274,-3688.83,-4.4546,0.658165,10.0524,0.0546403,100,-4389.87,701.045,639.715,996.406,-6509.83,483.831,701.627,-0.581169
6,0.731415,-3688.89,-4.51508,0.656835,10.7527,0.0684718,100,-4389.87,700.982,639.754,996.331,-6509.81,483.849,701.559,-0.576212
7,0.730079,-3688.87,-4.49484,0.655506,11.5194,0.0832786,100,-4389.88,701.011,639.763,996.33,-6509.81,483.84,701.59,-0.579196
8,0.728748,-3688.86,-4.48492,0.654176,12.1982,0.0990463,100,-4389.86,700.999,639.761,996.328,-6509.8,483.855,701.582,-0.582547
9,0.727419,-3688.29,-3.91452,0.652846,9.37684,0.11339,100,-4389.82,701.534,639.78,996.334,-6509.79,483.858,702.11,-0.576179
10,0.726087,-3688.01,-3.63505,0.651517,8.28228,0.12513,100,-4389.81,701.805,639.782,996.308,-6509.77,483.87,702.381,-0.575379
11,0.724757,-3687.99,-3.61708,0.650187,9.04985,0.136652,100,-4389.87,701.875,639.777,996.273,-6509.79,483.87,702.444,-0.568831
12,0.723426,-3687.98,-3.61088,0.648857,9.74041,0.149144,100,-4389.81,701.823,639.783,996.308,-6509.77,483.872,702.401,-0.578535
