step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738936,-3646.13,0,0.664813,6.60225,0,50,-4356.01,709.665,660.372,1003.52,-6509.2,489.301,708.464,1.20091
1,0.737863,-3684.46,-38.3346,0.663483,7.55846,0.00941422,50,-4390.12,705.665,640.824,995.801,-6510.56,483.812,705.002,0.663144
2,0.736801,-3684.59,-38.469,0.662154,8.09049,0.0198179,50,-4390.17,705.574,640.148,995.542,-6509.74,483.879,704.992,0.581889
3,0.735404,-3685.67,-39.5465,0.660824,8.64313,0.0309426,50,-4390.76,705.085,639.21,995.949,-6509.83,483.915,704.788,0.29754
4,0.734061,-3687.99,-41.8672,0.659494,9.43,0.0429578,50,-4388.18,700.185,641.561,996.023,-6509.56,483.799,700.763,-0.578394
5,0.732817,-3688.8,-42.6708,0.658165,9.97578,0.055859,50,-4388.84,700.043,640.751,996.457,-6509.97,483.923,700.937,-0.894821
6,0.731421,-3689.08,-42.9525,0.656835,10.7242,0.0696207,50,-4390.1,701.082,639.732,996.15,-6509.82,483.839,701.624,-0.542119
7,0.730058,-3688.78,-42.6554,0.655506,11.5173,0.0844071,50,-4389.92,701.14,639.736,996.327,-6509.83,483.842,701.704,-0.563515
8,0.728748,-3688.57,-42.4499,0.654176,10.4132,0.0989868,50,-4389.88,701.304,639.786,996.253,-6509.78,483.864,701.884,-0.579646
9,0.727414,-3688.49,-42.3692,0.652846,11.1564,0.113327,50,-4389.85,701.357,639.776,996.324,-6509.8,483.848,701.942,-0.584569
10,0.726088,-3688,-41.8782,0.651517,8.32762,0.12628,50,-4389.83,701.824,639.762,996.29,-6509.76,483.882,702.39,-0.565692
11,0.724757,-3688,-41.8719,0.650187,9.02396,0.137815,50,-4389.8,701.798,639.794,996.293,-6509.76,483.875,702.366,-0.567944
12,0.723429,-3687.91,-41.7855,0.648857,9.76257,0.150305,50,-4389.84,701.933,639.823,996.271,-6509.79,483.857,702.511,-0.577492
13,0.722098,-3687.7,-41.573,0.647528,8.64809,0.162544,50,-4389.75,702.051,639.808,996.309,-6509.75,483.882,702.628,-0.577688
14,0.720767,-3687.75,-41.6276,0.646198,9.38573,0.174534,50,-4389.77,702.017,639.759,996.298,-6509.73,483.902,702.637,-0.619867
15,0.719438,-3687.67,-41.5478,0.644869,10.0728,0.18747,50,-4389.74,702.068,639.798,996.295,-6509.73,483.896,702.645,-0.57654
16,0.718108,-3687.59,-41.4606,0.643539,10.7968,0.201344,50,-4389.77,702.18,639.851,996.257,-6509.76,483.89,702.745,-0.564944
17,0.716781,-3687.64,-41.5192,0.642209,11.4543,0.216137,50,-4389.74,702.1,639.804,996.304,-6509.73,483.88,702.676,-0.575858
18,0.715446,-3687.62,-41.4977,0.64088,12.1561,0.231834,50,-4389.79,702.163,639.842,996.212,-6509.72,483.883,702.751,-0.588525
19,0.714119,-3687.61,-41.4871,0.63955,12.8035,0.248427,50,-4389.75,702.136,639.816,996.267,-6509.73,483.896,702.716,-0.579808
20,0.712788,-3687.52,-41.3977,0.63822,13.454,0.265883,50,-4389.77,702.244,639.766,996.346,-6509.74,483.865,702.805,-0.561521
21,0.711453,-3687.58,-41.4517,0.636891,14.0778,0.284187,50,-4389.77,702.196,639.81,996.268,-6509.73,483.881,702.773,-0.576524
22,0.710126,-3687.28,-41.1538,0.635561,12.895,0.302119,50,-4389.71,702.429,639.84,996.277,-6509.72,483.899,703.014,-0.585136
23,0.708792,-3687.26,-41.1382,0.634232,13.5108,0.319674,50,-4389.74,702.477,639.838,996.241,-6509.71,483.895,703.045,-0.567571
24,0.707464,-3687.25,-41.1226,0.632902,14.072,0.338011,50,-4389.66,702.413,639.813,996.391,-6509.73,483.869,703.016,-0.603096
25,0.706133,-3686.75,-40.6292,0.631572,10.8933,0.354608,50,-4389.68,702.928,639.855,996.262,-6509.71,483.909,703.531,-0.603747
26,0.704803,-3686.59,-40.4692,0.630243,11.492,0.36949,50,-4389.8,703.202,639.846,996.255,-6509.76,483.866,703.768,-0.566312
27,0.703471,-3686.38,-40.2546,0.628913,10.1894,0.383904,50,-4389.71,703.335,639.851,996.254,-6509.71,483.892,703.914,-0.578643
28,0.702144,-3686.43,-40.3058,0.627583,10.8175,0.39787,50,-4389.71,703.282,639.796,996.222,-6509.66,483.933,703.871,-0.589357
29,0.700814,-3686.42,-40.296,0.626254,11.3685,0.41262,50,-4389.64,703.224,639.862,996.251,-6509.68,483.919,703.811,-0.587867
30,0.699482,-3686.26,-40.1351,0.624924,11.9447,0.428119,50,-4389.6,703.345,639.882,996.347,-6509.73,483.893,703.962,-0.617013
31,0.698158,-3686.32,-40.1934,0.623595,12.4775,0.444355,50,-4389.71,703.396,639.867,996.205,-6509.69,483.906,703.961,-0.564926
32,0.696823,-3686.44,-40.3139,0.622265,13.0454,0.461323,50,-4389.68,703.244,639.866,996.179,-6509.65,483.92,703.833,-0.588739
33,0.695497,-3686.07,-39.947,0.620935,11.6134,0.477716,50,-4389.58,703.509,639.92,996.246,-6509.67,483.924,704.12,-0.610986
34,0.694161,-3685.65,-39.5241,0.619606,10.1617,0.492192,50,-4389.68,704.031,639.837,996.314,-6509.72,483.891,704.648,-0.617039
35,0.692835,-3685.71,-39.5803,0.618276,10.7144,0.506071,50,-4389.76,704.055,639.876,996.192,-6509.7,483.872,704.601,-0.546319
36,0.691492,-3685.76,-39.6384,0.616946,11.1808,0.520627,50,-4389.57,703.808,639.939,996.246,-6509.67,483.918,704.415,-0.607353
37,0.69017,-3685.75,-39.6206,0.615617,11.6928,0.535834,50,-4389.54,703.793,639.936,996.277,-6509.66,483.91,704.402,-0.608789
38,0.688843,-3685.66,-39.537,0.614287,12.1352,0.551675,50,-4389.72,704.055,639.88,996.149,-6509.67,483.92,704.614,-0.558713
39,0.687507,-3685.64,-39.5172,0.612958,12.6002,0.56812,50,-4389.78,704.133,639.858,996.201,-6509.72,483.888,704.72,-0.586194
40,0.686174,-3685.7,-39.5749,0.611628,13.024,0.585155,50,-4389.58,703.88,639.912,996.241,-6509.66,483.93,704.487,-0.606238
41,0.684855,-3685.68,-39.5534,0.610298,13.4685,0.602768,50,-4389.54,703.857,639.969,996.232,-6509.66,483.921,704.475,-0.617628
42,0.683523,-3685.59,-39.4685,0.608969,13.8511,0.62093,50,-4389.67,704.077,639.901,996.166,-6509.66,483.921,704.635,-0.557248
43,0.682195,-3685.57,-39.4471,0.607639,14.2301,0.639599,50,-4389.61,704.042,639.884,996.27,-6509.69,483.923,704.622,-0.5799
44,0.680861,-3685.63,-39.5008,0.606309,14.5972,0.658763,50,-4389.56,703.93,639.962,996.202,-6509.66,483.936,704.546,-0.616198
45,0.679531,-3685.53,-39.4074,0.60498,14.9958,0.678437,50,-4389.54,704.005,639.937,996.241,-6509.64,483.923,704.617,-0.611695
46,0.6782,-3685.52,-39.3901,0.60365,15.3058,0.698582,50,-4389.65,704.136,639.904,996.158,-6509.65,483.931,704.694,-0.558002
47,0.676876,-3685.49,-39.3689,0.602321,15.6397,0.719155,50,-4389.69,704.122,639.878,996.218,-6509.7,483.916,704.724,-0.60167
48,0.675535,-3685.54,-39.4187,0.600991,15.9325,0.740145,50,-4389.51,703.968,639.982,996.186,-6509.62,483.945,704.584,-0.616382
49,0.674208,-3685.45,-39.3269,0.599661,16.2581,0.761545,50,-4389.5,704.047,639.963,996.218,-6509.61,483.932,704.656,-0.609397
50,0.672885,-3685.5,-39.3735,0.598332,16.5365,0.783348,50,-4389.64,704.146,639.959,996.105,-6509.64,483.933,704.708,-0.56232
51,0.671549,-3685.41,-39.2807,0.597002,16.8401,0.805537,50,-4389.54,704.136,639.935,996.171,-6509.59,483.937,704.724,-0.588364
52,0.670227,-3685.45,-39.3245,0.595672,17.0443,0.828064,50,-4389.51,704.058,639.981,996.189,-6509.62,483.946,704.675,-0.616688
53,0.668892,-3685.36,-39.234,0.594343,17.3168,0.850907,50,-4389.48,704.124,640.012,996.083,-6509.56,483.981,704.703,-0.578583
54,0.667562,-3685.48,-39.353,0.593013,17.5345,0.874077,50,-4389.65,704.168,639.904,996.125,-6509.61,483.936,704.723,-0.554081
55,0.666232,-3685.31,-39.1897,0.591684,17.7554,0.897538,50,-4389.51,704.123,640.017,996.14,-6509.63,483.96,704.737,-0.613735
56,0.664896,-3685.5,-39.3703,0.590354,17.9608,0.921283,50,-4389.46,703.968,640.018,996.141,-6509.59,483.97,704.596,-0.627772
57,0.663571,-3685.26,-39.1366,0.589024,18.1699,0.945303,50,-4389.54,704.281,639.996,996.148,-6509.63,483.943,704.898,-0.617561
