step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59069,-3684.37,0,-0.664813,-6.84784,0,100,-4389.82,705.441,641.044,996.181,-6510.91,483.87,704.894,0.547038
1,-0.588852,-3685.58,-1.20139,-0.663483,-5.60277,-0.00827733,100,-4391,705.427,639.077,996.01,-6509.9,483.808,705.047,0.379305
2,-0.587593,-3688.79,-4.42072,-0.662154,-4.62373,-0.015076,100,-4388.43,699.632,640.677,997.039,-6509.93,483.787,700.663,-1.03097
3,-0.586241,-3688.97,-4.59842,-0.660824,-3.99384,-0.0208051,100,-4389.89,700.919,639.762,996.371,-6509.85,483.824,701.498,-0.579388
4,-0.584918,-3688.91,-4.5375,-0.659494,-3.21109,-0.025595,100,-4389.92,701.005,639.74,996.369,-6509.85,483.825,701.573,-0.567391
5,-0.583587,-3688.91,-4.53689,-0.658165,-2.48464,-0.0293816,100,-4389.94,701.028,639.746,996.359,-6509.86,483.812,701.593,-0.565844
6,-0.582255,-3688.92,-4.54428,-0.656835,-1.68094,-0.032151,100,-4389.9,700.986,639.753,996.378,-6509.86,483.822,701.561,-0.574971
7,-0.580927,-3688.91,-4.54063,-0.655506,-0.958644,-0.0339058,100,-4389.9,700.988,639.766,996.376,-6509.87,483.824,701.554,-0.565078
8,-0.579596,-3688.92,-4.54679,-0.654176,-0.149182,-0.0346423,100,-4389.91,700.989,639.756,996.385,-6509.87,483.817,701.565,-0.575728
9,-0.578267,-3688.99,-4.61207,-0.652846,0.573698,-0.0343601,100,-4389.92,700.938,639.756,996.371,-6509.86,483.814,701.509,-0.570638
10,-0.576937,-3688.92,-4.54514,-0.651517,1.37504,-0.0330645,100,-4389.91,700.987,639.763,996.39,-6509.87,483.812,701.563,-0.576255
11,-0.575606,-3688.91,-4.53819,-0.650187,2.10149,-0.0307533,100,-4389.94,701.031,639.75,996.377,-6509.89,483.817,701.607,-0.576618
12,-0.574276,-3688.91,-4.53954,-0.648857,2.88874,-0.0274357,100,-4389.92,701.003,639.766,996.391,-6509.88,483.809,701.578,-0.574883
13,-0.572947,-3688.9,-4.53012,-0.647528,3.60311,-0.0231198,100,-4389.92,701.019,639.774,996.377,-6509.88,483.811,701.591,-0.572174
14,-0.571617,-3688.9,-4.52988,-0.646198,4.38456,-0.0178095,100,-4389.91,701.009,639.77,996.4,-6509.89,483.804,701.584,-0.575508
15,-0.570286,-3688.89,-4.51916,-0.644869,5.08914,-0.0115113,100,-4389.92,701.031,639.758,996.409,-6509.9,483.805,701.603,-0.572044
16,-0.568955,-3688.89,-4.51617,-0.643539,5.86249,-0.00423051,100,-4389.92,701.031,639.772,996.403,-6509.9,483.799,701.603,-0.5723
17,-0.567627,-3688.88,-4.50341,-0.642209,6.54467,0.00401793,100,-4389.9,701.021,639.784,996.424,-6509.9,483.79,701.594,-0.572269
18,-0.566296,-3688.87,-4.49802,-0.64088,7.30834,0.0132276,100,-4389.94,701.069,639.776,996.389,-6509.9,483.797,701.64,-0.571157
19,-0.564966,-3688.93,-4.55616,-0.63955,7.99719,0.0234029,100,-4389.9,700.966,639.795,996.422,-6509.9,483.79,701.537,-0.571543
20,-0.563634,-3688.85,-4.47568,-0.63822,8.73008,0.0345234,100,-4389.94,701.088,639.778,996.402,-6509.91,483.788,701.654,-0.566141
21,-0.562306,-3688.91,-4.53499,-0.636891,9.41594,0.0465871,100,-4389.92,701.011,639.783,996.436,-6509.92,483.783,701.595,-0.583595
22,-0.560976,-3688.82,-4.45017,-0.635561,10.1162,0.0595723,100,-4389.94,701.117,639.784,996.401,-6509.91,483.782,701.678,-0.560736
23,-0.559646,-3688.88,-4.50772,-0.634232,10.7844,0.0734673,100,-4389.92,701.038,639.799,996.408,-6509.91,483.782,701.612,-0.573872
24,-0.558317,-3687.71,-3.3311,-0.632902,4.10568,0.0833664,100,-4389.87,702.164,639.827,996.404,-6509.89,483.789,702.715,-0.550676
25,-0.556984,-3687.77,-3.3969,-0.631572,4.80443,0.08929,100,-4389.88,702.11,639.852,996.401,-6509.91,483.78,702.682,-0.572023
26,-0.555652,-3687.69,-3.31894,-0.630243,5.52923,0.09616,100,-4389.91,702.213,639.821,996.401,-6509.91,483.779,702.774,-0.561209
27,-0.554323,-3687.76,-3.38231,-0.628913,6.216,0.103968,100,-4389.88,702.123,639.829,996.413,-6509.91,483.792,702.714,-0.591489
28,-0.552993,-3687.68,-3.30191,-0.627583,6.88393,0.112677,100,-4389.89,702.21,639.86,996.43,-6509.93,483.755,702.771,-0.561104
29,-0.551664,-3687.74,-3.36378,-0.626254,7.55412,0.122276,100,-4389.92,702.183,639.839,996.396,-6509.93,483.777,702.768,-0.585691
30,-0.550334,-3687.66,-3.28245,-0.624924,8.21773,0.132761,100,-4389.92,702.264,639.866,996.385,-6509.94,483.765,702.831,-0.566658
31,-0.549006,-3687.72,-3.3422,-0.623595,8.86048,0.144115,100,-4389.85,702.135,639.891,996.434,-6509.94,483.76,702.716,-0.580431
32,-0.547674,-3687.63,-3.25862,-0.622265,9.49361,0.156317,100,-4389.87,702.237,639.86,996.427,-6509.92,483.767,702.802,-0.564678
33,-0.546344,-3687.42,-3.04437,-0.620935,8.21676,0.168091,100,-4389.84,702.421,639.883,996.453,-6509.93,483.76,702.992,-0.571701
34,-0.54501,-3686.79,-2.41561,-0.619606,5.03747,0.176903,100,-4389.86,703.066,639.88,996.417,-6509.91,483.761,703.63,-0.563683
35,-0.543681,-3686.58,-2.2065,-0.618276,3.74316,0.18274,100,-4389.82,703.24,639.888,996.432,-6509.9,483.763,703.806,-0.566136
36,-0.54235,-3686.5,-2.13016,-0.616946,4.3976,0.188152,100,-4389.88,703.371,639.898,996.398,-6509.93,483.754,703.919,-0.547976
37,-0.541021,-3686.57,-2.19531,-0.615617,5.02118,0.194414,100,-4389.79,703.294,639.956,996.399,-6509.92,483.768,703.862,-0.56786
38,-0.539689,-3686.42,-2.04624,-0.614287,5.62786,0.201494,100,-4389.92,703.501,639.87,996.411,-6509.95,483.746,704.058,-0.556717
