step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59069,-3646.13,0,-0.664813,-6.60222,0,50,-4356.01,709.665,660.372,1003.52,-6509.2,489.301,708.464,1.20091
1,-0.589104,-3684.54,-38.4114,-0.663483,-6.04072,-0.00840519,50,-4389.69,705.222,641.148,996.177,-6510.86,483.846,704.687,0.535153
2,-0.587508,-3684.62,-38.4962,-0.662154,-5.00339,-0.0157475,50,-4390.21,705.593,640.108,995.652,-6509.74,483.761,705.004,0.588868
3,-0.586243,-3685.79,-39.6639,-0.660824,-4.02438,-0.0217492,50,-4390.86,705.067,638.972,996.247,-6509.91,483.833,704.761,0.305838
4,-0.58493,-3688.2,-42.0732,-0.659494,-3.36271,-0.0266603,50,-4390.05,701.94,639.682,997.237,-6510.35,483.383,702.434,-0.494031
5,-0.583526,-3688.81,-42.687,-0.658165,-2.46089,-0.0305319,50,-4388.75,699.941,640.308,997.137,-6510.04,483.847,700.858,-0.917026
6,-0.582262,-3689.04,-42.9168,-0.656835,-1.63468,-0.0332547,50,-4389.61,700.635,640.191,996.106,-6509.76,483.855,701.03,-0.394803
7,-0.580936,-3688.9,-42.772,-0.655506,-0.945041,-0.0349697,50,-4389.96,701.066,639.741,996.36,-6509.87,483.804,701.627,-0.561245
8,-0.579597,-3688.98,-42.8557,-0.654176,-0.145597,-0.0356948,50,-4389.97,700.992,639.636,996.435,-6509.88,483.833,701.554,-0.562191
9,-0.578268,-3688.92,-42.7911,-0.652846,0.598317,-0.0353938,50,-4389.89,700.976,639.786,996.41,-6509.88,483.796,701.566,-0.590522
10,-0.576936,-3688.99,-42.8619,-0.651517,1.36645,-0.0340876,50,-4389.96,700.974,639.709,996.411,-6509.88,483.799,701.521,-0.547658
11,-0.575607,-3688.92,-42.7911,-0.650187,2.14219,-0.031755,50,-4389.93,701.009,639.779,996.357,-6509.87,483.81,701.577,-0.567586
12,-0.574278,-3688.91,-42.7849,-0.648857,2.84656,-0.0284384,50,-4389.86,700.948,639.799,996.439,-6509.89,483.797,701.566,-0.617443
13,-0.572945,-3688.91,-42.7837,-0.647528,3.64384,-0.0241235,50,-4389.96,701.052,639.741,996.411,-6509.91,483.795,701.632,-0.580018
14,-0.571617,-3688.9,-42.7742,-0.646198,4.34914,-0.0188097,50,-4390,701.105,639.73,996.326,-6509.88,483.815,701.681,-0.576108
15,-0.570287,-3688.9,-42.772,-0.644869,5.11801,-0.0125158,50,-4389.96,701.058,639.732,996.403,-6509.89,483.804,701.62,-0.561234
16,-0.568953,-3688.89,-42.7609,-0.643539,5.8307,-0.00523695,50,-4389.97,701.087,639.793,996.363,-6509.92,483.793,701.691,-0.604674
17,-0.567627,-3688.88,-42.7567,-0.642209,6.59161,0.00302157,50,-4389.9,701.022,639.778,996.427,-6509.9,483.794,701.601,-0.579256
18,-0.566295,-3688.87,-42.7431,-0.64088,7.27001,0.012237,50,-4389.95,701.079,639.795,996.394,-6509.91,483.771,701.64,-0.5605
19,-0.564969,-3688.86,-42.7369,-0.63955,8.03559,0.0224123,50,-4389.93,701.063,639.8,996.374,-6509.91,483.809,701.64,-0.576874
20,-0.563639,-3688.85,-42.7234,-0.63822,8.7005,0.0335387,50,-4389.94,701.088,639.743,996.497,-6509.95,483.769,701.664,-0.57658
