step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738405,-4191.99,0,0.664813,6.72794,190,-4754.02,562.032,568.093,767.527,-6597.19,507.55,562.751,-0.718269
1,0.737017,-4191.98,0.00942051,0.663485,7.45593,40,-4754.02,562.039,568.093,767.523,-6597.18,507.552,562.757,-0.718306
2,0.735688,-4191.97,0.0198204,0.662156,8.19321,11,-4754.02,562.049,568.093,767.523,-6597.18,507.552,562.767,-0.718337
3,0.73436,-4191.95,0.0311908,0.660828,8.92631,11,-4754.01,562.06,568.092,767.524,-6597.18,507.553,562.778,-0.718374
4,0.733032,-4191.94,0.0435318,0.6595,9.65464,11,-4754.01,562.071,568.091,767.525,-6597.18,507.553,562.789,-0.718421
5,0.731703,-4191.93,0.0568369,0.658172,10.3776,11,-4754.01,562.083,568.09,767.526,-6597.18,507.554,562.802,-0.718471
6,0.730375,-4191.91,0.0710991,0.656843,11.0948,11,-4754.01,562.096,568.088,767.528,-6597.18,507.554,562.815,-0.718547
7,0.729047,-4191.9,0.0859966,0.655515,11.7292,45,-4754,562.097,568.102,767.495,-6597.16,507.567,562.815,-0.718561
8,0.727716,-4191.88,0.102051,0.654187,12.4332,11,-4754,562.112,568.102,767.495,-6597.16,507.567,562.831,-0.718695
9,0.726387,-4191.87,0.119029,0.652858,13.1297,11,-4754,562.129,568.102,767.495,-6597.16,507.567,562.848,-0.718879
10,0.725059,-4191.85,0.136927,0.65153,13.8182,11,-4754,562.147,568.102,767.494,-6597.16,507.567,562.866,-0.719087
11,0.723731,-4191.83,0.155735,0.650202,14.4982,11,-4754,562.165,568.102,767.494,-6597.16,507.566,562.885,-0.719325
12,0.722403,-4191.81,0.175439,0.648873,15.1692,11,-4754,562.185,568.102,767.494,-6597.16,507.566,562.905,-0.719597
13,0.721074,-4191.79,0.195724,0.647545,15.7566,39,-4753.97,562.183,568.116,767.465,-6597.13,507.581,562.902,-0.718714
14,0.719743,-4191.77,0.217094,0.646217,16.4085,12,-4753.97,562.204,568.117,767.463,-6597.13,507.581,562.923,-0.719103
15,0.718415,-4191.75,0.239316,0.644889,17.0499,12,-4753.97,562.226,568.119,767.462,-6597.13,507.581,562.946,-0.719547
16,0.717087,-4191.72,0.262384,0.64356,17.6806,14,-4753.97,562.249,568.121,767.459,-6597.13,507.581,562.969,-0.720112
17,0.715759,-4191.7,0.286282,0.642232,18.2999,13,-4753.97,562.273,568.123,767.457,-6597.13,507.582,562.993,-0.720734
18,0.71443,-4191.68,0.31079,0.640904,18.8488,44,-4753.95,562.276,568.13,767.439,-6597.11,507.593,562.995,-0.718776
19,0.7131,-4188.91,3.07415,0.639575,0.804082,11,-4753.95,565.039,568.13,767.439,-6597.11,507.593,565.758,-0.718777
20,0.711771,-4188.91,3.0757,0.638247,1.53206,11,-4753.95,565.041,568.13,767.439,-6597.11,507.593,565.76,-0.718777
21,0.710443,-4188.91,3.07821,0.636919,2.24695,11,-4753.95,565.043,568.13,767.439,-6597.11,507.593,565.762,-0.718777
22,0.709115,-4188.9,3.08166,0.63559,2.94835,11,-4753.95,565.047,568.13,767.439,-6597.11,507.593,565.766,-0.718777
23,0.707787,-4188.9,3.08604,0.634262,3.63593,11,-4753.95,565.051,568.13,767.439,-6597.11,507.593,565.77,-0.718845
24,0.706458,-4188.9,3.09077,0.632934,4.2435,54,-4753.85,564.951,568.23,767.378,-6597.08,507.625,565.665,-0.714206
25,0.705122,-4188.89,3.09685,0.631606,4.90296,11,-4753.85,564.957,568.23,767.378,-6597.08,507.625,565.671,-0.714202
26,0.703794,-4188.88,3.10379,0.630277,5.54778,11,-4753.85,564.964,568.23,767.378,-6597.08,507.625,565.678,-0.714202
27,0.702465,-4188.87,3.11158,0.628949,6.17771,11,-4753.85,564.971,568.23,767.378,-6597.08,507.625,565.686,-0.714202
28,0.701137,-4188.87,3.12008,0.627621,6.75022,47,-4753.83,564.963,568.243,767.357,-6597.06,507.633,565.677,-0.714332
29,0.699807,-4188.86,3.12945,0.626292,7.35005,11,-4753.83,564.972,568.244,767.357,-6597.06,507.633,565.687,-0.714407
30,0.698479,-4188.85,3.1396,0.624964,7.93439,11,-4753.83,564.982,568.245,767.356,-6597.06,507.633,565.697,-0.714592
31,0.697151,-4188.84,3.15052,0.623636,8.50309,11,-4753.83,564.993,568.246,767.354,-6597.06,507.633,565.708,-0.714796
32,0.695822,-4188.82,3.16219,0.622307,9.05601,11,-4753.83,565.005,568.247,767.353,-6597.06,507.633,565.72,-0.715039
33,0.694494,-4188.81,3.17457,0.620979,9.59304,11,-4753.83,565.017,568.249,767.351,-6597.06,507.633,565.732,-0.715288
34,0.693166,-4188.8,3.18742,0.619651,10.0565,40,-4753.8,565.003,568.264,767.327,-6597.04,507.644,565.718,-0.714422
35,0.691835,-4188.78,3.20112,0.618323,10.5622,11,-4753.8,565.017,568.264,767.326,-6597.04,507.644,565.732,-0.714638
36,0.690507,-4188.77,3.21548,0.616994,11.0518,11,-4753.8,565.032,568.264,767.326,-6597.04,507.644,565.746,-0.714874
37,0.689179,-4188.76,3.23048,0.615666,11.5254,11,-4753.8,565.047,568.264,767.326,-6597.04,507.644,565.762,-0.715164
38,0.68785,-4188.74,3.24609,0.614338,11.9829,11,-4753.8,565.062,568.264,767.325,-6597.04,507.644,565.778,-0.71548
39,0.686522,-4188.72,3.2623,0.613009,12.4244,11,-4753.8,565.079,568.264,767.325,-6597.04,507.644,565.794,-0.715807
40,0.685194,-4188.71,3.27887,0.611681,12.7989,39,-4753.77,565.067,568.287,767.297,-6597.01,507.654,565.782,-0.714409
41,0.683863,-4188.69,3.29615,0.610353,13.2093,11,-4753.77,565.085,568.288,767.297,-6597.01,507.654,565.799,-0.71472
42,0.682535,-4188.67,3.31396,0.609024,13.604,11,-4753.77,565.103,568.288,767.296,-6597.01,507.655,565.818,-0.715089
43,0.681206,-4188.65,3.33229,0.607696,13.983,13,-4753.77,565.121,568.288,767.296,-6597.01,507.655,565.837,-0.715538
44,0.679878,-4188.63,3.35111,0.606368,14.3466,12,-4753.77,565.14,568.289,767.295,-6597.01,507.655,565.856,-0.716031
45,0.67855,-4188.54,3.44097,0.60504,14.6558,83,-4753.75,565.203,568.312,767.27,-6596.99,507.663,565.917,-0.714333
46,0.67722,-4188.53,3.46067,0.603711,14.9896,11,-4753.75,565.222,568.312,767.27,-6596.99,507.663,565.937,-0.71434
47,0.675891,-4188.51,3.48079,0.602383,15.3086,11,-4753.75,565.243,568.31,767.271,-6596.99,507.663,565.957,-0.714535
48,0.674563,-4188.48,3.50128,0.601055,15.5921,40,-4753.73,565.25,568.324,767.256,-6596.98,507.667,565.964,-0.714249
49,0.673234,-4188.46,3.52219,0.599726,15.8826,11,-4753.73,565.271,568.324,767.256,-6596.98,507.667,565.985,-0.714272
50,0.671905,-4188.44,3.54347,0.598398,16.1591,11,-4753.73,565.292,568.324,767.256,-6596.98,507.667,566.007,-0.714451
51,0.670577,-4188.42,3.56511,0.59707,16.4218,11,-4753.73,565.314,568.324,767.256,-6596.98,507.667,566.029,-0.714677
52,0.669249,-4188.4,3.58709,0.595742,16.6711,11,-4753.73,565.336,568.324,767.256,-6596.98,507.667,566.051,-0.714915
53,0.667921,-4188.38,3.6094,0.594413,16.9074,11,-4753.74,565.359,568.324,767.256,-6596.98,507.667,566.074,-0.715163
54,0.666592,-4188.35,3.63185,0.593085,17.0944,57,-4753.71,565.355,568.348,767.23,-6596.96,507.675,566.069,-0.713948
55,0.665262,-4188.33,3.6547,0.591757,17.3064,11,-4753.71,565.378,568.347,767.231,-6596.96,507.675,566.092,-0.71395
56,0.663934,-4188.31,3.67782,0.590428,17.5065,11,-4753.71,565.401,568.346,767.232,-6596.96,507.675,566.115,-0.713959
57,0.662605,-4188.28,3.7012,0.5891,17.6953,11,-4753.71,565.425,568.345,767.232,-6596.96,507.675,566.139,-0.713952
58,0.661277,-4188.26,3.72476,0.587772,17.8511,44,-4753.69,565.432,568.363,767.214,-6596.95,507.68,566.146,-0.713691
59,0.659948,-4188.24,3.74859,0.586443,18.0186,11,-4753.69,565.456,568.363,767.214,-6596.95,507.68,566.17,-0.713703
60,0.658619,-4188.21,3.77263,0.585115,18.1761,11,-4753.69,565.481,568.365,767.213,-6596.95,507.68,566.195,-0.71379
61,0.657291,-4188.19,3.79687,0.583787,18.324,11,-4753.69,565.505,568.366,767.211,-6596.95,507.68,566.219,-0.713903
62,0.655963,-4188.16,3.82131,0.582459,18.4629,11,-4753.69,565.53,568.368,767.209,-6596.95,507.679,566.244,-0.71401
63,0.654635,-4188.14,3.84592,0.58113,18.5932,11,-4753.7,565.555,568.369,767.207,-6596.95,507.679,566.269,-0.714128
64,0.653306,-4188.12,3.87057,0.579802,18.687,39,-4753.67,565.558,568.385,767.193,-6596.94,507.687,566.271,-0.713198
65,0.651976,-4188.09,3.89548,0.578474,18.8023,15,-4753.67,565.583,568.386,767.192,-6596.94,507.686,566.296,-0.71323
66,0.650648,-4188.07,3.92051,0.577145,18.9018,80,-4753.67,565.602,568.391,767.186,-6596.93,507.689,566.315,-0.712998
67,0.649319,-4188.04,3.94569,0.575817,19.004,11,-4753.67,565.627,568.391,767.186,-6596.93,507.689,566.34,-0.71299
68,0.647991,-4188.01,3.971,0.574489,19.1004,11,-4753.67,565.652,568.391,767.186,-6596.93,507.689,566.365,-0.713063
69,0.646663,-4187.99,3.99643,0.57316,19.1917,11,-4753.67,565.677,568.392,767.186,-6596.93,507.689,566.39,-0.713173
70,0.645334,-4187.96,4.02198,0.571832,19.2784,11,-4753.67,565.702,568.392,767.185,-6596.93,507.688,566.416,-0.713305
71,0.644006,-4187.94,4.04764,0.570504,19.3611,11,-4753.67,565.728,568.393,767.185,-6596.93,507.688,566.441,-0.713449
72,0.642678,-4187.91,4.07331,0.569176,19.4158,42,-4753.65,565.739,568.41,767.169,-6596.92,507.693,566.451,-0.712329
73,0.641348,-4187.89,4.09915,0.567847,19.4926,11,-4753.65,565.765,568.41,767.168,-6596.92,507.693,566.477,-0.712322
74,0.64002,-4186.76,5.22157,0.566519,12.0516,11,-4753.65,566.887,568.411,767.167,-6596.92,507.693,567.6,-0.712319
75,0.638691,-4185.11,6.87278,0.565191,0.982956,11,-4753.65,568.539,568.411,767.168,-6596.92,507.693,569.251,-0.712324
76,0.637363,-4185.11,6.87423,0.563862,1.20159,12,-4753.65,568.54,568.412,767.167,-6596.92,507.693,569.253,-0.712317
77,0.636035,-4185.11,6.87597,0.562534,1.41949,11,-4753.65,568.542,568.413,767.166,-6596.92,507.693,569.255,-0.712304
78,0.634707,-4185.11,6.87764,0.561206,1.61643,96,-4753.56,568.451,568.522,767.113,-6596.89,507.697,569.158,-0.707162
79,0.633375,-4185.11,6.87993,0.559877,1.83061,35,-4753.56,568.453,568.523,767.111,-6596.89,507.697,569.16,-0.707042
80,0.632046,-4185.1,6.88251,0.558549,2.0499,11,-4753.56,568.455,568.524,767.11,-6596.89,507.697,569.163,-0.707143
81,0.630718,-4185.1,6.88538,0.557221,2.27085,11,-4753.56,568.459,568.525,767.108,-6596.89,507.697,569.166,-0.707339
82,0.62939,-4185.1,6.88854,0.555893,2.49408,11,-4753.56,568.462,568.527,767.106,-6596.89,507.698,569.17,-0.707572
83,0.628061,-4185.92,6.0668,0.554564,-2.89873,11,-4753.56,567.64,568.527,767.106,-6596.89,507.698,568.348,-0.707584
84,0.626733,-4187.85,4.13291,0.553236,-15.8173,11,-4753.56,565.707,568.527,767.106,-6596.89,507.698,566.414,-0.707584
85,0.625405,-4187.87,4.11152,0.551908,-15.7503,101,-4753.66,565.787,568.367,767.176,-6596.92,507.71,566.495,-0.70758
86,0.624067,-4187.9,4.09065,0.550579,-15.6605,38,-4753.66,565.768,568.367,767.176,-6596.92,507.711,566.475,-0.707434
87,0.622739,-4187.92,4.06992,0.549251,-15.5616,11,-4753.66,565.747,568.366,767.177,-6596.92,507.711,566.454,-0.707486
88,0.62141,-4187.94,4.04932,0.547923,-15.4573,11,-4753.66,565.727,568.366,767.177,-6596.92,507.71,566.434,-0.707619
89,0.620082,-4187.96,4.02886,0.546595,-15.3468,11,-4753.66,565.707,568.366,767.178,-6596.92,507.71,566.415,-0.707794
90,0.618754,-4187.98,4.00855,0.545266,-15.2297,11,-4753.66,565.687,568.365,767.178,-6596.92,507.709,566.395,-0.707989
91,0.617425,-4188,3.9884,0.543938,-15.1054,11,-4753.67,565.668,568.365,767.179,-6596.92,507.709,566.376,-0.708206
92,0.616097,-4188.02,3.96832,0.54261,-15.0006,55,-4753.67,565.656,568.359,767.178,-6596.92,507.713,566.362,-0.706498
93,0.614768,-4188.04,3.94849,0.541281,-14.8604,11,-4753.67,565.636,568.359,767.178,-6596.92,507.713,566.342,-0.706494
94,0.61344,-4188.06,3.92885,0.539953,-14.7113,11,-4753.67,565.616,568.36,767.178,-6596.92,507.713,566.322,-0.706503
95,0.612111,-4188.08,3.90941,0.538625,-14.553,11,-4753.67,565.596,568.36,767.177,-6596.92,507.712,566.303,-0.706508
96,0.610783,-4188.1,3.89019,0.537296,-14.3848,11,-4753.67,565.577,568.36,767.177,-6596.92,507.712,566.283,-0.706519
97,0.609455,-4188.11,3.87111,0.535968,-14.2321,42,-4753.68,565.57,568.352,767.181,-6596.93,507.714,566.275,-0.705536
98,0.608126,-4188.13,3.85234,0.53464,-14.0431,11,-4753.68,565.551,568.352,767.181,-6596.93,507.714,566.256,-0.705578
99,0.606798,-4188.15,3.83381,0.533312,-13.8429,11,-4753.68,565.532,568.351,767.182,-6596.93,507.714,566.237,-0.70568
100,0.605469,-4188.17,3.81557,0.531983,-13.631,11,-4753.68,565.513,568.351,767.183,-6596.93,507.715,566.218,-0.705803
101,0.604141,-4188.19,3.79761,0.530655,-13.4071,11,-4753.68,565.494,568.35,767.184,-6596.93,507.716,566.2,-0.705947
102,0.602813,-4188.21,3.77995,0.529327,-13.1708,11,-4753.68,565.475,568.35,767.186,-6596.93,507.716,566.181,-0.706123
103,0.601484,-4188.22,3.76248,0.527998,-12.9574,52,-4753.7,565.477,568.342,767.187,-6596.94,507.714,566.182,-0.704281
104,0.600156,-4188.24,3.74545,0.52667,-12.6953,12,-4753.7,565.46,568.342,767.187,-6596.94,507.714,566.165,-0.70426
105,0.598828,-4188.26,3.72876,0.525342,-12.4196,11,-4753.7,565.444,568.342,767.187,-6596.94,507.714,566.148,-0.704248
106,0.597499,-4188.27,3.71246,0.524013,-12.1301,11,-4753.7,565.427,568.342,767.187,-6596.94,507.714,566.132,-0.704225
107,0.596171,-4188.29,3.69647,0.522685,-11.8538,48,-4753.71,565.424,568.335,767.191,-6596.95,507.714,566.127,-0.703268
108,0.594843,-4188.3,3.68094,0.521357,-11.536,11,-4753.71,565.408,568.336,767.191,-6596.95,507.714,566.111,-0.703243
109,0.593514,-4188.32,3.66583,0.520029,-11.2035,11,-4753.71,565.392,568.336,767.19,-6596.95,507.714,566.095,-0.70314
110,0.592186,-4188.33,3.65118,0.5187,-10.8561,11,-4753.71,565.377,568.337,767.189,-6596.95,507.714,566.08,-0.702983
111,0.590858,-4188.35,3.637,0.517372,-10.4937,11,-4753.71,565.362,568.338,767.187,-6596.95,507.715,566.065,-0.702815
112,0.58953,-4188.36,3.62331,0.516044,-10.1159,11,-4753.71,565.347,568.34,767.186,-6596.95,507.715,566.05,-0.702624
113,0.588202,-4188.38,3.60995,0.514715,-9.76969,52,-4753.73,565.356,568.326,767.2,-6596.97,507.713,566.058,-0.701707
114,0.586873,-4188.39,3.59725,0.513387,-9.36126,27,-4753.73,565.343,568.325,767.201,-6596.97,507.713,566.045,-0.701695
115,0.585545,-4188.4,3.58506,0.512059,-8.95413,55,-4753.74,565.338,568.323,767.203,-6596.98,507.712,566.039,-0.7011
116,0.584217,-4188.41,3.57346,0.51073,-8.52312,97,-4753.74,565.33,568.321,767.205,-6596.98,507.712,566.031,-0.700812
117,0.582888,-4188.42,3.56244,0.509402,-8.06759,11,-4753.74,565.32,568.321,767.204,-6596.98,507.711,566.021,-0.700741
118,0.58156,-4188.43,3.55203,0.508074,-7.59615,11,-4753.75,565.312,568.322,767.202,-6596.98,507.711,566.012,-0.700636
119,0.580232,-4188.44,3.54227,0.506746,-7.1088,11,-4753.75,565.304,568.322,767.201,-6596.98,507.71,566.005,-0.700526
120,0.578904,-4188.45,3.53316,0.505417,-6.60555,11,-4753.75,565.297,568.322,767.2,-6596.98,507.709,565.998,-0.700414
121,0.577575,-4188.46,3.52473,0.504089,-6.08641,11,-4753.75,565.291,568.322,767.198,-6596.98,507.709,565.992,-0.700295
122,0.576247,-4188.54,3.44604,0.502761,-5.61075,81,-4753.77,565.226,568.31,767.217,-6597,507.709,565.925,-0.698919
123,0.574919,-4188.55,3.43895,0.501432,-5.06033,11,-4753.77,565.219,568.31,767.217,-6597,507.709,565.918,-0.698982
124,0.573591,-4188.55,3.43261,0.500104,-4.49431,11,-4753.77,565.213,568.31,767.218,-6597,507.709,565.912,-0.699122
125,0.572262,-4188.49,3.49767,0.498776,-3.94559,71,-4753.77,565.281,568.315,767.217,-6597.01,507.708,565.979,-0.697856
126,0.570934,-4188.49,3.49282,0.497447,-3.34883,11,-4753.77,565.276,568.316,767.217,-6597.01,507.708,565.974,-0.697898
127,0.569606,-4188.5,3.48878,0.496119,-2.73687,11,-4753.77,565.273,568.317,767.216,-6597.01,507.708,565.971,-0.698039
128,0.568278,-4188.5,3.48549,0.494791,-2.14343,54,-4753.78,565.278,568.314,767.222,-6597.02,507.707,565.975,-0.696862
129,0.56695,-4188.5,3.48307,0.493463,-1.50192,11,-4753.78,565.275,568.314,767.222,-6597.02,507.707,565.972,-0.696837
130,0.565622,-4188.5,3.48151,0.492134,-0.845856,11,-4753.78,565.273,568.314,767.222,-6597.02,507.707,565.97,-0.696816
131,0.564293,-4188.51,3.48083,0.490806,-0.175543,11,-4753.78,565.272,568.315,767.223,-6597.02,507.707,565.969,-0.696774
132,0.562965,-4188.5,3.48105,0.489478,0.508745,11,-4753.78,565.272,568.316,767.223,-6597.02,507.707,565.969,-0.696739
133,0.561637,-4188.5,3.48199,0.488149,1.14665,51,-4753.79,565.288,568.314,767.229,-6597.04,507.704,565.983,-0.695076
134,0.560309,-4188.5,3.48398,0.486821,1.85752,11,-4753.79,565.29,568.315,767.228,-6597.04,507.704,565.985,-0.695034
135,0.558981,-4188.5,3.48693,0.485493,2.58137,11,-4753.79,565.292,568.317,767.228,-6597.04,507.704,565.987,-0.694959
136,0.557652,-4188.5,3.49085,0.484165,3.31775,11,-4753.79,565.295,568.318,767.227,-6597.04,507.704,565.99,-0.694876
137,0.556324,-4188.49,3.49575,0.482836,4.06629,11,-4753.79,565.299,568.321,767.226,-6597.04,507.703,565.994,-0.694777
138,0.554996,-4188.41,3.57216,0.481508,4.76119,74,-4753.8,565.386,568.323,767.231,-6597.06,507.702,566.079,-0.693094
139,0.553668,-4188.68,3.30323,0.48018,3.75803,11,-4753.8,565.117,568.324,767.231,-6597.06,507.702,565.81,-0.693122
140,0.55234,-4188.95,3.03389,0.478851,2.76804,11,-4753.8,564.848,568.324,767.231,-6597.06,507.702,565.541,-0.693112
141,0.551012,-4189.78,2.21058,0.477523,-1.78204,84,-4753.83,564.056,568.203,767.318,-6597.06,507.703,564.731,-0.674892
142,0.549681,-4189.78,2.20871,0.476195,-1.0398,11,-4753.83,564.054,568.204,767.318,-6597.06,507.703,564.729,-0.674883
143,0.548352,-4189.78,2.20779,0.474866,-0.315221,50,-4753.84,564.057,568.205,767.321,-6597.06,507.702,564.731,-0.673695
144,0.547024,-4189.78,2.20787,0.473538,0.445232,11,-4753.84,564.057,568.205,767.321,-6597.06,507.702,564.731,-0.673738
145,0.545696,-4189.78,2.20897,0.47221,1.21403,11,-4753.84,564.058,568.205,767.321,-6597.06,507.702,564.732,-0.673829
146,0.544368,-4189.77,2.2111,0.470882,1.99067,11,-4753.84,564.061,568.205,767.321,-6597.06,507.702,564.735,-0.673938
147,0.543039,-4189.77,2.21427,0.469553,2.77453,11,-4753.84,564.064,568.205,767.321,-6597.06,507.702,564.738,-0.674063
148,0.541711,-4189.77,2.21824,0.468225,3.4955,42,-4753.84,564.075,568.211,767.328,-6597.08,507.699,564.746,-0.670636
149,0.540383,-4191.14,0.843666,0.466897,-5.08428,12,-4753.84,562.702,568.211,767.326,-6597.08,507.699,563.372,-0.67013
150,0.539055,-4191.15,0.837397,0.465568,-4.35432,12,-4753.84,562.696,568.211,767.326,-6597.08,507.699,563.366,-0.669973
151,0.537727,-4191.15,0.832101,0.46424,-3.61961,11,-4753.84,562.691,568.211,767.325,-6597.08,507.7,563.361,-0.669803
152,0.536399,-4191.92,0.0686689,0.462912,-9.76077,11,-4753.85,561.932,568.21,767.319,-6597.08,507.702,562.6,-0.667955
153,0.535071,-4192.12,-0.134931,0.461583,-10.8391,11,-4753.85,561.73,568.21,767.318,-6597.08,507.702,562.397,-0.66749
