step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738405,-4191.96,0,0.664813,6.72973,50,-4754.03,562.075,568.094,767.51,-6597.19,507.55,562.8,-0.724694
1,0.711753,-4188.91,3.05094,0.63822,1.56971,50,-4753.95,564.971,568.178,767.308,-6597.07,507.631,565.686,-0.715217
2,0.685161,-4188.64,3.32402,0.611628,12.8122,50,-4753.77,565.133,568.297,767.289,-6597.01,507.655,565.851,-0.717936
3,0.658546,-4188.21,3.74807,0.585035,18.1914,50,-4753.75,565.541,568.323,767.221,-6596.98,507.682,566.257,-0.716008
4,0.63195,-4185.1,6.85648,0.558443,2.06242,50,-4753.59,568.488,568.489,767.139,-6596.9,507.681,569.206,-0.717607
5,0.605347,-4188.17,3.78756,0.53185,-13.627,50,-4753.61,565.442,568.417,767.142,-6596.91,507.738,566.144,-0.702011
6,0.578752,-4188.45,3.50626,0.505258,-6.60386,50,-4753.74,565.282,568.371,767.115,-6596.98,507.76,565.957,-0.674549
7,0.552151,-4189.02,2.93734,0.478665,2.85655,50,-4753.73,564.708,568.297,767.279,-6597.03,507.724,565.384,-0.67615
8,0.525568,-4192.2,-0.242074,0.452073,-6.51299,50,-4754.14,561.935,568.344,766.996,-6597.2,507.72,562.561,-0.626157
9,0.498932,-4192.22,-0.26191,0.42548,4.57296,50,-4754.08,561.856,568.237,767.168,-6597.18,507.694,562.488,-0.63205
10,0.47236,-4189.93,2.02952,0.398888,-6.15865,50,-4754.06,564.126,568.26,767.301,-6597.32,507.702,564.753,-0.627341
11,0.445762,-4189.91,2.04912,0.372295,-3.92027,50,-4754,564.093,568.546,767.052,-6597.24,507.642,564.701,-0.608585
12,0.41917,-4187.24,4.72139,0.345703,-24.4483,50,-4754.06,566.817,568.593,766.959,-6597.28,507.669,567.362,-0.544578
13,0.392564,-4189.47,2.48964,0.31911,-30.674,50,-4754.06,564.594,568.588,767.048,-6597.31,507.609,565.148,-0.554207
14,0.36598,-4192.39,-0.429862,0.292518,-27.0649,50,-4753.59,561.204,569.059,767.066,-6597.33,507.607,561.784,-0.579883
15,0.339391,-4192.79,-0.827308,0.265925,20.7182,50,-4753.69,560.903,568.352,768.038,-6597.58,507.502,561.602,-0.698756
16,0.312838,-4190.84,1.12272,0.239333,135.144,50,-4753.28,562.442,569.058,767.305,-6597.36,507.721,563.262,-0.819412
17,0.286309,-4188.27,3.69272,0.21274,340.643,50,-4749.4,561.136,569.167,772.756,-6598.16,506.831,563.066,-1.93005
18,0.259904,-4170.39,21.5649,0.186148,802.385,50,-4747.94,577.549,570.957,773.536,-6597.79,505.357,580.442,-2.89258
19,0.233517,-4143.43,48.5312,0.159555,1390.37,50,-4727.78,584.352,575.197,792.761,-6599.49,503.757,592.164,-7.81282
20,0.20759,-4088.67,103.289,0.132963,2724.9,50,-4728.43,639.757,582.925,784.87,-6599.07,502.851,649.014,-9.25712
21,0.181645,-4023.72,168.241,0.10637,2959.89,50,-4660.49,636.776,591.723,855.119,-6600.66,493.322,660.7,-23.9238
22,0.155832,-3920.01,271.947,0.0797776,4550.44,50,-4641.5,721.491,585.744,877.661,-6599.36,494.453,748.4,-26.9095
23,0.129072,-3844.62,347.344,0.053185,3643.63,50,-4551,706.387,613.495,959.639,-6598.12,473.979,753.813,-47.4259
24,0.103444,-3733.05,458.907,0.0265925,4239.43,50,-4520.4,787.344,624.11,973.635,-6593.02,474.878,837.17,-49.8268
25,0.0767898,-3672.84,519.117,0,2584.77,50,-4467.15,794.307,635.302,1035.17,-6592.56,454.936,859.612,-65.3051
26,0.0497205,-3609.16,582.796,-0.0265925,1617.64,50,-4438.25,829.085,651.786,1049.07,-6591.7,452.595,896.719,-67.6344
27,0.0233021,-3596.08,595.88,-0.053185,-115.654,50,-4488.42,892.341,658.239,992.385,-6589.31,450.27,961.7,-69.3586
28,-0.00509088,-3615.03,576.93,-0.0797776,-1446.32,50,-4513.66,898.629,657.249,963.201,-6589.6,455.495,965.825,-67.1962
29,-0.0308621,-3687.9,504.064,-0.10637,-3302.88,50,-4623.65,935.751,659.584,844.871,-6592.15,464.052,992.466,-56.7154
30,-0.0606825,-3774.97,416.994,-0.132963,-3056.57,50,-4623.99,849.022,660.286,846.127,-6592.77,462.37,905.704,-56.6817
31,-0.0868719,-3902.37,289.593,-0.159555,-4087.17,50,-4740.16,837.794,621.273,752.494,-6596.26,482.328,871.5,-33.7065
32,-0.114896,-3988.72,203.235,-0.186148,-2525.4,50,-4738.89,750.167,620.354,750.73,-6594.57,484.594,783.313,-33.1464
33,-0.14149,-4086.09,105.867,-0.21274,-2464.01,50,-4773.43,687.333,584.676,744.046,-6598.06,495.916,702.206,-14.8727
34,-0.167281,-4130.91,61.0458,-0.239333,-1246.08,50,-4771.35,640.438,584.717,744.003,-6596.93,496.858,654.996,-14.5587
35,-0.19379,-4166.61,25.348,-0.265925,-850.602,50,-4764.8,598.189,571.216,757.668,-6597.85,504.163,602.784,-4.59548
