step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738405,-4192.03,0,0.664813,6.73796,13,-4753.93,561.899,568.222,767.452,-6597.17,507.569,562.629,-0.730165
1,0.725054,-4191.82,0.208052,0.651517,13.7892,6,-4753.85,562.026,568.351,767.308,-6597.09,507.582,562.707,-0.681235
2,0.71174,-4188.88,3.14657,0.63822,1.48629,6,-4753.92,565.04,568.443,767.039,-6597.09,507.685,565.74,-0.700005
3,0.698439,-4188.82,3.21085,0.624924,7.90418,6,-4753.98,565.158,568.005,767.377,-6597.04,507.679,565.856,-0.698278
4,0.68513,-4188.68,3.3505,0.611628,12.8046,6,-4753.97,565.293,568.064,767.392,-6597.06,507.627,565.995,-0.701386
5,0.671831,-4188.41,3.61551,0.598332,16.14,6,-4753.87,565.458,568.298,767.256,-6597.03,507.607,566.18,-0.7217
6,0.658535,-4188.19,3.84489,0.585035,18.1543,6,-4753.78,565.592,568.237,767.326,-6596.99,507.647,566.335,-0.743167
7,0.645238,-4187.94,4.09446,0.571739,19.2642,6,-4753.69,565.756,568.294,767.247,-6596.96,507.724,566.495,-0.738701
8,0.631946,-4185.08,6.954,0.558443,2.06695,6,-4753.6,568.524,568.365,767.112,-6596.86,507.781,569.246,-0.722211
9,0.618651,-4187.95,4.07834,0.545147,-15.2326,6,-4753.51,565.555,568.62,766.905,-6596.8,507.768,566.259,-0.704146
10,0.605357,-4188.14,3.88559,0.53185,-13.6129,6,-4753.43,565.288,568.762,766.911,-6596.83,507.722,565.99,-0.702736
11,0.592059,-4188.31,3.72191,0.518554,-10.8009,6,-4753.37,565.136,568.68,767.039,-6596.8,507.71,565.85,-0.713791
12,0.578756,-4188.35,3.67592,0.505258,-6.52705,6,-4753.32,565.041,568.575,767.136,-6596.77,507.73,565.764,-0.722784
13,0.565449,-4188.41,3.6226,0.491962,-0.788906,9,-4753.71,565.236,568.398,767.199,-6597,507.692,565.939,-0.702933
14,0.552152,-4189.07,2.9637,0.478665,2.84352,6,-4754.04,564.975,568.049,767.281,-6597.11,507.739,565.666,-0.691279
15,0.538856,-4191.19,0.836796,0.465369,-4.31616,6,-4754.07,562.875,568.184,767.22,-6597.18,507.71,563.569,-0.693895
16,0.525563,-4192.32,-0.288173,0.452073,-6.47764,6,-4754.07,561.756,567.912,767.539,-6597.16,507.636,562.448,-0.691718
17,0.51226,-4192.22,-0.19233,0.438777,-0.539696,6,-4754.11,561.884,567.817,767.628,-6597.18,507.63,562.558,-0.674492
18,0.498959,-4192.26,-0.234917,0.42548,4.53344,6,-4754.1,561.837,568.151,767.313,-6597.23,507.667,562.472,-0.635454
19,0.485661,-4189.73,2.2983,0.412184,-9.68943,6,-4754.03,564.303,568.379,767.045,-6597.21,507.751,564.916,-0.6132
20,0.472365,-4189.83,2.1955,0.398888,-6.10389,6,-4753.95,564.12,568.375,767.101,-6597.19,507.761,564.719,-0.599379
21,0.459062,-4189.83,2.19933,0.385592,-4.26798,6,-4753.88,564.046,568.636,766.985,-6597.21,507.711,564.625,-0.578207
22,0.445762,-4189.88,2.14633,0.372295,-3.94284,6,-4753.86,563.973,568.787,766.9,-6597.22,507.673,564.535,-0.562543
23,0.432465,-4189.87,2.16088,0.358999,-4.63193,6,-4753.89,564.017,568.677,766.984,-6597.21,507.659,564.571,-0.553287
24,0.419162,-4187.21,4.81757,0.345703,-24.4524,6,-4753.93,566.721,568.643,767.029,-6597.26,507.652,567.285,-0.563795
25,0.405867,-4187.53,4.49987,0.332406,-23.1273,6,-4753.96,566.427,568.772,766.897,-6597.26,507.632,567.006,-0.579675
26,0.392574,-4189.3,2.72864,0.31911,-30.6447,6,-4753.95,564.646,568.895,766.827,-6597.25,507.582,565.234,-0.587995
27,0.379277,-4191.93,0.101296,0.305814,-37.4635,9,-4754.13,562.199,568.519,767.132,-6597.38,507.605,562.762,-0.562119
28,0.365971,-4192.36,-0.334425,0.292518,-27.0194,6,-4754.26,561.9,568.421,767.235,-6597.46,507.543,562.468,-0.567834
29,0.352677,-4192.54,-0.510916,0.279221,-8.66555,6,-4754.24,561.696,568.201,767.637,-6597.56,507.489,562.297,-0.601401
30,0.339387,-4192.61,-0.584093,0.265925,21.0375,6,-4754.11,561.495,567.983,768.105,-6597.66,507.465,562.132,-0.636872
31,0.326102,-4192.19,-0.162207,0.252629,66.5157,7,-4753.75,561.558,567.825,768.94,-6597.88,507.363,562.233,-0.675428
32,0.312821,-4191.02,1.00533,0.239333,134.302,6,-4753.23,562.205,567.899,769.562,-6597.97,507.284,562.922,-0.716779
33,0.299552,-4191.58,0.44739,0.226036,212.561,6,-4752.59,560.932,567.54,771.069,-6598.4,507.211,561.775,-0.843634
34,0.286293,-4188.01,4.0241,0.21274,349.676,6,-4751.74,563.663,566.705,773.643,-6599.19,507.101,564.757,-1.09339
35,0.273057,-4179.56,12.4692,0.199444,519.85,6,-4750.31,570.749,565.527,777.372,-6600.1,506.891,572.283,-1.53338
36,0.259869,-4171.02,21.0077,0.186148,772.886,6,-4747.86,576.767,564,782.811,-6601.15,506.478,578.996,-2.2283
37,0.246742,-4159.12,32.9074,0.172851,1096.26,6,-4743.88,584.753,562.114,790.68,-6602.46,505.786,587.998,-3.24561
38,0.23368,-4142.03,49.9958,0.159555,1491.26,6,-4737.69,595.723,559.994,801.605,-6604.11,504.823,600.366,-4.64314
39,0.22069,-4118.71,73.3229,0.146259,1950.22,6,-4728.44,609.731,557.898,816.088,-6606.07,503.648,616.195,-6.4638
40,0.207779,-4095.8,96.2304,0.132963,2204.54,47,-4701.4,605.604,581.797,817.279,-6600.37,499.893,619.897,-14.2931
41,0.194981,-4058.41,133.624,0.119666,3051.44,6,-4701.4,642.998,581.797,817.279,-6600.37,499.893,657.292,-14.2931
42,0.181685,-4010.72,181.308,0.10637,4164.53,6,-4701.4,690.682,581.797,817.279,-6600.37,499.893,704.975,-14.2931
43,0.168388,-3946.47,245.557,0.0930738,5544.51,6,-4701.4,754.931,581.797,817.279,-6600.37,499.893,769.224,-14.2931
44,0.155092,-3864.92,327.107,0.0797776,7161.2,6,-4701.4,836.481,581.797,817.279,-6600.37,499.893,850.774,-14.2931
