step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.591221,-4191.99,0,-0.664813,-6.72792,190,-4754.02,562.032,568.093,767.527,-6597.19,507.55,562.751,-0.718268
1,-0.589953,-4191.99,-0.00845145,-0.663485,-5.99693,40,-4754.02,562.027,568.092,767.531,-6597.19,507.547,562.745,-0.718233
2,-0.588624,-4192,-0.0159154,-0.662156,-5.25056,11,-4754.02,562.019,568.092,767.531,-6597.19,507.547,562.738,-0.718212
3,-0.587296,-4192.01,-0.0223929,-0.660828,-4.50241,11,-4754.02,562.014,568.093,767.53,-6597.19,507.547,562.732,-0.71817
4,-0.585967,-4192.01,-0.0278758,-0.6595,-3.75302,11,-4754.02,562.009,568.094,767.529,-6597.19,507.546,562.727,-0.718128
5,-0.584639,-4192.02,-0.0323627,-0.658172,-3.00296,11,-4754.02,562.006,568.094,767.529,-6597.19,507.546,562.724,-0.718075
6,-0.583311,-4192.02,-0.0358534,-0.656843,-2.25283,11,-4754.03,562.003,568.095,767.528,-6597.19,507.545,562.721,-0.718018
7,-0.581982,-4192.1,-0.109397,-0.655515,-1.58192,77,-4754.04,561.943,568.086,767.559,-6597.22,507.532,562.661,-0.717911
8,-0.580651,-4192.1,-0.110994,-0.654187,-0.833216,11,-4754.04,561.941,568.086,767.559,-6597.22,507.532,562.659,-0.717898
9,-0.579323,-4192.1,-0.111604,-0.652858,-0.0862513,11,-4754.04,561.941,568.085,767.56,-6597.22,507.532,562.658,-0.717853
10,-0.577995,-4192.1,-0.111306,-0.65153,0.6205,43,-4754.04,561.946,568.088,767.57,-6597.23,507.525,562.663,-0.717707
11,-0.576665,-4192.1,-0.109983,-0.650202,1.3625,11,-4754.04,561.947,568.088,767.57,-6597.23,507.525,562.665,-0.71769
12,-0.575337,-4192.09,-0.107682,-0.648873,2.10107,11,-4754.04,561.949,568.088,767.57,-6597.23,507.525,562.667,-0.71757
13,-0.574009,-4192.09,-0.104403,-0.647545,2.83565,11,-4754.04,561.953,568.088,767.57,-6597.23,507.525,562.67,-0.717417
14,-0.57268,-4192.09,-0.10015,-0.646217,3.56572,11,-4754.04,561.957,568.088,767.57,-6597.23,507.525,562.674,-0.71725
