step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.591221,-4191.99,0,-0.664813,-6.7281,100,-4754.02,562.035,568.091,767.527,-6597.19,507.549,562.753,-0.718743
1,-0.577985,-4192.1,-0.111079,-0.651517,0.648786,100,-4754,561.899,568.143,767.537,-6597.21,507.533,562.612,-0.712756
2,-0.564687,-4192.11,-0.125964,-0.63822,7.71271,100,-4754.05,561.942,568.097,767.605,-6597.26,507.501,562.659,-0.716835
3,-0.551384,-4189.37,2.61149,-0.624924,-4.9247,100,-4754.05,564.676,568.164,767.591,-6597.29,507.482,565.39,-0.713628
4,-0.538085,-4189.47,2.52042,-0.611628,1.66646,100,-4753.98,564.516,568.248,767.604,-6597.29,507.458,565.226,-0.71021
5,-0.524778,-4189.41,2.57847,-0.598332,6.81173,100,-4753.98,564.577,568.277,767.619,-6597.31,507.431,565.285,-0.708169
6,-0.511483,-4189.29,2.69498,-0.585035,10.489,100,-4753.96,564.674,568.296,767.642,-6597.32,507.421,565.381,-0.707617
7,-0.498181,-4189.13,2.85179,-0.571739,12.9162,100,-4753.96,564.83,568.316,767.658,-6597.34,507.399,565.536,-0.70642
8,-0.484885,-4189.02,2.96384,-0.558443,14.4731,100,-4753.96,564.938,568.319,767.679,-6597.35,507.394,565.643,-0.705371
9,-0.471585,-4189.44,2.54931,-0.545147,-25.8185,100,-4753.96,564.527,568.345,767.699,-6597.33,507.318,565.216,-0.688833
10,-0.458275,-4190.49,1.5008,-0.53185,-30.7723,100,-4753.9,563.418,568.306,767.821,-6597.35,507.325,564.087,-0.669746
11,-0.444972,-4190.96,1.02464,-0.518554,-30.0926,100,-4753.92,562.962,568.264,767.871,-6597.37,507.311,563.629,-0.66701
12,-0.431675,-4192.76,-0.776476,-0.505258,-38.8498,100,-4753.92,561.155,568.158,767.952,-6597.38,507.351,561.787,-0.632412
13,-0.418373,-4193.34,-1.35287,-0.491962,-36.9988,100,-4753.95,560.614,568.074,768.027,-6597.41,507.354,561.233,-0.618633
14,-0.405076,-4193.81,-1.82544,-0.478665,-33.8716,100,-4753.99,560.179,567.991,768.098,-6597.44,507.357,560.784,-0.604437
15,-0.391779,-4194.23,-2.2481,-0.465369,-29.5091,100,-4753.99,559.758,567.93,768.158,-6597.45,507.37,560.35,-0.592105
16,-0.378483,-4196.02,-4.03254,-0.452073,-33.6389,100,-4754.06,558.04,567.902,768.147,-6597.49,507.384,558.625,-0.584924
17,-0.365177,-4196.43,-4.44343,-0.438777,-28.0329,100,-4754.08,557.646,567.844,768.19,-6597.51,507.399,558.221,-0.574618
18,-0.35188,-4196.76,-4.77466,-0.42548,-21.6657,100,-4754.08,557.316,567.801,768.228,-6597.52,507.415,557.88,-0.564488
19,-0.338583,-4197.07,-5.08657,-0.412184,-14.4476,100,-4754.09,557.013,567.777,768.231,-6597.53,507.434,557.572,-0.559175
20,-0.325286,-4194.63,-2.64894,-0.398888,-23.9777,100,-4754.05,559.413,567.844,768.143,-6597.49,507.459,559.971,-0.557956
21,-0.311989,-4194.88,-2.88952,-0.385592,-11.7269,100,-4754.12,559.242,567.833,768.086,-6597.5,507.468,559.811,-0.569326
22,-0.298696,-4194.93,-2.94368,-0.372295,4.41231,100,-4754.26,559.329,567.838,767.953,-6597.51,507.462,559.928,-0.599038
