step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.591221,-4192.03,0,-0.664813,-6.73794,13,-4753.93,561.899,568.222,767.452,-6597.17,507.569,562.629,-0.730165
1,-0.577979,-4192.07,-0.040369,-0.651517,0.637268,6,-4753.9,561.834,568.31,767.41,-6597.17,507.551,562.528,-0.694084
2,-0.564697,-4192.08,-0.0545503,-0.63822,7.70498,6,-4754.06,561.909,568.322,767.347,-6597.26,507.527,562.638,-0.729742
3,-0.551402,-4189.35,2.68318,-0.624924,-4.95534,6,-4754.21,564.864,568.13,767.54,-6597.31,507.433,565.608,-0.744089
4,-0.538107,-4189.37,2.66294,-0.611628,1.6495,6,-4754.3,564.935,567.905,767.766,-6597.35,507.376,565.672,-0.73629
5,-0.524807,-4189.31,2.72089,-0.598332,6.78199,6,-4754.27,564.959,567.983,767.802,-6597.39,507.333,565.674,-0.715296
6,-0.511502,-4189.26,2.76643,-0.585035,10.4528,6,-4754.2,564.935,568.285,767.572,-6597.4,507.346,565.641,-0.706559
7,-0.498194,-4189.18,2.85216,-0.571739,12.8932,6,-4754.12,564.942,568.224,767.671,-6597.39,507.376,565.658,-0.716172
8,-0.484893,-4189,3.03478,-0.558443,14.4676,6,-4754.03,565.035,568.279,767.665,-6597.38,507.406,565.744,-0.708848
9,-0.471587,-4189.48,2.55022,-0.545147,-27.5512,6,-4753.92,564.248,568.539,767.47,-6597.32,507.397,564.935,-0.687073
10,-0.458271,-4190.46,1.5724,-0.53185,-30.7832,6,-4753.81,563.353,568.548,767.586,-6597.27,507.322,564.036,-0.682732
11,-0.444966,-4190.86,1.16697,-0.518554,-30.0853,6,-4753.71,562.85,568.446,767.822,-6597.25,507.269,563.543,-0.692893
12,-0.431661,-4192.73,-0.704267,-0.505258,-38.8204,6,-4753.65,560.914,568.353,768.009,-6597.29,507.277,561.627,-0.712131
13,-0.418359,-4193.31,-1.28233,-0.491962,-37.0124,9,-4753.9,560.585,568.128,768.006,-6597.4,507.372,561.213,-0.628242
14,-0.40507,-4193.78,-1.7549,-0.478665,-33.8763,6,-4754.06,560.275,567.914,768.175,-6597.46,507.308,560.887,-0.611342
15,-0.391783,-4194.21,-2.17728,-0.465369,-29.5129,6,-4754.09,559.886,567.989,767.958,-6597.48,507.439,560.477,-0.591002
16,-0.378485,-4195.99,-3.96147,-0.452073,-33.6525,6,-4754.13,558.142,567.883,767.981,-6597.46,507.462,558.705,-0.56321
17,-0.365192,-4196.4,-4.37224,-0.438777,-28.0478,6,-4754.18,557.777,567.819,768.093,-6597.47,507.383,558.33,-0.553444
18,-0.351894,-4196.73,-4.70351,-0.42548,-21.6869,6,-4754.23,557.495,567.746,768.229,-6597.53,507.329,558.047,-0.551615
19,-0.338597,-4196.97,-4.9447,-0.412184,-14.4616,6,-4754.21,557.232,567.698,768.218,-6597.5,507.373,557.784,-0.551665
20,-0.325301,-4194.61,-2.57768,-0.398888,-23.9989,6,-4754.17,559.563,567.771,768.206,-6597.58,507.437,560.104,-0.541647
21,-0.312,-4194.85,-2.81827,-0.385592,-11.7199,6,-4754.17,559.323,567.812,768.05,-6597.56,507.53,559.852,-0.528571
22,-0.298696,-4194.9,-2.8718,-0.372295,4.48674,6,-4754.23,559.33,567.623,768.075,-6597.52,507.585,559.852,-0.521884
23,-0.285403,-4194.7,-2.66946,-0.358999,27.3077,6,-4754.34,559.641,567.553,768.055,-6597.55,507.602,560.157,-0.51608
24,-0.272104,-4194.13,-2.09814,-0.345703,60.7544,6,-4754.52,560.391,567.625,767.815,-6597.58,507.626,560.921,-0.529883
25,-0.258798,-4190.4,1.63484,-0.332406,91.7229,6,-4754.88,564.49,567.588,767.446,-6597.61,507.69,565.078,-0.588566
26,-0.245492,-4188.71,3.32338,-0.31911,166.787,6,-4755.54,566.833,567.395,766.924,-6597.66,507.801,567.54,-0.706997
27,-0.232185,-4187.73,4.30078,-0.305814,253.625,16,-4757.81,570.082,568.586,764.551,-6597.6,506.654,571.74,-1.65785
28,-0.219088,-4183.38,8.65205,-0.292518,410.602,6,-4757.82,574.514,568.916,764.323,-6597.61,506.549,576.206,-1.69254
