step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.738464,-3437.05,0,0.664502,-0.757284,-0.0739615,-4210.82,773.768,620.314,1149.73,-6434.46,453.598,1046.24,-272.475,0,0
1,0.725173,-3437.12,-0.066262,0.651212,1.68337,-0.0739615,-4210.8,773.686,620.297,1149.76,-6434.45,453.596,1046.16,-272.474,0,0
2,0.711883,-3435.83,1.21746,0.637922,-4.9233,-0.0739615,-4210.74,774.905,620.372,1149.7,-6434.43,453.62,1047.37,-272.47,0,0
3,0.698593,-3435.88,1.17097,0.624632,-2.11887,-0.0739615,-4210.74,774.865,620.33,1149.73,-6434.42,453.619,1047.34,-272.471,0,0
4,0.685303,-3435.89,1.15985,0.611342,0.383249,-0.0739615,-4210.74,774.852,620.334,1149.73,-6434.42,453.619,1047.32,-272.471,0,0
5,0.672013,-3435.87,1.17994,0.598052,2.59597,-0.0739615,-4210.74,774.868,620.341,1149.72,-6434.42,453.617,1047.34,-272.471,0,0
6,0.658723,-3435.82,1.22786,0.584762,4.58484,-0.0739615,-4210.73,774.912,620.351,1149.72,-6434.42,453.616,1047.38,-272.471,0,0
7,0.645433,-3435.75,1.30128,0.571472,6.45539,-0.0739615,-4210.73,774.98,620.361,1149.72,-6434.42,453.614,1047.45,-272.471,0,0
8,0.632143,-3435.76,1.28873,0.558182,-9.3516,-0.0739615,-4210.72,774.962,620.371,1149.71,-6434.42,453.612,1047.43,-272.471,0,0
9,0.618853,-3435.87,1.17706,0.544892,-7.43358,-0.0739615,-4210.72,774.846,620.38,1149.71,-6434.42,453.61,1047.32,-272.471,0,0
10,0.605563,-3435.96,1.09198,0.531602,-5.32982,-0.0739615,-4210.71,774.758,620.387,1149.71,-6434.42,453.609,1047.23,-272.471,0,0
11,0.592273,-3436.01,1.03667,0.518312,-2.93974,-0.0739615,-4210.71,774.699,620.393,1149.71,-6434.42,453.608,1047.17,-272.471,0,0
12,0.578983,-3436.03,1.01536,0.505022,-0.206579,-0.0739615,-4210.71,774.677,620.396,1149.7,-6434.42,453.607,1047.15,-272.471,0,0
13,0.565693,-3436.02,1.03272,0.491731,2.87354,-0.0739615,-4210.71,774.693,620.397,1149.7,-6434.42,453.607,1047.16,-272.471,0,0
14,0.552403,-3436.81,0.242649,0.478441,0.882647,-0.0739615,-4210.71,773.902,620.4,1149.7,-6434.42,453.607,1046.37,-272.471,0,0
15,0.539113,-3437.45,-0.398199,0.465151,-0.793032,-0.0739615,-4210.71,773.259,620.403,1149.7,-6434.42,453.606,1045.73,-272.471,0,0
16,0.525823,-3437.9,-0.849821,0.451861,-2.30333,-0.0739615,-4210.71,772.808,620.403,1149.7,-6434.42,453.606,1045.28,-272.471,0,0
17,0.512533,-3437.92,-0.866117,0.438571,-0.188963,-0.0739615,-4210.71,772.791,620.404,1149.7,-6434.42,453.606,1045.26,-272.471,0,0
18,0.499243,-3437.53,-0.478491,0.425281,-1.08995,-0.0739615,-4210.71,773.178,620.407,1149.7,-6434.42,453.606,1045.65,-272.471,0,0
19,0.485953,-3436.66,0.386498,0.411991,-5.31147,-0.0739615,-4210.86,774.195,620.099,1149.71,-6434.36,453.694,1046.61,-272.412,0,0
20,0.472663,-3436.72,0.327645,0.398701,-3.63384,-0.0739615,-4210.86,774.135,620.101,1149.7,-6434.36,453.694,1046.55,-272.412,0,0
21,0.459373,-3436.76,0.287659,0.385411,-2.46682,-0.0739615,-4210.86,774.103,620.111,1149.68,-6434.36,453.7,1046.51,-272.411,0,0
22,0.446083,-3436.79,0.260124,0.372121,-1.74277,-0.0739615,-4210.87,774.082,620.111,1149.67,-6434.36,453.703,1046.49,-272.411,0,0
23,0.432793,-3436.81,0.239905,0.358831,-1.3406,-0.0739615,-4210.88,774.068,620.111,1149.66,-6434.36,453.706,1046.48,-272.411,0,0
24,0.419503,-3435.63,1.42414,0.345541,-9.77421,-0.0739615,-4210.89,775.265,620.11,1149.64,-6434.36,453.713,1047.68,-272.411,0,0
25,0.406213,-3435.75,1.30077,0.332251,-8.69892,-0.0739615,-4210.89,775.141,620.038,1149.6,-6434.29,453.759,1047.51,-272.367,0,0
26,0.392922,-3435.86,1.19376,0.318961,-7.33498,-0.0739615,-4210.89,775.034,620.038,1149.6,-6434.29,453.76,1047.4,-272.367,0,0
27,0.379632,-3437.28,-0.228237,0.305671,-15.306,-0.0739615,-4210.89,773.612,620.038,1149.6,-6434.29,453.76,1045.98,-272.367,0,0
28,0.366342,-3437.47,-0.419998,0.292381,-13.3696,-0.0739615,-4210.89,773.421,620.038,1149.6,-6434.29,453.762,1045.79,-272.367,0,0
29,0.353052,-3437.63,-0.577631,0.279091,-10.0801,-0.0739615,-4210.89,773.264,620.038,1149.6,-6434.29,453.765,1045.63,-272.366,0,0
30,0.339762,-3437.79,-0.738515,0.265801,-5.15781,-0.0739615,-4210.89,773.105,620.036,1149.59,-6434.29,453.769,1045.47,-272.366,0,0
31,0.326472,-3437.81,-0.756586,0.252511,3.02014,-0.0739615,-4210.9,773.09,620.033,1149.59,-6434.29,453.773,1045.46,-272.366,0,0
32,0.313182,-3437.69,-0.639465,0.239221,15.455,-0.0739615,-4210.9,773.211,620.029,1149.59,-6434.29,453.779,1045.58,-272.366,0,0
33,0.299892,-3438.66,-1.60725,0.225931,24.7383,-0.0739615,-4210.9,772.247,620.024,1149.58,-6434.29,453.785,1044.61,-272.366,0,0
34,0.286602,-3438.16,-1.1122,0.212641,51.5459,-0.0739615,-4210.91,772.751,620.014,1149.57,-6434.3,453.796,1045.12,-272.367,0,0
35,0.273312,-3436.05,0.996286,0.199351,82.7156,-0.0739615,-4210.93,774.873,619.997,1149.56,-6434.3,453.816,1047.24,-272.367,0,0
36,0.260022,-3434.59,2.46267,0.186061,141.542,-0.0739615,-4210.95,776.359,619.973,1149.54,-6434.3,453.843,1048.73,-272.367,0,0
37,0.246732,-3432.18,4.87058,0.172771,225.742,-0.0739615,-4210.98,778.797,619.937,1149.51,-6434.31,453.885,1051.17,-272.368,0,0
38,0.233442,-3428.43,8.61435,0.15948,344.215,-0.0739615,-4211.02,782.586,619.882,1149.47,-6434.32,453.949,1054.95,-272.369,0,0
39,0.220152,-3422.83,14.2175,0.14619,507.438,-0.0739615,-4211.08,788.252,619.802,1149.41,-6434.34,454.043,1060.62,-272.371,0,0
40,0.206862,-3413.46,23.5912,0.1329,717.614,-0.0739615,-4211.17,797.712,619.688,1149.32,-6434.36,454.181,1070.09,-272.374,0,0
41,0.193572,-3402.18,34.8686,0.11961,1003.67,-0.0739615,-4211.28,809.099,619.535,1149.2,-6434.39,454.375,1081.48,-272.378,0,0
42,0.180282,-3386.55,50.501,0.10632,1361.78,-0.0739615,-4211.41,824.859,619.341,1149.03,-6434.42,454.639,1097.24,-272.383,0,0
43,0.166992,-3365.69,71.3567,0.0930303,1789.31,-0.0739615,-4211.54,845.845,619.108,1148.83,-6434.46,454.984,1118.24,-272.39,0,0
44,0.153702,-3339.04,98.0055,0.0797402,2267.66,-0.0739615,-4211.65,872.602,618.845,1148.59,-6434.5,455.425,1145,-272.399,0,0
45,0.140412,-3306.75,130.301,0.0664502,2756.43,-0.0739615,-4211.69,904.945,618.58,1148.32,-6434.54,455.951,1177.35,-272.409,0,0
46,0.127122,-3267.11,169.935,0.0531602,3210.05,-0.0739615,-4211.64,944.526,618.334,1148.03,-6434.57,456.569,1216.95,-272.421,0,0
47,0.113832,-3222.28,214.766,0.0398701,3542.51,-0.0739615,-4211.45,989.164,618.135,1147.74,-6434.59,457.268,1261.6,-272.434,0,0
48,0.100542,-3174.33,262.723,0.0265801,3665.07,-0.0739615,-4211.09,1036.76,618.009,1147.45,-6434.58,458.032,1309.21,-272.448,0,0
49,0.0872515,-3126.7,310.345,0.01329,3496.91,-0.0739615,-4210.54,1083.83,617.973,1147.2,-6434.55,458.843,1356.29,-272.462,0,0
50,0.0739615,-3084.72,352.331,0,2984.36,-0.0739615,-4209.81,1125.1,618.034,1146.98,-6434.5,459.673,1397.57,-272.476,0,0
51,0.0606715,-3049.3,387.747,-0.01329,2142.92,-0.0739615,-4208.95,1159.64,618.184,1146.79,-6434.42,460.493,1432.13,-272.489,0,0
52,0.0473814,-3027.85,409.201,-0.0265801,1053.56,-0.0739615,-4208,1180.15,618.404,1146.66,-6434.33,461.265,1452.65,-272.501,0,0
53,0.0340914,-3021.91,415.142,-0.0398701,-162.017,-0.0739615,-4207.08,1185.17,618.655,1146.56,-6434.23,461.94,1457.68,-272.511,0,0
54,0.0208013,-3031.97,405.077,-0.0531602,-1347.74,-0.0739615,-4206.31,1174.34,618.883,1146.5,-6434.15,462.457,1446.85,-272.519,0,0
55,0.00751131,-3259.58,177.466,-0.0664502,-591.621,-0.0739615,-4197.77,938.183,670.098,1168.88,-6456.8,420.064,1244.3,-306.113,0,0
56,-0.00577873,-3268.37,168.675,-0.0797402,-817.412,-0.0739615,-4198.63,930.13,669.29,1167.66,-6456.28,420.707,1235.96,-305.826,0,0
57,-0.0190688,-3280.88,156.169,-0.0930303,-1110.93,-0.0739615,-4214.96,934.084,672.403,1143.41,-6454.21,423.43,1235.92,-301.834,0,0
58,-0.0323588,-3296.47,140.575,-0.10632,-1224.49,-0.0739615,-4216.3,919.826,670.683,1140.76,-6453.05,425.301,1220.37,-300.548,0,0
59,-0.0456489,-3314.34,122.709,-0.11961,-1390.17,-0.0739615,-4229.45,915.113,668.353,1123.76,-6450.4,428.836,1211,-295.89,0,0
60,-0.0589389,-3334.14,102.914,-0.1329,-1392.45,-0.0739615,-4228.17,893.962,664.537,1123.65,-6448.32,431.965,1187.3,-293.338,0,0
61,-0.0722289,-3353.66,83.3844,-0.14619,-1370.8,-0.0739615,-4235.28,881.618,658.638,1116.87,-6446.02,435.233,1171.18,-289.564,0,0
62,-0.085519,-3371.08,65.9736,-0.15948,-1246.59,-0.0739615,-4232.91,861.836,651.39,1120.86,-6444.29,439.134,1148.67,-286.831,0,0
63,-0.098809,-3386.45,50.5983,-0.172771,-1093.2,-0.0739615,-4232.65,846.2,646.645,1121,-6441.84,441.544,1129.8,-283.604,0,0
64,-0.112099,-3399.69,37.36,-0.186061,-904.509,-0.0739615,-4229.31,829.619,641.933,1124.99,-6440.19,443.953,1110.84,-281.223,0,0
65,-0.125389,-3410.89,26.1604,-0.199351,-734.259,-0.0739615,-4225.8,814.916,635.77,1130.16,-6438.45,446.716,1093.67,-278.755,0,0
66,-0.138679,-3419.68,17.3728,-0.212641,-560.733,-0.0739615,-4222.44,802.762,631.884,1134.37,-6437.24,448.553,1079.69,-276.924,0,0
67,-0.151969,-3424.92,12.125,-0.225931,-419.141,-0.0739615,-4219.41,794.488,628.407,1138.34,-6436.29,450.13,1069.95,-275.462,0,0
68,-0.165259,-3429.65,7.40406,-0.239221,-295.78,-0.0739615,-4216.52,786.878,625.755,1141.96,-6435.56,451.32,1061.27,-274.391,0,0
69,-0.178549,-3432.83,4.21694,-0.252511,-199.041,-0.0739615,-4214.76,781.928,624.025,1144.21,-6435.1,452.105,1055.6,-273.67,0,0
70,-0.191839,-3435.05,1.99443,-0.265801,-127.685,-0.0739615,-4213.13,778.078,622.648,1146.16,-6434.71,452.766,1051.15,-273.072,0,0
71,-0.205129,-3436.31,0.734763,-0.279091,-75.669,-0.0739615,-4212.24,775.927,621.863,1147.29,-6434.51,453.109,1048.7,-272.768,0,0
