step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.59054,-3437.05,0,-0.664502,0.757275,-0.0739615,-4210.82,773.768,620.314,1149.73,-6434.46,453.598,1046.24,-272.475,0,0
1,-0.57725,-3437.1,-0.045853,-0.651212,3.2608,-0.0739615,-4210.82,773.728,620.339,1149.7,-6434.46,453.598,1046.21,-272.477,0,0
2,-0.56396,-3437.04,0.0138981,-0.637922,5.71994,-0.0739615,-4210.82,773.784,620.381,1149.67,-6434.46,453.598,1046.26,-272.476,0,0
3,-0.55067,-3436.94,0.105517,-0.624632,8.03646,-0.0739615,-4210.82,773.879,620.393,1149.65,-6434.47,453.601,1046.36,-272.476,0,0
4,-0.53738,-3435.65,1.40263,-0.611342,1.49249,-0.0739615,-4210.82,775.175,620.324,1149.73,-6434.48,453.598,1047.65,-272.477,0,0
5,-0.52409,-3435.61,1.44019,-0.598052,4.11267,-0.0739615,-4210.82,775.207,620.396,1149.67,-6434.48,453.597,1047.69,-272.479,0,0
6,-0.5108,-3435.54,1.51062,-0.584762,6.43278,-0.0739615,-4210.82,775.278,620.398,1149.66,-6434.48,453.597,1047.76,-272.478,0,0
7,-0.49751,-3435.44,1.6101,-0.571472,8.50123,-0.0739615,-4210.82,775.377,620.399,1149.66,-6434.47,453.597,1047.86,-272.478,0,0
8,-0.48422,-3435.31,1.73586,-0.558182,10.4061,-0.0739615,-4210.82,775.504,620.402,1149.66,-6434.47,453.597,1047.98,-272.478,0,0
9,-0.47093,-3435.29,1.76348,-0.544892,-6.70688,-0.0739615,-4210.82,775.531,620.403,1149.66,-6434.47,453.597,1048.01,-272.478,0,0
10,-0.45764,-3435.81,1.2441,-0.531602,-9.03452,-0.0739615,-4210.82,775.013,620.405,1149.65,-6434.47,453.598,1047.49,-272.478,0,0
11,-0.44435,-3435.92,1.13271,-0.518312,-7.71906,-0.0739615,-4210.82,774.902,620.408,1149.65,-6434.47,453.598,1047.38,-272.477,0,0
12,-0.43106,-3436.7,0.348799,-0.505022,-11.6257,-0.0739615,-4210.82,774.118,620.41,1149.65,-6434.47,453.597,1046.6,-272.477,0,0
13,-0.41777,-3436.85,0.200862,-0.491731,-10.6175,-0.0739615,-4210.82,773.971,620.413,1149.64,-6434.47,453.597,1046.45,-272.477,0,0
14,-0.40448,-3436.98,0.0671197,-0.478441,-9.48991,-0.0739615,-4210.82,773.838,620.416,1149.64,-6434.47,453.597,1046.31,-272.476,0,0
15,-0.39119,-3437.1,-0.0509349,-0.465151,-8.2627,-0.0739615,-4210.82,773.721,620.42,1149.63,-6434.47,453.597,1046.2,-272.476,0,0
16,-0.3779,-3437.87,-0.818029,-0.451861,-11.7214,-0.0739615,-4210.82,772.954,620.424,1149.63,-6434.47,453.597,1045.43,-272.476,0,0
17,-0.36461,-3438.02,-0.968048,-0.438571,-10.8637,-0.0739615,-4210.82,772.805,620.429,1149.62,-6434.47,453.597,1045.28,-272.475,0,0
18,-0.35132,-3438.16,-1.1071,-0.425281,-10.0767,-0.0739615,-4210.82,772.666,620.434,1149.61,-6434.47,453.596,1045.14,-272.475,0,0
19,-0.33803,-3438.29,-1.23625,-0.411991,-9.36904,-0.0739615,-4210.82,772.538,620.439,1149.61,-6434.47,453.596,1045.01,-272.474,0,0
20,-0.32474,-3437.23,-0.178296,-0.398701,-17.295,-0.0739615,-4210.82,773.596,620.443,1149.6,-6434.47,453.596,1046.07,-272.474,0,0
21,-0.31145,-3437.39,-0.340146,-0.385411,-15.7592,-0.0739615,-4210.51,773.118,620.263,1149.81,-6434.26,453.68,1045.39,-272.27,0,0
22,-0.29816,-3437.59,-0.537257,-0.372121,-13.8131,-0.0739615,-4210.51,772.922,620.26,1149.81,-6434.26,453.68,1045.19,-272.27,0,0
23,-0.28487,-3437.81,-0.760462,-0.358831,-11.4007,-0.0739615,-4210.47,772.664,620.307,1149.75,-6434.23,453.698,1044.9,-272.236,0,0
24,-0.27158,-3437.94,-0.885842,-0.345541,-7.14327,-0.0739615,-4210.48,772.54,620.305,1149.75,-6434.23,453.699,1044.78,-272.236,0,0
25,-0.258289,-3436.78,0.270249,-0.332251,-9.17276,-0.0739615,-4210.48,773.703,620.296,1149.74,-6434.23,453.703,1045.94,-272.236,0,0
26,-0.244999,-3436.83,0.219228,-0.318961,2.28226,-0.0739615,-4210.48,773.653,620.294,1149.74,-6434.23,453.704,1045.89,-272.236,0,0
27,-0.231709,-3437.35,-0.299138,-0.305671,14.7968,-0.0739615,-4210.49,773.139,620.288,1149.74,-6434.23,453.706,1045.38,-272.236,0,0
28,-0.218419,-3436.99,0.0548577,-0.292381,40.167,-0.0739615,-4210.49,773.494,620.288,1149.74,-6434.22,453.707,1045.73,-272.236,0,0
29,-0.205129,-3436.23,0.822398,-0.279091,77.7451,-0.0739615,-4210.49,774.262,620.287,1149.74,-6434.22,453.707,1046.5,-272.236,0,0
30,-0.191839,-3434.85,2.19722,-0.265801,132.507,-0.0739615,-4210.49,775.637,620.287,1149.74,-6434.22,453.707,1047.87,-272.236,0,0
31,-0.178549,-3432.6,4.44924,-0.252511,210.982,-0.0739615,-4210.49,777.889,620.286,1149.74,-6434.22,453.707,1050.13,-272.236,0,0
32,-0.165259,-3429.1,7.94658,-0.239221,321.441,-0.0739615,-4210.49,781.387,620.286,1149.74,-6434.22,453.707,1053.62,-272.236,0,0
33,-0.151969,-3423.87,13.1788,-0.225931,473.849,-0.0739615,-4210.49,786.62,620.285,1149.74,-6434.22,453.708,1058.86,-272.236,0,0
34,-0.138679,-3417.6,19.4527,-0.212641,669.786,-0.0739615,-4210.49,792.895,620.284,1149.74,-6434.22,453.708,1065.13,-272.236,0,0
35,-0.125389,-3410.96,26.0874,-0.199351,734.556,-0.0739615,-4225.85,814.893,635.879,1130.05,-6438.48,446.692,1093.64,-278.747,0,0
36,-0.112099,-3399.23,37.8178,-0.186061,987.537,-0.0739615,-4225.8,826.572,635.912,1130.14,-6438.52,446.662,1105.33,-278.753,0,0
37,-0.098809,-3384.02,53.0259,-0.172771,1309.65,-0.0739615,-4225.77,841.746,635.934,1130.2,-6438.54,446.642,1120.5,-278.757,0,0
38,-0.085519,-3364.2,72.8502,-0.15948,1679.94,-0.0739615,-4225.73,861.527,635.962,1130.27,-6438.58,446.62,1140.29,-278.762,0,0
39,-0.0722289,-3339.24,97.8084,-0.14619,2077.05,-0.0739615,-4225.67,886.433,635.996,1130.35,-6438.61,446.594,1165.2,-278.768,0,0
40,-0.0589389,-3309.03,128.023,-0.1329,2462.78,-0.0739615,-4225.61,916.588,636.034,1130.44,-6438.65,446.566,1195.36,-278.774,0,0
41,-0.0456489,-3272.87,164.176,-0.11961,2772.95,-0.0739615,-4225.55,952.679,636.074,1130.52,-6438.69,446.539,1231.46,-278.78,0,0
42,-0.0323588,-3234.59,202.455,-0.10632,2957.09,-0.0739615,-4225.49,990.899,636.111,1130.6,-6438.72,446.515,1269.68,-278.785,0,0
43,-0.0190688,-3195.09,241.964,-0.0930303,2936.2,-0.0739615,-4225.45,1030.36,636.139,1130.66,-6438.75,446.497,1309.15,-278.789,0,0
44,-0.00577873,-3158.49,278.555,-0.0797402,2650.18,-0.0739615,-4225.43,1066.93,636.153,1130.69,-6438.76,446.489,1345.72,-278.791,0,0
45,0.00751131,-3259.58,177.466,-0.0664502,591.481,-0.0739615,-4197.75,938.162,670.085,1168.92,-6456.81,420.058,1244.28,-306.119,0,0
46,0.0208013,-3253.72,183.327,-0.0531602,287.406,-0.0739615,-4189.9,936.18,667.04,1181.44,-6457.66,419.277,1243.67,-307.486,0,0
47,0.0340914,-3251.96,185.088,-0.0398701,-25.5857,-0.0739615,-4183.37,931.413,663.115,1192.6,-6458.22,419.132,1239.74,-308.324,0,0
48,0.0473814,-3254.42,182.634,-0.0265801,-330.077,-0.0739615,-4178.64,924.223,658.643,1201.58,-6458.48,419.622,1232.83,-308.605,0,0
49,0.0606715,-3260.5,176.554,-0.01329,-577.744,-0.0739615,-4178.61,918.117,658.653,1201.57,-6458.46,419.62,1226.71,-308.593,0,0
50,0.0739615,-3270.82,166.233,0,-773.54,-0.0739615,-4178.58,907.767,658.665,1201.56,-6458.43,419.619,1216.35,-308.58,0,0
51,0.0872515,-3280.83,156.223,0.01329,-894.528,-0.0739615,-4178.54,897.717,658.681,1201.55,-6458.4,419.617,1206.28,-308.562,0,0
52,0.100542,-3292.93,144.118,0.0265801,-933.41,-0.0739615,-4178.5,885.566,658.7,1201.54,-6458.36,419.615,1194.11,-308.541,0,0
53,0.113832,-3305.22,131.826,0.0398701,-906.783,-0.0739615,-4178.45,873.225,658.721,1201.53,-6458.32,419.613,1181.74,-308.52,0,0
54,0.127122,-3316.82,120.231,0.0531602,-831.609,-0.0739615,-4178.4,861.581,658.741,1201.52,-6458.28,419.611,1170.08,-308.498,0,0
55,0.140412,-3327.19,109.856,0.0664502,-726.075,-0.0739615,-4178.35,851.161,658.76,1201.51,-6458.24,419.609,1159.64,-308.479,0,0
56,0.153702,-3334.82,102.225,0.0797402,-615.802,-0.0739615,-4178.31,843.488,658.778,1201.5,-6458.2,419.607,1151.95,-308.461,0,0
57,0.166992,-3342.21,94.8436,0.0930303,-495.938,-0.0739615,-4178.28,836.073,658.793,1201.5,-6458.18,419.606,1144.52,-308.447,0,0
58,0.180282,-3348.05,89.0022,0.10632,-385.191,-0.0739615,-4178.25,830.204,658.804,1201.49,-6458.15,419.605,1138.64,-308.435,0,0
59,0.193572,-3352.51,84.5415,0.11961,-288.708,-0.0739615,-4178.23,825.721,658.814,1201.49,-6458.14,419.604,1134.15,-308.426,0,0
60,0.206862,-3355.79,81.2562,0.1329,-208.413,-0.0739615,-4178.21,822.419,658.821,1201.49,-6458.12,419.603,1130.84,-308.419,0,0
61,0.220152,-3359.47,77.5768,0.14619,-153.799,-0.0739615,-4178.2,818.728,658.826,1201.48,-6458.11,419.603,1127.14,-308.414,0,0
62,0.233442,-3361.17,75.8752,0.15948,-104.47,-0.0739615,-4178.19,817.018,658.83,1201.48,-6458.11,419.603,1125.43,-308.411,0,0
63,0.246732,-3362.3,74.7469,0.172771,-67.1223,-0.0739615,-4178.19,815.883,658.833,1201.48,-6458.1,419.602,1124.29,-308.408,0,0
64,0.260022,-3363,74.0486,0.186061,-39.3633,-0.0739615,-4178.18,815.18,658.834,1201.48,-6458.1,419.602,1123.59,-308.406,0,0
65,0.273312,-3363.38,73.668,0.199351,-18.9851,-0.0739615,-4178.18,814.796,658.836,1201.48,-6458.09,419.602,1123.2,-308.405,0,0
66,0.286602,-3364.82,72.2275,0.212641,-13.4782,-0.0739615,-4178.17,813.352,658.838,1201.48,-6458.09,419.602,1121.76,-308.403,0,0
67,0.299892,-3363.71,73.337,0.225931,-12.1858,-0.0739615,-4178.17,814.461,658.838,1201.48,-6458.09,419.602,1122.86,-308.403,0,0
68,0.313182,-3363.79,73.2633,0.239221,-4.5655,-0.0739615,-4178.17,814.386,658.838,1201.48,-6458.09,419.602,1122.79,-308.402,0,0
69,0.326472,-3363.79,73.2631,0.252511,0.97113,-0.0739615,-4178.17,814.384,658.839,1201.48,-6458.09,419.602,1122.79,-308.402,0,0
70,0.339762,-3363.74,73.3047,0.265801,5.05079,-0.0739615,-4178.17,814.425,658.84,1201.48,-6458.09,419.602,1122.83,-308.401,0,0
71,0.353052,-3363.66,73.3922,0.279091,7.9541,-0.0739615,-4178.17,814.511,658.84,1201.48,-6458.09,419.602,1122.91,-308.401,0,0
72,0.366342,-3437.4,-0.347838,0.292381,13.3811,-0.0739615,-4211,773.607,619.876,1149.56,-6434.24,453.797,1045.91,-272.306,0,0
73,0.379632,-3437.21,-0.155932,0.305671,15.3159,-0.0739615,-4210.98,773.775,619.935,1149.54,-6434.25,453.795,1046.09,-272.316,0,0
74,0.392922,-3435.78,1.26633,0.318961,7.33713,-0.0739615,-4210.93,775.144,620.007,1149.62,-6434.3,453.746,1047.52,-272.38,0,0
75,0.406213,-3435.68,1.37333,0.332251,8.69904,-0.0739615,-4210.9,775.222,620.036,1149.6,-6434.29,453.757,1047.59,-272.366,0,0
76,0.419503,-3435.55,1.49631,0.345541,9.78508,-0.0739615,-4210.9,775.344,620.036,1149.6,-6434.29,453.757,1047.71,-272.366,0,0
77,0.432793,-3436.74,0.312443,0.358831,1.35365,-0.0739615,-4210.9,774.16,620.036,1149.6,-6434.29,453.758,1046.53,-272.366,0,0
