step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738464,-3372.69,0,0.664502,-0.654906,0,240,-4205.85,833.163,640,1137.83,-6433.18,449.499,1110.04,-276.877
1,0.724931,-3372.68,0.00777709,0.651212,1.80086,0.00761486,51,-4205.84,833.161,640.02,1137.81,-6433.17,449.499,1110.04,-276.876
2,0.71164,-3371.4,1.29216,0.637922,-4.79513,-0.0122822,183,-4205.8,834.403,640.003,1137.84,-6433.15,449.517,1111.28,-276.874
3,0.698348,-3371.51,1.1749,0.624632,-1.98428,-0.0573315,206,-4205.79,834.279,639.993,1137.84,-6433.14,449.518,1111.15,-276.871
4,0.685058,-3371.52,1.16548,0.611342,0.51453,-0.0670981,169,-4205.78,834.258,639.992,1137.84,-6433.13,449.519,1111.13,-276.87
5,0.671769,-3371.5,1.18726,0.598052,2.71779,-0.0456193,198,-4205.77,834.268,639.99,1137.84,-6433.12,449.519,1111.14,-276.868
6,0.658479,-3371.45,1.23669,0.584762,4.69096,0.003612,197,-4205.76,834.308,639.988,1137.84,-6433.11,449.52,1111.17,-276.867
7,0.64519,-3371.38,1.31143,0.571472,6.54132,0.0782507,45,-4205.77,834.397,639.982,1137.84,-6433.11,449.516,1111.26,-276.868
8,0.631901,-3371.25,1.4379,0.558182,-8.27741,0.0667144,145,-4205.76,834.511,639.942,1137.85,-6433.09,449.536,1111.37,-276.862
9,0.618607,-3371.49,1.20249,0.544892,-7.27852,-0.0366552,44,-4205.78,834.29,639.944,1137.84,-6433.1,449.535,1111.16,-276.866
10,0.605316,-3371.57,1.1193,0.531602,-5.1923,-0.119524,238,-4205.78,834.212,639.904,1137.87,-6433.09,449.538,1111.07,-276.855
11,0.592028,-3371.62,1.06575,0.518312,-2.81679,-0.172745,35,-4205.78,834.16,639.912,1137.86,-6433.09,449.539,1111.02,-276.856
12,0.578737,-3371.64,1.046,0.505022,-0.0971676,-0.192108,31,-4205.79,834.146,639.918,1137.85,-6433.09,449.537,1111,-276.856
13,0.565446,-3371.62,1.06463,0.491731,2.96988,-0.173019,147,-4205.81,834.188,639.852,1137.89,-6433.09,449.542,1111.04,-276.85
14,0.552162,-3372.39,0.294986,0.478441,1.13449,-0.145745,21,-4205.81,833.418,639.848,1137.89,-6433.09,449.543,1110.27,-276.851
15,0.538872,-3373.03,-0.341943,0.465151,-0.525634,-0.141699,365,-4205.91,832.88,639.682,1137.95,-6433.11,449.566,1109.71,-276.834
16,0.525579,-3373.48,-0.795499,0.451861,-2.07679,-0.158992,219,-4205.96,832.48,639.662,1137.9,-6433.1,449.575,1109.3,-276.817
17,0.512287,-3373.5,-0.808727,0.438571,0.0460899,-0.172486,205,-4205.98,832.483,639.642,1137.89,-6433.1,449.583,1109.29,-276.812
18,0.498997,-3373.23,-0.543537,0.425281,0.0553956,-0.171812,21,-4205.98,832.746,639.644,1137.89,-6433.09,449.585,1109.56,-276.811
19,0.485708,-3372.3,0.389363,0.411991,-5.04523,-0.20497,159,-4205.98,833.676,639.642,1137.87,-6433.08,449.602,1110.47,-276.798
20,0.472418,-3372.35,0.334145,0.398701,-3.36211,-0.260837,42,-4205.99,833.633,639.628,1137.87,-6433.09,449.605,1110.43,-276.798
21,0.459128,-3372.39,0.297669,0.385411,-2.19576,-0.297769,377,-4206.01,833.614,639.602,1137.84,-6433.07,449.624,1110.4,-276.783
22,0.445838,-3372.42,0.27371,0.372121,-1.47751,-0.322178,260,-4206.02,833.605,639.581,1137.83,-6433.07,449.635,1110.38,-276.775
23,0.432547,-3372.43,0.257024,0.358831,-1.08461,-0.339203,40,-4206.05,833.622,639.561,1137.82,-6433.08,449.635,1110.4,-276.776
24,0.419257,-3371.24,1.44548,0.345541,-9.54612,-0.409844,200,-4206.01,834.767,639.565,1137.79,-6433.03,449.659,1111.52,-276.753
25,0.405968,-3371.36,1.32558,0.332251,-8.47388,-0.529588,207,-4206.03,834.669,639.526,1137.79,-6433.02,449.669,1111.41,-276.743
26,0.392678,-3371.47,1.22149,0.318961,-7.11947,-0.633206,191,-4206.05,834.585,639.485,1137.79,-6433.01,449.679,1111.32,-276.733
27,0.379388,-3372.89,-0.202572,0.305671,-15.1257,-0.781025,204,-4206.13,833.239,639.358,1137.8,-6432.99,449.699,1109.93,-276.694
28,0.366091,-3373.08,-0.391777,0.292381,-13.1604,-0.968987,209,-4206.15,833.067,639.306,1137.82,-6432.98,449.706,1109.75,-276.684
29,0.352801,-3373.24,-0.5462,0.279091,-9.79577,-1.12153,189,-4206.16,832.92,639.257,1137.85,-6432.97,449.711,1109.6,-276.68
30,0.339513,-3373.39,-0.702421,0.265801,-4.72764,-1.21804,203,-4206.15,832.757,639.212,1137.89,-6432.97,449.715,1109.44,-276.68
31,0.326227,-3373.4,-0.713136,0.252511,3.70872,-1.22481,21,-4206.15,832.75,639.203,1137.9,-6432.97,449.716,1109.43,-276.681
32,0.312936,-3373.27,-0.585132,0.239221,16.465,-1.09076,380,-4206.06,832.787,639.178,1138.09,-6433.02,449.687,1109.54,-276.753
33,0.299662,-3374.23,-1.54071,0.225931,26.2794,-0.806719,21,-4206.06,831.826,639.177,1138.1,-6433.02,449.687,1108.58,-276.752
34,0.286372,-3373.71,-1.02532,0.212641,53.2541,-0.278217,341,-4205.89,832.181,639.261,1138.56,-6433.24,449.522,1109.19,-277.008
35,0.27311,-3371.58,1.11306,0.199351,85.183,0.641701,21,-4205.89,834.319,639.261,1138.56,-6433.24,449.522,1111.33,-277.008
36,0.25982,-3370.07,2.61874,0.186061,145.029,2.17147,21,-4205.89,835.825,639.261,1138.56,-6433.24,449.522,1112.83,-277.008
37,0.24653,-3367.8,4.89163,0.172771,218.288,4.58572,285,-4204.99,837.197,640.209,1140.46,-6434.4,448.736,1115.63,-278.436
