step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738464,-3372.48,0,0.664502,-0.645971,0,100,-4205.85,833.373,640.163,1137.72,-6433.22,449.494,1110.47,-277.102
1,0.72493,-3372.68,-0.20521,0.651212,1.80019,0.00766979,100,-4205.84,833.16,639.996,1137.83,-6433.17,449.502,1110.04,-276.876
2,0.711641,-3371.4,1.07923,0.637922,-4.79445,-0.0122271,100,-4205.82,834.419,639.986,1137.84,-6433.15,449.513,1111.29,-276.873
3,0.698347,-3371.44,1.03449,0.624632,-1.98402,-0.0572702,100,-4205.79,834.351,639.997,1137.84,-6433.14,449.519,1111.22,-276.872
4,0.685058,-3371.52,0.952536,0.611342,0.514405,-0.0670358,100,-4205.78,834.261,639.979,1137.84,-6433.13,449.523,1111.13,-276.868
5,0.671769,-3371.5,0.974313,0.598052,2.7179,-0.0455571,100,-4205.77,834.269,639.99,1137.84,-6433.12,449.519,1111.14,-276.868
6,0.658479,-3371.45,1.02375,0.584762,4.69123,0.00367672,100,-4205.76,834.308,639.994,1137.84,-6433.11,449.519,1111.17,-276.866
7,0.645189,-3371.38,1.09845,0.571472,6.54045,0.0783115,100,-4205.75,834.374,639.987,1137.84,-6433.1,449.52,1111.24,-276.865
8,0.6319,-3371.25,1.22504,0.558182,-8.27559,0.0667815,100,-4205.75,834.503,639.936,1137.87,-6433.09,449.536,1111.37,-276.862
9,0.618607,-3371.49,0.989495,0.544892,-7.27963,-0.0365833,100,-4205.77,834.287,639.922,1137.86,-6433.09,449.537,1111.14,-276.856
10,0.605317,-3371.57,0.906355,0.531602,-5.19219,-0.119459,100,-4205.78,834.21,639.906,1137.87,-6433.09,449.537,1111.06,-276.854
11,0.592028,-3371.62,0.852765,0.518312,-2.81805,-0.172687,100,-4205.79,834.171,639.882,1137.87,-6433.09,449.539,1111.03,-276.854
12,0.578739,-3371.64,0.832988,0.505022,-0.098509,-0.192068,100,-4205.8,834.155,639.879,1137.88,-6433.09,449.539,1111.01,-276.852
13,0.56545,-3371.62,0.851697,0.491731,2.97036,-0.172984,100,-4205.81,834.189,639.854,1137.88,-6433.09,449.543,1111.04,-276.852
14,0.552161,-3372.39,0.0819476,0.478441,1.13149,-0.145727,100,-4205.87,833.479,639.738,1137.93,-6433.1,449.554,1110.32,-276.838
15,0.538872,-3373.03,-0.55488,0.465151,-0.525439,-0.1417,100,-4205.91,832.881,639.685,1137.95,-6433.11,449.565,1109.72,-276.838
16,0.525579,-3373.48,-1.00842,0.451861,-2.07672,-0.158991,100,-4205.96,832.479,639.661,1137.89,-6433.09,449.574,1109.29,-276.813
17,0.512287,-3373.5,-1.02165,0.438571,0.0463891,-0.172483,100,-4205.98,832.483,639.644,1137.89,-6433.1,449.582,1109.3,-276.813
18,0.498997,-3373.23,-0.756545,0.425281,0.0523676,-0.171827,100,-4205.99,832.753,639.633,1137.88,-6433.09,449.595,1109.56,-276.803
19,0.485708,-3372.3,0.176454,0.411991,-5.04476,-0.205001,100,-4205.97,833.672,639.645,1137.87,-6433.08,449.601,1110.47,-276.798
20,0.472417,-3372.35,0.121154,0.398701,-3.3635,-0.260874,100,-4205.99,833.636,639.622,1137.86,-6433.08,449.612,1110.43,-276.792
21,0.459128,-3372.39,0.084758,0.385411,-2.19549,-0.297814,100,-4206,833.613,639.61,1137.84,-6433.08,449.623,1110.4,-276.785
22,0.445838,-3372.42,0.0607935,0.372121,-1.4774,-0.32222,100,-4206.02,833.602,639.586,1137.83,-6433.07,449.634,1110.38,-276.776
23,0.432548,-3372.43,0.0440325,0.358831,-1.08622,-0.339256,100,-4206.03,833.602,639.558,1137.82,-6433.06,449.646,1110.37,-276.766
24,0.419257,-3371.24,1.23258,0.345541,-9.54576,-0.409905,100,-4206.02,834.772,639.563,1137.8,-6433.03,449.659,1111.53,-276.756
25,0.405968,-3371.36,1.11267,0.332251,-8.47407,-0.529648,100,-4206.03,834.669,639.521,1137.79,-6433.02,449.672,1111.41,-276.74
26,0.392678,-3371.47,1.00857,0.318961,-7.11945,-0.633267,100,-4206.05,834.584,639.483,1137.8,-6433.01,449.679,1111.32,-276.732
27,0.379388,-3372.89,-0.415473,0.305671,-15.1258,-0.781087,100,-4206.13,833.24,639.355,1137.8,-6432.99,449.7,1109.93,-276.693
28,0.366091,-3373.08,-0.604687,0.292381,-13.1605,-0.96905,100,-4206.15,833.066,639.306,1137.82,-6432.98,449.707,1109.75,-276.684
29,0.352801,-3373.24,-0.759106,0.279091,-9.79575,-1.1216,100,-4206.15,832.919,639.261,1137.84,-6432.97,449.71,1109.6,-276.68
30,0.339513,-3373.39,-0.915334,0.265801,-4.72757,-1.2181,100,-4206.15,832.756,639.214,1137.89,-6432.97,449.716,1109.44,-276.68
31,0.326226,-3373.4,-0.92621,0.252511,3.68947,-1.225,100,-4206.12,832.715,639.186,1137.97,-6432.98,449.708,1109.42,-276.703
32,0.312942,-3373.27,-0.798043,0.239221,16.4654,-1.09107,100,-4206.06,832.791,639.177,1138.09,-6433.02,449.686,1109.54,-276.753
33,0.299662,-3374.23,-1.75429,0.225931,26.1479,-0.807906,100,-4206.03,831.802,639.185,1138.27,-6433.1,449.609,1108.64,-276.839
34,0.286379,-3373.71,-1.23821,0.212641,53.2554,-0.28027,100,-4205.89,832.18,639.266,1138.56,-6433.24,449.52,1109.19,-277.01
35,0.27311,-3371.63,0.845537,0.199351,84.0763,0.632302,100,-4205.65,834.023,639.462,1138.96,-6433.46,449.377,1111.32,-277.294
36,0.25985,-3370.16,2.31868,0.186061,140.73,2.12614,100,-4205.38,835.223,639.746,1139.58,-6433.83,449.127,1112.97,-277.748
37,0.246605,-3367.8,4.67881,0.172771,218.295,4.51187,100,-4204.99,837.191,640.219,1140.45,-6434.4,448.735,1115.63,-278.438
38,0.23338,-3364.25,8.23089,0.15948,320.61,8.0929,100,-4204.45,840.2,640.941,1141.69,-6435.21,448.134,1119.66,-279.456
39,0.220177,-3359.21,13.2692,0.14619,449.261,13.2087,100,-4203.69,844.486,642.031,1143.37,-6436.34,447.248,1125.37,-280.888
