step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59054,-3372.69,0,-0.664502,0.654877,0,191,-4205.85,833.159,640.004,1137.82,-6433.18,449.499,1110.03,-276.875
1,-0.577494,-3372.66,0.0254543,-0.651212,3.17507,0.0254501,21,-4205.86,833.194,640.013,1137.82,-6433.19,449.496,1110.07,-276.88
2,-0.564203,-3372.6,0.0842287,-0.637922,5.65237,0.0841086,21,-4205.87,833.262,640.01,1137.81,-6433.19,449.5,1110.14,-276.876
3,-0.550914,-3372.51,0.175062,-0.624632,7.98414,0.174723,21,-4205.88,833.366,640.003,1137.81,-6433.2,449.5,1110.24,-276.873
4,-0.537625,-3371.22,1.46731,-0.611342,1.4886,0.23767,21,-4205.88,834.663,640.014,1137.8,-6433.2,449.499,1111.53,-276.869
5,-0.524336,-3371.11,1.57725,-0.598052,4.11516,0.274907,34,-4205.84,834.724,640.102,1137.77,-6433.2,449.491,1111.61,-276.884
6,-0.511041,-3371.04,1.64768,-0.584762,6.43603,0.34502,21,-4205.84,834.803,640.106,1137.77,-6433.21,449.488,1111.69,-276.891
7,-0.497751,-3370.94,1.74719,-0.571472,8.501,0.444277,21,-4205.86,834.915,640.105,1137.75,-6433.2,449.493,1111.8,-276.884
8,-0.484464,-3370.82,1.87292,-0.558182,10.3999,0.569874,21,-4205.85,835.037,640.128,1137.73,-6433.2,449.488,1111.92,-276.883
9,-0.471174,-3370.79,1.90034,-0.544892,-6.71416,0.594366,32,-4205.86,835.076,640.178,1137.67,-6433.17,449.459,1111.95,-276.876
10,-0.457877,-3371.3,1.3875,-0.531602,-8.98246,0.490061,21,-4205.78,834.482,640.113,1137.76,-6433.15,449.497,1111.32,-276.834
11,-0.444585,-3371.41,1.27681,-0.518312,-7.66909,0.379411,21,-4205.8,834.384,640.081,1137.78,-6433.15,449.496,1111.22,-276.836
12,-0.431293,-3372.19,0.496219,-0.505022,-11.5557,0.251663,21,-4205.81,833.615,640.098,1137.77,-6433.15,449.481,1110.45,-276.838
13,-0.418003,-3372.34,0.349196,-0.491731,-10.5421,0.104823,30,-4205.74,833.397,640.091,1137.78,-6433.12,449.51,1110.2,-276.803
14,-0.404715,-3372.47,0.216511,-0.478441,-9.40774,-0.0277445,21,-4205.74,833.264,640.053,1137.79,-6433.1,449.526,1110.04,-276.779
15,-0.391424,-3372.59,0.0996342,-0.465151,-8.16937,-0.144545,21,-4205.7,833.108,640.059,1137.82,-6433.09,449.516,1109.88,-276.768
16,-0.378135,-3373.28,-0.592601,-0.451861,-11.6097,-0.275977,21,-4205.75,832.465,640.086,1137.73,-6433.1,449.537,1109.23,-276.766
17,-0.364844,-3373.43,-0.741042,-0.438571,-10.7403,-0.424493,21,-4205.72,832.292,640.111,1137.71,-6433.08,449.53,1109.05,-276.756
18,-0.351553,-3373.57,-0.878474,-0.425281,-9.94645,-0.561957,21,-4205.68,832.11,640.058,1137.77,-6433.06,449.549,1108.83,-276.724
19,-0.338261,-3373.69,-1.00586,-0.411991,-9.23844,-0.689442,21,-4205.69,831.999,640.075,1137.76,-6433.06,449.534,1108.72,-276.725
20,-0.324972,-3372.63,0.0544398,-0.398701,-17.1904,-0.865062,21,-4205.7,833.071,640.055,1137.78,-6433.05,449.511,1109.79,-276.723
21,-0.311685,-3372.85,-0.163951,-0.385411,-15.6513,-1.0833,21,-4205.71,832.858,640.03,1137.81,-6433.05,449.499,1109.58,-276.72
22,-0.298398,-3373.05,-0.360457,-0.372121,-13.7957,-1.27897,30,-4205.55,832.498,640.046,1137.77,-6432.96,449.602,1109.15,-276.648
23,-0.285099,-3373.27,-0.584117,-0.358831,-11.5288,-1.44725,21,-4205.55,832.274,640.034,1137.75,-6432.94,449.612,1108.89,-276.617
24,-0.271811,-3373.33,-0.640168,-0.345541,-7.52025,-1.57383,21,-4205.51,832.182,640.12,1137.68,-6432.92,449.611,1108.8,-276.614
25,-0.258523,-3372.18,0.51034,-0.332251,-9.9627,-1.69001,21,-4205.46,833.284,640.108,1137.73,-6432.89,449.589,1109.9,-276.615
26,-0.245237,-3372.24,0.444709,-0.318961,0.843526,-1.75061,30,-4205.71,833.465,640.25,1137.43,-6432.93,449.542,1110.14,-276.671
27,-0.231953,-3372.71,-0.0233312,-0.305671,12.2935,-1.66331,71,-4206.04,833.327,640.416,1137.11,-6433,449.432,1110.14,-276.81
28,-0.218671,-3372.4,0.287011,-0.292381,35.952,-1.34272,37,-4206.39,833.99,640.602,1136.79,-6433.08,449.291,1110.9,-276.906
29,-0.205392,-3371.78,0.907648,-0.279091,70.4841,-0.635449,109,-4206.99,835.213,640.99,1136.21,-6433.23,449.028,1112.36,-277.145
30,-0.192121,-3370.51,2.17706,-0.265801,119.748,0.628649,101,-4207.92,837.406,641.607,1135.35,-6433.48,448.613,1114.94,-277.536
31,-0.178858,-3368.42,4.27165,-0.252511,188.121,2.67444,103,-4209.24,840.821,642.53,1134.1,-6433.86,447.992,1118.95,-278.126
32,-0.165606,-3365.29,7.39862,-0.239221,287.945,5.83791,21,-4209.36,844.069,642.439,1134.1,-6433.88,447.987,1122.21,-278.145
33,-0.152322,-3360.6,12.093,-0.225931,425.512,10.5789,21,-4209.7,849.105,642.21,1134.04,-6433.93,447.974,1127.3,-278.198
34,-0.139047,-3355.86,16.8267,-0.212641,534.508,16.9582,115,-4216.23,860.365,648.377,1127.47,-6436.27,444.194,1142.18,-281.817
35,-0.125915,-3347.38,25.3045,-0.199351,750.465,25.4969,21,-4216.23,868.847,648.383,1127.45,-6436.26,444.196,1150.66,-281.816
36,-0.112624,-3335.35,37.3345,-0.186061,1010.96,37.2016,21,-4216.25,880.9,648.402,1127.37,-6436.22,444.204,1162.71,-281.815
37,-0.0993338,-3319.76,52.9293,-0.172771,1345.51,52.8603,21,-4216.3,896.537,648.433,1127.23,-6436.17,444.215,1178.35,-281.814
38,-0.0860429,-3299.43,73.2622,-0.15948,1732.61,73.3145,21,-4216.36,916.93,648.481,1127.03,-6436.1,444.231,1198.74,-281.814
39,-0.0727517,-3291.85,80.8402,-0.14619,1335.51,93.7023,111,-4227.56,935.714,672.978,1114.82,-6445.47,430.109,1231.61,-295.893
40,-0.0597554,-3272.44,100.249,-0.1329,1579.95,113.076,21,-4227.55,955.112,673.004,1114.77,-6445.44,430.114,1251,-295.889
41,-0.0464644,-3248.84,123.853,-0.11961,1774.84,135.368,21,-4227.54,978.7,673.058,1114.66,-6445.38,430.124,1274.58,-295.884
42,-0.0331724,-3224.32,148.372,-0.10632,1897.75,159.773,21,-4227.51,1003.2,673.135,1114.52,-6445.3,430.138,1299.07,-295.877
43,-0.0198798,-3198.94,173.752,-0.0930303,1897.81,184.994,21,-4227.48,1028.54,673.233,1114.35,-6445.21,430.154,1324.41,-295.869
44,-0.00658676,-3206.56,166.127,-0.0797402,899.612,203.583,106,-4201.16,994.603,693.783,1142.9,-6454.59,416.746,1304.86,-310.259
45,0.00731362,-3197.08,175.606,-0.0664502,621.295,213.69,79,-4192.78,995.699,693.939,1153.3,-6455.61,415.588,1307.63,-311.93
46,0.0208276,-3190.41,182.276,-0.0531602,361.102,220.218,21,-4192.64,1002.23,694.031,1153.27,-6455.56,415.613,1314.13,-311.904
47,0.0341221,-3189.25,183.438,-0.0398701,4.67393,222.648,74,-4178.7,989.451,690.583,1172.19,-6456.67,415.194,1303.03,-313.581
48,0.0478463,-3191,181.688,-0.0265801,-278.921,220.826,21,-4178.73,987.729,690.536,1172.21,-6456.66,415.191,1301.31,-313.58
49,0.0611365,-3197.17,175.524,-0.01329,-584.91,215.086,76,-4171.43,974.261,684.061,1183.75,-6456.55,417.307,1287.3,-313.035
50,0.0747985,-3207.56,165.124,0,-788.032,205.962,21,-4171.43,963.861,684.061,1183.75,-6456.55,417.307,1276.9,-313.035
51,0.0880886,-3219.33,153.356,0.01329,-1052.84,193.73,79,-4172.14,952.804,676.063,1185.48,-6455.21,421.534,1263.07,-310.27
52,0.101628,-3233.62,139.072,0.0265801,-1091.04,179.484,21,-4172.14,938.521,676.063,1185.48,-6455.21,421.534,1248.79,-310.27
53,0.114918,-3250.94,121.752,0.0398701,-1293.47,163.639,76,-4179.15,928.209,667.423,1178.78,-6452.58,427.231,1233.49,-305.28
54,0.128267,-3267.36,105.333,0.0531602,-1173.59,147.245,21,-4179.15,911.79,667.423,1178.78,-6452.58,427.231,1217.07,-305.28
55,0.141558,-3285.88,86.8098,0.0664502,-1297.59,130.824,81,-4188.37,902.494,658.96,1167.76,-6448.68,433.594,1201.17,-298.671
56,0.154725,-3300.36,72.3275,0.0797402,-1077.95,115.038,21,-4188.37,888.012,658.96,1167.76,-6448.68,433.594,1186.68,-298.671
57,0.168015,-3317.44,55.2485,0.0930303,-1094.31,100.604,123,-4196.08,878.637,651.437,1156.87,-6444.04,439.65,1170.18,-291.543
58,0.181043,-3330.22,42.4652,0.10632,-836.22,87.7752,21,-4196.07,865.846,651.472,1156.84,-6444.03,439.651,1157.38,-291.536
59,0.194332,-3339.84,32.8451,0.11961,-618.622,78.1077,21,-4196.05,856.209,651.544,1156.77,-6444.02,439.654,1147.73,-291.523
60,0.207621,-3346.85,25.8348,0.1329,-443.267,71.0514,21,-4196.03,849.177,651.624,1156.69,-6444,439.656,1140.68,-291.507
61,0.220909,-3359.21,13.4821,0.14619,-449.246,65.1207,112,-4203.69,844.485,642.039,1143.37,-6436.34,447.244,1125.37,-280.889
62,0.23358,-3364.17,8.5185,0.15948,-305.073,60.1082,21,-4203.7,839.53,642.079,1143.3,-6436.32,447.243,1120.42,-280.885
63,0.246871,-3367.49,5.20038,0.172771,-200.025,56.7518,21,-4203.72,836.229,642.179,1143.14,-6436.28,447.24,1117.1,-280.875
64,0.260161,-3369.62,3.06921,0.186061,-125.042,54.5918,21,-4203.73,834.114,642.294,1142.96,-6436.23,447.238,1114.97,-280.86
65,0.273452,-3370.91,1.77841,0.199351,-72.3953,53.2798,21,-4203.75,832.836,642.411,1142.78,-6436.18,447.236,1113.68,-280.844
66,0.286742,-3373.71,-1.02523,0.212641,-53.2543,52.4448,88,-4205.89,832.175,639.266,1138.56,-6433.23,449.521,1109.18,-277.009
67,0.29969,-3374.23,-1.54132,0.225931,-26.1477,51.9172,40,-4206.03,831.8,639.192,1138.27,-6433.1,449.608,1108.64,-276.841
68,0.312958,-3373.27,-0.584506,0.239221,-16.4196,51.6343,36,-4206.14,832.863,639.097,1138.18,-6433.1,449.689,1109.67,-276.803
69,0.326256,-3373.4,-0.713235,0.252511,-3.68905,51.5007,59,-4206.12,832.723,639.184,1137.97,-6432.98,449.705,1109.43,-276.706
70,0.339523,-3373.39,-0.70229,0.265801,4.72504,51.5076,29,-4206.2,832.808,639.176,1137.88,-6432.97,449.714,1109.48,-276.677
71,0.352803,-3373.23,-0.546076,0.279091,9.79289,51.6041,21,-4206.13,832.896,639.28,1137.83,-6432.95,449.714,1109.55,-276.659
72,0.366089,-3373.08,-0.391671,0.292381,13.1602,51.7566,21,-4206.15,833.068,639.306,1137.79,-6432.96,449.715,1109.73,-276.661
