step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59054,-3372.48,0,-0.664502,0.645962,0,100,-4205.85,833.373,640.163,1137.72,-6433.22,449.494,1110.47,-277.102
1,-0.577493,-3372.66,-0.187514,-0.651212,3.17511,0.0253911,100,-4205.86,833.196,640.01,1137.82,-6433.19,449.497,1110.07,-276.879
2,-0.564203,-3372.6,-0.128748,-0.637922,5.65121,0.0840421,100,-4205.86,833.26,640.031,1137.81,-6433.19,449.492,1110.14,-276.882
3,-0.550913,-3372.51,-0.0379379,-0.624632,7.98366,0.174646,100,-4205.87,833.355,640.03,1137.81,-6433.2,449.492,1110.24,-276.88
4,-0.537624,-3371.15,1.3267,-0.611342,1.4884,0.237588,100,-4205.83,834.685,640.077,1137.79,-6433.2,449.495,1111.57,-276.883
5,-0.524331,-3371.11,1.36428,-0.598052,4.11527,0.274825,100,-4205.84,834.733,640.09,1137.77,-6433.2,449.493,1111.62,-276.883
6,-0.511041,-3371.04,1.43471,-0.584762,6.43634,0.34494,100,-4205.85,834.808,640.105,1137.76,-6433.21,449.489,1111.7,-276.888
7,-0.497752,-3370.94,1.53421,-0.571472,8.5018,0.444204,100,-4205.85,834.908,640.112,1137.75,-6433.2,449.489,1111.79,-276.885
8,-0.484462,-3370.82,1.65995,-0.558182,10.4007,0.569812,100,-4205.85,835.036,640.119,1137.74,-6433.2,449.491,1111.92,-276.883
9,-0.471173,-3370.79,1.68737,-0.544892,-6.71388,0.594312,100,-4205.86,835.073,640.201,1137.66,-6433.18,449.457,1111.96,-276.883
10,-0.457876,-3371.3,1.1745,-0.531602,-8.98277,0.490007,100,-4205.81,834.512,640.135,1137.74,-6433.16,449.478,1111.37,-276.857
11,-0.444585,-3371.41,1.0638,-0.518312,-7.66746,0.379366,100,-4205.81,834.402,640.133,1137.74,-6433.16,449.476,1111.26,-276.854
12,-0.431296,-3372.19,0.283209,-0.505022,-11.5565,0.251622,100,-4205.75,833.554,640.096,1137.77,-6433.12,449.512,1110.36,-276.807
13,-0.418004,-3372.34,0.136226,-0.491731,-10.5427,0.104773,100,-4205.75,833.406,640.084,1137.78,-6433.12,449.512,1110.2,-276.799
14,-0.404715,-3372.47,0.00353087,-0.478441,-9.40661,-0.0277908,100,-4205.74,833.263,640.07,1137.79,-6433.11,449.516,1110.05,-276.787
