step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738464,-3372.48,0,0.664502,-0.646036,100,-4205.85,833.373,640.163,1137.72,-6433.22,449.494,1110.47,-277.102
1,0.725062,-3372.68,-0.205465,0.651344,1.7764,100,-4205.84,833.16,639.997,1137.83,-6433.17,449.502,1110.04,-276.876
2,0.711904,-3371.4,1.0805,0.638185,-4.85311,100,-4205.82,834.421,639.986,1137.84,-6433.16,449.514,1111.29,-276.873
3,0.698742,-3371.44,1.03527,0.625027,-2.06316,100,-4205.79,834.35,640,1137.84,-6433.14,449.518,1111.22,-276.873
4,0.685585,-3371.52,0.952294,0.611868,0.421582,100,-4205.78,834.261,639.995,1137.84,-6433.13,449.514,1111.13,-276.872
5,0.672426,-3371.5,0.972531,0.59871,2.61483,100,-4205.77,834.268,639.991,1137.84,-6433.12,449.519,1111.14,-276.869
6,0.659269,-3371.46,1.02009,0.585551,4.57826,100,-4205.76,834.303,639.988,1137.84,-6433.11,449.52,1111.17,-276.866
7,0.64611,-3371.38,1.09245,0.572393,6.41346,100,-4205.75,834.368,639.988,1137.84,-6433.1,449.52,1111.23,-276.865
8,0.632953,-3370.36,2.1148,0.559234,-2.07763,100,-4205.67,835.314,640.041,1137.81,-6433.06,449.542,1112.16,-276.85
9,0.619793,-3371.48,0.998195,0.546076,-7.45491,100,-4205.77,834.293,639.927,1137.86,-6433.09,449.536,1111.15,-276.856
10,0.606633,-3371.56,0.91332,0.532917,-5.41044,100,-4205.79,834.228,639.895,1137.86,-6433.09,449.54,1111.08,-276.853
11,0.593476,-3371.62,0.857013,0.519759,-3.09282,100,-4205.79,834.172,639.887,1137.87,-6433.09,449.539,1111.03,-276.854
12,0.580318,-3371.64,0.8334,0.506601,-0.440935,100,-4205.79,834.15,639.867,1137.89,-6433.09,449.542,1111,-276.85
13,0.567162,-3371.63,0.846935,0.493442,2.55648,100,-4205.81,834.182,639.855,1137.88,-6433.09,449.542,1111.03,-276.851
14,0.554003,-3371.74,0.734836,0.480284,4.80143,100,-4205.8,834.063,639.844,1137.91,-6433.1,449.542,1110.91,-276.85
15,0.540848,-3373.03,-0.55346,0.467125,-0.947529,100,-4205.91,832.879,639.686,1137.95,-6433.11,449.565,1109.72,-276.836
16,0.527684,-3373.48,-1.00372,0.453967,-2.43211,100,-4205.96,832.479,639.665,1137.9,-6433.1,449.573,1109.3,-276.82
17,0.514524,-3373.5,-1.02142,0.440808,-0.293338,100,-4205.98,832.485,639.648,1137.89,-6433.1,449.58,1109.3,-276.816
18,0.501365,-3373.49,-1.01266,0.42765,1.56947,100,-4205.99,832.501,639.632,1137.89,-6433.1,449.589,1109.31,-276.811
19,0.488208,-3372.29,0.18948,0.414491,-5.41949,100,-4205.96,833.671,639.666,1137.87,-6433.09,449.596,1110.48,-276.804
20,0.47505,-3372.35,0.130328,0.401333,-3.65512,100,-4205.98,833.639,639.628,1137.86,-6433.08,449.611,1110.43,-276.791
21,0.461891,-3372.38,0.0910462,0.388174,-2.39852,100,-4206,833.611,639.623,1137.84,-6433.08,449.616,1110.4,-276.789
22,0.448733,-3372.41,0.0651815,0.375016,-1.60124,100,-4206.02,833.607,639.583,1137.83,-6433.07,449.634,1110.38,-276.775
23,0.435574,-3372.43,0.0473564,0.361858,-1.15472,100,-4206.02,833.595,639.57,1137.82,-6433.06,449.643,1110.36,-276.769
24,0.422415,-3371.21,1.26304,0.348699,-9.78903,100,-4206.01,834.792,639.574,1137.8,-6433.03,449.657,1111.55,-276.756
25,0.409257,-3371.33,1.14095,0.335541,-8.75488,100,-4206.03,834.696,639.534,1137.79,-6433.02,449.666,1111.44,-276.745
26,0.3961,-3371.44,1.03355,0.322382,-7.51157,100,-4206.05,834.607,639.491,1137.8,-6433.01,449.675,1111.34,-276.735
27,0.382942,-3372.84,-0.361155,0.309224,-15.4792,100,-4206.13,833.29,639.374,1137.8,-6432.99,449.693,1109.99,-276.702
28,0.369775,-3373.03,-0.555016,0.296065,-13.822,100,-4206.15,833.116,639.319,1137.81,-6432.98,449.704,1109.8,-276.687
29,0.356617,-3373.2,-0.71956,0.282907,-10.9399,100,-4206.15,832.959,639.271,1137.84,-6432.97,449.71,1109.64,-276.681
30,0.34346,-3373.37,-0.892958,0.269748,-6.59897,100,-4206.15,832.779,639.225,1137.87,-6432.96,449.716,1109.46,-276.676
31,0.330304,-3373.41,-0.93513,0.25659,0.714324,100,-4206.13,832.721,639.19,1137.94,-6432.97,449.712,1109.41,-276.692
32,0.317151,-3373.33,-0.857499,0.243431,11.8424,100,-4206.08,832.752,639.177,1138.05,-6433,449.695,1109.49,-276.734
33,0.304,-3373.08,-0.59952,0.230273,28.4537,100,-4206.01,832.932,639.192,1138.21,-6433.07,449.66,1109.74,-276.813
34,0.290854,-3373.93,-1.45299,0.217115,42.9447,100,-4205.95,832.024,639.223,1138.45,-6433.18,449.554,1108.97,-276.943
35,0.277706,-3371.98,0.494845,0.203956,68.5017,100,-4205.73,833.752,639.399,1138.8,-6433.36,449.437,1110.93,-277.182
36,0.264574,-3370.77,1.70592,0.190798,118.366,100,-4205.49,834.72,639.627,1139.34,-6433.68,449.229,1112.29,-277.565
37,0.251456,-3368.78,3.69298,0.177639,187.178,100,-4205.14,836.36,640.02,1140.1,-6434.16,448.9,1114.51,-278.154
