step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.59054,-3372.48,0,-0.664502,0.646027,100,-4205.85,833.373,640.163,1137.72,-6433.22,449.494,1110.47,-277.102
1,-0.577625,-3372.66,-0.187947,-0.651344,3.15031,100,-4205.86,833.195,640.01,1137.82,-6433.19,449.497,1110.07,-276.879
2,-0.564467,-3372.61,-0.13023,-0.638185,5.60324,100,-4205.87,833.26,640.029,1137.81,-6433.19,449.492,1110.14,-276.882
3,-0.551308,-3372.52,-0.0410914,-0.625027,7.91732,100,-4205.87,833.349,640.033,1137.81,-6433.2,449.492,1110.23,-276.88
4,-0.53815,-3371.15,1.32595,-0.611868,1.37708,100,-4205.88,834.725,640.059,1137.78,-6433.21,449.498,1111.61,-276.885
5,-0.524989,-3371.11,1.36159,-0.59871,3.99268,100,-4205.84,834.73,640.09,1137.77,-6433.2,449.493,1111.61,-276.884
6,-0.511831,-3371.05,1.42968,-0.585551,6.30613,100,-4205.85,834.802,640.096,1137.77,-6433.21,449.49,1111.69,-276.886
7,-0.498672,-3370.95,1.52643,-0.572393,8.36519,100,-4205.85,834.9,640.111,1137.75,-6433.2,449.49,1111.79,-276.885
8,-0.485515,-3370.83,1.64907,-0.559234,10.254,100,-4205.86,835.035,640.113,1137.74,-6433.2,449.489,1111.92,-276.884
9,-0.472357,-3370.91,1.56862,-0.546076,-5.94525,100,-4205.86,834.949,640.178,1137.68,-6433.17,449.458,1111.82,-276.871
10,-0.459193,-3371.29,1.18639,-0.532917,-9.11102,100,-4205.81,834.52,640.137,1137.74,-6433.16,449.479,1111.38,-276.856
11,-0.446033,-3371.4,1.07501,-0.519759,-7.81405,100,-4205.82,834.423,640.125,1137.74,-6433.16,449.478,1111.28,-276.854
12,-0.432876,-3372.17,0.301548,-0.506601,-11.6689,100,-4205.75,833.579,640.122,1137.75,-6433.13,449.503,1110.39,-276.814
13,-0.419716,-3372.32,0.154363,-0.493442,-10.6799,100,-4205.74,833.42,640.093,1137.77,-6433.12,449.511,1110.22,-276.802
14,-0.406557,-3372.45,0.0210115,-0.480284,-9.57031,100,-4205.73,833.277,640.068,1137.8,-6433.11,449.514,1110.07,-276.795
15,-0.393399,-3372.5,-0.0245133,-0.467125,-8.35732,100,-4205.72,833.218,640.065,1137.79,-6433.1,449.522,1109.99,-276.775
16,-0.380241,-3373.26,-0.78102,-0.453967,-11.7513,100,-4205.75,832.489,640.077,1137.75,-6433.1,449.527,1109.26,-276.767
17,-0.367079,-3373.41,-0.929904,-0.440808,-10.8826,100,-4205.71,832.305,640.068,1137.76,-6433.08,449.537,1109.05,-276.746
18,-0.353919,-3373.54,-1.06773,-0.42765,-10.0814,100,-4205.68,832.14,640.059,1137.77,-6433.06,449.548,1108.87,-276.727
19,-0.340761,-3373.67,-1.1956,-0.414491,-9.36786,100,-4205.65,831.978,640.059,1137.77,-6433.04,449.558,1108.69,-276.71
20,-0.327602,-3372.59,-0.113076,-0.401333,-17.4875,100,-4205.59,833.003,640.065,1137.77,-6433,449.581,1109.69,-276.691
21,-0.314442,-3372.74,-0.260921,-0.388174,-15.9906,100,-4205.56,832.826,640.066,1137.76,-6432.98,449.591,1109.49,-276.666
22,-0.301284,-3372.94,-0.460308,-0.375016,-14.2473,100,-4205.54,832.6,640.064,1137.76,-6432.97,449.603,1109.25,-276.647
23,-0.288126,-3373.11,-0.633117,-0.361858,-11.8711,100,-4205.53,832.424,640.066,1137.75,-6432.95,449.606,1109.06,-276.636
24,-0.274969,-3373.3,-0.827607,-0.348699,-8.64476,100,-4205.53,832.223,640.096,1137.71,-6432.94,449.607,1108.85,-276.624
25,-0.261812,-3372.14,0.333495,-0.335541,-12.0277,100,-4205.55,833.404,640.142,1137.62,-6432.91,449.603,1110.04,-276.631
26,-0.248657,-3372.24,0.234443,-0.322382,-2.37627,100,-4205.66,833.418,640.229,1137.48,-6432.92,449.557,1110.08,-276.66
27,-0.235504,-3372.82,-0.344272,-0.309224,7.46087,100,-4205.91,833.091,640.295,1137.27,-6432.97,449.487,1109.82,-276.726
28,-0.22235,-3372.59,-0.116956,-0.296065,28.4664,100,-4206.25,833.661,640.509,1136.94,-6433.05,449.347,1110.51,-276.848
29,-0.209203,-3372.03,0.447529,-0.282907,59.2405,100,-4206.82,834.787,640.844,1136.42,-6433.19,449.112,1111.86,-277.068
30,-0.196061,-3370.83,1.64538,-0.269748,103.331,100,-4207.6,836.769,641.414,1135.63,-6433.39,448.748,1114.17,-277.402
