step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.738375,-3403.47,0,0.664429,-0.567263,-0.0739464,-4215.33,811.864,615.181,1149.97,-6435.14,454.665,1082.16,-270.293,0,0
1,0.725087,-3403.47,-0.00600376,0.65114,-0.312023,-0.0739464,-4215.3,811.829,615.161,1150.01,-6435.14,454.668,1082.12,-270.295,0,0
2,0.711798,-3403.31,0.158612,0.637852,-1.29015,-0.0739464,-4215.3,811.996,615.161,1150.01,-6435.14,454.666,1082.29,-270.293,0,0
3,0.69851,-3403.32,0.143903,0.624563,-0.925223,-0.0739464,-4215.3,811.98,615.165,1150,-6435.14,454.668,1082.27,-270.291,0,0
4,0.685221,-3403.33,0.133982,0.611275,-0.569353,-0.0739464,-4215.3,811.97,615.166,1150,-6435.14,454.669,1082.26,-270.29,0,0
5,0.671932,-3403.34,0.128741,0.597986,-0.220289,-0.0739464,-4215.3,811.962,615.164,1150,-6435.14,454.672,1082.25,-270.287,0,0
6,0.658644,-3403.34,0.128106,0.584698,0.126529,-0.0739464,-4215.29,811.951,615.153,1150.03,-6435.14,454.666,1082.24,-270.292,0,0
7,0.645355,-3403.16,0.305203,0.571409,-0.802472,-0.0739464,-4215.3,812.133,615.178,1150.01,-6435.14,454.659,1082.43,-270.296,0,0
8,0.632067,-3403.17,0.297702,0.55812,-0.325804,-0.0739464,-4215.29,812.123,615.176,1150.01,-6435.14,454.659,1082.42,-270.295,0,0
9,0.618778,-3403.36,0.105718,0.544832,-1.26471,-0.0739464,-4215.29,811.927,615.174,1150.01,-6435.14,454.661,1082.22,-270.295,0,0
10,0.60549,-3403.38,0.0912889,0.531543,-0.905934,-0.0739464,-4215.27,811.891,615.195,1150,-6435.13,454.663,1082.18,-270.293,0,0
