step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.590483,-3403.47,0,-0.664429,0.567263,-0.0739464,-4215.33,811.864,615.181,1149.97,-6435.14,454.665,1082.16,-270.293,0,0
1,-0.577194,-3403.46,0.0090644,-0.65114,0.821532,-0.0739464,-4215.31,811.847,615.168,1150,-6435.14,454.67,1082.14,-270.295,0,0
2,-0.563905,-3403.45,0.0216629,-0.637852,1.07388,-0.0739464,-4215.31,811.861,615.165,1150,-6435.14,454.671,1082.16,-270.295,0,0
3,-0.550617,-3403.26,0.211987,-0.624563,0.00138304,-0.0739464,-4215.32,812.062,615.137,1150.01,-6435.14,454.678,1082.35,-270.292,0,0
4,-0.537328,-3403.25,0.214471,-0.611275,0.369992,-0.0739464,-4215.32,812.062,615.14,1150.01,-6435.14,454.678,1082.35,-270.292,0,0
5,-0.52404,-3403.25,0.221748,-0.597986,0.724382,-0.0739464,-4215.31,812.063,615.17,1149.99,-6435.14,454.674,1082.36,-270.297,0,0
6,-0.510751,-3403.23,0.233664,-0.584698,1.06735,-0.0739464,-4215.31,812.079,615.169,1149.98,-6435.14,454.674,1082.38,-270.299,0,0
7,-0.497463,-3403.22,0.250083,-0.571409,1.40271,-0.0739464,-4215.31,812.09,615.176,1149.98,-6435.14,454.675,1082.39,-270.299,0,0
8,-0.484174,-3403.2,0.270934,-0.55812,1.73555,-0.0739464,-4215.31,812.109,615.18,1149.98,-6435.14,454.676,1082.41,-270.299,0,0
9,-0.470885,-3403.19,0.279339,-0.544832,-0.569395,-0.0739464,-4215.31,812.118,615.194,1149.96,-6435.13,454.674,1082.42,-270.3,0,0
10,-0.457597,-3403.23,0.239273,-0.531543,-0.578829,-0.0739464,-4215.31,812.08,615.198,1149.95,-6435.13,454.672,1082.38,-270.3,0,0
11,-0.444308,-3403.26,0.207672,-0.518255,-0.561641,-0.0739464,-4215.31,812.051,615.201,1149.95,-6435.13,454.67,1082.35,-270.301,0,0
12,-0.43102,-3403.36,0.108715,-0.504966,-1.08396,-0.0739464,-4215.31,811.953,615.204,1149.95,-6435.13,454.668,1082.25,-270.301,0,0
13,-0.417731,-3403.37,0.0951588,-0.491677,-0.959935,-0.0739464,-4215.31,811.935,615.213,1149.94,-6435.13,454.666,1082.24,-270.301,0,0
14,-0.404442,-3403.38,0.0831125,-0.478389,-0.856685,-0.0739464,-4215.3,811.92,615.217,1149.94,-6435.13,454.666,1082.22,-270.301,0,0
15,-0.391154,-3403.4,0.0722893,-0.4651,-0.776266,-0.0739464,-4215.3,811.905,615.221,1149.94,-6435.13,454.666,1082.21,-270.3,0,0
16,-0.377865,-3403.48,-0.00948106,-0.451812,-1.25244,-0.0739464,-4215.3,811.82,615.226,1149.94,-6435.13,454.666,1082.12,-270.3,0,0
17,-0.364577,-3403.51,-0.0457752,-0.438523,-1.42196,-0.0739464,-4215.29,811.779,615.233,1149.94,-6435.13,454.667,1082.08,-270.3,0,0
18,-0.351288,-3403.53,-0.0651375,-0.425235,-1.49866,-0.0739464,-4215.29,811.755,615.239,1149.93,-6435.13,454.667,1082.06,-270.3,0,0
19,-0.338,-3403.4,0.0707953,-0.411946,-2.79338,-0.0739464,-4215.28,811.886,615.248,1149.93,-6435.13,454.667,1082.19,-270.3,0,0
20,-0.324711,-3403.42,0.0494645,-0.398657,-2.96219,-0.0739464,-4215.28,811.861,615.255,1149.92,-6435.13,454.668,1082.16,-270.3,0,0
21,-0.311422,-3403.46,0.00960702,-0.385369,-3.04383,-0.0739464,-4215.28,811.818,615.262,1149.92,-6435.13,454.668,1082.12,-270.3,0,0
22,-0.298134,-3403.5,-0.0316029,-0.37208,-3.16374,-0.0739464,-4215.27,811.773,615.269,1149.92,-6435.13,454.668,1082.07,-270.299,0,0
