step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.738375,-3225.65,0,0.664429,-0.512735,-0.0739464,-4019.53,793.883,601.003,1141.12,-6215.41,453.752,1053.75,-259.868,0,0
1,0.724899,-3225.62,0.029615,0.65114,-0.5104,-0.0737591,-4019.52,793.903,601.006,1141.13,-6215.41,453.756,1053.76,-259.862,0,0
2,0.71161,-3225.49,0.159155,0.637852,-1.22673,-0.0737577,-4019.52,794.03,601.012,1141.13,-6215.41,453.754,1053.9,-259.865,0,0
3,0.698321,-3225.87,-0.219806,0.624563,-0.197408,-0.0737576,-4019.35,793.484,601.006,1141.23,-6215.38,453.794,1053.29,-259.809,0,0
4,0.685032,-3225.71,-0.0594104,0.611275,0.342593,-0.0737572,-4019.18,793.474,601.31,1141.12,-6215.49,453.88,1053.36,-259.889,0,0
5,0.671755,-3225.52,0.131876,0.597986,-0.156957,-0.0737687,-4019.51,793.996,600.998,1141.14,-6215.41,453.751,1053.86,-259.861,0,0
6,0.658456,-3225.52,0.13092,0.584698,0.189319,-0.0737584,-4019.55,794.033,601.022,1141.12,-6215.42,453.724,1053.92,-259.887,0,0
7,0.645169,-3225.37,0.274583,0.571409,-0.478155,-0.0737605,-4019.55,794.18,600.933,1141.17,-6215.41,453.752,1054.03,-259.854,0,0
8,0.631881,-3225.85,-0.203388,0.55812,-0.457877,-0.0737604,-4019.48,793.627,600.736,1141.48,-6215.37,453.672,1053.46,-259.837,0,0
9,0.618613,-3225.53,0.112972,0.544832,-1.21226,-0.0737814,-4019.51,793.972,601.001,1141.14,-6215.4,453.751,1053.83,-259.859,0,0
10,0.605302,-3225.55,0.0996353,0.531543,-0.855087,-0.0737591,-4019.51,793.958,600.995,1141.15,-6215.4,453.752,1053.82,-259.858,0,0
11,0.592014,-3225.54,0.107929,0.518255,-0.51192,-0.0737591,-4019.33,793.793,600.886,1141.29,-6215.38,453.874,1053.53,-259.732,0,0
12,0.57872,-3225.56,0.0865041,0.504966,-0.108251,-0.0737538,-4019.51,793.949,600.976,1141.16,-6215.4,453.753,1053.8,-259.852,0,0
13,0.565436,-3225.83,-0.178605,0.491677,-0.40673,-0.0737587,-4019.54,793.712,600.831,1141.08,-6215.31,453.857,1053.49,-259.775,0,0
14,0.552156,-3225.64,0.0123357,0.478389,0.214912,-0.0737671,-4019.42,793.788,600.944,1141.2,-6215.35,453.781,1053.59,-259.799,0,0
15,0.538853,-3225.75,-0.107239,0.4651,-0.345767,-0.0737528,-4019.5,793.742,600.946,1141.18,-6215.38,453.756,1053.59,-259.847,0,0
16,0.525571,-3225.92,-0.269481,0.451812,-0.0172358,-0.0737594,-4019.06,793.139,601.162,1141.25,-6215.31,453.837,1052.91,-259.767,0,0
17,0.512277,-3225.89,-0.239201,0.438523,0.107205,-0.0737542,-4019.4,793.509,601.205,1140.97,-6215.36,453.793,1053.41,-259.896,0,0
18,0.498998,-3225.66,-0.00981287,0.425235,-1.45281,-0.0737636,-4019.52,793.867,600.943,1141.16,-6215.38,453.753,1053.72,-259.856,0,0
19,0.485706,-3225.83,-0.178008,0.411946,0.284917,-0.07376,-4019.53,793.707,600.921,1141.09,-6215.31,453.764,1053.52,-259.811,0,0
20,0.472411,-3225.69,-0.0403411,0.398657,-0.862489,-0.0737539,-4019.53,793.84,600.923,1141.17,-6215.38,453.761,1053.69,-259.847,0,0
21,0.459128,-3225.79,-0.13786,0.385369,-0.297955,-0.0737592,-4019.45,793.666,600.797,1141.19,-6215.27,453.836,1053.46,-259.797,0,0
22,0.445842,-3225.7,-0.0568888,0.37208,-0.401465,-0.073762,-4019.53,793.827,600.903,1141.16,-6215.36,453.766,1053.67,-259.846,0,0
23,0.432551,-3225.69,-0.0420926,0.358792,-0.745709,-0.0737596,-4019.35,793.66,600.912,1141.13,-6215.26,453.866,1053.38,-259.721,0,0
24,0.419258,-3225.55,0.0965086,0.345503,-1.26856,-0.0737552,-4019.65,794.101,600.852,1141.14,-6215.41,453.77,1053.95,-259.846,0,0
25,0.40597,-3225.56,0.0835414,0.332215,-1.03181,-0.0737558,-4019.54,793.979,600.895,1141.15,-6215.36,453.771,1053.82,-259.84,0,0
26,0.392686,-3225.6,0.0521018,0.318926,-0.973368,-0.0737597,-4019.55,793.956,600.921,1141.12,-6215.36,453.762,1053.8,-259.848,0,0
27,0.379399,-3225.72,-0.0698997,0.305637,-1.67629,-0.0737618,-4019.52,793.802,600.863,1141.17,-6215.34,453.789,1053.63,-259.827,0,0
28,0.36611,-3225.73,-0.0864759,0.292349,-2.54073,-0.0737612,-4019.46,793.726,600.97,1141.02,-6215.28,453.832,1053.49,-259.764,0,0
29,0.35282,-3225.81,-0.166759,0.27906,-2.03571,-0.0737598,-4020.01,794.271,601.07,1140.66,-6215.44,453.706,1054.06,-259.786,0,0
30,0.339515,-3225.86,-0.2082,0.265772,-2.06311,-0.0737439,-4019.56,793.706,600.783,1141.21,-6215.35,453.793,1053.48,-259.777,0,0
31,0.326237,-3225.89,-0.237513,0.252483,-2.00808,-0.0737538,-4019.53,793.645,600.868,1141.08,-6215.32,453.838,1053.43,-259.783,0,0
32,0.312952,-3226.02,-0.374745,0.239194,-2.03115,-0.0737575,-4019.52,793.498,600.918,1141.09,-6215.29,453.764,1053.33,-259.829,0,0
33,0.299661,-3225.99,-0.338736,0.225906,-1.81354,-0.0737552,-4019.57,793.589,600.742,1141.19,-6215.33,453.816,1053.41,-259.817,0,0
34,0.286375,-3226.02,-0.370722,0.212617,-2.92649,-0.0737581,-4019.54,793.527,600.846,1141.14,-6215.34,453.811,1053.32,-259.791,0,0
35,0.273084,-3226,-0.352016,0.199329,-1.95366,-0.0737553,-4019.59,793.589,600.834,1141.13,-6215.36,453.8,1053.41,-259.824,0,0
36,0.259797,-3225.94,-0.29598,0.18604,8.63396,-0.073757,-4019.34,793.398,600.901,1141.28,-6215.35,453.819,1053.26,-259.857,0,0
37,0.246524,-3225.98,-0.335093,0.172752,4.16552,-0.0737724,-4019.52,793.534,600.847,1141.19,-6215.35,453.8,1053.37,-259.832,0,0
38,0.233226,-3225.89,-0.24541,0.159463,10.0249,-0.0737626,-4019.51,793.615,600.905,1141.19,-6215.38,453.772,1053.52,-259.903,0,0
39,0.21994,-3225.67,-0.02499,0.146174,18.2119,-0.0737652,-4019.44,793.769,601.006,1141.22,-6215.39,453.731,1053.76,-259.995,0,0
40,0.206656,-3225.22,0.426699,0.132886,29.2556,-0.0737698,-4019.4,794.18,601.062,1141.3,-6215.43,453.671,1054.3,-260.124,0,0
41,0.193382,-3224.73,0.919463,0.119597,45.6878,-0.0737843,-4019.35,794.623,601.214,1141.38,-6215.5,453.562,1054.96,-260.339,0,0
42,0.180106,-3223.99,1.66169,0.106309,66.82,-0.0737977,-4019.3,795.317,601.441,1141.46,-6215.6,453.398,1055.97,-260.654,0,0
43,0.166839,-3222.93,2.71541,0.0930201,92.4635,-0.0738188,-4019.3,796.368,601.774,1141.51,-6215.73,453.148,1057.47,-261.098,0,0
44,0.153575,-3221.58,4.06642,0.0797315,121.368,-0.0738434,-4019.35,797.773,602.236,1141.53,-6215.92,452.792,1059.48,-261.703,0,0
45,0.140316,-3219.99,5.65862,0.0664429,149.762,-0.0738728,-4019.52,799.528,602.833,1141.49,-6216.15,452.314,1062,-262.473,0,0
46,0.127059,-3217.84,7.81055,0.0531543,175.983,-0.0739049,-4019.8,801.961,603.57,1141.34,-6216.43,451.719,1065.35,-263.391,0,0
47,0.113804,-3215.44,10.2068,0.0398657,194.34,-0.073938,-4020.24,804.804,604.433,1141.06,-6216.75,451.006,1069.24,-264.433,0,0
48,0.100545,-3212.72,12.9275,0.0265772,199.995,-0.0739676,-4020.86,808.137,605.381,1140.62,-6217.07,450.22,1073.65,-265.515,0,0
49,0.087278,-3210.19,15.4579,0.0132886,189.317,-0.0739895,-4021.65,811.46,606.347,1139.98,-6217.39,449.413,1078.01,-266.553,0,0
50,0.0739997,-3207.97,17.6793,0,159.193,-0.0739997,-4022.62,814.649,607.252,1139.16,-6217.67,448.641,1082.11,-267.463,0,0
51,0.0607059,-3206.12,19.5253,-0.0132886,113.041,-0.0739945,-4023.69,817.563,608.027,1138.2,-6217.89,447.98,1085.72,-268.157,0,0
52,0.0473976,-3205.07,20.5797,-0.0265772,55.4292,-0.0739747,-4024.79,819.726,608.581,1137.15,-6218.02,447.494,1088.29,-268.564,0,0
53,0.0340764,-3204.75,20.8938,-0.0398657,-8.65012,-0.0739421,-4025.83,821.075,608.853,1136.14,-6218.06,447.239,1089.72,-268.642,0,0
54,0.020745,-3205.14,20.5047,-0.0531543,-72.0075,-0.0738994,-4026.69,821.545,608.808,1135.26,-6218,447.236,1089.93,-268.385,0,0
55,0.00740747,-3206.4,19.2428,-0.0664429,-127.463,-0.0738504,-4027.24,820.834,608.455,1134.65,-6217.83,447.486,1088.66,-267.829,0,0
56,-0.00592905,-3208.2,17.4429,-0.0797315,-170.443,-0.0738024,-4027.4,819.197,607.856,1134.38,-6217.6,447.96,1086.23,-267.032,0,0
57,-0.019261,-3210.65,14.9966,-0.0930201,-194.723,-0.0737591,-4027.17,816.521,607.032,1134.5,-6217.31,448.605,1082.59,-266.068,0,0
58,-0.0325832,-3213.31,12.3391,-0.106309,-201.085,-0.0737254,-4026.58,813.271,606.091,1134.96,-6216.99,449.358,1078.3,-265.025,0,0
59,-0.0458944,-3216.01,9.63808,-0.119597,-191.687,-0.0737029,-4025.71,809.7,605.119,1135.68,-6216.67,450.157,1073.67,-263.973,0,0
60,-0.0591949,-3218.4,7.24283,-0.132886,-170.966,-0.0736909,-4024.67,806.264,604.2,1136.56,-6216.36,450.933,1069.26,-262.994,0,0
61,-0.0724855,-3220.58,5.06838,-0.146174,-144.058,-0.0736889,-4023.6,803.023,603.382,1137.48,-6216.09,451.634,1065.16,-262.141,0,0
62,-0.0857696,-3222.22,3.42897,-0.159463,-114.084,-0.0736934,-4022.6,800.38,602.712,1138.34,-6215.87,452.227,1061.82,-261.443,0,0
63,-0.0990492,-3223.55,2.09728,-0.172752,-85.5295,-0.0737024,-4021.73,798.18,602.19,1139.08,-6215.7,452.699,1059.09,-260.906,0,0
64,-0.112327,-3224.52,1.13096,-0.18604,-60.6289,-0.0737133,-4021.03,796.513,601.802,1139.68,-6215.57,453.057,1057.02,-260.51,0,0
65,-0.125605,-3225.07,0.573143,-0.199329,-41.0404,-0.073724,-4020.49,795.414,601.536,1140.14,-6215.48,453.316,1055.64,-260.231,0,0
66,-0.138884,-3225.65,0.00122823,-0.212617,-27.1253,-0.073733,-4020.1,794.455,601.344,1140.48,-6215.43,453.497,1054.5,-260.042,0,0
67,-0.152165,-3225.81,-0.164066,-0.225906,-16.4985,-0.0737405,-4019.82,794.013,601.228,1140.72,-6215.38,453.616,1053.94,-259.922,0,0
68,-0.165449,-3225.97,-0.325686,-0.239194,-8.33188,-0.0737458,-4019.65,793.678,601.144,1140.87,-6215.36,453.694,1053.53,-259.851,0,0
69,-0.178733,-3226.05,-0.397428,-0.252483,-3.06261,-0.0737505,-4019.53,793.484,601.095,1140.99,-6215.34,453.732,1053.28,-259.801,0,0
70,-0.192025,-3226.08,-0.437088,-0.265772,-4.49278,-0.0737467,-4019.54,793.457,601.114,1140.96,-6215.35,453.732,1053.28,-259.824,0,0
71,-0.205307,-3226.03,-0.378993,-0.27906,3.12991,-0.0737533,-4019.44,793.414,601.044,1141.08,-6215.34,453.776,1053.19,-259.78,0,0
72,-0.218593,-3226.07,-0.42554,-0.292349,-0.267232,-0.0737558,-4019.55,793.477,601.17,1140.88,-6215.34,453.739,1053.28,-259.801,0,0
