step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.590483,-3225.65,0,-0.664429,0.512734,-0.0739464,-4019.53,793.883,601.003,1141.12,-6215.41,453.752,1053.75,-259.868,0,0
1,-0.577381,-3225.64,0.0080971,-0.65114,0.769861,-0.0737591,-4019.52,793.885,601.005,1141.12,-6215.41,453.758,1053.75,-259.862,0,0
2,-0.564095,-3225.43,0.215672,-0.637852,0.617231,-0.0737571,-4019.27,793.842,601.412,1140.92,-6215.47,453.869,1053.72,-259.88,0,0
3,-0.550802,-3225.49,0.153624,-0.624563,0.380161,-0.0737618,-4019.53,794.037,601.006,1141.11,-6215.4,453.755,1053.9,-259.862,0,0
4,-0.537518,-3225.44,0.210697,-0.611275,0.335262,-0.0737566,-4019.53,794.093,601.012,1141.11,-6215.41,453.76,1053.96,-259.866,0,0
5,-0.524229,-3225.79,-0.14571,-0.597986,0.949807,-0.0737573,-4019.73,793.94,601.38,1140.72,-6215.43,453.597,1053.81,-259.87,0,0
6,-0.51094,-3225.42,0.228603,-0.584698,1.03829,-0.0737578,-4019.53,794.11,601.015,1141.11,-6215.41,453.758,1053.98,-259.868,0,0
7,-0.497652,-3225.66,-0.01208,-0.571409,0.529629,-0.0737569,-4019.16,793.505,600.987,1141.22,-6215.26,453.894,1053.27,-259.768,0,0
8,-0.484365,-3225.35,0.298307,-0.55812,1.45114,-0.0737552,-4019.55,794.198,600.984,1141.13,-6215.41,453.758,1054.06,-259.864,0,0
9,-0.471075,-3225.76,-0.111926,-0.544832,0.260754,-0.0737563,-4019.95,794.195,600.612,1141.15,-6215.42,453.703,1054.02,-259.828,0,0
10,-0.457766,-3225.85,-0.204399,-0.531543,-0.662389,-0.0737769,-4019.45,793.601,601.127,1141.04,-6215.43,453.804,1053.38,-259.776,0,0
11,-0.444483,-3225.45,0.200137,-0.518255,-0.582394,-0.0737714,-4019.52,794.075,601.023,1141.09,-6215.4,453.762,1053.94,-259.861,0,0
12,-0.431209,-3225.55,0.0981477,-0.504966,-1.13512,-0.0737569,-4019.52,793.966,601.024,1141.09,-6215.39,453.766,1053.82,-259.855,0,0
13,-0.41792,-3225.98,-0.333104,-0.491677,-1.27788,-0.0737572,-4019.51,793.534,600.931,1141.09,-6215.35,453.812,1053.28,-259.749,0,0
14,-0.404618,-3225.58,0.0693047,-0.478389,-0.921639,-0.0737706,-4019.53,793.955,601.004,1141.09,-6215.4,453.77,1053.79,-259.838,0,0
15,-0.391348,-3225.83,-0.182192,-0.4651,-1.25003,-0.0737528,-4019.74,793.907,601.11,1140.92,-6215.38,453.614,1053.95,-260.042,0,0
16,-0.378052,-3225.59,0.0549485,-0.451812,-1.12862,-0.0737596,-4019.52,793.928,601.046,1141.09,-6215.39,453.735,1053.82,-259.888,0,0
17,-0.364756,-3225.71,-0.062297,-0.438523,-1.52127,-0.0737676,-4019.5,793.794,601.025,1141.08,-6215.38,453.771,1053.63,-259.841,0,0
18,-0.351477,-3225.91,-0.264712,-0.425235,-1.84643,-0.0737577,-4019.55,793.563,600.923,1141.13,-6215.46,453.864,1053.35,-259.79,0,0
19,-0.338194,-3225.75,-0.097418,-0.411946,-2.28194,-0.0737523,-4019.3,793.556,601.09,1141.18,-6215.36,453.786,1053.38,-259.819,0,0
20,-0.324905,-3225.62,0.026486,-0.398657,-3.11612,-0.0737519,-4019.51,793.888,600.997,1141.11,-6215.39,453.772,1053.71,-259.824,0,0
21,-0.311611,-3225.72,-0.0700381,-0.385369,-2.75104,-0.0737575,-4019.08,793.358,601.446,1140.89,-6215.17,453.759,1053.22,-259.86,0,0
22,-0.298327,-3225.71,-0.0596955,-0.37208,-3.36674,-0.0737534,-4019.53,793.822,600.969,1141.14,-6215.39,453.752,1053.64,-259.821,0,0
23,-0.285029,-3225.91,-0.259779,-0.358792,-3.28872,-0.0737622,-4019.47,793.567,601.331,1140.76,-6215.3,453.734,1053.42,-259.857,0,0
24,-0.27177,-3225.76,-0.108012,-0.345503,-4.10101,-0.0737329,-4019.49,793.732,600.908,1141.2,-6215.36,453.764,1053.54,-259.809,0,0
25,-0.258448,-3226.1,-0.449263,-0.332215,-3.52802,-0.0737666,-4019.44,793.341,600.981,1141.11,-6215.3,453.768,1053.13,-259.793,0,0
26,-0.245153,-3225.76,-0.113287,-0.318926,-4.88103,-0.0737725,-4019.45,793.692,601.085,1141.03,-6215.34,453.775,1053.5,-259.805,0,0
27,-0.231894,-3225.99,-0.345034,-0.305637,-4.36265,-0.0737434,-4019.39,793.396,601.177,1140.94,-6215.29,453.791,1053.17,-259.772,0,0
28,-0.218608,-3225.98,-0.327648,-0.292349,-4.46524,-0.0737408,-4019.42,793.44,601.048,1141.09,-6215.34,453.787,1053.22,-259.777,0,0
29,-0.205304,-3226.03,-0.3793,-0.27906,-3.13124,-0.0737566,-4019.42,793.39,601.058,1141.08,-6215.33,453.778,1053.16,-259.77,0,0
30,-0.192014,-3226.05,-0.407112,-0.265772,-0.864426,-0.0737574,-4019.46,793.4,601.079,1141.04,-6215.34,453.767,1053.18,-259.782,0,0
31,-0.178727,-3226.04,-0.396878,-0.252483,2.80407,-0.0737561,-4019.52,793.471,601.103,1140.98,-6215.35,453.742,1053.28,-259.81,0,0
32,-0.165441,-3225.97,-0.325258,-0.239194,8.3168,-0.0737537,-4019.64,793.666,601.145,1140.88,-6215.36,453.696,1053.52,-259.849,0,0
33,-0.152154,-3225.81,-0.164029,-0.225906,16.4948,-0.0737522,-4019.82,794.008,601.23,1140.72,-6215.38,453.616,1053.93,-259.925,0,0
34,-0.138872,-3225.65,0.00139196,-0.212617,27.126,-0.0737458,-4020.08,794.431,601.337,1140.49,-6215.41,453.504,1054.46,-260.03,0,0
35,-0.125589,-3225.07,0.573221,-0.199329,41.0361,-0.0737397,-4020.49,795.417,601.556,1140.13,-6215.48,453.307,1055.65,-260.238,0,0
36,-0.112306,-3224.52,1.13097,-0.18604,60.6336,-0.0737344,-4021.03,796.513,601.794,1139.69,-6215.57,453.062,1057.02,-260.506,0,0
37,-0.0990282,-3223.55,2.09728,-0.172752,85.5316,-0.0737233,-4021.73,798.183,602.18,1139.08,-6215.7,452.701,1059.09,-260.904,0,0
38,-0.0857509,-3222.22,3.42897,-0.159463,114.096,-0.0737121,-4022.6,800.38,602.707,1138.34,-6215.87,452.228,1061.82,-261.439,0,0
