step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738375,-3341.01,0,0.664429,-0.569385,0,185,-4207.21,866.197,641.431,1134.4,-6432.91,449.862,1139.53,-273.33
1,0.725064,-3341.02,-0.0058686,0.65114,-0.312687,-0.00586074,21,-4207.21,866.191,641.432,1134.41,-6432.91,449.859,1139.52,-273.333
2,0.711776,-3340.85,0.158675,0.637852,-1.28838,-0.0164987,21,-4207.2,866.35,641.436,1134.41,-6432.91,449.858,1139.68,-273.333
3,0.698487,-3340.87,0.144004,0.624563,-0.921536,-0.0311821,21,-4207.2,866.332,641.436,1134.41,-6432.9,449.858,1139.66,-273.332
4,0.685198,-3340.88,0.134146,0.611275,-0.563763,-0.0410508,21,-4207.2,866.318,641.444,1134.4,-6432.9,449.857,1139.65,-273.33
5,0.67191,-3340.88,0.128994,0.597986,-0.212618,-0.0462093,21,-4207.2,866.316,641.436,1134.41,-6432.9,449.856,1139.65,-273.331
6,0.658622,-3340.88,0.12848,0.584698,0.136391,-0.0467158,21,-4207.2,866.314,641.424,1134.42,-6432.9,449.857,1139.64,-273.331
7,0.645334,-3340.71,0.305709,0.571409,-0.790676,-0.0510631,21,-4207.2,866.494,641.425,1134.42,-6432.9,449.853,1139.82,-273.33
8,0.632045,-3340.71,0.298373,0.55812,-0.312913,-0.0583956,21,-4207.19,866.481,641.422,1134.43,-6432.9,449.855,1139.81,-273.33
9,0.618756,-3340.9,0.109663,0.544832,-1.2228,-0.0685993,21,-4207.18,866.279,641.439,1134.42,-6432.89,449.853,1139.61,-273.328
10,0.605468,-3340.92,0.0958154,0.531543,-0.859617,-0.0824355,21,-4207.2,866.28,641.408,1134.44,-6432.9,449.856,1139.61,-273.329
11,0.59218,-3340.93,0.0868566,0.518255,-0.48652,-0.0913796,21,-4207.2,866.271,641.402,1134.44,-6432.89,449.858,1139.6,-273.327
12,0.578892,-3340.93,0.0829477,0.504966,-0.0994178,-0.0952728,21,-4207.2,866.268,641.392,1134.44,-6432.89,449.856,1139.6,-273.328
13,0.565603,-3340.93,0.0842896,0.491677,0.30406,-0.0939131,21,-4207.21,866.28,641.393,1134.44,-6432.89,449.853,1139.61,-273.33
14,0.552315,-3341,0.0152861,0.478389,0.724303,-0.0870803,21,-4207.19,866.194,641.383,1134.45,-6432.88,449.86,1139.52,-273.325
15,0.539027,-3341.19,-0.182108,0.4651,-0.28158,-0.0841388,21,-4207.22,866.025,641.354,1134.46,-6432.89,449.861,1139.35,-273.325
16,0.525738,-3341.26,-0.243623,0.451812,-0.538679,-0.0895888,21,-4207.23,865.972,641.344,1134.45,-6432.88,449.863,1139.29,-273.321
17,0.512449,-3341.26,-0.249177,0.438523,-0.299289,-0.0951565,21,-4207.23,865.969,641.334,1134.45,-6432.88,449.862,1139.29,-273.32
18,0.49916,-3341.09,-0.0816635,0.425235,-1.33852,-0.106039,21,-4207.25,866.154,641.312,1134.46,-6432.88,449.863,1139.47,-273.32
19,0.485871,-3341.11,-0.0972708,0.411946,-1.01501,-0.121676,21,-4207.24,866.126,641.32,1134.45,-6432.88,449.867,1139.44,-273.318
20,0.472583,-3341.12,-0.108779,0.398657,-0.722255,-0.133219,21,-4207.24,866.114,641.315,1134.45,-6432.87,449.87,1139.43,-273.317
21,0.459295,-3341.13,-0.116609,0.385369,-0.461787,-0.141086,21,-4207.25,866.119,641.303,1134.45,-6432.87,449.87,1139.44,-273.317
22,0.446006,-3341.13,-0.121196,0.37208,-0.234095,-0.14571,21,-4207.26,866.131,641.289,1134.44,-6432.87,449.875,1139.45,-273.315
23,0.432718,-3341.14,-0.122968,0.358792,-0.0378961,-0.147517,21,-4207.26,866.127,641.277,1134.45,-6432.86,449.875,1139.44,-273.312
24,0.419429,-3340.97,0.0386689,0.345503,-1.07462,-0.154909,21,-4207.25,866.273,641.287,1134.44,-6432.86,449.882,1139.58,-273.31
25,0.406141,-3340.99,0.026106,0.332215,-0.821944,-0.16751,21,-4207.25,866.263,641.275,1134.44,-6432.85,449.886,1139.57,-273.307
26,0.392853,-3341,0.0166857,0.318926,-0.600911,-0.176964,21,-4207.26,866.262,641.268,1134.43,-6432.85,449.892,1139.57,-273.303
27,0.379564,-3341.13,-0.117,0.305637,-1.39952,-0.190255,21,-4207.27,866.138,641.258,1134.43,-6432.84,449.893,1139.44,-273.301
28,0.366275,-3341.21,-0.193398,0.292349,-1.75733,-0.211231,21,-4207.28,866.078,641.241,1134.42,-6432.84,449.895,1139.37,-273.297
29,0.352985,-3341.23,-0.21664,0.27906,-1.74162,-0.234479,21,-4207.29,866.057,641.223,1134.43,-6432.84,449.904,1139.35,-273.289
30,0.339696,-3341.26,-0.245597,0.265772,-1.75682,-0.257723,21,-4207.29,866.034,641.206,1134.43,-6432.84,449.909,1139.32,-273.285
31,0.326408,-3341.28,-0.268612,0.252483,-1.6964,-0.280667,21,-4207.31,866.029,641.183,1134.42,-6432.83,449.917,1139.31,-273.28
32,0.313119,-3341.3,-0.29024,0.239194,-1.53583,-0.302143,21,-4207.31,866.007,641.18,1134.42,-6432.83,449.922,1139.28,-273.275
