step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738375,-3341.22,0,0.664429,-0.568036,0,100,-4207.25,866.033,641.769,1134.19,-6432.96,449.748,1139.61,-273.574
1,0.725064,-3341.02,0.198013,0.65114,-0.312695,-0.00585183,100,-4207.21,866.191,641.43,1134.41,-6432.91,449.86,1139.52,-273.332
2,0.711776,-3340.85,0.362554,0.637852,-1.28854,-0.0164909,100,-4207.2,866.345,641.431,1134.41,-6432.91,449.861,1139.68,-273.332
3,0.698488,-3340.87,0.34788,0.624563,-0.92159,-0.0311757,100,-4207.2,866.334,641.431,1134.41,-6432.91,449.859,1139.67,-273.332
4,0.685199,-3340.88,0.33802,0.611275,-0.563711,-0.0410444,100,-4207.2,866.323,641.432,1134.41,-6432.9,449.858,1139.66,-273.332
5,0.671911,-3340.88,0.332868,0.597986,-0.212478,-0.0462016,100,-4207.2,866.316,641.427,1134.42,-6432.9,449.857,1139.65,-273.331
6,0.658622,-3340.88,0.332362,0.584698,0.136437,-0.0467069,100,-4207.2,866.315,641.427,1134.42,-6432.9,449.856,1139.65,-273.331
7,0.645334,-3340.71,0.509588,0.571409,-0.790708,-0.0510541,100,-4207.19,866.484,641.429,1134.42,-6432.9,449.856,1139.81,-273.33
8,0.632045,-3340.71,0.502251,0.55812,-0.312874,-0.0583866,100,-4207.19,866.476,641.424,1134.43,-6432.9,449.855,1139.81,-273.33
9,0.618757,-3340.9,0.31354,0.544832,-1.22275,-0.0685897,100,-4207.2,866.297,641.41,1134.43,-6432.9,449.857,1139.63,-273.329
10,0.605468,-3340.92,0.299696,0.531543,-0.859607,-0.0824254,100,-4207.2,866.283,641.405,1134.43,-6432.9,449.857,1139.61,-273.328
11,0.59218,-3340.93,0.290739,0.518255,-0.486514,-0.0913694,100,-4207.2,866.273,641.402,1134.44,-6432.89,449.857,1139.6,-273.328
12,0.578892,-3340.93,0.286829,0.504966,-0.0993561,-0.0952621,100,-4207.2,866.271,641.395,1134.44,-6432.89,449.857,1139.6,-273.327
13,0.565603,-3340.93,0.288171,0.491677,0.304151,-0.0939014,100,-4207.2,866.272,641.391,1134.44,-6432.89,449.857,1139.6,-273.327
14,0.552315,-3340.92,0.294986,0.478389,0.724379,-0.0870676,100,-4207.2,866.281,641.384,1134.44,-6432.89,449.858,1139.61,-273.327
15,0.539027,-3341.19,0.0217749,0.4651,-0.281569,-0.0841254,100,-4207.22,866.022,641.355,1134.46,-6432.89,449.861,1139.35,-273.324
16,0.525738,-3341.26,-0.0397423,0.451812,-0.538664,-0.0895753,100,-4207.23,865.971,641.345,1134.45,-6432.88,449.862,1139.29,-273.322
17,0.512449,-3341.26,-0.0452966,0.438523,-0.299235,-0.0951425,100,-4207.23,865.967,641.338,1134.45,-6432.88,449.863,1139.29,-273.321
18,0.49916,-3341.09,0.122215,0.425235,-1.33842,-0.106024,100,-4207.23,866.133,641.335,1134.45,-6432.88,449.865,1139.45,-273.32
19,0.485872,-3341.11,0.10661,0.411946,-1.01499,-0.12166,100,-4207.23,866.121,641.325,1134.45,-6432.87,449.867,1139.44,-273.318
20,0.472583,-3341.12,0.0951029,0.398657,-0.722259,-0.133203,100,-4207.23,866.113,641.317,1134.45,-6432.87,449.87,1139.43,-273.317
21,0.459295,-3341.13,0.0872715,0.385369,-0.461881,-0.141071,100,-4207.24,866.11,641.307,1134.45,-6432.87,449.872,1139.43,-273.316
22,0.446006,-3341.13,0.082683,0.37208,-0.234091,-0.145695,100,-4207.24,866.108,641.298,1134.45,-6432.87,449.875,1139.42,-273.313
23,0.432718,-3341.14,0.0809104,0.358792,-0.0378093,-0.147502,100,-4207.25,866.112,641.289,1134.45,-6432.86,449.878,1139.42,-273.312
24,0.419429,-3340.97,0.242551,0.345503,-1.07461,-0.154893,100,-4207.25,866.273,641.285,1134.44,-6432.86,449.882,1139.58,-273.309
25,0.406141,-3340.99,0.229987,0.332215,-0.821906,-0.167494,100,-4207.25,866.266,641.275,1134.44,-6432.85,449.885,1139.57,-273.307
26,0.392852,-3341,0.220567,0.318926,-0.60085,-0.176947,100,-4207.26,866.263,641.265,1134.44,-6432.85,449.889,1139.57,-273.304
