step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590483,-3341.01,0,-0.664429,0.569385,0,185,-4207.21,866.197,641.431,1134.4,-6432.91,449.862,1139.53,-273.33
1,-0.577216,-3341,0.00926158,-0.65114,0.825334,0.00926692,21,-4207.21,866.21,641.434,1134.4,-6432.91,449.861,1139.54,-273.333
2,-0.563928,-3340.99,0.021917,-0.637852,1.07862,0.0219173,21,-4207.21,866.223,641.434,1134.4,-6432.91,449.862,1139.56,-273.333
3,-0.550639,-3340.8,0.210942,-0.624563,0.0190296,0.0292104,21,-4207.22,866.419,641.433,1134.39,-6432.91,449.865,1139.75,-273.333
4,-0.537351,-3340.8,0.213656,-0.611275,0.386822,0.031907,21,-4207.23,866.428,641.419,1134.4,-6432.91,449.865,1139.76,-273.334
5,-0.524063,-3340.79,0.221162,-0.597986,0.740491,0.0393972,21,-4207.22,866.431,641.441,1134.38,-6432.91,449.864,1139.77,-273.337
6,-0.510774,-3340.78,0.23328,-0.584698,1.08259,0.0515103,21,-4207.21,866.435,641.447,1134.38,-6432.9,449.865,1139.77,-273.335
7,-0.497486,-3340.76,0.249894,-0.571409,1.41686,0.0681174,21,-4207.22,866.455,641.444,1134.38,-6432.9,449.864,1139.79,-273.336
8,-0.484197,-3340.74,0.270926,-0.55812,1.74841,0.0891484,21,-4207.22,866.476,641.453,1134.37,-6432.9,449.864,1139.81,-273.337
9,-0.470908,-3340.73,0.278918,-0.544832,-0.551186,0.0971031,21,-4207.22,866.486,641.457,1134.36,-6432.9,449.861,1139.82,-273.338
10,-0.457621,-3340.74,0.273761,-0.531543,-0.225937,0.0919397,21,-4207.22,866.48,641.464,1134.36,-6432.9,449.858,1139.82,-273.337
11,-0.444332,-3340.8,0.208832,-0.518255,-0.534262,0.0868887,21,-4207.21,866.405,641.456,1134.36,-6432.89,449.864,1139.74,-273.331
12,-0.431042,-3340.9,0.110664,-0.504966,-1.05267,0.0763447,21,-4207.2,866.302,641.462,1134.37,-6432.89,449.86,1139.63,-273.332
13,-0.417754,-3340.91,0.0975314,-0.491677,-0.927469,0.0631881,21,-4207.2,866.288,641.459,1134.37,-6432.89,449.861,1139.62,-273.33
14,-0.404466,-3340.93,0.0859269,-0.478389,-0.822798,0.0515588,21,-4207.21,866.284,641.465,1134.35,-6432.89,449.862,1139.61,-273.327
15,-0.391177,-3340.94,0.0755647,-0.4651,-0.74027,0.0411733,21,-4207.19,866.256,641.455,1134.36,-6432.88,449.868,1139.58,-273.32
16,-0.377888,-3341.04,-0.0232666,-0.451812,-1.34298,0.0273316,21,-4207.19,866.155,641.457,1134.36,-6432.88,449.874,1139.47,-273.317
17,-0.364599,-3341.05,-0.0413114,-0.438523,-1.37898,0.00924607,21,-4207.19,866.137,641.456,1134.36,-6432.88,449.869,1139.45,-273.314
18,-0.351309,-3341.07,-0.0600767,-0.425235,-1.45195,-0.00956347,21,-4207.19,866.119,641.454,1134.36,-6432.88,449.867,1139.43,-273.313
19,-0.338021,-3340.92,0.0939545,-0.411946,-2.87493,-0.0383125,22,-4207.18,866.264,641.455,1134.36,-6432.87,449.874,1139.57,-273.307
20,-0.324733,-3340.96,0.0556026,-0.398657,-2.90511,-0.0767167,21,-4207.17,866.211,641.464,1134.35,-6432.86,449.874,1139.51,-273.302
21,-0.311445,-3341,0.0165357,-0.385369,-2.98217,-0.115834,21,-4207.16,866.162,641.473,1134.36,-6432.86,449.87,1139.46,-273.301
22,-0.298156,-3341.04,-0.0238276,-0.37208,-3.09848,-0.156235,21,-4207.14,866.105,641.475,1134.37,-6432.86,449.871,1139.41,-273.3
23,-0.284868,-3341.08,-0.0659166,-0.358792,-3.2387,-0.198341,21,-4207.13,866.051,641.465,1134.38,-6432.85,449.871,1139.35,-273.295
24,-0.271579,-3341.13,-0.116053,-0.345503,-3.41532,-0.242553,21,-4207.13,866.003,641.457,1134.37,-6432.84,449.883,1139.28,-273.278
25,-0.25829,-3341.01,-0.000208466,-0.332215,-4.73388,-0.296698,21,-4207.12,866.106,641.47,1134.36,-6432.83,449.885,1139.38,-273.271
26,-0.245002,-3341.07,-0.0625103,-0.318926,-4.62207,-0.358862,21,-4207.1,866.026,641.455,1134.38,-6432.82,449.888,1139.29,-273.264
27,-0.231714,-3341.13,-0.122275,-0.305637,-4.33474,-0.418373,21,-4207.09,865.953,641.464,1134.36,-6432.81,449.901,1139.21,-273.255
28,-0.218425,-3341.29,-0.27336,-0.292349,-4.47368,-0.476899,21,-4207.09,865.802,641.463,1134.35,-6432.81,449.9,1139.05,-273.248
29,-0.205135,-3341.34,-0.326855,-0.27906,-3.48067,-0.52975,21,-4207.11,865.77,641.459,1134.35,-6432.81,449.893,1139.02,-273.25
30,-0.191848,-3341.37,-0.362702,-0.265772,-1.77032,-0.564639,21,-4207.13,865.752,641.459,1134.34,-6432.81,449.888,1139,-273.251
31,-0.178559,-3341.38,-0.369279,-0.252483,0.986662,-0.569846,21,-4207.19,865.806,641.46,1134.3,-6432.82,449.874,1139.06,-273.256
32,-0.16527,-3341.34,-0.329952,-0.239194,5.21735,-0.528625,21,-4207.29,865.952,641.456,1134.23,-6432.84,449.852,1139.22,-273.266
33,-0.151981,-3341.23,-0.222199,-0.225906,11.4098,-0.418149,22,-4207.38,866.143,641.635,1134.08,-6432.87,449.774,1139.49,-273.348
34,-0.138703,-3341.08,-0.0685617,-0.212617,19.742,-0.211167,65,-4207.62,866.542,641.829,1133.94,-6432.99,449.599,1140.05,-273.512
35,-0.125414,-3340.71,0.302671,-0.199329,29.3413,0.114956,35,-4207.84,867.128,641.957,1133.67,-6433.01,449.547,1140.69,-273.566
