step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738375,-3341.22,0,0.664429,-0.568033,100,-4207.25,866.033,641.769,1134.19,-6432.96,449.748,1139.61,-273.574
1,0.725196,-3341.02,0.198041,0.651272,-0.315231,100,-4207.21,866.189,641.431,1134.41,-6432.91,449.86,1139.52,-273.333
2,0.712039,-3340.85,0.362892,0.638115,-1.29586,100,-4207.2,866.351,641.43,1134.41,-6432.91,449.862,1139.68,-273.332
3,0.698882,-3341.33,-0.117701,0.624958,-0.381958,100,-4207.02,865.684,641.444,1134.51,-6432.83,449.854,1139.17,-273.49
4,0.685819,-3340.88,0.338283,0.611801,-0.577764,100,-4207.2,866.325,641.425,1134.42,-6432.9,449.859,1139.65,-273.33
5,0.672569,-3341.1,0.112592,0.598644,-0.433172,100,-4206.79,865.684,642.263,1133.97,-6432.81,449.793,1139.16,-273.474
6,0.659385,-3340.96,0.254215,0.585487,0.11708,100,-4207.21,866.247,641.412,1134.42,-6432.9,449.857,1139.58,-273.331
7,0.646255,-3340.97,0.243223,0.57233,-0.473331,100,-4207.22,866.252,641.304,1134.45,-6432.89,449.909,1139.7,-273.446
8,0.633101,-3340.79,0.426568,0.559173,-0.350952,100,-4207.19,866.402,641.414,1134.43,-6432.9,449.86,1139.73,-273.328
9,0.619941,-3341.16,0.0592336,0.546016,-0.524366,100,-4207.25,866.017,641.622,1134.13,-6432.87,449.866,1139.54,-273.522
10,0.606788,-3340.99,0.224676,0.532859,-0.896074,100,-4207.21,866.217,641.394,1134.44,-6432.9,449.859,1139.55,-273.329
11,0.593625,-3341.25,-0.0300305,0.519702,-0.571558,100,-4207.01,865.761,641.837,1134.31,-6432.9,449.745,1139.24,-273.48
12,0.580489,-3341.01,0.208119,0.506545,-0.147931,100,-4207.21,866.201,641.372,1134.45,-6432.89,449.857,1139.53,-273.327
13,0.567311,-3341,0.211324,0.493388,0.251126,100,-4207.19,866.183,641.44,1134.41,-6432.89,449.849,1139.53,-273.343
14,0.554155,-3341.23,-0.0151208,0.480231,-0.0727345,100,-4207.66,866.424,640.886,1134.55,-6432.94,449.852,1139.65,-273.228
15,0.541,-3341.14,0.07545,0.467074,0.0651905,100,-4207.26,866.118,641.387,1134.4,-6432.89,449.847,1139.46,-273.343
16,0.527842,-3341.25,-0.038723,0.453917,-0.577595,100,-4207.22,865.963,641.34,1134.45,-6432.88,449.868,1139.27,-273.312
17,0.514685,-3341.38,-0.161425,0.44076,0.225987,100,-4207.61,866.159,641.316,1134.46,-6433.05,449.666,1139.7,-273.545
18,0.501511,-3341.2,0.020448,0.427603,0.504809,100,-4207.41,866.214,640.927,1134.69,-6432.96,449.927,1139.43,-273.22
19,0.488375,-3341.11,0.109029,0.414446,-1.07323,100,-4207.23,866.121,641.333,1134.45,-6432.88,449.867,1139.45,-273.324
20,0.475215,-3341.12,0.0970793,0.401289,-0.777684,100,-4207.24,866.117,641.318,1134.45,-6432.87,449.868,1139.44,-273.318
21,0.462058,-3341.31,-0.0979918,0.388132,-0.231367,100,-4207.25,865.939,641.6,1134.42,-6432.99,449.714,1139.45,-273.513
22,0.448906,-3341.13,0.0831814,0.374975,-0.280902,100,-4207.25,866.114,641.283,1134.46,-6432.86,449.876,1139.42,-273.31
23,0.435743,-3341.1,0.113464,0.361818,-0.58981,100,-4207.21,866.028,641.271,1134.37,-6432.79,449.936,1139.25,-273.22
24,0.422583,-3340.97,0.245774,0.348661,-1.13998,100,-4207.25,866.276,641.277,1134.45,-6432.86,449.884,1139.59,-273.313
25,0.409431,-3341.09,0.125425,0.335504,-0.785465,100,-4207.14,866.033,641.318,1134.53,-6432.85,449.864,1139.32,-273.287
26,0.396281,-3340.99,0.222489,0.322347,-0.655327,100,-4207.27,866.273,641.256,1134.44,-6432.85,449.89,1139.58,-273.306
27,0.383116,-3341.2,0.01528,0.30919,-1.47096,100,-4207.24,866.044,641.123,1134.49,-6432.79,449.934,1139.21,-273.163
28,0.369949,-3341.2,0.0160583,0.296033,-1.76498,100,-4207.32,866.119,641.232,1134.42,-6432.86,449.891,1139.43,-273.309
29,0.356799,-3341.22,-0.00690036,0.282876,-1.74626,100,-4207.27,866.044,641.253,1134.41,-6432.84,449.903,1139.33,-273.284
30,0.343643,-3341.25,-0.0290995,0.269719,-1.72933,100,-4207.3,866.056,641.204,1134.42,-6432.84,449.91,1139.34,-273.285
