step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738375,-3341.22,0,0.664429,-0.568033,0,100,-4207.25,866.033,641.769,1134.19,-6432.96,449.748,1139.61,-273.574
1,0.725064,-3341.02,0.197999,0.65114,-0.31269,-0.440361,100,-4207.21,866.189,641.431,1134.41,-6432.91,449.86,1139.52,-273.333
2,0.711776,-3340.85,0.362552,0.637852,-1.28849,-1.24095,100,-4207.2,866.351,641.43,1134.41,-6432.91,449.861,1139.68,-273.332
3,0.698487,-3341.33,-0.116834,0.624563,-0.37704,-2.07372,100,-4206.95,865.615,641.39,1134.6,-6432.8,449.869,1139.11,-273.493
4,0.685296,-3340.88,0.337982,0.611275,-0.563742,-2.54411,100,-4207.2,866.326,641.424,1134.42,-6432.9,449.859,1139.66,-273.33
5,0.671911,-3341.1,0.112604,0.597986,-0.405067,-3.02852,100,-4206.72,865.618,642.29,1134.05,-6432.83,449.773,1139.09,-273.474
6,0.6586,-3340.96,0.253933,0.584698,0.138061,-3.16202,100,-4207.19,866.227,641.414,1134.43,-6432.89,449.863,1139.55,-273.327
7,0.645334,-3341.13,0.0895518,0.571409,-0.562424,-3.3742,100,-4207.05,865.927,641.596,1134.41,-6432.91,449.858,1139.46,-273.535
8,0.632051,-3340.79,0.425947,0.55812,-0.313044,-3.81193,100,-4207.18,866.392,641.416,1134.43,-6432.89,449.862,1139.71,-273.323
9,0.618758,-3341.13,0.0818236,0.544832,-0.442787,-4.18985,100,-4207.15,866.014,641.916,1134.03,-6432.86,449.764,1139.55,-273.532
10,0.605461,-3340.88,0.332355,0.531543,-0.476931,-4.64971,100,-4207.08,866.096,641.12,1134.71,-6432.83,449.921,1139.15,-273.058
11,0.592202,-3341,0.214102,0.518255,-0.486981,-5.13166,100,-4207.21,866.203,641.397,1134.45,-6432.9,449.852,1139.54,-273.333
12,0.578891,-3340.99,0.225893,0.504966,-0.113573,-5.43194,100,-4207.23,866.242,641.259,1134.49,-6432.89,449.907,1139.46,-273.214
13,0.565596,-3341.33,-0.10995,0.491677,-0.67242,-5.82494,100,-4206.81,865.488,641.797,1134.44,-6432.86,449.809,1138.98,-273.491
14,0.552323,-3341.02,0.191789,0.478389,0.56867,-5.87681,100,-4207.22,866.196,641.354,1134.45,-6432.89,449.868,1139.51,-273.315
15,0.53903,-3341.19,0.0216624,0.4651,-0.281579,-5.73327,100,-4207.21,866.014,641.359,1134.46,-6432.89,449.864,1139.34,-273.325
16,0.525738,-3340.98,0.232873,0.451812,-0.157319,-5.95272,100,-4207.39,866.407,640.51,1135.08,-6432.99,450.007,1139.49,-273.085
17,0.512442,-3341.43,-0.213314,0.438523,0.461739,-5.80051,100,-4207.41,865.983,641.515,1134.22,-6432.93,449.786,1139.51,-273.529
18,0.499161,-3341.09,0.122195,0.425235,-1.33837,-6.23882,100,-4207.22,866.131,641.335,1134.45,-6432.88,449.868,1139.45,-273.317
19,0.485872,-3341.39,-0.174742,0.411946,-0.411918,-7.11396,100,-4206.93,865.538,641.891,1134.19,-6432.81,449.803,1139.02,-273.484
20,0.472579,-3341.16,0.0600867,0.398657,-0.676811,-7.65833,100,-4207.23,866.074,641.29,1134.52,-6432.9,449.863,1139.37,-273.294
21,0.459298,-3341.13,0.0864719,0.385369,-0.461295,-8.22738,100,-4207.25,866.121,641.277,1134.47,-6432.87,449.874,1139.44,-273.315
22,0.446006,-3341.13,0.0824912,0.37208,-0.233949,-8.57501,100,-4207.24,866.105,641.304,1134.45,-6432.86,449.873,1139.42,-273.311
23,0.432718,-3341.12,0.0956793,0.358792,-0.550995,-8.96748,100,-4207.03,865.906,641.712,1134.2,-6432.81,449.872,1139.26,-273.351
24,0.419424,-3340.97,0.242132,0.345503,-1.07479,-9.78037,100,-4207.24,866.265,641.295,1134.44,-6432.85,449.88,1139.57,-273.304
25,0.406142,-3340.99,0.229728,0.332215,-0.822194,-10.7289,100,-4207.26,866.273,641.267,1134.44,-6432.86,449.886,1139.58,-273.31
26,0.392853,-3341.26,-0.0475286,0.318926,-1.32683,-11.8034,100,-4207.47,866.206,640.901,1134.54,-6432.87,449.956,1139.4,-273.196
27,0.379557,-3341.15,0.0675611,0.305637,-1.14406,-13.0388,100,-4207.37,866.221,641.093,1134.49,-6432.86,449.914,1139.55,-273.333
28,0.366274,-3341.26,-0.0449825,0.292349,-1.66556,-14.4436,100,-4207.4,866.137,641.009,1134.56,-6432.88,449.913,1139.44,-273.299
29,0.35299,-3341.23,-0.0134945,0.27906,-1.74242,-16.1476,100,-4207.28,866.049,641.241,1134.41,-6432.83,449.904,1139.32,-273.275
30,0.339695,-3341.26,-0.045408,0.265772,-1.74537,-17.8915,100,-4207.31,866.05,641.181,1134.42,-6432.83,449.911,1139.36,-273.305
31,0.326408,-3341.28,-0.064884,0.252483,-1.69655,-19.6125,100,-4207.29,866.005,641.23,1134.4,-6432.83,449.907,1139.27,-273.268
32,0.313118,-3341.45,-0.230226,0.239194,-1.95834,-21.4399,100,-4207.16,865.717,641.28,1134.38,-6432.76,449.938,1138.89,-273.175
33,0.299831,-3341.49,-0.276173,0.225906,-1.61501,-23.2266,100,-4209.02,867.523,639.526,1135.07,-6433.32,449.708,1141.33,-273.803
34,0.286538,-3341.5,-0.282223,0.212617,2.53398,-22.7671,100,-4207.25,865.753,641.146,1134.51,-6432.84,449.936,1138.97,-273.213
35,0.273258,-3341.39,-0.170497,0.199329,-1.99106,-22.4956,100,-4207.3,865.913,641.232,1134.4,-6432.83,449.902,1139.23,-273.32
36,0.259966,-3341.4,-0.184429,0.18604,-0.0735669,-23.5279,100,-4207.3,865.897,641.202,1134.42,-6432.84,449.92,1139.19,-273.294
37,0.246676,-3341.38,-0.166381,0.172752,3.07117,-22.0291,100,-4207.27,865.889,641.209,1134.46,-6432.85,449.91,1139.19,-273.304
38,0.233391,-3341.31,-0.0958691,0.159463,7.85949,-16.5638,100,-4207.26,865.952,641.236,1134.49,-6432.88,449.888,1139.29,-273.341
