step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590483,-3341.22,0,-0.664429,0.568032,100,-4207.25,866.033,641.769,1134.19,-6432.96,449.748,1139.61,-273.574
1,-0.577348,-3341,0.213021,-0.651272,0.822807,100,-4207.21,866.207,641.434,1134.4,-6432.91,449.861,1139.54,-273.333
2,-0.564191,-3341.2,0.0209904,-0.638115,0.674026,100,-4207.09,865.896,641.85,1134.07,-6432.86,449.854,1139.27,-273.376
3,-0.551065,-3340.8,0.414745,-0.624958,0.00795643,100,-4207.21,866.404,641.451,1134.39,-6432.91,449.859,1139.74,-273.332
4,-0.537877,-3341.15,0.0691935,-0.611801,0.981412,100,-4207.05,865.904,641.781,1134.19,-6432.84,449.824,1139.36,-273.451
5,-0.524717,-3340.79,0.423559,-0.598644,0.723924,100,-4207.22,866.426,641.425,1134.4,-6432.91,449.866,1139.76,-273.332
6,-0.511563,-3341.13,0.0891592,-0.585487,0.908719,100,-4206.95,865.827,641.675,1134.34,-6432.87,449.894,1139.39,-273.561
7,-0.498399,-3340.76,0.452108,-0.57233,1.39395,100,-4207.23,866.464,641.436,1134.38,-6432.91,449.861,1139.8,-273.336
8,-0.485249,-3341.05,0.168894,-0.559173,0.558186,100,-4207.02,865.968,642.186,1133.86,-6432.89,449.83,1139.53,-273.562
9,-0.472097,-3340.7,0.514788,-0.546016,-0.0578219,100,-4207.21,866.512,641.498,1134.36,-6432.91,449.84,1139.85,-273.334
10,-0.45894,-3340.74,0.47755,-0.532859,-0.258192,100,-4207.21,866.467,641.493,1134.34,-6432.9,449.855,1139.82,-273.35
11,-0.445778,-3340.87,0.34297,-0.519702,-0.331335,100,-4206.83,865.955,641.152,1134.73,-6432.81,450.101,1138.98,-273.029
12,-0.432592,-3340.87,0.345553,-0.506545,-0.797834,100,-4207.3,866.434,641.381,1134.39,-6432.92,449.847,1139.79,-273.351
13,-0.41947,-3340.91,0.302899,-0.493388,-0.942391,100,-4207.2,866.287,641.444,1134.38,-6432.89,449.868,1139.61,-273.322
14,-0.406306,-3341.25,-0.0351982,-0.480231,-1.08406,100,-4207.06,865.804,641.613,1134.29,-6432.87,449.913,1139.22,-273.418
15,-0.393154,-3340.91,0.308352,-0.467074,-2.01982,100,-4206.83,865.922,640.928,1135.19,-6432.96,450.006,1138.98,-273.058
16,-0.379972,-3341,0.217995,-0.453917,-0.982707,100,-4207.24,866.24,641.574,1134.38,-6432.98,449.79,1139.65,-273.406
17,-0.366833,-3341.05,0.165471,-0.44076,-1.3703,100,-4207.17,866.12,641.48,1134.35,-6432.87,449.871,1139.43,-273.314
18,-0.353678,-3341.05,0.164209,-0.427603,-1.62096,100,-4207.14,866.089,640.822,1134.85,-6432.79,449.979,1139,-272.909
19,-0.34054,-3341.09,0.127047,-0.414446,-2.16309,100,-4207.18,866.089,641.448,1134.27,-6432.81,449.915,1139.34,-273.251
20,-0.327367,-3340.95,0.266703,-0.401289,-2.89512,100,-4207.15,866.202,641.467,1134.37,-6432.86,449.875,1139.51,-273.307
21,-0.314208,-3340.99,0.228497,-0.388132,-2.96277,100,-4207.16,866.176,641.455,1134.36,-6432.86,449.877,1139.47,-273.292
22,-0.301051,-3341.03,0.188851,-0.374975,-3.07059,100,-4207.15,866.119,641.459,1134.37,-6432.85,449.877,1139.41,-273.29
23,-0.287893,-3341.07,0.146757,-0.361818,-3.20576,100,-4207.15,866.084,641.422,1134.37,-6432.85,449.897,1139.35,-273.268
24,-0.274736,-3341.12,0.0983147,-0.348661,-3.38341,100,-4207.13,866.014,641.471,1134.37,-6432.84,449.874,1139.29,-273.281
25,-0.26158,-3341,0.219186,-0.335504,-4.745,100,-4207.13,866.129,641.453,1134.36,-6432.83,449.887,1139.4,-273.274
26,-0.248423,-3341.06,0.157115,-0.322347,-4.66298,100,-4207.1,866.046,641.471,1134.36,-6432.82,449.885,1139.31,-273.268
27,-0.235266,-3341.12,0.0971641,-0.30919,-4.43476,100,-4207.1,865.979,641.452,1134.37,-6432.82,449.894,1139.24,-273.26
28,-0.222108,-3341.27,-0.0537354,-0.296033,-4.64813,100,-4207.1,865.826,641.488,1134.36,-6432.82,449.878,1139.09,-273.268
29,-0.208952,-3341.33,-0.109046,-0.282876,-3.82628,100,-4207.1,865.779,641.451,1134.35,-6432.81,449.897,1139.03,-273.248
30,-0.195795,-3341.37,-0.150624,-0.269719,-2.37111,100,-4207.12,865.755,641.469,1134.33,-6432.81,449.887,1139.01,-273.253
31,-0.182639,-3341.38,-0.167397,-0.256562,0.00336639,100,-4207.16,865.777,641.49,1134.29,-6432.81,449.871,1139.04,-273.263
32,-0.169483,-3341.36,-0.144845,-0.243405,3.67909,100,-4207.22,865.862,641.533,1134.22,-6432.82,449.844,1139.15,-273.284
33,-0.156328,-3341.28,-0.0628308,-0.230248,9.12916,100,-4207.33,866.048,641.607,1134.12,-6432.85,449.794,1139.38,-273.329
