step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590483,-3341.22,0,-0.664429,0.568032,0,100,-4207.25,866.033,641.769,1134.19,-6432.96,449.748,1139.61,-273.574
1,-0.577217,-3341,0.21313,-0.65114,0.825332,0.696682,100,-4207.21,866.207,641.434,1134.4,-6432.91,449.861,1139.54,-273.333
2,-0.563928,-3341.2,0.0206244,-0.637852,0.679163,1.44893,100,-4207.04,865.848,641.851,1134.12,-6432.86,449.849,1139.22,-273.368
3,-0.550669,-3340.8,0.414746,-0.624563,0.0191199,1.79807,100,-4207.21,866.405,641.45,1134.39,-6432.91,449.859,1139.74,-273.334
4,-0.53735,-3341.12,0.0950985,-0.611275,0.930732,2.273,100,-4207.06,865.94,642.001,1134.09,-6432.91,449.758,1139.49,-273.546
5,-0.524064,-3340.92,0.300103,-0.597986,1.09309,3.28491,100,-4206.93,866.012,641.645,1134.34,-6432.84,449.926,1139.17,-273.157
6,-0.510759,-3340.78,0.437038,-0.584698,1.08267,4.37278,100,-4207.21,866.43,641.45,1134.38,-6432.9,449.865,1139.77,-273.336
7,-0.497485,-3340.71,0.501087,-0.571409,0.61853,5.22338,100,-4207.03,866.318,641.087,1134.67,-6432.83,450.047,1139.22,-272.907
8,-0.484202,-3340.74,0.473463,-0.55812,1.74908,6.40719,100,-4207.25,866.503,641.432,1134.38,-6432.92,449.858,1139.85,-273.343
9,-0.470909,-3340.73,0.482673,-0.544832,-0.55122,7.00612,100,-4207.23,866.501,641.43,1134.38,-6432.9,449.863,1139.83,-273.325
10,-0.457619,-3341.06,0.153698,-0.531543,0.123812,6.79241,100,-4206.85,865.792,641.993,1134,-6432.69,449.85,1139.24,-273.446
11,-0.444324,-3340.81,0.409109,-0.518255,-0.536385,6.58613,100,-4207.24,866.434,641.421,1134.38,-6432.9,449.861,1139.76,-273.325
12,-0.431043,-3340.9,0.314506,-0.504966,-1.05276,5.79155,100,-4207.2,866.301,641.457,1134.36,-6432.89,449.866,1139.63,-273.329
13,-0.417754,-3340.92,0.297623,-0.491677,-1.04162,4.74436,100,-4207.03,866.115,640.674,1134.96,-6432.79,450.122,1138.94,-272.827
14,-0.404465,-3341.32,-0.101305,-0.478389,-2.04588,3.20061,100,-4207.19,865.869,642.068,1134.19,-6433.04,449.6,1139.5,-273.631
15,-0.391143,-3340.94,0.279223,-0.4651,-0.740001,1.80767,100,-4207.21,866.274,641.493,1134.35,-6432.9,449.848,1139.61,-273.341
16,-0.377889,-3341,0.214239,-0.451812,-1.08777,0.89379,100,-4207.18,866.181,641.471,1134.35,-6432.88,449.872,1139.5,-273.32
17,-0.364602,-3341.05,0.162569,-0.438523,-1.379,-0.339594,100,-4207.19,866.136,641.461,1134.36,-6432.88,449.869,1139.45,-273.314
18,-0.351311,-3341.07,0.143755,-0.425235,-1.45179,-1.75499,100,-4207.18,866.11,641.458,1134.36,-6432.87,449.869,1139.42,-273.312
19,-0.338022,-3340.92,0.297778,-0.411946,-2.87496,-3.91837,100,-4207.17,866.255,641.472,1134.35,-6432.87,449.87,1139.56,-273.309
20,-0.324733,-3341.01,0.206676,-0.398657,-2.20441,-6.45805,100,-4206.89,865.782,641.111,1134.34,-6432.56,450.222,1138.61,-272.828
21,-0.311444,-3341.47,-0.249745,-0.385369,-2.38899,-8.75476,100,-4207.08,865.611,641.692,1134.45,-6432.94,449.727,1139.04,-273.433
22,-0.29815,-3341.05,0.166244,-0.37208,-3.09446,-11.4965,100,-4207.04,865.987,641.455,1134.39,-6432.81,449.928,1139.23,-273.246
23,-0.284868,-3341.08,0.137742,-0.358792,-3.23858,-14.663,100,-4207.15,866.073,641.443,1134.37,-6432.85,449.883,1139.36,-273.284
24,-0.271579,-3341.14,0.079237,-0.345503,-3.91701,-18.2408,100,-4207.12,865.98,641.521,1134.31,-6432.84,449.891,1139.25,-273.273
25,-0.25829,-3341.01,0.203549,-0.332215,-4.73366,-22.5661,100,-4207.11,866.101,641.454,1134.38,-6432.83,449.886,1139.37,-273.273
26,-0.245001,-3341.07,0.141334,-0.318926,-4.62184,-27.2439,100,-4207.1,866.027,641.464,1134.36,-6432.82,449.891,1139.29,-273.262
27,-0.231713,-3341.13,0.0815509,-0.305637,-4.33436,-31.722,100,-4207.1,865.968,641.451,1134.37,-6432.82,449.893,1139.23,-273.26
28,-0.218424,-3341.29,-0.0694856,-0.292349,-4.4735,-36.1259,100,-4207.1,865.817,641.452,1134.36,-6432.81,449.895,1139.07,-273.251
29,-0.205136,-3341.34,-0.123141,-0.27906,-3.47736,-40.1013,100,-4207.11,865.769,641.449,1134.35,-6432.81,449.896,1139.02,-273.248
30,-0.191848,-3341.37,-0.158824,-0.265772,-1.77108,-42.7256,100,-4207.13,865.756,641.473,1134.32,-6432.81,449.883,1139.01,-273.254
31,-0.17856,-3341.38,-0.16543,-0.252483,0.983353,-43.1194,100,-4207.17,865.792,641.502,1134.27,-6432.82,449.865,1139.06,-273.268
32,-0.165273,-3341.34,-0.126212,-0.239194,5.20511,-40.0252,100,-4207.25,865.908,641.553,1134.2,-6432.83,449.831,1139.2,-273.296
33,-0.151987,-3341.23,-0.0183312,-0.225906,11.4101,-31.7176,100,-4207.37,866.138,641.635,1134.08,-6432.86,449.774,1139.48,-273.347
34,-0.138702,-3341.08,0.135038,-0.212617,19.7761,-16.1244,100,-4207.56,866.48,641.764,1133.91,-6432.92,449.684,1139.91,-273.434
35,-0.125417,-3340.71,0.506519,-0.199329,29.3429,8.43506,100,-4207.84,867.129,641.942,1133.68,-6433.01,449.548,1140.69,-273.565
36,-0.112135,-3340.34,0.874874,-0.18604,44.2723,45.2426,100,-4208.23,867.89,642.216,1133.36,-6433.15,449.345,1141.66,-273.773
37,-0.0988531,-3339.68,1.53539,-0.172752,62.8198,98.7886,100,-4208.73,869.05,642.606,1132.94,-6433.34,449.07,1143.11,-274.058
