step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.737283,-3438.28,0,0.66353,0.658041,-0.0737532,-4224.4,786.118,602.847,1147.58,-6430.86,456.034,1056.43,-270.31,0,0
1,0.724013,-3438.25,0.0336185,0.650259,4.4499,-0.0737532,-4224.32,786.074,602.78,1147.68,-6430.83,456.051,1056.39,-270.315,0,0
2,0.710742,-3436.36,1.92619,0.636989,-4.80533,-0.0737532,-4224.32,787.967,602.779,1147.68,-6430.83,456.051,1058.28,-270.315,0,0
3,0.697471,-3436.39,1.89029,0.623718,-0.694347,-0.0737532,-4224.32,787.931,602.778,1147.68,-6430.83,456.051,1058.25,-270.314,0,0
4,0.684201,-3436.38,1.90528,0.610448,2.86079,-0.0737532,-4224.32,787.947,602.777,1147.68,-6430.83,456.052,1058.26,-270.314,0,0
5,0.67093,-3436.32,1.96385,0.597177,5.8845,-0.0737532,-4224.32,788.006,602.775,1147.68,-6430.83,456.053,1058.32,-270.314,0,0
6,0.65766,-3436.22,2.05959,0.583906,8.48848,-0.0737532,-4224.32,788.102,602.774,1147.67,-6430.83,456.054,1058.42,-270.313,0,0
7,0.644389,-3434.41,3.86982,0.570636,-0.985396,-0.0737532,-4224.32,789.912,602.773,1147.67,-6430.83,456.054,1060.23,-270.313,0,0
8,0.631118,-3434.42,3.86117,0.557365,-0.247699,-0.0737532,-4224.32,789.904,602.771,1147.67,-6430.82,456.055,1060.22,-270.313,0,0
9,0.617848,-3436.25,2.03046,0.544095,-9.80379,-0.0737532,-4224.18,787.929,602.886,1147.51,-6430.71,456.128,1058.23,-270.305,0,0
10,0.604577,-3436.36,1.9186,0.530824,-7.00154,-0.0737532,-4224.18,787.817,602.886,1147.51,-6430.71,456.128,1058.12,-270.305,0,0
11,0.591307,-3436.43,1.84709,0.517553,-3.67925,-0.0737532,-4224.18,787.746,602.885,1147.51,-6430.71,456.128,1058.05,-270.306,0,0
12,0.578036,-3436.46,1.82367,0.504283,0.254608,-0.0737532,-4224.18,787.724,602.884,1147.51,-6430.71,456.127,1058.03,-270.307,0,0
13,0.564765,-3436.43,1.85654,0.491012,4.79633,-0.0737532,-4224.18,787.758,602.884,1147.51,-6430.71,456.127,1058.07,-270.308,0,0
14,0.551495,-3437.08,1.19765,0.477742,5.10953,-0.0737532,-4224.18,787.099,602.883,1147.51,-6430.71,456.127,1057.41,-270.309,0,0
15,0.538224,-3438.5,-0.213276,0.464471,-0.0912296,-0.0737532,-4224.18,785.689,602.883,1147.51,-6430.71,456.126,1056,-270.31,0,0
16,0.524954,-3439.14,-0.861551,0.4512,-2.08589,-0.0737532,-4224.18,785.042,602.882,1147.51,-6430.71,456.126,1055.35,-270.311,0,0
17,0.511683,-3439.15,-0.867262,0.43793,1.15345,-0.0737532,-4224.19,785.037,602.882,1147.51,-6430.71,456.126,1055.35,-270.311,0,0
18,0.498412,-3437.28,1.00471,0.424659,-9.20203,-0.0737532,-4224.19,786.91,602.881,1147.51,-6430.71,456.126,1057.22,-270.313,0,0
19,0.485142,-3437.38,0.903825,0.411389,-6.14303,-0.0737532,-4224.19,786.809,602.881,1147.51,-6430.71,456.125,1057.12,-270.313,0,0
20,0.471871,-3437.44,0.837754,0.398118,-3.96359,-0.0737532,-4224.19,786.743,602.881,1147.51,-6430.71,456.125,1057.06,-270.313,0,0
21,0.458601,-3437.49,0.79477,0.384847,-2.65205,-0.0737532,-4224.19,786.701,602.881,1147.51,-6430.71,456.125,1057.01,-270.313,0,0
22,0.44533,-3437.52,0.764078,0.371577,-2.08026,-0.0737532,-4224.19,786.67,602.881,1147.51,-6430.71,456.125,1056.98,-270.314,0,0
23,0.432059,-3437.54,0.737329,0.358306,-2.00926,-0.0737532,-4224.19,786.643,602.88,1147.51,-6430.71,456.125,1056.96,-270.314,0,0
24,0.418789,-3435.83,2.45334,0.345036,-14.5778,-0.0737532,-4224.19,788.36,602.88,1147.51,-6430.71,456.125,1058.67,-270.314,0,0
25,0.405518,-3436.01,2.26754,0.331765,-13.3535,-0.0737532,-4224.19,788.174,602.88,1147.51,-6430.71,456.125,1058.49,-270.314,0,0
26,0.392248,-3436.18,2.10194,0.318494,-11.4457,-0.0737532,-4224.19,788.009,602.88,1147.51,-6430.71,456.125,1058.32,-270.315,0,0
27,0.378977,-3438.08,0.203774,0.305224,-21.1707,-0.0737532,-4224.53,786.454,602.594,1147.25,-6430.67,456.301,1056.59,-270.141,0,0
28,0.365706,-3438.54,-0.260803,0.291953,-18.6568,-0.0737532,-4224.53,785.99,602.595,1147.25,-6430.67,456.301,1056.13,-270.141,0,0
29,0.352436,-3438.75,-0.468201,0.278683,-12.0486,-0.0737532,-4224.53,785.784,602.595,1147.24,-6430.67,456.301,1055.92,-270.14,0,0
30,0.339165,-3438.94,-0.654692,0.265412,-2.01551,-0.0737532,-4224.53,785.598,602.595,1147.24,-6430.67,456.301,1055.74,-270.14,0,0
31,0.325895,-3438.86,-0.58108,0.252141,14.237,-0.0737532,-4224.54,785.672,602.595,1147.24,-6430.67,456.301,1055.81,-270.14,0,0
32,0.312624,-3438.52,-0.240842,0.238871,38.6608,-0.0737532,-4224.54,786.013,602.595,1147.24,-6430.67,456.301,1056.15,-270.14,0,0
33,0.299353,-3437.79,0.496806,0.2256,74.8418,-0.0737532,-4224.54,786.751,602.596,1147.24,-6430.67,456.302,1056.89,-270.14,0,0
34,0.286083,-3436.65,1.6364,0.21233,99.8119,-0.0737532,-4224.54,787.891,602.596,1147.24,-6430.67,456.302,1058.03,-270.14,0,0
35,0.272812,-3434.84,3.44066,0.199059,176.828,-0.0737532,-4224.54,789.696,602.596,1147.24,-6430.67,456.302,1059.84,-270.14,0,0
36,0.259542,-3432.26,6.0248,0.185788,266.79,-0.0737532,-4222.83,790.577,601.334,1153.42,-6432.52,454.927,1062.84,-272.266,0,0
37,0.246271,-3427.8,10.4853,0.172518,413.817,-0.0737532,-4222.84,795.047,601.325,1153.42,-6432.51,454.927,1067.31,-272.267,0,0
38,0.233,-3421.02,17.266,0.159247,619.239,-0.0737532,-4222.86,801.844,601.309,1153.41,-6432.51,454.926,1074.11,-272.27,0,0
39,0.21973,-3411.02,27.2571,0.145977,900.777,-0.0737532,-4222.89,811.861,601.284,1153.41,-6432.5,454.924,1084.13,-272.274,0,0
40,0.206459,-3394.9,43.3867,0.132706,1264.63,-0.0737532,-4222.93,828.03,601.243,1153.4,-6432.49,454.922,1100.31,-272.281,0,0
41,0.193189,-3374.99,63.2925,0.119435,1755.35,-0.0737532,-4222.98,847.994,601.185,1153.39,-6432.47,454.918,1120.28,-272.29,0,0
42,0.179918,-3347.76,90.5268,0.106165,2370.05,-0.0737532,-4223.07,875.311,601.1,1153.37,-6432.44,454.913,1147.62,-272.305,0,0
43,0.166647,-3311.54,126.737,0.0928942,3105.99,-0.0737532,-4223.18,911.63,600.983,1153.34,-6432.4,454.906,1183.96,-272.326,0,0
44,0.153377,-3264.82,173.465,0.0796236,3937.02,-0.0737532,-4223.31,958.494,600.833,1153.3,-6432.34,454.897,1230.85,-272.355,0,0
45,0.140106,-3208.81,229.471,0.066353,4789.95,-0.0737532,-4223.46,1014.65,600.652,1153.27,-6432.26,454.885,1287.04,-272.394,0,0
46,0.126836,-3139.78,298.497,0.0530824,5592.72,-0.0737532,-4223.6,1083.81,600.457,1153.23,-6432.15,454.873,1356.26,-272.444,0,0
47,0.113565,-3061.27,377.016,0.0398118,6196.73,-0.0737532,-4223.68,1162.42,600.272,1153.2,-6432.02,454.862,1434.92,-272.505,0,0
48,0.100294,-2976.93,461.354,0.0265412,6445.33,-0.0737532,-4223.67,1246.74,600.134,1153.19,-6431.85,454.854,1519.32,-272.575,0,0
49,0.0870238,-2892.49,545.789,0.0132706,6193.12,-0.0737532,-4223.51,1331.02,600.076,1153.21,-6431.65,454.851,1603.67,-272.649,0,0
50,0.0737532,-2817.33,620.956,0,5334.71,-0.0737532,-4223.22,1405.89,600.115,1153.26,-6431.44,454.853,1678.61,-272.723,0,0
51,0.0604826,-2753.84,684.438,-0.0132706,3886.77,-0.0737532,-4222.82,1468.97,600.233,1153.33,-6431.24,454.861,1741.76,-272.79,0,0
52,0.047212,-2714.68,723.6,-0.0265412,1981.45,-0.0737532,-4222.42,1507.74,600.382,1153.4,-6431.08,454.871,1780.58,-272.842,0,0
53,0.0339414,-2702.64,735.64,-0.0398118,-174.139,-0.0737532,-4222.15,1519.51,600.494,1153.45,-6430.98,454.878,1792.38,-272.873,0,0
54,0.0206708,-3171.52,266.758,-0.0530824,-306.87,-0.0737532,-4174.39,1002.86,654.818,1216.73,-6457.92,411.992,1314.87,-312.005,0,0
55,0.00740016,-3177.89,260.392,-0.066353,-654.767,-0.0737532,-4177.38,999.543,654.055,1214.3,-6458.11,412.375,1311.46,-311.915,0,0
56,-0.00587044,-3188.1,250.185,-0.0796236,-1091.65,-0.0737532,-4198.35,1010.25,663.378,1179.98,-6456.06,414.35,1319.08,-308.83,0,0
57,-0.019141,-3204.7,233.582,-0.0928942,-1357.02,-0.0737532,-4204.19,999.489,662.425,1172.62,-6455.47,416.239,1307.16,-307.673,0,0
58,-0.0324116,-3225.81,212.474,-0.106165,-1682.2,-0.0737532,-4224.86,998.977,665.746,1143.25,-6453.12,419.262,1302.89,-303.913,0,0
59,-0.0456822,-3249.52,188.759,-0.119435,-1828.46,-0.0737532,-4233.13,983.605,661.386,1134.16,-6451.7,423.021,1285.18,-301.579,0,0
60,-0.0589528,-3276.12,162.161,-0.132706,-1945.97,-0.0737532,-4244.61,968.491,660.817,1117.42,-6449.09,426.24,1265.97,-297.479,0,0
61,-0.0722234,-3302.39,135.892,-0.145977,-1909.94,-0.0737532,-4249.08,946.698,654.284,1113.97,-6447.41,430.071,1241.29,-294.591,0,0
62,-0.085494,-3327.56,110.718,-0.159247,-1839.17,-0.0737532,-4253.34,925.78,649.322,1107.17,-6444.12,434.285,1215.79,-290.006,0,0
63,-0.0987646,-3350.96,87.3201,-0.172518,-1646.5,-0.0737532,-4253.06,902.095,642.609,1108.98,-6442.02,437.377,1189.05,-286.96,0,0
64,-0.112035,-3371.66,66.6177,-0.185788,-1436.95,-0.0737532,-4251.74,880.148,633.741,1112.48,-6439.52,441.573,1163.43,-283.284,0,0
65,-0.125306,-3388.31,49.9712,-0.199059,-1194.28,-0.0737532,-4247.43,859.118,629.103,1115.63,-6437.24,445.075,1139.2,-280.085,0,0
66,-0.138576,-3403.84,34.4433,-0.21233,-963.444,-0.0737532,-4243.5,839.662,621.139,1123.26,-6435.69,447.794,1117.34,-277.674,0,0
67,-0.151847,-3413.89,24.3876,-0.2256,-741.31,-0.0737532,-4239.12,825.226,616.606,1128.16,-6434.11,450.22,1100.7,-275.471,0,0
68,-0.165118,-3422.21,16.072,-0.238871,-543.206,-0.0737532,-4235,812.79,612.804,1133.38,-6433.1,451.917,1086.66,-273.871,0,0
69,-0.178388,-3428.4,9.88464,-0.252141,-382.619,-0.0737532,-4231.8,803.407,609.364,1137.71,-6432.25,453.374,1076.02,-272.617,0,0
70,-0.191659,-3432.54,5.74423,-0.265412,-257.482,-0.0737532,-4229.43,796.894,607.141,1140.89,-6431.73,454.268,1068.67,-271.78,0,0
71,-0.204929,-3435.24,3.04437,-0.278683,-164.549,-0.0737532,-4227.54,792.302,605.659,1143.06,-6431.27,455.005,1063.4,-271.099,0,0
72,-0.2182,-3436.95,1.32758,-0.291953,-97.557,-0.0737532,-4226.17,789.216,604.541,1144.68,-6430.93,455.539,1059.82,-270.599,0,0
73,-0.231471,-3437.73,0.553442,-0.305224,-51.6596,-0.0737532,-4225.28,787.553,603.812,1145.92,-6430.81,455.794,1057.93,-270.376,0,0
74,-0.244741,-3437.49,0.791954,-0.318494,-24.1259,-0.0737532,-4224.6,787.105,603.356,1146.75,-6430.69,455.991,1057.3,-270.199,0,0
75,-0.258012,-3437.65,0.630627,-0.331765,-1.63156,-0.0737532,-4224.26,786.605,603.105,1147.18,-6430.63,456.09,1056.71,-270.1,0,0
76,-0.271282,-3439.5,-1.21988,-0.345036,-0.190326,-0.0737532,-4224.08,784.579,602.939,1147.48,-6430.64,456.138,1054.63,-270.054,0,0
77,-0.284553,-3439.35,-1.06937,-0.358306,8.51612,-0.0737532,-4223.99,784.638,602.816,1147.67,-6430.64,456.156,1054.68,-270.039,0,0
78,-0.297824,-3439.19,-0.912405,-0.371577,14.7492,-0.0737532,-4223.96,784.761,602.728,1147.8,-6430.64,456.156,1054.8,-270.036,0,0
79,-0.311094,-3438.97,-0.685707,-0.384847,19.2062,-0.0737532,-4223.96,784.99,602.717,1147.82,-6430.64,456.153,1055.03,-270.036,0,0
80,-0.324365,-3438.69,-0.406682,-0.398118,22.7462,-0.0737532,-4223.96,785.272,602.697,1147.83,-6430.64,456.149,1055.31,-270.036,0,0
81,-0.337635,-3438.94,-0.654788,-0.411389,21.7859,-0.0737532,-4224.02,785.083,602.694,1147.88,-6430.7,456.108,1055.17,-270.092,0,0
82,-0.350906,-3440.08,-1.79498,-0.424659,14.2313,-0.0737532,-4224.02,783.941,602.69,1147.89,-6430.71,456.108,1054.03,-270.092,0,0
83,-0.364177,-3439.88,-1.59379,-0.43793,16.0888,-0.0737532,-4224.02,784.141,602.688,1147.89,-6430.71,456.109,1054.23,-270.092,0,0
84,-0.377447,-3439.65,-1.36804,-0.4512,17.9266,-0.0737532,-4224.02,784.366,602.686,1147.9,-6430.71,456.109,1054.46,-270.092,0,0
85,-0.390718,-3438.52,-0.237618,-0.464471,13.431,-0.0737532,-4224.01,785.495,602.683,1147.9,-6430.71,456.109,1055.59,-270.093,0,0
86,-0.403988,-3438.33,-0.04704,-0.477742,15.4841,-0.0737532,-4224.16,785.826,602.763,1147.84,-6430.79,456.037,1056.01,-270.186,0,0
87,-0.417259,-3438.11,0.170874,-0.491012,17.3004,-0.0737532,-4224.16,786.045,602.764,1147.84,-6430.79,456.037,1056.23,-270.186,0,0
88,-0.43053,-3437.87,0.410777,-0.504283,18.7988,-0.0737532,-4224.21,786.338,602.781,1147.77,-6430.81,456.058,1056.53,-270.191,0,0
89,-0.4438,-3436.7,1.57687,-0.517553,13.081,-0.0737532,-4224.29,787.58,602.857,1147.74,-6430.86,455.979,1057.85,-270.272,0,0
90,-0.457071,-3436.39,1.88996,-0.530824,13.589,-0.0737532,-4224.29,787.895,602.857,1147.74,-6430.86,455.979,1058.17,-270.272,0,0
91,-0.470341,-3435.74,2.54547,-0.544095,11.0706,-0.0737532,-4224.37,788.634,602.923,1147.61,-6430.87,455.964,1058.93,-270.295,0,0
92,-0.483612,-3435.76,2.51892,-0.557365,-13.7705,-0.0737532,-4224.37,788.607,602.922,1147.61,-6430.87,455.964,1058.9,-270.295,0,0
93,-0.496883,-3435.93,2.3525,-0.570636,-11.2745,-0.0737532,-4224.37,788.441,602.921,1147.61,-6430.87,455.964,1058.74,-270.294,0,0
94,-0.510153,-3436.06,2.22106,-0.583906,-8.46977,-0.0737532,-4224.37,788.31,602.918,1147.61,-6430.87,455.966,1058.6,-270.294,0,0
95,-0.523424,-3436.15,2.12975,-0.597177,-5.20532,-0.0737532,-4224.37,788.22,602.914,1147.61,-6430.87,455.967,1058.51,-270.294,0,0
96,-0.536694,-3436.2,2.08532,-0.610448,-1.39783,-0.0737532,-4224.37,788.176,602.909,1147.61,-6430.86,455.97,1058.47,-270.294,0,0
97,-0.549965,-3436.76,1.52455,-0.623718,-1.17018,-0.0737532,-4224.38,787.62,602.883,1147.61,-6430.86,455.983,1057.91,-270.291,0,0
98,-0.563236,-3438.19,0.0882426,-0.636989,-7.08097,-0.0737532,-4224.38,786.184,602.882,1147.61,-6430.86,455.984,1056.48,-270.291,0,0
99,-0.576506,-3438.26,0.0196544,-0.650259,-3.22723,-0.0737532,-4224.38,786.116,602.872,1147.61,-6430.85,455.989,1056.41,-270.29,0,0
