step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737283,-3377.05,0,0.66353,0.780062,100,-4216.69,839.639,629.109,1131.69,-6428.58,451.088,1114.62,-274.981
1,0.724156,-3377.02,0.0288605,0.650391,4.56179,100,-4216.56,839.541,628.832,1131.93,-6428.52,451.193,1114.28,-274.735
2,0.711018,-3375.13,1.92513,0.637252,-4.73771,100,-4216.55,841.423,628.823,1131.92,-6428.5,451.211,1116.15,-274.731
3,0.697875,-3375.16,1.89017,0.624112,-0.653145,100,-4216.49,841.33,628.836,1131.92,-6428.48,451.227,1116.06,-274.728
4,0.684735,-3375.15,1.9055,0.610973,2.87881,100,-4216.48,841.333,628.838,1131.91,-6428.46,451.23,1116.06,-274.732
5,0.671596,-3375.09,1.96355,0.597834,5.87532,100,-4216.47,841.377,628.837,1131.9,-6428.44,451.235,1116.11,-274.729
6,0.658456,-3374.99,2.05798,0.584695,8.43942,100,-4216.45,841.458,628.837,1131.9,-6428.42,451.24,1116.19,-274.729
7,0.645318,-3373.37,3.68219,0.571556,0.212689,100,-4216.38,843.005,628.895,1131.87,-6428.39,451.248,1117.73,-274.723
8,0.632177,-3373,4.0568,0.558416,0.825132,100,-4216.38,843.385,628.876,1131.88,-6428.38,451.248,1118.11,-274.724
9,0.619039,-3374.97,2.08217,0.545277,-9.85387,100,-4216.47,841.497,628.787,1131.88,-6428.4,451.271,1116.22,-274.718
10,0.605894,-3375.08,1.96973,0.532138,-7.18691,100,-4216.49,841.404,628.749,1131.9,-6428.41,451.273,1116.12,-274.719
11,0.592756,-3375.16,1.89545,0.518999,-4.03026,100,-4216.5,841.341,628.746,1131.9,-6428.42,451.274,1116.06,-274.717
12,0.579618,-3375.19,1.86645,0.50586,-0.281597,100,-4216.52,841.337,628.718,1131.91,-6428.43,451.278,1116.05,-274.718
13,0.56648,-3375.16,1.8907,0.49272,4.07071,100,-4216.53,841.369,628.724,1131.9,-6428.43,451.28,1116.08,-274.715
14,0.553342,-3375.08,1.9757,0.479581,8.9443,100,-4216.56,841.479,628.701,1131.91,-6428.45,451.283,1116.2,-274.718
15,0.540205,-3377.18,-0.130903,0.466442,-0.61397,100,-4216.67,839.485,628.509,1131.99,-6428.48,451.316,1114.18,-274.693
16,0.527062,-3377.83,-0.780888,0.453303,-2.59591,100,-4216.77,838.937,628.479,1131.9,-6428.48,451.321,1113.61,-274.677
17,0.513917,-3377.85,-0.793154,0.440163,0.667851,100,-4216.78,838.932,628.479,1131.89,-6428.48,451.334,1113.6,-274.668
18,0.500779,-3376.33,0.72284,0.427024,-7.08753,100,-4216.75,840.419,628.518,1131.86,-6428.47,451.346,1115.07,-274.655
19,0.48764,-3376.05,0.998538,0.413885,-6.62377,100,-4216.76,840.708,628.515,1131.85,-6428.49,451.357,1115.36,-274.653
20,0.474501,-3376.12,0.92788,0.400746,-4.27598,100,-4216.78,840.653,628.515,1131.83,-6428.49,451.367,1115.3,-274.647
21,0.461362,-3376.17,0.882387,0.387607,-2.78737,100,-4216.8,840.627,628.508,1131.8,-6428.49,451.38,1115.27,-274.639
22,0.448222,-3376.2,0.851266,0.374467,-2.06182,100,-4216.8,840.6,628.503,1131.79,-6428.49,451.393,1115.23,-274.627
23,0.435082,-3376.23,0.825749,0.361328,-1.89303,100,-4216.82,840.59,628.483,1131.77,-6428.48,451.405,1115.21,-274.616
24,0.421943,-3374.47,2.58676,0.348189,-14.7377,100,-4216.77,842.302,628.519,1131.74,-6428.44,451.42,1116.9,-274.601
25,0.408804,-3374.65,2.4002,0.33505,-13.6137,100,-4216.8,842.143,628.479,1131.74,-6428.44,451.424,1116.74,-274.592
26,0.395665,-3374.82,2.2313,0.321911,-11.9466,100,-4216.81,841.987,628.443,1131.75,-6428.43,451.428,1116.57,-274.579
27,0.382527,-3376.12,0.936029,0.308771,-17.8801,100,-4216.85,840.738,628.339,1131.73,-6428.38,451.456,1115.26,-274.525
28,0.369382,-3377.14,-0.0910188,0.295632,-19.8802,100,-4216.91,839.766,628.233,1131.81,-6428.4,451.446,1114.29,-274.522
29,0.35624,-3377.37,-0.317838,0.282493,-14.1482,100,-4216.91,839.544,628.164,1131.88,-6428.4,451.44,1114.07,-274.527
30,0.343105,-3377.52,-0.465326,0.269354,-4.92913,100,-4216.88,839.36,628.13,1131.98,-6428.41,451.424,1113.91,-274.545
31,0.329972,-3377.57,-0.518639,0.256215,9.03318,100,-4216.83,839.257,628.091,1132.13,-6428.45,451.397,1113.85,-274.595
32,0.316842,-3377.32,-0.267546,0.243075,30.612,100,-4216.71,839.39,628.097,1132.36,-6428.52,451.348,1114.08,-274.69
33,0.30372,-3376.8,0.254266,0.229936,62.2401,100,-4216.55,839.751,628.155,1132.7,-6428.66,451.254,1114.62,-274.874
34,0.290605,-3377.7,-0.644474,0.216797,93.6545,100,-4216.4,838.698,628.261,1133.18,-6428.89,451.054,1113.85,-275.149
35,0.277491,-3374.35,2.69897,0.203658,143.986,100,-4215.99,841.632,628.569,1133.89,-6429.25,450.81,1117.25,-275.621
36,0.2644,-3371.91,5.14115,0.190519,232.241,100,-4215.49,843.583,628.975,1134.95,-6429.83,450.417,1119.92,-276.341
37,0.251333,-3368.2,8.85481,0.177379,349.75,100,-4214.78,846.585,629.642,1136.44,-6430.68,449.815,1123.99,-277.41
38,0.238292,-3362.7,14.3485,0.16424,499.734,100,-4213.75,851.05,630.623,1138.56,-6431.86,448.929,1129.97,-278.922
39,0.225281,-3355.05,22.0021,0.151101,681.67,100,-4212.24,857.188,632.076,1141.44,-6433.43,447.671,1138.17,-280.986
40,0.2123,-3343.34,33.7123,0.137962,878.026,100,-4209.97,866.633,634.071,1145.33,-6435.35,445.973,1150.25,-283.618
41,0.199347,-3329.71,47.3389,0.124822,1095.65,100,-4206.87,877.154,636.654,1150.39,-6437.65,443.736,1164.07,-286.911
42,0.186411,-3313.71,63.3452,0.111683,1311.63,100,-4202.61,888.901,639.725,1156.84,-6440.18,441.012,1179.54,-290.638
43,0.173485,-3295.18,81.8765,0.0985441,1503.55,100,-4197.16,901.987,643.21,1164.57,-6442.8,437.858,1196.64,-294.653
44,0.16054,-3274.3,102.752,0.0854049,1653.71,100,-4190.28,915.901,647.116,1173.59,-6445.34,434.354,1214.68,-298.779
45,0.147573,-3252.6,124.456,0.0722656,1749.33,100,-4182.85,930.251,650.618,1183.57,-6447.73,430.687,1233,-302.747
46,0.134557,-3230.57,146.486,0.0591264,1776.13,100,-4174.71,944.144,654.572,1193.61,-6449.82,426.927,1250.51,-306.362
47,0.121495,-3207.42,169.633,0.0459872,1746.51,100,-4166.39,958.975,658.408,1203.44,-6451.53,423.285,1268.51,-309.537
48,0.108407,-3184.47,192.581,0.032848,1648.21,100,-4159.62,975.144,662.809,1210.91,-6453.06,419.718,1287.43,-312.282
49,0.0952119,-3163.54,213.509,0.0197088,1485.34,100,-4153.06,989.515,667.219,1217.17,-6454.01,416.566,1303.87,-314.354
50,0.082042,-3146.05,231.003,0.0065696,1254.82,100,-4149.41,1003.36,672.034,1219.61,-6454.74,413.689,1319.26,-315.901
51,0.0687727,-3130.62,246.429,-0.0065696,952.467,100,-4147.26,1016.64,676.737,1219.99,-6455.31,411.323,1333.64,-316.999
52,0.055482,-3119.83,257.222,-0.0197088,622.347,100,-4148.97,1029.14,681.219,1215.88,-6455.54,409.476,1346.75,-317.61
53,0.042145,-3113.83,263.224,-0.032848,257.89,100,-4152.75,1038.92,685.781,1208.76,-6455.55,408.267,1356.64,-317.723
54,0.0287897,-3112.95,264.107,-0.0459872,-130.137,100,-4160.19,1047.24,689.377,1198.19,-6455.38,407.628,1364.69,-317.452
55,0.0153949,-3117.25,259.804,-0.0591264,-524.622,100,-4169.94,1052.69,692.411,1184.89,-6454.95,407.715,1369.42,-316.737
56,0.00199235,-3126.23,250.821,-0.0722656,-911.031,100,-4181.66,1055.42,694.581,1169.53,-6454.26,408.495,1371.01,-315.587
57,-0.011429,-3139.41,237.645,-0.0854049,-1266.17,100,-4194.28,1054.87,695.099,1153.86,-6453.23,409.995,1368.86,-313.987
58,-0.0248372,-3157.96,219.096,-0.0985441,-1554.16,100,-4206.93,1048.97,694.049,1138.85,-6451.94,412.119,1360.86,-311.893
59,-0.0382185,-3180.43,196.622,-0.111683,-1766.22,100,-4218.69,1038.26,691.134,1125.64,-6450.36,414.887,1347.58,-309.322
60,-0.0515612,-3204.7,172.354,-0.124822,-1885.34,100,-4228.42,1023.72,686.491,1115.42,-6448.48,418.151,1330.03,-306.316
61,-0.0648512,-3231.65,145.399,-0.137962,-1922.14,100,-4235.63,1003.98,680.455,1108.51,-6446.41,421.812,1306.91,-302.928
62,-0.0780858,-3256.59,120.463,-0.151101,-1855.68,100,-4240.04,983.447,673.35,1105.05,-6444.13,425.693,1282.68,-299.234
63,-0.0912643,-3280.67,96.3855,-0.16424,-1713.7,100,-4241.76,961.093,665.899,1104.39,-6441.72,429.673,1256.5,-295.404
64,-0.104392,-3301.95,75.1019,-0.177379,-1514.52,100,-4241.26,939.31,658.52,1106.02,-6439.35,433.547,1230.98,-291.669
65,-0.117475,-3319.39,57.6666,-0.190519,-1289.19,100,-4238.92,919.537,651.988,1109.02,-6437.09,437.158,1207.68,-288.14
66,-0.130531,-3335.78,41.2692,-0.203658,-1053.81,100,-4235.67,899.887,646.14,1112.82,-6435.06,440.427,1184.84,-284.955
67,-0.143567,-3347.16,29.8907,-0.216797,-842.016,100,-4231.86,884.702,641.511,1116.73,-6433.31,443.209,1166.93,-282.231
68,-0.156605,-3356.83,20.2228,-0.229936,-634.499,100,-4228.25,871.416,637.713,1120.41,-6431.87,445.507,1151.42,-280.006
69,-0.169641,-3363.98,13.0728,-0.243075,-459.623,100,-4225.03,861.047,634.886,1123.53,-6430.75,447.311,1139.32,-278.275
70,-0.182688,-3369.14,7.91601,-0.256215,-319.621,100,-4222.4,853.266,632.824,1126.04,-6429.92,448.655,1130.25,-276.98
71,-0.195752,-3372.67,4.38011,-0.269354,-212.246,100,-4220.37,847.7,631.379,1127.95,-6429.32,449.622,1123.76,-276.056
72,-0.208833,-3374.79,2.26618,-0.282493,-132.85,100,-4218.89,844.102,630.407,1129.32,-6428.9,450.287,1119.52,-275.416
73,-0.221929,-3376.21,0.841039,-0.295632,-75.8773,100,-4217.85,841.635,629.768,1130.29,-6428.63,450.73,1116.63,-274.993
74,-0.235036,-3376.01,1.04715,-0.308771,-42.6067,100,-4217.09,841.088,629.415,1130.95,-6428.46,450.999,1115.81,-274.724
75,-0.248158,-3376.37,0.682269,-0.321911,-14.6905,100,-4216.65,840.277,629.174,1131.36,-6428.35,451.169,1114.84,-274.567
76,-0.261281,-3376.43,0.622354,-0.33505,4.34745,100,-4216.38,839.945,629.02,1131.63,-6428.3,451.266,1114.42,-274.473
77,-0.27441,-3378.26,-1.20778,-0.348189,3.25403,100,-4216.28,838.019,628.899,1131.84,-6428.31,451.301,1112.45,-274.435
78,-0.287543,-3378.08,-1.0246,-0.361328,10.5414,100,-4216.22,838.146,628.849,1131.93,-6428.32,451.314,1112.57,-274.423
79,-0.300678,-3377.9,-0.848787,-0.374467,15.9096,100,-4216.2,838.299,628.842,1131.97,-6428.32,451.311,1112.73,-274.429
80,-0.313815,-3377.67,-0.612626,-0.387607,19.8715,100,-4216.21,838.548,628.836,1131.99,-6428.34,451.302,1112.99,-274.44
81,-0.326953,-3377.38,-0.329549,-0.400746,23.1481,100,-4216.23,838.853,628.851,1131.98,-6428.36,451.286,1113.32,-274.463
82,-0.340092,-3378.6,-1.54647,-0.413885,15.1285,100,-4216.29,837.688,628.845,1132,-6428.39,451.259,1112.17,-274.481
83,-0.353233,-3378.8,-1.74841,-0.427024,14.252,100,-4216.34,837.541,628.851,1132,-6428.43,451.238,1112.05,-274.512
84,-0.366373,-3378.6,-1.54916,-0.440163,16.08,100,-4216.38,837.776,628.862,1131.99,-6428.45,451.222,1112.31,-274.531
85,-0.379512,-3378,-0.950562,-0.453303,15.263,100,-4216.38,838.374,628.885,1131.99,-6428.46,451.206,1112.93,-274.551
86,-0.392654,-3377.26,-0.211604,-0.466442,13.4564,100,-4216.38,839.117,628.867,1132.02,-6428.46,451.197,1113.69,-274.57
87,-0.405797,-3377.07,-0.0210267,-0.479581,15.5085,100,-4216.4,839.323,628.911,1131.99,-6428.48,451.183,1113.92,-274.592
88,-0.418936,-3376.86,0.194698,-0.49272,17.2779,100,-4216.41,839.556,628.924,1131.98,-6428.49,451.177,1114.16,-274.606
89,-0.432075,-3376.62,0.431667,-0.50586,18.7418,100,-4216.42,839.799,628.959,1131.95,-6428.5,451.169,1114.42,-274.624
90,-0.445214,-3375.47,1.58102,-0.518999,13.1039,100,-4216.51,841.04,628.997,1131.91,-6428.54,451.125,1115.72,-274.683
91,-0.458355,-3374.78,2.2694,-0.532138,10.0781,100,-4216.58,841.794,629.058,1131.82,-6428.55,451.102,1116.5,-274.706
92,-0.471497,-3374.52,2.53015,-0.545277,11.2128,100,-4216.58,842.06,629.068,1131.8,-6428.55,451.104,1116.78,-274.715
93,-0.484636,-3374.57,2.48266,-0.558416,-13.6132,100,-4216.57,841.997,628.997,1131.88,-6428.59,451.147,1116.73,-274.734
94,-0.497784,-3374.73,2.31979,-0.571556,-11.1377,100,-4216.56,841.831,628.992,1131.89,-6428.59,451.146,1116.57,-274.736
95,-0.510923,-3374.86,2.19136,-0.584695,-8.34641,100,-4216.56,841.702,628.97,1131.9,-6428.59,451.153,1116.44,-274.737
96,-0.524061,-3374.95,2.1025,-0.597834,-5.09514,100,-4216.56,841.61,628.967,1131.9,-6428.58,451.154,1116.35,-274.738
