step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737283,-3377.06,0,0.66353,0.780131,0,309,-4216.58,839.519,628.839,1131.93,-6428.54,451.184,1114.25,-274.734
1,0.724026,-3377.02,0.0360971,0.650259,4.60657,0.0357424,21,-4216.58,839.554,628.844,1131.93,-6428.53,451.185,1114.29,-274.734
2,0.710756,-3375.13,1.93088,0.636989,-4.63598,0.0355472,21,-4216.57,841.445,628.853,1131.92,-6428.53,451.187,1116.18,-274.733
3,0.697486,-3375.16,1.89648,0.623718,-0.539144,0.00120871,203,-4216.49,841.33,628.841,1131.92,-6428.48,451.225,1116.06,-274.732
4,0.684209,-3375.15,1.9135,0.610448,3.00827,0.0175921,173,-4216.48,841.332,628.841,1131.91,-6428.46,451.23,1116.06,-274.731
5,0.670939,-3375.09,1.97391,0.597177,6.01222,0.0774458,170,-4216.46,841.377,628.843,1131.9,-6428.44,451.235,1116.11,-274.73
6,0.657668,-3374.99,2.07114,0.583906,8.5828,0.174288,227,-4216.45,841.46,628.847,1131.89,-6428.42,451.239,1116.19,-274.73
7,0.644398,-3373.37,3.68925,0.570636,0.434182,0.234119,21,-4216.45,843.081,628.842,1131.89,-6428.43,451.238,1117.81,-274.73
8,0.631127,-3372.99,4.06466,0.557365,1.10119,0.244306,21,-4216.46,843.462,628.832,1131.9,-6428.43,451.238,1118.19,-274.73
9,0.617856,-3374.98,2.07709,0.544095,-9.63015,0.187714,247,-4216.47,841.489,628.772,1131.89,-6428.41,451.27,1116.21,-274.719
10,0.60458,-3375.09,1.96711,0.530824,-6.89435,0.0780689,59,-4216.48,841.387,628.768,1131.87,-6428.4,451.279,1116.1,-274.714
11,0.59131,-3375.16,1.89635,0.517553,-3.64846,0.00811412,117,-4216.5,841.341,628.735,1131.9,-6428.42,451.276,1116.06,-274.717
12,0.578042,-3375.19,1.87283,0.504283,0.208631,-0.0147102,209,-4216.52,841.336,628.72,1131.91,-6428.43,451.278,1116.05,-274.716
13,0.564772,-3375.15,1.90481,0.491012,4.68102,0.0177341,79,-4216.54,841.39,628.734,1131.87,-6428.43,451.283,1116.11,-274.718
14,0.551502,-3375.31,1.74891,0.477742,8.09255,0.102491,227,-4216.56,841.246,628.687,1131.92,-6428.45,451.287,1115.95,-274.707
15,0.538234,-3377.18,-0.12507,0.464471,0.0266053,0.156364,190,-4216.68,839.5,628.495,1131.99,-6428.48,451.314,1114.2,-274.696
16,0.524959,-3377.84,-0.779008,0.4512,-2.03742,0.143021,21,-4216.69,838.848,628.495,1131.99,-6428.48,451.314,1113.54,-274.697
17,0.511688,-3377.84,-0.784682,0.43793,1.17981,0.137331,221,-4216.78,838.939,628.475,1131.89,-6428.48,451.336,1113.61,-274.667
18,0.498414,-3375.97,1.0896,0.424659,-9.18584,0.0842084,145,-4216.75,840.778,628.522,1131.86,-6428.48,451.347,1115.43,-274.656
19,0.485144,-3376.07,0.989028,0.411389,-6.11197,-0.0172972,88,-4216.77,840.697,628.514,1131.84,-6428.48,451.36,1115.35,-274.65
20,0.471873,-3376.14,0.923503,0.398118,-3.91175,-0.0838076,137,-4216.78,840.648,628.509,1131.82,-6428.49,451.372,1115.29,-274.643
21,0.458602,-3376.18,0.881356,0.384847,-2.57792,-0.126869,173,-4216.8,840.618,628.504,1131.8,-6428.49,451.385,1115.25,-274.634
22,0.445331,-3376.21,0.85178,0.371577,-1.9868,-0.157157,205,-4216.81,840.602,628.491,1131.79,-6428.48,451.398,1115.23,-274.623
23,0.43206,-3375.85,1.20471,0.358306,-4.56978,-0.200662,21,-4216.82,840.963,628.492,1131.78,-6428.49,451.396,1115.59,-274.624
24,0.418789,-3374.51,2.54703,0.345036,-14.4919,-0.327141,178,-4216.78,842.266,628.507,1131.74,-6428.44,451.419,1116.86,-274.598
25,0.405519,-3374.7,2.36267,0.331765,-13.2651,-0.511317,42,-4216.78,842.083,628.498,1131.75,-6428.45,451.421,1116.68,-274.599
