step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737283,-3377.05,0,0.66353,0.780062,0,100,-4216.69,839.639,629.109,1131.69,-6428.58,451.088,1114.62,-274.981
1,0.724025,-3377.02,0.0294624,0.650259,4.59835,0.0356874,100,-4216.56,839.541,628.832,1131.93,-6428.52,451.193,1114.28,-274.735
2,0.710755,-3375.13,1.9239,0.636989,-4.65086,0.035339,100,-4216.55,841.422,628.822,1131.92,-6428.5,451.211,1116.15,-274.731
3,0.697481,-3375.16,1.88993,0.623718,-0.539045,0.000902379,100,-4216.49,841.328,628.837,1131.92,-6428.47,451.227,1116.06,-274.728
4,0.68421,-3375.15,1.90705,0.610448,3.00837,0.0172871,100,-4216.48,841.332,628.844,1131.9,-6428.46,451.23,1116.06,-274.733
5,0.670939,-3375.09,1.96746,0.597177,6.01258,0.0771438,100,-4216.47,841.381,628.837,1131.9,-6428.44,451.235,1116.11,-274.73
6,0.657668,-3374.99,2.06469,0.583906,8.58263,0.173987,100,-4216.45,841.459,628.844,1131.89,-6428.42,451.242,1116.19,-274.728
7,0.644398,-3373.37,3.68248,0.570636,0.430891,0.233795,100,-4216.39,843.015,628.881,1131.89,-6428.39,451.243,1117.74,-274.729
8,0.631126,-3372.99,4.05781,0.557365,1.09615,0.243927,100,-4216.38,843.385,628.879,1131.88,-6428.38,451.246,1118.11,-274.725
9,0.617856,-3374.98,2.07064,0.544095,-9.63019,0.187301,100,-4216.48,841.499,628.755,1131.89,-6428.4,451.274,1116.21,-274.714
10,0.604581,-3375.09,1.96049,0.530824,-6.89569,0.0776472,100,-4216.48,841.392,628.755,1131.9,-6428.41,451.272,1116.11,-274.718
11,0.591311,-3375.16,1.8899,0.517553,-3.64809,0.00768612,100,-4216.5,841.34,628.737,1131.9,-6428.42,451.275,1116.06,-274.717
12,0.578041,-3375.19,1.86639,0.504283,0.20942,-0.0151305,100,-4216.52,841.336,628.723,1131.9,-6428.43,451.278,1116.05,-274.717
13,0.564772,-3375.15,1.89817,0.491012,4.67686,0.0172915,100,-4216.54,841.387,628.705,1131.91,-6428.44,451.281,1116.1,-274.717
14,0.551504,-3375.31,1.74244,0.477742,8.09495,0.102036,100,-4216.56,841.248,628.685,1131.92,-6428.45,451.289,1115.95,-274.706
15,0.538234,-3377.18,-0.131476,0.464471,0.0273705,0.15593,100,-4216.68,839.494,628.508,1131.99,-6428.48,451.311,1114.19,-274.699
16,0.524958,-3377.84,-0.78577,0.4512,-2.05053,0.142506,100,-4216.76,838.918,628.484,1131.91,-6428.48,451.325,1113.59,-274.675
17,0.511685,-3377.84,-0.791085,0.43793,1.18071,0.136734,100,-4216.78,838.938,628.477,1131.89,-6428.48,451.337,1113.6,-274.666
18,0.498414,-3375.97,1.08322,0.424659,-9.18471,0.0836255,100,-4216.75,840.781,628.509,1131.87,-6428.48,451.35,1115.44,-274.655
19,0.485144,-3376.07,0.98265,0.411389,-6.11109,-0.0178667,100,-4216.77,840.695,628.519,1131.84,-6428.49,451.358,1115.35,-274.651
20,0.471873,-3376.14,0.917134,0.398118,-3.91082,-0.084365,100,-4216.78,840.647,628.513,1131.82,-6428.49,451.372,1115.29,-274.644
21,0.458602,-3376.18,0.874996,0.384847,-2.57714,-0.127415,100,-4216.79,840.616,628.51,1131.8,-6428.49,451.383,1115.25,-274.636
22,0.445331,-3376.21,0.845425,0.371577,-1.98583,-0.157691,100,-4216.82,840.61,628.489,1131.79,-6428.49,451.395,1115.24,-274.625
23,0.43206,-3375.85,1.198,0.358306,-4.57371,-0.201216,100,-4216.8,840.944,628.505,1131.76,-6428.47,451.407,1115.55,-274.61
24,0.41879,-3374.51,2.54068,0.345036,-14.4914,-0.327719,100,-4216.77,842.262,628.516,1131.74,-6428.44,451.417,1116.86,-274.6
25,0.40552,-3374.7,2.35604,0.331765,-13.2675,-0.511907,100,-4216.8,842.1,628.47,1131.75,-6428.44,451.426,1116.69,-274.589
26,0.392249,-3374.86,2.19144,0.318494,-11.3587,-0.675309,100,-4216.81,841.948,628.441,1131.75,-6428.43,451.427,1116.53,-274.58
27,0.378979,-3376.56,0.4898,0.305224,-19.7918,-0.882003,100,-4216.88,840.317,628.296,1131.77,-6428.39,451.451,1114.84,-274.525
28,0.365702,-3377.21,-0.161787,0.291953,-18.5691,-1.13654,100,-4216.91,839.696,628.212,1131.83,-6428.4,451.447,1114.22,-274.521
29,0.352431,-3377.42,-0.367526,0.278683,-11.8702,-1.33851,100,-4216.9,839.477,628.161,1131.91,-6428.4,451.435,1114.01,-274.53
30,0.339165,-3377.6,-0.550174,0.265412,-1.65915,-1.42828,100,-4216.87,839.265,628.111,1132.01,-6428.41,451.422,1113.82,-274.551
31,0.325901,-3377.52,-0.470322,0.252141,14.8362,-1.34085,100,-4216.79,839.265,628.097,1132.19,-6428.46,451.387,1113.88,-274.617
32,0.312644,-3377.17,-0.120485,0.238871,39.4789,-0.980454,100,-4216.67,839.494,628.103,1132.46,-6428.56,451.323,1114.23,-274.739
33,0.299391,-3377.26,-0.207991,0.2256,70.0749,-0.253532,100,-4216.49,839.234,628.198,1132.83,-6428.72,451.193,1114.17,-274.939
34,0.286145,-3376.12,0.936875,0.21233,104.755,0.906516,100,-4216.23,840.113,628.39,1133.38,-6428.98,450.985,1115.39,-275.276
35,0.272907,-3373.63,3.42398,0.199059,171.86,2.74194,100,-4215.82,842.194,628.702,1134.21,-6429.43,450.695,1118.03,-275.839
36,0.259693,-3370.8,6.25436,0.185788,270.945,5.68008,100,-4215.26,844.459,629.187,1135.43,-6430.1,450.227,1121.14,-276.678
37,0.246503,-3366.3,10.7541,0.172518,401.435,10.1415,100,-4214.46,848.165,629.964,1137.12,-6431.07,449.527,1126.08,-277.912
38,0.233342,-3360.12,16.9304,0.159247,565.359,16.5565,100,-4213.22,853.101,631.145,1139.54,-6432.41,448.496,1132.74,-279.636
39,0.220213,-3351.36,25.6944,0.145977,760.045,25.3509,100,-4211.46,860.097,632.789,1142.84,-6434.14,447.059,1142.05,-281.952
40,0.207116,-3337.98,39.0741,0.132706,962.881,36.7831,100,-4208.84,870.859,635.076,1147.18,-6436.23,445.134,1155.76,-284.899
41,0.194039,-3323.57,53.4855,0.119435,1186.05,51.0419,100,-4205.26,881.692,637.902,1152.82,-6438.66,442.678,1170.08,-288.39
42,0.180983,-3306.16,70.893,0.106165,1396.39,68.1771,100,-4200.49,894.328,641.076,1159.96,-6441.28,439.754,1186.63,-292.298
43,0.167922,-3286.47,90.5785,0.0928942,1574.53,87.8901,100,-4194.36,907.882,644.958,1168.22,-6443.91,436.369,1204.3,-296.416
44,0.154838,-3264.64,112.411,0.0796236,1704.92,109.65,100,-4187.16,922.521,648.561,1177.94,-6446.44,432.774,1223.1,-300.578
45,0.14172,-3243.42,133.637,0.066353,1764.73,132.672,100,-4179.16,935.747,652.507,1188.09,-6448.71,428.953,1240.18,-304.428
46,0.128554,-3219.92,157.132,0.0530824,1770.89,156.132,100,-4170.98,951.063,656.355,1198.13,-6450.66,425.193,1258.97,-307.903
47,0.115342,-3196.54,180.514,0.0398118,1707.49,179.212,100,-4163.21,966.62,660.487,1207.1,-6452.34,421.543,1277.55,-310.93
48,0.102076,-3174.09,202.963,0.0265412,1579.76,201.024,100,-4155.96,981.872,664.511,1214.68,-6453.45,418.294,1295.19,-313.318
49,0.0888025,-3154.25,222.799,0.0132706,1383.83,220.689,100,-4150.91,996.657,669.455,1218.92,-6454.44,415.146,1311.83,-315.173
50,0.0754236,-3138.78,238.277,0,1113.57,237.26,100,-4147.87,1009.09,674.225,1220.57,-6455.09,412.428,1325.59,-316.5
51,0.0620098,-3124.37,252.678,-0.0132706,788.835,249.883,100,-4147.81,1023.44,679.147,1218.11,-6455.37,410.305,1340.77,-317.334
52,0.0485525,-3116.02,261.031,-0.0265412,437.146,258.017,100,-4150.31,1034.28,683.633,1212.84,-6455.57,408.791,1351.99,-317.705
53,0.0350794,-3112.73,264.323,-0.0398118,54.0532,261.277,100,-4156.32,1043.59,687.635,1203.69,-6455.46,407.813,1361.25,-317.653
54,0.021557,-3114.63,262.426,-0.0530824,-343.447,259.356,100,-4165.02,1050.4,691.217,1191.27,-6455.14,407.623,1367.51,-317.108
55,0.00802911,-3121.72,255.335,-0.066353,-737.694,252.183,100,-4176.23,1054.52,693.605,1176.7,-6454.6,408.052,1370.68,-316.159
56,-0.00552182,-3132.35,244.702,-0.0796236,-1119.83,239.858,100,-4188.67,1056.32,695.014,1160.82,-6453.75,409.25,1371.07,-314.756
57,-0.0190742,-3149.47,227.581,-0.0928942,-1438.64,222.881,100,-4201.59,1052.12,694.651,1145.2,-6452.57,411.118,1365,-312.88
58,-0.0325991,-3170.39,206.658,-0.106165,-1687.7,202.137,100,-4213.95,1043.56,692.529,1130.93,-6451.06,413.642,1354.03,-310.466
59,-0.0460953,-3194.53,182.521,-0.119435,-1848.17,178.675,100,-4224.76,1030.23,688.455,1119.31,-6449.29,416.771,1337.83,-307.609
60,-0.0595381,-3220.31,156.744,-0.132706,-1916.56,153.695,100,-4232.97,1012.66,683.175,1110.75,-6447.21,420.317,1316.95,-304.292
61,-0.0729308,-3246.98,130.076,-0.145977,-1891.41,128.428,100,-4238.63,991.655,676.159,1106.07,-6445.04,424.172,1292.36,-300.704
62,-0.0862624,-3271.65,105.402,-0.159247,-1776.01,104.094,100,-4241.46,969.806,668.684,1104.34,-6442.65,428.164,1266.66,-296.856
63,-0.0995417,-3294.24,82.8095,-0.172518,-1593.31,81.7375,100,-4241.65,947.412,661.205,1105.22,-6440.22,432.136,1240.44,-293.031
64,-0.11277,-3313.34,63.7156,-0.185788,-1373.52,62.0517,100,-4239.89,926.555,654.29,1107.81,-6437.88,435.888,1215.94,-289.387
65,-0.125965,-3329.81,47.243,-0.199059,-1131.68,45.4289,100,-4236.89,907.08,648.07,1111.44,-6435.73,439.329,1193.1,-286.025
66,-0.139136,-3344.07,32.9787,-0.21233,-913.377,31.8593,100,-4233.19,889.119,642.986,1115.38,-6433.87,442.311,1172.22,-283.1
67,-0.152303,-3353.94,23.114,-0.2256,-699.667,21.1562,100,-4229.42,875.48,638.847,1119.25,-6432.32,444.805,1156.16,-280.682
68,-0.165469,-3361.94,15.1137,-0.238871,-511.791,13.1179,100,-4226,864.065,635.694,1122.6,-6431.08,446.785,1142.84,-278.779
69,-0.178643,-3367.75,9.29769,-0.252141,-359.341,7.33764,100,-4223.15,855.395,633.394,1125.33,-6430.15,448.28,1132.73,-277.339
70,-0.191833,-3371.78,5.27305,-0.265412,-241.277,3.35236,100,-4220.92,849.144,631.742,1127.45,-6429.48,449.366,1125.44,-276.299
71,-0.205039,-3374.24,2.81081,-0.278683,-153.327,0.734047,100,-4219.26,845.022,630.647,1128.97,-6429.01,450.122,1120.6,-275.574
72,-0.218261,-3375.91,1.14557,-0.291953,-89.8884,-0.879757,100,-4218.11,842.201,629.916,1130.05,-6428.7,450.623,1117.3,-275.096
73,-0.231496,-3376.41,0.64025,-0.305224,-48.0063,-1.79473,100,-4217.28,840.868,629.488,1130.79,-6428.5,450.941,1115.65,-274.783
74,-0.244744,-3376.31,0.743008,-0.318494,-20.9637,-2.25237,100,-4216.75,840.437,629.215,1131.28,-6428.37,451.134,1115.03,-274.597
75,-0.258,-3376.44,0.614681,-0.331765,0.253223,-2.38979,100,-4216.43,839.991,629.058,1131.57,-6428.31,451.246,1114.49,-274.494
76,-0.271259,-3378.27,-1.2143,-0.345036,0.849165,-2.38247,100,-4216.31,838.041,628.905,1131.81,-6428.32,451.294,1112.48,-274.438
77,-0.284522,-3378.11,-1.05417,-0.358306,9.0032,-2.3171,100,-4216.23,838.122,628.865,1131.91,-6428.31,451.311,1112.55,-274.427
