step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589777,-3377.05,0,-0.66353,-0.780058,100,-4216.69,839.639,629.109,1131.69,-6428.58,451.088,1114.62,-274.981
1,-0.576625,-3377.04,0.00889999,-0.650391,3.12552,100,-4216.59,839.543,628.852,1131.94,-6428.55,451.177,1114.28,-274.735
2,-0.563484,-3376.98,0.0753424,-0.637252,6.95886,100,-4216.6,839.619,628.87,1131.94,-6428.57,451.162,1114.36,-274.737
3,-0.550345,-3375.74,1.30788,-0.624112,2.50082,100,-4216.55,840.807,628.935,1131.91,-6428.57,451.165,1115.53,-274.726
4,-0.537202,-3374.99,2.05993,-0.610973,1.30648,100,-4216.55,841.558,628.99,1131.88,-6428.58,451.153,1116.29,-274.736
5,-0.524061,-3374.95,2.10255,-0.597834,5.09501,100,-4216.56,841.608,628.962,1131.91,-6428.58,451.156,1116.34,-274.734
6,-0.510922,-3374.86,2.19143,-0.584695,8.3462,100,-4216.55,841.693,628.983,1131.9,-6428.59,451.151,1116.43,-274.734
7,-0.497783,-3374.73,2.31987,-0.571556,11.1376,100,-4216.57,841.832,628.987,1131.89,-6428.59,451.148,1116.57,-274.733
8,-0.484644,-3374.57,2.48272,-0.558416,13.6132,100,-4216.57,841.996,629.002,1131.88,-6428.59,451.143,1116.73,-274.736
9,-0.471506,-3374.52,2.53024,-0.545277,-11.2135,100,-4216.6,842.074,629.067,1131.79,-6428.56,451.1,1116.79,-274.717
10,-0.458359,-3374.78,2.2694,-0.532138,-10.0782,100,-4216.58,841.794,629.057,1131.82,-6428.55,451.102,1116.5,-274.706
11,-0.445219,-3375.47,1.58106,-0.518999,-13.104,100,-4216.51,841.04,628.999,1131.91,-6428.54,451.123,1115.73,-274.687
12,-0.432076,-3376.62,0.431698,-0.50586,-18.7421,100,-4216.42,839.8,628.949,1131.96,-6428.5,451.171,1114.42,-274.621
13,-0.418936,-3376.86,0.194734,-0.49272,-17.2782,100,-4216.41,839.554,628.93,1131.97,-6428.49,451.176,1114.16,-274.607
14,-0.405797,-3377.07,-0.0209955,-0.479581,-15.5087,100,-4216.4,839.328,628.9,1131.99,-6428.48,451.185,1113.92,-274.592
15,-0.392658,-3377.26,-0.211563,-0.466442,-13.4566,100,-4216.38,839.114,628.877,1132.01,-6428.46,451.196,1113.69,-274.573
16,-0.379519,-3378,-0.950557,-0.453303,-15.2633,100,-4216.38,838.377,628.872,1131.99,-6428.46,451.209,1112.93,-274.549
17,-0.366376,-3378.6,-1.54913,-0.440163,-16.0799,100,-4216.37,837.767,628.871,1131.98,-6428.45,451.223,1112.3,-274.53
18,-0.353233,-3378.8,-1.74839,-0.427024,-14.2514,100,-4216.35,837.548,628.849,1132,-6428.43,451.235,1112.06,-274.514
19,-0.340094,-3378.6,-1.54646,-0.413885,-15.1283,100,-4216.29,837.688,628.848,1132,-6428.39,451.257,1112.17,-274.484
20,-0.326954,-3377.38,-0.329518,-0.400746,-23.1479,100,-4216.24,838.856,628.845,1131.99,-6428.36,451.289,1113.32,-274.465
21,-0.313814,-3377.67,-0.612607,-0.387607,-19.8715,100,-4216.21,838.545,628.834,1131.99,-6428.34,451.302,1112.99,-274.441
22,-0.300675,-3377.9,-0.84876,-0.374467,-15.9097,100,-4216.2,838.298,628.838,1131.97,-6428.32,451.313,1112.73,-274.427
23,-0.287537,-3378.08,-1.02458,-0.361328,-10.5415,100,-4216.22,838.14,628.854,1131.93,-6428.32,451.314,1112.56,-274.423
24,-0.2744,-3378.26,-1.20775,-0.348189,-3.25354,100,-4216.28,838.021,628.888,1131.84,-6428.32,451.302,1112.45,-274.431
25,-0.261265,-3376.43,0.62237,-0.33505,-4.34905,100,-4216.39,839.957,629.021,1131.63,-6428.3,451.261,1114.43,-274.477
26,-0.248131,-3376.37,0.682312,-0.321911,14.6913,100,-4216.64,840.269,629.174,1131.37,-6428.36,451.172,1114.84,-274.569
27,-0.235002,-3376.01,1.0472,-0.308771,42.6111,100,-4217.1,841.093,629.404,1130.96,-6428.46,450.999,1115.82,-274.728
28,-0.221878,-3376.21,0.841154,-0.295632,75.8907,100,-4217.85,841.64,629.741,1130.32,-6428.64,450.731,1116.63,-274.995
29,-0.208755,-3374.79,2.2664,-0.282493,132.884,100,-4218.9,844.109,630.386,1129.33,-6428.91,450.295,1119.52,-275.411
30,-0.195647,-3372.67,4.38026,-0.269354,212.291,100,-4220.38,847.707,631.346,1127.99,-6429.34,449.621,1123.77,-276.063
31,-0.18255,-3369.21,7.84111,-0.256215,319.735,100,-4222.39,853.178,632.78,1126.07,-6429.92,448.677,1130.15,-276.97
32,-0.169468,-3364.05,12.9982,-0.243075,459.806,100,-4225.05,860.998,634.82,1123.57,-6430.76,447.319,1139.27,-278.271
33,-0.156405,-3356.83,20.2244,-0.229936,634.767,100,-4228.24,871.415,637.662,1120.43,-6431.87,445.537,1151.41,-279.996
34,-0.143355,-3347.16,29.891,-0.216797,842.193,100,-4231.88,884.72,641.45,1116.76,-6433.32,443.226,1166.96,-282.236
35,-0.130322,-3335.59,41.4626,-0.203658,1052.86,100,-4235.72,900.134,646.09,1112.86,-6435.08,440.415,1185.09,-284.955
36,-0.117275,-3319.3,57.7482,-0.190519,1288.99,100,-4238.82,919.515,652.226,1108.88,-6437.05,437.124,1207.71,-288.196
37,-0.10426,-3301.94,75.1152,-0.177379,1515.05,100,-4241.35,939.413,658.448,1106.05,-6439.36,433.519,1231.11,-291.692
38,-0.091206,-3280.67,96.3874,-0.16424,1713.44,100,-4241.76,961.096,665.886,1104.39,-6441.71,429.668,1256.49,-295.39
39,-0.0781186,-3256.58,120.477,-0.151101,1855.5,100,-4239.91,983.338,673.287,1105.16,-6444.07,425.713,1282.53,-299.188
40,-0.0649973,-3231.65,145.4,-0.137962,1922.01,100,-4235.63,1003.98,680.416,1108.56,-6446.41,421.81,1306.92,-302.943
41,-0.051813,-3204.63,172.424,-0.124822,1886.02,100,-4228.45,1023.82,686.391,1115.4,-6448.41,418.17,1330.08,-306.256
