step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589777,-3377.06,0,-0.66353,-0.780125,0,309,-4216.58,839.519,628.839,1131.93,-6428.54,451.184,1114.25,-274.734
1,-0.576492,-3377.04,0.0159437,-0.650259,3.16762,0.0158418,84,-4216.58,839.54,628.854,1131.92,-6428.54,451.188,1114.27,-274.734
2,-0.563221,-3376.98,0.0836617,-0.636989,7.03406,0.083533,118,-4216.59,839.616,628.868,1131.93,-6428.56,451.169,1114.35,-274.735
3,-0.54995,-3375.37,1.69401,-0.623718,-0.106696,0.129498,21,-4216.59,841.229,628.869,1131.93,-6428.56,451.17,1115.96,-274.734
4,-0.53668,-3374.99,2.06759,-0.610448,1.47965,0.138608,21,-4216.6,841.605,628.87,1131.93,-6428.57,451.172,1116.34,-274.733
5,-0.523409,-3374.95,2.1131,-0.597177,5.28423,0.183488,21,-4216.6,841.655,628.87,1131.93,-6428.57,451.174,1116.39,-274.732
6,-0.510138,-3374.85,2.20457,-0.583906,8.5257,0.275121,171,-4216.56,841.706,628.976,1131.9,-6428.59,451.151,1116.44,-274.735
7,-0.496863,-3374.72,2.33679,-0.570636,11.3214,0.406813,21,-4216.56,841.838,628.974,1131.9,-6428.58,451.152,1116.57,-274.734
8,-0.483593,-3374.56,2.50363,-0.557365,13.8031,0.573522,190,-4216.57,842.011,629,1131.88,-6428.59,451.144,1116.75,-274.734
9,-0.470323,-3374.54,2.52359,-0.544095,-11.0038,0.592096,192,-4216.58,842.048,629.066,1131.8,-6428.55,451.103,1116.76,-274.714
10,-0.457044,-3375.05,2.00556,-0.530824,-12.2523,0.437784,199,-4216.54,841.485,629.039,1131.86,-6428.55,451.114,1116.18,-274.697
11,-0.443772,-3375.49,1.5689,-0.517553,-12.9056,0.270853,21,-4216.54,841.048,629.041,1131.85,-6428.55,451.113,1115.74,-274.696
