step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589777,-3377.05,0,-0.66353,-0.780058,0,100,-4216.69,839.639,629.109,1131.69,-6428.58,451.088,1114.62,-274.981
1,-0.576494,-3377.04,0.00931334,-0.650259,3.16455,0.0158218,100,-4216.59,839.543,628.852,1131.94,-6428.55,451.177,1114.28,-274.735
2,-0.563221,-3376.98,0.0771808,-0.636989,7.03352,0.0834891,100,-4216.6,839.621,628.871,1131.94,-6428.57,451.162,1114.36,-274.737
3,-0.549951,-3375.37,1.68719,-0.623718,-0.113292,0.129407,100,-4216.55,841.182,628.932,1131.92,-6428.57,451.167,1115.91,-274.731
4,-0.536676,-3374.99,2.06065,-0.610448,1.46836,0.138398,100,-4216.55,841.557,628.949,1131.91,-6428.57,451.164,1116.29,-274.733
5,-0.523404,-3374.95,2.10597,-0.597177,5.27002,0.183109,100,-4216.56,841.613,628.959,1131.91,-6428.58,451.155,1116.35,-274.734
6,-0.510134,-3374.85,2.19808,-0.583906,8.52553,0.274647,100,-4216.56,841.704,628.985,1131.9,-6428.59,451.149,1116.44,-274.736
7,-0.496863,-3374.72,2.3302,-0.570636,11.3191,0.406322,100,-4216.57,841.843,628.988,1131.89,-6428.59,451.147,1116.58,-274.733
8,-0.483593,-3374.56,2.49713,-0.557365,13.8032,0.573016,100,-4216.57,842.013,629.002,1131.88,-6428.59,451.142,1116.75,-274.737
9,-0.470323,-3374.54,2.51711,-0.544095,-11.0047,0.591585,100,-4216.59,842.057,629.065,1131.79,-6428.55,451.105,1116.77,-274.709
10,-0.457045,-3375.05,1.9991,-0.530824,-12.2517,0.437272,100,-4216.54,841.487,629.041,1131.85,-6428.55,451.113,1116.18,-274.695
11,-0.443772,-3375.49,1.56225,-0.517553,-12.9095,0.27032,100,-4216.51,841.018,629.004,1131.9,-6428.54,451.126,1115.7,-274.684
12,-0.4305,-3376.65,0.402277,-0.504283,-18.5817,0.061367,100,-4216.42,839.774,628.947,1131.95,-6428.5,451.172,1114.39,-274.62
13,-0.417227,-3376.89,0.165402,-0.491012,-17.0654,-0.175162,100,-4216.41,839.526,628.924,1131.97,-6428.49,451.177,1114.13,-274.605
14,-0.403957,-3377.1,-0.0492773,-0.477742,-15.2372,-0.3895,100,-4216.4,839.298,628.896,1131.99,-6428.48,451.187,1113.89,-274.588
15,-0.390687,-3377.29,-0.237761,-0.464471,-13.1283,-0.577713,100,-4216.38,839.086,628.871,1132.02,-6428.46,451.197,1113.66,-274.571
16,-0.377416,-3378.42,-1.3632,-0.4512,-17.6079,-0.781657,100,-4216.4,837.98,628.881,1131.97,-6428.46,451.21,1112.53,-274.548
17,-0.36414,-3378.64,-1.5847,-0.43793,-15.7685,-1.00312,100,-4216.38,837.74,628.862,1131.98,-6428.45,451.222,1112.27,-274.53
18,-0.350869,-3378.83,-1.78171,-0.424659,-13.9251,-1.20015,100,-4216.34,837.502,628.842,1132,-6428.42,451.244,1112,-274.502
19,-0.337598,-3377.7,-0.643862,-0.411389,-21.4772,-1.43505,100,-4216.26,838.563,628.858,1131.98,-6428.37,451.274,1113.03,-274.472
20,-0.324326,-3377.44,-0.389537,-0.398118,-22.5227,-1.727,100,-4216.23,838.792,628.844,1131.99,-6428.36,451.287,1113.25,-274.459
21,-0.311054,-3377.72,-0.666402,-0.384847,-19.1158,-2.00329,100,-4216.21,838.488,628.838,1131.99,-6428.34,451.305,1112.93,-274.44
22,-0.297784,-3377.95,-0.893276,-0.371577,-14.8806,-2.22886,100,-4216.2,838.252,628.84,1131.97,-6428.32,451.315,1112.68,-274.425
23,-0.284515,-3378.11,-1.05415,-0.358306,-9.0031,-2.38734,100,-4216.23,838.122,628.864,1131.91,-6428.31,451.311,1112.55,-274.425
24,-0.271247,-3378.27,-1.21429,-0.345036,-0.84889,-2.45271,100,-4216.31,838.039,628.904,1131.81,-6428.32,451.295,1112.48,-274.439
25,-0.257981,-3376.44,0.614708,-0.331765,-0.251907,-2.46001,100,-4216.43,839.993,629.05,1131.59,-6428.31,451.244,1114.49,-274.497
26,-0.244716,-3376.31,0.743036,-0.318494,20.9616,-2.3226,100,-4216.75,840.438,629.229,1131.27,-6428.38,451.133,1115.04,-274.603
27,-0.231459,-3376.41,0.640264,-0.305224,48.0145,-1.86492,100,-4217.29,840.876,629.47,1130.8,-6428.5,450.943,1115.66,-274.784
28,-0.218202,-3375.91,1.14571,-0.291953,89.9115,-0.949741,100,-4218.09,842.187,629.893,1130.09,-6428.7,450.63,1117.28,-275.09
29,-0.204952,-3374.24,2.81106,-0.278683,153.366,0.664477,100,-4219.24,844.995,630.649,1128.99,-6429,450.123,1120.56,-275.569
30,-0.191715,-3371.78,5.27337,-0.265412,241.324,3.28336,100,-4220.9,849.116,631.739,1127.46,-6429.47,449.376,1125.41,-276.293
31,-0.178495,-3367.75,9.2983,-0.252141,359.468,7.2698,100,-4223.11,855.353,633.408,1125.32,-6430.14,448.306,1132.68,-277.331
32,-0.165284,-3361.94,15.1148,-0.238871,512.016,13.0524,100,-4225.98,864.042,635.646,1122.64,-6431.07,446.811,1142.8,-278.76
33,-0.152095,-3353.94,23.1157,-0.2256,699.971,21.0942,100,-4229.36,875.418,638.806,1119.28,-6432.3,444.856,1156.08,-280.662
