step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.589662,-3410.29,0,-0.663473,1.11106,-0.073811,-4223.07,812.78,605.447,1145.71,-6429.97,455.736,1083.55,-270.766,0,0
1,-0.576393,-3410.28,0.0186887,-0.650204,1.72955,-0.073811,-4223.05,812.77,605.457,1145.72,-6429.96,455.741,1083.54,-270.771,0,0
2,-0.563123,-3410.25,0.0457189,-0.636934,2.34178,-0.073811,-4223.05,812.804,605.434,1145.73,-6429.96,455.746,1083.57,-270.768,0,0
3,-0.549854,-3409.79,0.500226,-0.623665,2.86823,-0.073811,-4222.79,812.991,605.797,1145.47,-6429.77,455.724,1083.84,-270.851,0,0
4,-0.536584,-3409.99,0.309187,-0.610395,2.47096,-0.073811,-4223.01,812.988,605.682,1145.35,-6429.84,455.792,1083.72,-270.735,0,0
5,-0.523315,-3409.64,0.655345,-0.597126,1.61808,-0.073811,-4223.04,813.478,605.573,1145.52,-6429.91,455.776,1084.18,-270.704,0,0
6,-0.510045,-3409.77,0.528732,-0.583856,2.36557,-0.073811,-4223.05,813.287,605.479,1145.67,-6429.95,455.75,1084.06,-270.772,0,0
7,-0.496776,-3409.73,0.565102,-0.570587,3.11113,-0.073811,-4223.05,813.322,605.485,1145.66,-6429.95,455.751,1084.1,-270.774,0,0
8,-0.483506,-3409.68,0.611247,-0.557317,3.84213,-0.073811,-4223.06,813.375,605.514,1145.63,-6429.95,455.748,1084.15,-270.776,0,0
9,-0.470237,-3409.67,0.628572,-0.544048,-1.45772,-0.073811,-4223.04,813.374,605.538,1145.62,-6429.94,455.741,1084.15,-270.777,0,0
10,-0.456967,-3409.81,0.480597,-0.530778,-2.02748,-0.073811,-4223.04,813.225,605.544,1145.62,-6429.94,455.739,1084,-270.777,0,0
11,-0.443698,-3409.84,0.457134,-0.517509,-1.51423,-0.073811,-4223.04,813.201,605.535,1145.62,-6429.93,455.736,1083.98,-270.778,0,0
12,-0.430429,-3410.07,0.226032,-0.504239,-2.72408,-0.073811,-4223.04,812.972,605.521,1145.63,-6429.93,455.736,1083.75,-270.778,0,0
