step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737284,-3347.33,0,0.663473,-1.10183,100,-4215.48,868.141,631.119,1130.53,-6427.95,450.823,1142.76,-274.62
1,0.724037,-3347.23,0.108883,0.650335,-0.491093,100,-4215.25,868.028,630.891,1130.73,-6427.83,450.957,1142.36,-274.33
2,0.710904,-3346.84,0.491101,0.637197,-2.70547,100,-4215.24,868.399,630.901,1130.73,-6427.83,450.956,1142.73,-274.331
3,0.697766,-3346.87,0.461102,0.624059,-1.86603,100,-4215.24,868.365,630.885,1130.75,-6427.83,450.958,1142.69,-274.325
4,0.684628,-3346.89,0.441914,0.610921,-1.0603,100,-4215.24,868.346,630.883,1130.75,-6427.83,450.954,1142.67,-274.325
5,0.67149,-3346.9,0.433113,0.597783,-0.283301,100,-4215.23,868.331,630.877,1130.76,-6427.82,450.955,1142.65,-274.324
6,0.658353,-3346.9,0.434392,0.584645,0.476238,100,-4215.23,868.331,630.876,1130.76,-6427.82,450.952,1142.65,-274.323
7,0.645215,-3346.57,0.765056,0.571506,-1.10823,100,-4215.21,868.645,630.879,1130.77,-6427.81,450.952,1142.97,-274.321
8,0.632077,-3346.5,0.830294,0.558368,-0.668836,100,-4215.21,868.707,630.873,1130.77,-6427.81,450.951,1143.03,-274.32
9,0.61894,-3346.93,0.400698,0.54523,-2.77141,100,-4215.23,868.294,630.843,1130.78,-6427.81,450.956,1142.61,-274.317
10,0.605801,-3346.97,0.369447,0.532092,-1.98161,100,-4215.23,868.268,630.832,1130.79,-6427.81,450.954,1142.59,-274.317
11,0.592663,-3346.99,0.348773,0.518954,-1.15884,100,-4215.23,868.248,630.823,1130.79,-6427.8,450.954,1142.56,-274.317
12,0.579526,-3347,0.33919,0.505816,-0.292008,100,-4215.24,868.241,630.811,1130.8,-6427.8,450.955,1142.56,-274.315
13,0.566388,-3346.99,0.341316,0.492678,0.624029,100,-4215.24,868.244,630.8,1130.8,-6427.8,450.955,1142.56,-274.314
14,0.553251,-3346.98,0.355796,0.47954,1.58783,100,-4215.24,868.261,630.789,1130.81,-6427.79,450.956,1142.58,-274.314
15,0.540113,-3347.43,-0.0935664,0.466402,-0.661346,100,-4215.26,867.835,630.735,1130.83,-6427.79,450.964,1142.14,-274.307
16,0.526974,-3347.57,-0.234754,0.453264,-1.22583,100,-4215.28,867.715,630.718,1130.82,-6427.78,450.966,1142.02,-274.303
17,0.513836,-3347.58,-0.247093,0.440126,-0.657988,100,-4215.29,867.707,630.702,1130.82,-6427.78,450.969,1142.01,-274.299
18,0.500698,-3347.19,0.145304,0.426988,-3.06568,100,-4215.28,868.095,630.693,1130.82,-6427.77,450.973,1142.39,-274.296
19,0.48756,-3347.22,0.109944,0.413849,-2.33036,100,-4215.29,868.068,630.682,1130.81,-6427.77,450.976,1142.36,-274.295
20,0.474422,-3347.25,0.0836998,0.400711,-1.67923,100,-4215.3,868.049,630.661,1130.82,-6427.76,450.981,1142.34,-274.292
21,0.461284,-3347.27,0.0654319,0.387573,-1.11645,100,-4215.31,868.037,630.644,1130.82,-6427.75,450.987,1142.32,-274.288
22,0.448146,-3347.28,0.0539832,0.374435,-0.640295,100,-4215.32,868.036,630.626,1130.81,-6427.75,450.993,1142.32,-274.285
23,0.435008,-3347.29,0.0482593,0.361297,-0.243327,100,-4215.33,868.04,630.608,1130.81,-6427.74,450.998,1142.32,-274.281
24,0.42187,-3346.91,0.426116,0.348159,-2.72468,100,-4215.32,868.416,630.598,1130.8,-6427.73,451.006,1142.69,-274.276
25,0.408733,-3346.94,0.393903,0.335021,-2.18897,100,-4215.34,868.394,630.578,1130.8,-6427.72,451.013,1142.66,-274.27
26,0.395595,-3346.97,0.368383,0.321883,-1.702,100,-4215.35,868.38,630.557,1130.79,-6427.72,451.021,1142.64,-274.264
27,0.382457,-3347.19,0.143603,0.308745,-2.86899,100,-4215.36,868.173,630.524,1130.78,-6427.7,451.035,1142.42,-274.248
28,0.369317,-3347.45,-0.110288,0.295607,-4.16469,100,-4215.39,867.946,630.487,1130.78,-6427.7,451.042,1142.19,-274.241
29,0.356177,-3347.5,-0.163811,0.282469,-3.97272,100,-4215.4,867.904,630.465,1130.77,-6427.69,451.051,1142.14,-274.233
30,0.343039,-3347.55,-0.217141,0.269331,-3.69631,100,-4215.41,867.861,630.445,1130.76,-6427.68,451.06,1142.08,-274.224
31,0.329901,-3347.61,-0.275217,0.256193,-3.27016,100,-4215.42,867.81,630.425,1130.76,-6427.67,451.07,1142.03,-274.215
32,0.316762,-3347.65,-0.312988,0.243054,-2.39989,100,-4215.42,867.774,630.409,1130.76,-6427.67,451.079,1141.98,-274.209
33,0.303625,-3347.67,-0.335574,0.229916,-0.908625,100,-4215.42,867.75,630.397,1130.76,-6427.66,451.086,1141.96,-274.207
34,0.290487,-3348.09,-0.75938,0.216778,-1.61042,100,-4215.43,867.337,630.385,1130.77,-6427.67,451.079,1141.54,-274.207
35,0.277348,-3347.72,-0.38255,0.20364,-0.728834,100,-4215.4,867.685,630.402,1130.79,-6427.67,451.076,1141.91,-274.224
36,0.264212,-3347.69,-0.354524,0.190502,5.43434,100,-4215.38,867.687,630.42,1130.85,-6427.71,451.06,1141.95,-274.261
37,0.251078,-3347.56,-0.225955,0.177364,14.7573,100,-4215.34,867.779,630.463,1130.94,-6427.76,451.026,1142.11,-274.33
38,0.237947,-3347.41,-0.0729833,0.164226,28.4265,100,-4215.3,867.895,630.547,1131.07,-6427.87,450.953,1142.36,-274.462
39,0.224821,-3346.92,0.4143,0.151088,47.8344,100,-4215.25,868.325,630.689,1131.25,-6428.03,450.843,1142.98,-274.656
40,0.211699,-3345.74,1.59887,0.13795,71.3936,100,-4215.17,869.434,630.933,1131.48,-6428.26,450.669,1144.38,-274.951
41,0.198583,-3344.58,2.75737,0.124812,106.382,100,-4215.12,870.542,631.278,1131.81,-6428.6,450.396,1145.93,-275.384
42,0.185475,-3342.9,4.43127,0.111674,149.791,100,-4215.09,872.187,631.788,1132.21,-6429.09,449.996,1148.19,-276.001
43,0.172377,-3340.61,6.72527,0.0985356,200.43,100,-4215.11,874.496,632.512,1132.68,-6429.73,449.429,1151.33,-276.836
44,0.159288,-3337.63,9.7093,0.0853975,255.122,100,-4215.19,877.563,633.487,1133.21,-6430.55,448.668,1155.48,-277.916
45,0.146205,-3334.4,12.9346,0.0722594,305.569,100,-4215.38,880.981,634.723,1133.74,-6431.54,447.698,1160.22,-279.241
46,0.133123,-3330.15,17.1815,0.0591214,350.334,100,-4215.62,885.471,636.265,1134.23,-6432.65,446.534,1166.24,-280.766
47,0.12004,-3325.39,21.9449,0.0459833,379.193,100,-4216,890.607,638.027,1134.58,-6433.83,445.218,1173.03,-282.422
48,0.10695,-3320.39,26.9459,0.0328452,385.556,100,-4216.52,896.127,639.958,1134.7,-6434.99,443.81,1180.23,-284.1
49,0.0938444,-3315.43,31.9076,0.0197071,365.091,100,-4217.19,901.765,641.946,1134.52,-6436.06,442.399,1187.45,-285.683
50,0.0807199,-3311.2,36.1369,0.00656904,314.982,100,-4218.09,906.889,643.895,1133.9,-6436.96,441.079,1193.96,-287.067
51,0.0675713,-3307.2,40.1389,-0.00656904,235.585,100,-4219.17,911.972,645.703,1132.81,-6437.64,439.954,1200.13,-288.154
52,0.0543993,-3304.71,42.6254,-0.0197071,140.124,100,-4220.56,915.849,647.143,1131.27,-6438.06,439.09,1204.71,-288.861
53,0.0412059,-3303.57,43.7623,-0.0328452,31.3992,100,-4222.09,918.519,648.193,1129.32,-6438.17,438.565,1207.65,-289.129
54,0.0279967,-3303.9,43.4358,-0.0459833,-80.9976,100,-4223.68,919.777,648.646,1127.25,-6438,438.425,1208.75,-288.968
55,0.0147808,-3305.82,41.514,-0.0591214,-186.953,100,-4225.22,919.395,648.594,1125.15,-6437.59,438.63,1207.85,-288.455
