step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737284,-3347.22,0,0.663473,-1.10551,0,189,-4215.26,868.048,630.889,1130.73,-6427.84,450.957,1142.38,-274.33
1,0.72391,-3347.23,-0.0105524,0.650204,-0.484985,-0.0105525,21,-4215.25,868.029,630.895,1130.73,-6427.83,450.954,1142.36,-274.331
2,0.710641,-3346.84,0.371036,0.636934,-2.68853,-0.0316079,21,-4215.24,868.398,630.908,1130.73,-6427.83,450.95,1142.73,-274.33
3,0.697371,-3346.87,0.34102,0.623665,-1.84157,-0.061664,21,-4215.22,868.347,630.902,1130.74,-6427.82,450.963,1142.67,-274.323
4,0.684102,-3346.89,0.322013,0.610395,-1.02939,-0.080712,21,-4215.22,868.324,630.885,1130.76,-6427.82,450.959,1142.65,-274.322
5,0.670834,-3346.9,0.313582,0.597126,-0.245571,-0.089171,21,-4215.25,868.349,630.859,1130.77,-6427.83,450.95,1142.68,-274.328
6,0.657565,-3346.9,0.315415,0.583856,0.521506,-0.0873403,21,-4215.23,868.332,630.874,1130.76,-6427.82,450.953,1142.66,-274.323
7,0.644296,-3346.53,0.684826,0.570587,-1.33385,-0.0927299,21,-4215.23,868.702,630.866,1130.77,-6427.82,450.945,1143.03,-274.327
8,0.631026,-3346.51,0.710282,0.557317,-0.585855,-0.105467,21,-4215.2,868.69,630.882,1130.78,-6427.8,450.952,1143.01,-274.321
9,0.617757,-3346.94,0.27812,0.544048,-2.70144,-0.127277,21,-4215.22,868.278,630.865,1130.77,-6427.8,450.952,1142.6,-274.323
10,0.604488,-3346.97,0.247539,0.530778,-1.90107,-0.157813,21,-4215.24,868.27,630.824,1130.79,-6427.81,450.954,1142.59,-274.319
11,0.591218,-3346.99,0.227797,0.517509,-1.06585,-0.177498,21,-4215.23,868.237,630.822,1130.79,-6427.8,450.961,1142.55,-274.313
12,0.57795,-3347,0.219446,0.504239,-0.184881,-0.185796,21,-4215.24,868.246,630.817,1130.8,-6427.8,450.949,1142.56,-274.319
13,0.56468,-3346.99,0.223121,0.49097,0.746347,-0.182071,21,-4215.23,868.238,630.792,1130.81,-6427.79,450.962,1142.55,-274.313
14,0.551412,-3346.98,0.239477,0.477701,1.72597,-0.165668,21,-4215.25,868.269,630.788,1130.8,-6427.79,450.951,1142.58,-274.314
15,0.538143,-3347.43,-0.214128,0.464431,-0.547364,-0.157848,21,-4215.27,867.836,630.734,1130.83,-6427.79,450.964,1142.14,-274.308
16,0.524872,-3347.57,-0.356598,0.451162,-1.13296,-0.168997,21,-4215.3,867.726,630.695,1130.83,-6427.78,450.966,1142.03,-274.305
17,0.511602,-3347.58,-0.36782,0.437892,-0.565086,-0.180263,21,-4215.3,867.716,630.702,1130.81,-6427.78,450.965,1142.02,-274.301
18,0.498333,-3347.2,0.018866,0.424623,-2.92739,-0.203435,21,-4215.3,868.107,630.661,1130.84,-6427.78,450.973,1142.4,-274.296
19,0.485062,-3347.23,-0.0150716,0.411353,-2.20002,-0.237454,21,-4215.3,868.067,630.676,1130.81,-6427.76,450.977,1142.36,-274.295
